X,Y
35.22323,129.00841
35.22357,129.00787
35.24094,129.01731
35.24097,129.0145
35.24073,129.01442
35.24008,129.01618
35.2397,129.01584
35.24092,129.01775
35.24129,129.01818
35.24044,129.01754
35.24139,129.01824
35.24139,129.01881
35.23666,129.01483
35.2418,129.01915
35.24211,129.0199
35.24197,129.02069
35.24228,129.02086
35.24218,129.02087
35.24196,129.02377
35.2415,129.02047
35.23681,129.01422
35.24138,129.02018
35.24094,129.01955
35.24099,129.01977
35.24024,129.01911
35.24093,129.01894
35.24059,129.01862
35.24041,129.01867
35.23988,129.01864
35.23638,129.01427
35.23976,129.01851
35.23988,129.01773
35.23947,129.01779
35.23964,129.01669
35.23919,129.01694
35.23939,129.01682
35.23924,129.01614
35.23889,129.01612
35.23623,129.01474
35.23882,129.01642
35.23898,129.01706
35.23871,129.0173
35.2388,129.01754
35.23872,129.01769
35.23839,129.01749
35.23836,129.0171
35.2383,129.01676
35.23835,129.01642
35.23846,129.01613
35.23843,129.01483
35.23909,129.01578
35.23877,129.01581
35.23872,129.01569
35.23721,129.01813
35.23697,129.01834
35.23571,129.01474
35.23654,129.01637
35.23707,129.01694
35.23792,129.01723
35.23752,129.01744
35.23551,129.01461
35.23769,129.01507
35.23726,129.01497
35.23757,129.01498
35.23774,129.01454
35.23774,129.01426
35.23729,129.01424
35.23703,129.01461
35.23703,129.01489
35.23693,129.01548
35.23545,129.01411
35.23684,129.01597
35.23622,129.01616
35.2363,129.01576
35.24332,129.01954
35.24348,129.01955
35.23616,129.01538
35.2429,129.01905
35.24311,129.02026
35.24325,129.0206
35.24326,129.02011
35.24295,129.01979
35.24289,129.01985
35.24279,129.01936
35.24276,129.01957
35.2359,129.01512
35.24288,129.01886
35.24258,129.01896
35.24248,129.01938
35.24226,129.01865
35.24215,129.01846
35.23504,129.01421
35.23632,129.01513
35.22756,129.01098
35.22712,129.01075
35.22733,129.01073
35.22644,129.00992
35.22699,129.01038
35.23494,129.01509
35.2348,129.01679
35.23473,129.01663
35.23587,129.01732
35.23389,129.01772
35.23394,129.0172
35.22571,129.00958
35.23366,129.01463
35.22689,129.01349
35.22707,129.01318
35.22785,129.0122
35.22771,129.0125
35.22735,129.0127
35.22731,129.0124
35.21236,129.02528
35.22706,129.01228
35.22733,129.01188
35.22696,129.01221
35.2268,129.01137
35.22756,129.01144
35.21271,129.02662
35.21242,129.02674
35.21252,129.02635
35.21245,129.02648
35.21212,129.02665
35.2126,129.02573
35.21259,129.02615
35.2093,129.0292
35.21273,129.02612
35.21289,129.02603
35.21299,129.02581
35.21272,129.0245
35.21304,129.02438
35.21252,129.02475
35.21272,129.02436
35.21174,129.02484
35.21204,129.02447
35.21236,129.0247
35.20907,129.04562
35.20888,129.04513
35.20803,129.03687
35.21024,129.04538
35.2111,129.04539
35.21188,129.045
35.21112,129.04587
35.2114,129.04461
35.21188,129.0445
35.21077,129.04421
35.20803,129.03651
35.21129,129.04497
35.20981,129.04517
35.20961,129.04514
35.20941,129.0451
35.20925,129.04506
35.20885,129.04259
35.20897,129.04498
35.20865,129.04479
35.20784,129.03591
35.2084,129.04465
35.20839,129.04427
35.20802,129.04385
35.2082,129.04374
35.20791,129.04306
35.20799,129.04238
35.20818,129.04283
35.20832,129.04317
35.20841,129.04339
35.2087,129.03606
35.20849,129.04356
35.20862,129.04394
35.20836,129.04379
35.20897,129.04422
35.20877,129.04409
35.20949,129.04441
35.20917,129.04434
35.20961,129.04444
35.20907,129.04349
35.20726,129.04235
35.20904,129.03606
35.20885,129.04394
35.20918,129.04413
35.20889,129.04366
35.20872,129.04319
35.20841,129.04246
35.20899,129.0433
35.20928,129.03606
35.20897,129.04199
35.20849,129.04199
35.20831,129.04222
35.20838,129.04296
35.20892,129.04155
35.2088,129.04136
35.2087,129.04155
35.20838,129.04111
35.20826,129.04136
35.20916,129.0364
35.20853,129.04067
35.209,129.04299
35.21041,129.03847
35.20547,129.03854
35.20595,129.03872
35.20866,129.0373
35.21276,129.03319
35.20881,129.0364
35.20554,129.03887
35.20492,129.03882
35.20515,129.03848
35.2046,129.03888
35.20462,129.03837
35.2045,129.03836
35.20449,129.03862
35.20448,129.03888
35.20446,129.03915
35.2051,129.03925
35.20534,129.03929
35.2056,129.04001
35.20999,129.0454
35.21258,129.04094
35.20613,129.03951
35.20508,129.03964
35.20904,129.03671
35.20444,129.03957
35.20441,129.04004
35.20488,129.04008
35.2047,129.04006
35.20539,129.04016
35.2076,129.04318
35.20651,129.04186
35.20953,129.03801
35.20656,129.04057
35.20674,129.04046
35.20613,129.04023
35.206,129.03997
35.20619,129.03976
35.20668,129.04
35.20888,129.0371
35.21367,129.04142
35.2136,129.04729
35.2151,129.04544
35.21424,129.04524
35.21535,129.04619
35.21277,129.04644
35.21311,129.04643
35.21334,129.04669
35.21368,129.04532
35.21326,129.04555
35.21303,129.04539
35.21729,129.03935
35.21502,129.04369
35.21776,129.03973
35.2146,129.04405
35.21427,129.04339
35.21412,129.04374
35.21436,129.04414
35.21415,129.04205
35.21378,129.04099
35.21543,129.03788
35.21536,129.03826
35.21586,129.03727
35.21609,129.03683
35.21637,129.0363
35.21624,129.03654
35.21672,129.03538
35.21659,129.03589
35.21409,129.04235
35.21676,129.03554
35.21678,129.03583
35.21707,129.03608
35.21668,129.03627
35.21637,129.03684
35.21616,129.03726
35.21608,129.03743
