X,Y
35.1346821,129.0423101
35.1391341,129.0530571
35.1289571,129.0520851
35.1272711,129.0382991
35.1344551,129.0540591
35.1338741,129.0534871
35.1314261,129.0455161
35.1361951,129.0486191
35.1346441,129.0473791
35.1216791,129.0352911
35.1200951,129.0332091
35.1193461,129.0342431
35.1302701,129.0462331
35.1237151,129.0362131
35.1348801,129.0402781
35.1378991,129.0556271
35.1372021,129.0570061
35.1396291,129.0508331
35.1370721,129.0576721
35.1271461,129.0404731
35.1234871,129.0417461
35.1153661,129.0363651
35.1404041,129.0627921
35.1285501,129.0519081
35.1142841,129.0355041
35.1268441,129.0457321
35.1446421,129.0409641
35.1331841,129.0414701
35.1213811,129.0347531
35.1366871,129.0490981
35.1349481,129.0464971
35.1227411,129.0404561
35.1342151,129.0537761
35.1351761,129.0585671
35.1443181,129.0479411
35.1329371,129.0567571
35.1337951,129.0562261
35.1393451,129.0584451
35.1391851,129.0480301
35.1297411,129.0425791
35.1397211,129.0580371
35.1341411,129.0525761
35.1320231,129.0448741
35.1265781,129.0424331
35.1362571,129.0430581
35.1254121,129.0426561
35.1352141,129.0466341
35.1351131,129.0489361
35.1130621,129.0399841
35.1152661,129.0349721
35.1196301,129.0367091
35.1188931,129.0378831
35.1183481,129.0392141
35.1341501,129.0441961
35.1348111,129.0459191
35.1141571,129.0368061
35.1269151,129.0519441
35.1240741,129.0375561
35.1276151,129.0399091
35.1146471,129.0362541
35.1257421,129.0411401
35.1339411,129.0476371
35.1337841,129.0442191
35.1380601,129.0470741
35.1310311,129.0468841
35.1334171,129.0432661
35.1362501,129.0444921
35.1296141,129.0440281
35.1185801,129.0347101
35.1400591,129.0548011
35.1373471,129.0483381
35.1365571,129.0587341
35.1378891,129.0601051
35.1321911,129.0480181
35.1374371,129.0618521
35.1388901,129.0645041
35.1403361,129.0488211
35.1411751,129.0539731
35.1412001,129.0503151
35.1428581,129.0506651
35.1360091,129.0524171
35.1309821,129.0481561
35.1328571,129.0551941
35.1148001,129.0373861
35.1181651,129.0283541
35.1379861,129.0515651
35.1379011,129.0518481
35.1387551,129.0501161
35.1279101,129.0412141
35.1332991,129.0510611
35.1348751,129.0450301
35.1286511,129.0466861
35.1197461,129.0396911
35.1220511,129.0442051
35.1326271,129.0478801
35.1314041,129.0474601
35.1173401,129.0358991
35.1344231,129.0521441
35.1255391,129.0434561
35.1296401,129.0413541
35.1361221,129.0601441
35.1193851,129.0368731
35.1368871,129.0532611
35.1261271,129.0344991
35.1367361,129.0520021
35.1369351,129.0550681
35.1279481,129.0363461
35.1195471,129.0337951
35.1284331,129.0400641
35.1159661,129.0355481
35.1175841,129.0423941
35.1305381,129.0439261
35.1330561,129.0408261
35.1381981,129.0539401
35.1385531,129.0481101
35.1421201,129.0503491
35.1353341,129.0557441
35.1311331,129.0539761
35.1386821,129.0516751
35.1317971,129.0404471
35.1171991,129.0394381
35.1164981,129.0400511
35.1159061,129.0392721
35.1173701,129.0333701
35.1232091,129.0359411
35.1407751,129.0526671
35.1454921,129.0464781
35.1390901,129.0616771
35.1355151,129.0647741
35.1188351,129.0342501
35.1411491,129.0598691
35.1272591,129.0433541
35.1249581,129.0358461
35.1262111,129.0446921
35.1278841,129.0452901
35.1365231,129.0539941
35.1414731,129.0557421
35.1360551,129.0507501
35.1303341,129.0423091
35.1234921,129.0329341
35.1399741,129.0523191
35.1331721,129.0494741
35.1337951,129.0486201
35.1291731,129.0476791
35.1250931,129.0389381
35.1354141,129.0438541
35.1323821,129.0446231
35.1359531,129.0618281
35.1172261,129.0375681
35.1345371,129.0569701
35.1300401,129.0472931
35.1248531,129.0397271
35.1211841,129.0321171
35.1265391,129.0351751
35.1325751,129.0528891
35.1284391,129.0386791
35.1213691,129.0405481
35.1174681,129.0353331
35.1397591,129.0524391
35.1154081,129.0375001
35.1135451,129.0365111
35.1290671,129.0402211
35.1322411,129.0583181
35.1321551,129.0571121
35.1218081,129.0346361
35.1141481,129.0376921
35.1269081,129.0437091
35.1234131,129.0382251
35.1238541,129.0362571
35.1229931,129.0371561
35.1263381,129.0332361
35.1272541,129.0391321
35.1319341,129.0393681
35.1357631,129.0534721
35.1244661,129.0402991
35.1305951,129.0421421
35.1397531,129.0513481
35.1290991,129.0429691
35.1301571,129.0395371
35.1249071,129.0357961
35.1319861,129.0527921
35.1350011,129.0414641
35.1332071,129.0415741
35.1360771,129.0500841
35.1335051,129.0454221
35.1393371,129.0486481
35.1381951,129.0479751
35.1317931,129.0557501
35.1429971,129.0499971
35.1388341,129.0493561
35.1394511,129.0541221
35.1395661,129.0562891
35.1277881,129.0402211
35.1151741,129.0387301
35.1249381,129.0387771
35.1428201,129.0484931
35.1182411,129.0361821
35.1329811,129.0553861
35.1159511,129.0397941
35.1156911,129.0395761
35.1145841,129.0391391
35.1148561,129.0392891
35.1161871,129.0404541
35.1159471,129.0403531
35.1303091,129.0475761
35.1301761,129.0477021
35.1283841,129.0479181
35.1286641,129.0482001
35.1285001,129.0488581
35.1282911,129.0486701
35.1392901,129.0595631
35.1391791,129.0596931
35.1382831,129.0595671
35.1381401,129.0596571
35.1401541,129.0591561
35.1400611,129.0591491
35.1191141,129.0446391
35.1189951,129.0454291
35.1260891,129.0457151
35.1261641,129.0450871
35.1401721,129.0558531
35.1400231,129.0558911
35.1417331,129.0394371
35.1307031,129.0465211
35.1307441,129.0466411
35.1355131,129.0617971
35.1357991,129.0622591
35.1362171,129.0622121
35.1329651,129.0377431
35.1220961,129.0338241
35.1391471,129.0516511
35.1376031,129.0471281
35.1160971,129.0347161
35.1189151,129.0369561
35.1161291,129.0369121
35.1430681,129.0509351
35.1192181,129.0310791
35.1216101,129.0395221
35.1330591,129.0450391
35.1247871,129.0354601
35.1346891,129.0579791
35.1267621,129.0391561
35.1274611,129.0387001
35.1348171,129.0426671
35.1416131,129.0531631
35.1341491,129.0429991
35.1363821,129.0623391
35.1261611,129.0395931
35.1310791,129.0401651
35.1287401,129.0389941
35.1323281,129.0589451
35.1340641,129.0515931
35.1205831,129.0326671
35.1232171,129.0347471
35.1368411,129.0464721
35.1264781,129.0409681
35.1274191,129.0401341
35.1218921,129.0440091
35.1355521,129.0649421
35.1137501,129.0379481
35.1230391,129.0427311
35.1248161,129.0419491
35.1274511,129.0458991
35.1348751,129.0500341
35.1390091,129.0549551
35.1403831,129.0559721
35.1310481,129.0389931
35.1169081,129.0339551
35.1375051,129.0502601
35.1386851,129.0525361
35.1180601,129.0348271
35.1412481,129.0531491
35.1420311,129.0520381
35.1406041,129.0525971
35.1391291,129.0483191
35.1389601,129.0482271
35.1191951,129.0285931
35.1355061,129.0631501
35.1380291,129.0561251
35.1382141,129.0484311
35.1390411,129.0520631
35.1336681,129.0431461
35.1337161,129.0436031
35.1295501,129.0532761
35.1423081,129.0486391
35.1379241,129.0585581
35.1376111,129.0494661
35.1334851,129.0546171
35.1358911,129.0601521
35.1154341,129.0349271
35.1219191,129.0380581
35.1263121,129.0350011
35.1193721,129.0330161
35.1244531,129.0424731
35.1242991,129.0428391
35.1189211,129.0390501
35.1386671,129.0510511
35.1384481,129.0504381
35.1329251,129.0580841
35.1352641,129.0563281
35.1416161,129.0574761
35.1377141,129.0583871
35.1385471,129.0652191
35.1280311,129.0529301
35.1353031,129.0645551
35.1408941,129.0544371
35.1407231,129.0518681
35.1198931,129.0347581
35.1178851,129.0394791
35.1293931,129.0486751
35.1329391,129.0415151
35.1332561,129.0441271
35.1369431,129.0586671
35.1307091,129.0396671
35.1357121,129.0568651
35.1332821,129.0505651
35.1405221,129.0516121
35.1383371,129.0507491
35.1285251,129.0463481
35.1160041,129.0369831
35.1327841,129.0577071
35.1384111,129.0617371
35.1209081,129.0418591
35.1265651,129.0393521
35.1392241,129.0471281
35.1420351,129.0522481
35.1225081,129.0421631
35.1171191,129.0355651
35.1172321,129.0352711
35.1170631,129.0350281
35.1199811,129.0429831
35.1181231,129.0350881
35.1203431,129.0427801
35.1180141,129.0376791
35.1179291,129.0387591
35.1177181,129.0384911
35.1187171,129.0383201
35.1174281,129.0388781
35.1185701,129.0390541
35.1414461,129.0513831
35.1359211,129.0531491
35.1266651,129.0421551
35.1163841,129.0382331
35.1227301,129.0392231
35.1220271,129.0402801
35.1262041,129.0428091
35.1270591,129.0370811
35.1359851,129.0428641
35.1328011,129.0479871
35.1322731,129.0590341
35.1261371,129.0390701
35.1195711,129.0392561
35.1303031,129.0404021
35.1289991,129.0459691
35.1340921,129.0529081
35.1343441,129.0554151
35.1332491,129.0485131
35.1377571,129.0493851
35.1361951,129.0516791
35.1254181,129.0421481
35.1233731,129.0370311
35.1286841,129.0430421
35.1402791,129.0581901
35.1432011,129.0485611
35.1262871,129.0359581
35.1418151,129.0530261
35.1309201,129.0559441
35.1236211,129.0471681
35.1388181,129.0557451
35.1282181,129.0378201
35.1354441,129.0533581
35.1309231,129.0459291
35.1235691,129.0384071
35.1229161,129.0392841
35.1261491,129.0365501
35.1292301,129.0428591
35.1395111,129.0582081
35.1301851,129.0404041
35.1278781,129.0425121
35.1273121,129.0411711
35.1132611,129.0370201
35.1294241,129.0473471
35.1339281,129.0577041
35.1167501,129.0386721
35.1352341,129.0430961
35.1345641,129.0410811
35.1352501,129.0528571
35.1346801,129.0533411
35.1425821,129.0492191
35.1249851,129.0377131
35.1194151,129.0305861
35.1383401,129.0550371
35.1306691,129.0434961
35.1175591,129.0346581
35.1454601,129.0406481
35.1211811,129.0384471
35.1323051,129.0435941
35.1255861,129.0439161
35.1170851,129.0362501
35.1205071,129.0433441
35.1298871,129.0491961
35.1441381,129.0404681
35.1142701,129.0381821
35.1433201,129.0502961
35.1368091,129.0521691
35.1362391,129.0622581
35.1184501,129.0330081
35.1201521,129.0369071
35.1189861,129.0349871
35.1143351,129.0397721
35.1360131,129.0454301
35.1388781,129.0604061
35.1165441,129.0379671
35.1350451,129.0390421
35.1245371,129.0457971
35.1359611,129.0550161
35.1403811,129.0562221
35.1161921,129.0413681
35.1170581,129.0436881
35.1211781,129.0424031
35.1323211,129.0416611
35.1309331,129.0556411
35.1405731,129.0539471
