X,Y
35.21357,129.06379
35.20545,129.09316
35.20407,129.07299
35.2026,129.0708
35.20291,129.06804
35.19877,129.10614
35.19168,129.11318
35.1913,129.11082
35.19988,129.05915
35.2021,129.06082
35.20872,129.08085
35.21669,129.07552
35.20854,129.09301
35.19499,129.0675
35.19783,129.07234
35.19779,129.07223
35.19834,129.06992
35.1971,129.07156
35.19908,129.06791
35.19928,129.06879
35.19923,129.06791
35.21034,129.07591
35.19829,129.05879
35.20383,129.10652
35.20836,129.09366
35.21229,129.10113
35.20585,129.06446
35.20598,129.06506
35.21098,129.09808
35.20143,129.0616
35.20991,129.07686
35.19748,129.07168
35.20791,129.10283
35.20036,129.08871
35.20496,129.08185
35.21504,129.07782
35.21404,129.08865
35.21598,129.08612
35.21572,129.08491
35.21649,129.08601
35.21665,129.08462
35.21174,129.08108
35.2066,129.07983
35.20675,129.07984
35.20617,129.07951
35.2037,129.07922
35.20614,129.07906
35.20373,129.08213
35.21051,129.082
35.20728,129.08268
35.21162,129.10026
35.20827,129.09801
35.20028,129.10503
35.21123,129.10025
35.20213,129.10152
35.21011,129.09725
35.20461,129.06376
35.20904,129.10007
35.21807,129.07988
35.20837,129.09967
35.20814,129.10053
35.20829,129.10041
35.1938,129.09248
35.20109,129.08986
35.2011,129.09001
35.2097,129.10216
35.20544,129.08012
35.20196,129.08586
35.20572,129.05883
35.20075,129.0651
35.20041,129.07182
35.20263,129.09274
35.20587,129.05926
35.20155,129.09782
35.20154,129.09798
35.21075,129.08182
35.19403,129.09033
35.20658,129.09516
35.20583,129.09529
35.20092,129.07684
35.20336,129.10836
35.19832,129.06448
35.20605,129.09544
35.20133,129.07121
35.20702,129.08929
35.2139,129.0782
35.21523,129.08811
35.21405,129.06973
35.20036,129.10593
35.21417,129.08873
35.19684,129.06988
35.19046,129.11188
35.21253,129.08332
35.20827,129.10144
35.20018,129.1035
35.20833,129.0993
35.19854,129.10261
35.1917,129.11241
35.21149,129.10041
35.21135,129.10139
35.19487,129.08956
35.21064,129.10332
35.20936,129.06975
35.20752,129.10086
35.20587,129.05965
35.20825,129.09054
35.20179,129.06023
35.20155,129.09925
35.20722,129.10113
35.20986,129.06433
35.21733,129.08161
35.21532,129.079
35.19009,129.11275
35.1971,129.09885
35.20702,129.05571
35.21848,129.08058
35.21052,129.08243
35.20691,129.05601
35.2183,129.08004
35.20144,129.11105
35.20168,129.07037
35.20618,129.08154
35.19567,129.08853
35.20501,129.10188
35.20055,129.05231
35.21229,129.08119
35.19638,129.10235
35.21242,129.08042
35.20816,129.09028
35.21317,129.07253
35.20189,129.09964
35.20186,129.06787
35.19948,129.09458
35.2226,129.07829
35.20299,129.06143
35.20397,129.06206
35.20395,129.07958
35.2056,129.08378
35.20712,129.08966
35.20457,129.07148
35.19807,129.1045
35.21003,129.08107
35.22177,129.08065
35.20334,129.07131
35.19867,129.10722
35.2124,129.09729
35.21173,129.0975
35.21157,129.09752
35.21563,129.08702
35.20123,129.08767
35.19978,129.08874
35.19758,129.06184
35.20284,129.07405
35.19568,129.09416
35.21702,129.08697
35.21139,129.07261
35.20361,129.07078
35.19778,129.08553
35.20061,129.0637
35.20333,129.10887
35.20861,129.10305
35.22232,129.07791
35.20962,129.06724
35.199,129.09899
35.20845,129.10591
35.20364,129.05764
35.20214,129.06758
35.20421,129.1056
35.20179,129.10051
35.20288,129.10423
35.21095,129.06805
35.19961,129.06981
35.20544,129.08518
35.20349,129.10229
35.21574,129.078
35.20252,129.101
35.19746,129.10186
35.2182,129.07949
35.20053,129.10334
35.19516,129.06968
35.20508,129.07264
35.20325,129.09188
35.20377,129.09133
35.20591,129.08468
35.20336,129.09121
35.19466,129.08842
35.19461,129.08887
35.19514,129.08924
35.19494,129.09034
35.19549,129.0889
35.19873,129.08665
35.19803,129.08607
35.2006,129.10315
35.20228,129.06122
35.20472,129.06559
35.19966,129.09437
35.20333,129.06374
35.19895,129.06531
35.19662,129.07202
35.20443,129.06534
35.2008,129.06453
35.20313,129.09981
35.21217,129.06378
35.20318,129.09164
35.20334,129.08259
35.20344,129.08224
35.20352,129.08253
35.20823,129.08529
35.2096,129.0825
35.20725,129.08342
35.21436,129.08225
35.2023,129.08187
35.20141,129.08656
35.19939,129.0976
35.19132,129.10446
35.19841,129.09992
35.19862,129.10091
35.20399,129.10852
35.21325,129.05806
35.20573,129.1026
35.20196,129.05934
35.21942,129.07971
35.2024,129.08887
35.19753,129.10484
35.20151,129.10688
35.19957,129.10712
35.19878,129.06023
35.19464,129.06686
35.19949,129.08244
35.20126,129.07808
35.19937,129.08183
35.21308,129.0822
35.20585,129.08321
35.20865,129.093
35.2055,129.08389
35.20044,129.09491
35.21026,129.0986
35.20765,129.10086
35.21078,129.06412
35.22033,129.08549
35.19799,129.08326
35.20211,129.06104
35.19703,129.07016
35.20249,129.10166
35.19946,129.08642
35.19523,129.0858
35.20258,129.09843
35.21055,129.1004
35.20228,129.06792
35.2066,129.07954
35.20772,129.08996
35.20307,129.0916
35.19783,129.08789
35.21204,129.08179
35.20657,129.08351
35.21218,129.08176
35.19658,129.08911
35.19826,129.09504
35.20648,129.08042
35.2116,129.08315
35.20282,129.08979
35.20279,129.07167
35.20298,129.06215
35.21847,129.07863
35.2101,129.07555
35.20334,129.0722
35.1949,129.06854
35.20493,129.07256
35.2115,129.10144
35.20158,129.08766
35.21287,129.06386
35.20709,129.10102
35.19651,129.08561
35.20512,129.08365
35.2117,129.10155
35.19811,129.10157
35.21333,129.06809
35.20155,129.08752
35.1972,129.10506
35.21212,129.08202
35.19717,129.08769
35.20413,129.09921
35.20049,129.09332
35.19755,129.07015
35.2016,129.07109
35.22316,129.07891
35.20434,129.08799
35.21677,129.08437
35.2126,129.06857
35.19767,129.07017
35.22275,129.07906
35.21796,129.07991
35.20283,129.10465
35.19842,129.07025
35.21211,129.06858
35.2125,129.08263
35.21087,129.07257
35.19957,129.08689
35.21234,129.05794
35.19966,129.08485
35.22087,129.07706
35.21304,129.08669
35.21307,129.08105
35.20199,129.09143
35.21096,129.0835
35.21119,129.08307
35.20587,129.09299
35.19596,129.09047
35.19955,129.08983
35.19551,129.08973
35.20202,129.08783
35.21435,129.08278
35.20023,129.08714
35.20394,129.07667
35.19797,129.1051
35.20307,129.11032
35.19686,129.0902
35.20657,129.09535
35.2051,129.07434
35.21372,129.07828
35.22109,129.08163
35.20942,129.07081
35.20156,129.07158
35.20933,129.06996
35.21246,129.07091
35.20687,129.06699
35.1942,129.10571
35.2006,129.06429
35.19699,129.09685
35.2003,129.06551
35.22285,129.07844
35.22262,129.0782
35.21302,129.0728
35.2063,129.09947
35.20353,129.05769
35.21044,129.07704
35.20012,129.06498
35.19793,129.06017
35.1978,129.05065
35.21019,129.07689
35.21951,129.08453
35.19897,129.07627
35.20741,129.09287
35.21362,129.06695
35.19903,129.06606
35.19603,129.06527
35.20294,129.07082
35.20295,129.10218
35.19859,129.06476
35.21017,129.0682
35.20985,129.06936
35.21015,129.06979
35.2097,129.06962
35.2174,129.08129
35.19703,129.09361
35.20216,129.08684
35.20329,129.10599
35.20138,129.08804
35.19906,129.07428
35.20613,129.0947
35.20498,129.08438
