X,Y
35.21955,129.09987
35.21796,129.09807
35.21847,129.09924
35.21823,129.09862
35.2184,129.09931
35.21868,129.09989
35.21674,129.09831
35.2185,129.10014
35.21925,129.10118
35.21882,129.10121
35.21867,129.10062
35.21867,129.10046
35.21862,129.09778
35.21885,129.10442
35.21729,129.09904
35.21705,129.0989
35.21659,129.09985
35.21685,129.09959
35.21676,129.09961
35.21391,129.10273
35.21691,129.09945
35.21348,129.10136
35.21686,129.09984
35.21317,129.10045
35.21355,129.10147
35.21305,129.10086
35.21322,129.10188
35.213,129.10205
35.21288,129.10182
35.21336,129.10276
35.21285,129.10232
35.21265,129.10247
35.21141,129.10333
35.21166,129.1036
35.21145,129.10423
35.21151,129.10386
35.21158,129.10669
35.21568,129.1035
35.21632,129.10484
35.21566,129.10581
35.21606,129.10453
35.21607,129.10584
35.21566,129.10507
35.21494,129.10389
35.2154,129.10495
35.21663,129.10464
35.21561,129.10621
35.21502,129.10507
35.21812,129.10168
35.25814,129.09081
35.21947,129.10342
35.21673,129.10355
35.21875,129.10225
35.23691,129.09353
35.23816,129.09082
35.23601,129.09358
35.21571,129.10327
35.23702,129.09262
35.23805,129.09062
35.23862,129.0908
35.23848,129.09047
35.23826,129.09046
35.23818,129.08879
35.23832,129.08897
35.23832,129.08932
35.23817,129.09164
35.23805,129.08879
35.23819,129.08932
35.2386,129.08932
35.23793,129.0915
35.23594,129.0934
35.23611,129.09409
35.23594,129.09287
35.23612,129.09384
35.23997,129.09401
35.23438,129.08886
35.24047,129.08727
35.24041,129.09363
35.23193,129.08776
35.23485,129.08341
35.23733,129.0797
35.24216,129.08314
35.23812,129.08631
35.23664,129.08753
35.23014,129.08442
35.23254,129.08797
35.235,129.08546
35.2348,129.08671
35.23687,129.08625
35.24182,129.08612
35.23665,129.08635
35.23782,129.08635
35.23746,129.08479
35.23851,129.08312
35.24128,129.085
35.30166,129.10989
35.29426,129.10787
35.30386,129.11136
35.29639,129.10932
35.29651,129.10801
35.29947,129.11242
35.29587,129.11005
35.29091,129.11235
35.29195,129.11292
35.29167,129.11119
35.28885,129.11115
35.28817,129.1106
35.28833,129.11132
35.2884,129.1112
35.28791,129.11039
35.26512,129.08831
35.27147,129.08733
35.26596,129.08787
35.26577,129.08649
35.26249,129.0874
35.26205,129.08748
35.26642,129.08639
35.26312,129.08767
35.25754,129.09327
35.27325,129.09115
35.27249,129.08979
35.25798,129.09225
35.26863,129.09093
35.26547,129.08974
35.26753,129.09219
35.27136,129.08948
35.26114,129.08938
35.26808,129.09192
35.25669,129.09292
35.26449,129.09144
35.2583,129.08497
