X,Y
35.2509891,129.2171121
35.2482001,129.2137831
35.2413201,129.2134301
35.2410711,129.2180411
35.2435371,129.2119131
35.2505581,129.1840901
35.2659021,129.1511061
35.2770891,129.1345501
35.3576301,129.1415241
35.3250111,129.2066171
35.2452121,129.2121461
35.2539231,129.2187391
35.2359811,129.2153461
35.2379131,129.2101821
35.2355681,129.2108721
35.3292661,129.1682081
35.3705041,129.2434591
35.2869581,129.2107211
35.2477281,129.2152741
35.1942381,129.2203591
35.2480041,129.2187981
35.2423611,129.2444251
35.2990721,129.2583481
35.3209221,129.1843691
35.3050541,129.1124911
35.3072341,129.2406381
35.3137471,129.2617611
35.3391711,129.2855381
35.3215591,129.2355341
35.3361991,129.2940771
35.3075771,129.2447151
35.3833561,129.2559971
35.3125221,129.2407591
35.2782851,129.2319551
35.2544621,129.2172111
35.2394581,129.1689431
35.2049831,129.2049901
35.2247321,129.2277711
35.3248551,129.1808881
35.2414451,129.2081841
35.2378581,129.2117111
35.2378301,129.2152211
35.2606161,129.2273981
35.2664771,129.2336041
35.2553911,129.2158681
35.2385671,129.2214861
35.2512711,129.2146201
35.3261081,129.1701461
35.3219451,129.1749421
35.3529841,129.1366661
35.3228421,129.1831931
35.2381451,129.1735881
35.2426681,129.2146871
35.3599401,129.1391591
35.2746831,129.1499101
35.3458711,129.2542061
35.3279861,129.2823861
35.2469041,129.2029031
35.2068341,129.2104901
35.2503511,129.2159061
35.3262931,129.1750591
35.3515421,129.1395301
35.3736251,129.2328941
35.2445411,129.2123611
35.2574211,129.2401711
35.3146161,129.2425091
35.2578431,129.1987631
35.2355801,129.2124521
35.3086191,129.2432511
35.3260491,129.2060111
35.2659881,129.2349591
35.3168651,129.1764191
35.2423681,129.2104201
35.2367371,129.1682361
35.3230521,129.1706061
35.3286131,129.2802911
35.2492631,129.2170531
35.2067241,129.2037291
35.2016681,129.2060781
35.3619381,129.1373361
35.2410751,129.2259771
35.2447231,129.2117521
35.3097481,129.2290311
35.3022771,129.2301451
35.2953681,129.2342021
35.2808501,129.2303751
35.2841261,129.2233711
35.2852781,129.2150941
35.2927711,129.2058011
35.2973911,129.2028761
35.2858881,129.2058031
35.2736941,129.2273191
35.2704291,129.2294811
35.2689651,129.2348911
35.2835571,129.2563691
35.3553141,129.2684281
35.3753831,129.2608451
35.3534781,129.2778081
35.3482541,129.2535041
35.3711951,129.2617801
35.3606531,129.2659991
35.3627351,129.2488381
35.3329971,129.2202631
35.3265761,129.2845001
35.2354441,129.2140771
35.2388651,129.2190251
35.3261611,129.2023101
35.3199001,129.1713531
35.2893671,129.2567991
35.3316531,129.2299981
35.3121671,129.2438621
35.2870661,129.1640861
35.3129991,129.2360831
35.2550291,129.2182241
35.2401721,129.2096091
35.2400691,129.2081201
35.2413701,129.2140731
35.2471211,129.2184351
35.2505381,129.2101791
35.2534521,129.2165351
35.3200801,129.1954951
35.3173191,129.1850111
35.3202091,129.1730221
35.3334541,129.1699541
35.3287291,129.1828081
35.3312061,129.1653251
35.3184611,129.1882201
35.3237321,129.1807001
35.3279401,129.1651361
35.3196681,129.1180981
35.2360821,129.2189601
35.2388411,129.2167511
35.2405411,129.2173351
35.2429771,129.2180551
35.2436291,129.2164581
35.2451731,129.2156881
35.2418131,129.2143361
35.2407231,129.2127701
35.2385171,129.2120891
35.2624521,129.2315981
35.2581371,129.2449451
35.2649941,129.2391281
35.3066671,129.2585231
35.3002931,129.2499671
35.2823511,129.2240921
35.2957481,129.2324461
35.3092301,129.2288811
35.3042071,129.2308741
35.2580111,129.2460871
35.3176891,129.1775111
35.3140081,129.1778471
35.2891011,129.1678281
35.2742331,129.1649431
35.2587221,129.1785071
35.2430461,129.2156051
35.3327181,129.2302801
35.3087011,129.2444861
35.3533971,129.2517131
35.3341551,129.2649681
35.3121341,129.2419461
35.3411441,129.2594761
35.3763681,129.2506011
35.3697791,129.2459781
35.3270451,129.2397201
35.3448691,129.2439971
35.3849391,129.2628921
35.3188341,129.2418421
35.3187891,129.2640131
35.3471381,129.2643391
35.3274961,129.2790081
35.3160961,129.2601341
35.1976691,129.2059801
35.2953011,129.1680831
35.2757491,129.1502351
35.2468591,129.2124771
35.2499101,129.2168981
35.2377931,129.2201531
35.3291801,129.1678011
35.2414691,129.1719971
35.2551491,129.2127531
35.2405231,129.2181641
35.1846941,129.2118671
35.3296211,129.1687641
35.3371611,129.1727001
35.2753791,129.1775321
35.3246741,129.1667771
35.3761091,129.2609621
35.2394161,129.2118121
35.2182891,129.2280271
35.1996261,129.2002931
35.2271761,129.2119491
35.3208011,129.1865301
35.3267051,129.1722751
35.2345641,129.2139251
35.2446231,129.2136341
35.2446271,129.2130041
35.3331531,129.1704261
35.3303771,129.1708501
35.3318291,129.1707781
35.3274131,129.1721601
35.3254611,129.1740661
35.3245751,129.1762151
35.3242801,129.1770011
35.3218001,129.1836141
35.3212601,129.1848791
35.3205681,129.1880551
35.3198651,129.1883741
35.3190461,129.1927211
35.3197531,129.1968571
35.2456501,129.2207661
35.2360241,129.2215241
35.2252591,129.2309071
35.2017841,129.2067801
35.2366151,129.2131431
35.2449941,129.2173171
35.2522961,129.2172021
35.2650341,129.2374271
35.3734641,129.2332621
35.2979041,129.2605141
35.2104701,129.2056131
35.2403141,129.2197701
35.2342491,129.2130591
35.2379691,129.2125501
35.2389561,129.2152821
35.2486581,129.2119381
35.2568091,129.2143691
35.2531331,129.2188211
35.3313291,129.2197141
35.2412271,129.2464281
35.2835111,129.1560101
35.2606991,129.1702541
35.2787101,129.1491741
35.2633581,129.1504251
35.2406061,129.1626731
