X,Y
35.21695,129.19259
35.21817,129.20022
35.20139,129.19476
35.25576,129.2138
35.20107,129.19988
35.20118,129.20009
35.20142,129.19984
35.20001,129.19983
35.19882,129.20256
35.19962,129.20045
35.19809,129.20475
35.1984,129.20276
35.20149,129.20427
35.20173,129.20385
35.20182,129.20446
35.20117,129.20516
35.20149,129.20484
35.20133,129.20588
35.2013,129.2056
35.22741,129.2267
35.22765,129.22658
35.23066,129.22206
35.23077,129.22232
35.22979,129.22076
35.22996,129.22123
35.22951,129.2215
35.22939,129.22178
35.22974,129.22068
35.2291,129.22157
35.22766,129.2254
35.22787,129.22588
35.22605,129.22138
35.22793,129.22517
35.22613,129.22213
35.22743,129.22494
35.22695,129.22513
35.22592,129.22563
35.22556,129.22775
35.21837,129.22827
35.219,129.22752
35.21896,129.22729
35.21728,129.22634
35.21935,129.22731
35.21845,129.22782
35.21875,129.22685
35.21943,129.22744
35.2186,129.22694
35.21848,129.22661
35.21869,129.22703
35.21833,129.22732
35.2182,129.22744
35.2183,129.22773
35.21807,129.2267
35.21807,129.22781
35.21841,129.22724
35.21789,129.22676
35.21789,129.22646
35.21775,129.22638
35.21712,129.22585
35.21709,129.22611
35.21735,129.22572
35.32866,129.28217
35.32923,129.28344
35.33018,129.28207
35.32927,129.28302
35.32882,129.28427
35.3291,129.28369
35.32772,129.2858
35.32842,129.2845
35.32853,129.2849
35.32862,129.28443
35.32904,129.28439
35.32929,129.28418
35.32888,129.28204
35.32866,129.2852
35.32835,129.28571
35.32823,129.28588
35.32795,129.28598
35.34768,129.24021
35.32815,129.28645
35.34764,129.23753
35.34675,129.23583
35.34674,129.23616
35.3444,129.23196
35.34415,129.2462
35.34446,129.24684
35.34401,129.2466
35.34949,129.22731
35.3493,129.22833
35.34921,129.23105
35.35004,129.22643
35.35034,129.22582
35.34294,129.2474
35.34306,129.24713
35.35013,129.22649
35.34931,129.22825
35.34348,129.24616
35.34393,129.24559
35.3442,129.2454
35.34463,129.24483
35.34451,129.24573
35.34462,129.246
35.25733,129.24523
35.25678,129.24488
35.34501,129.23309
35.32771,129.27667
35.25879,129.24706
35.25771,129.24263
35.25686,129.24342
35.25654,129.24707
35.25786,129.24691
35.25759,129.24383
35.25703,129.24316
35.2571,129.23291
35.25937,129.23274
35.25729,129.23309
35.25909,129.23336
35.25785,129.23311
35.25972,129.23282
35.26011,129.23292
35.26078,129.23296
35.26059,129.2329
35.25831,129.23194
35.26309,129.23296
35.26341,129.23302
35.2633,129.23313
35.3095,129.25882
35.30747,129.25646
35.30703,129.25634
35.30683,129.25633
35.30658,129.25664
35.30594,129.24718
35.30789,129.25674
35.30593,129.24873
35.30619,129.24326
35.30699,129.24779
35.30661,129.24914
35.30649,129.24879
35.30615,129.24862
35.30609,129.24881
35.30599,129.24854
35.30608,129.24803
35.30674,129.24793
35.30632,129.24748
35.30579,129.24795
35.30502,129.24027
35.3281,129.27629
35.20046,129.20591
35.20026,129.20603
35.20787,129.20663
35.20701,129.20723
35.20748,129.20776
35.20803,129.20837
35.20844,129.20786
35.20833,129.20763
35.20901,129.20741
35.20903,129.2076
35.20924,129.20744
35.20919,129.20727
35.20916,129.20778
35.21041,129.20534
35.20945,129.20583
35.21143,129.20321
35.21156,129.20289
35.21138,129.20309
35.21193,129.203
35.21196,129.20275
35.21219,129.20267
35.21584,129.19983
35.22544,129.23226
35.2176,129.20072
35.22522,129.2315
35.22492,129.23192
35.22475,129.23136
35.22473,129.23167
35.22448,129.23137
35.2242,129.23145
35.24765,129.21255
35.22468,129.23227
35.2475,129.21283
35.24546,129.21695
35.24823,129.21285
35.24778,129.21313
35.24736,129.21245
35.24746,129.21354
35.21898,129.22591
35.21882,129.22572
35.21878,129.22531
35.21907,129.22487
35.21897,129.22487
35.21855,129.22609
35.21831,129.22554
35.21802,129.22539
35.21781,129.22522
35.21767,129.22486
35.21746,129.2247
35.21831,129.22462
35.21499,129.22489
35.21507,129.22386
35.22462,129.22171
35.2152,129.22411
35.21603,129.22398
35.21495,129.22332
35.2158,129.2236
35.2155,129.22374
35.21487,129.2234
35.2147,129.22296
35.2147,129.22305
35.33359,129.28675
35.32923,129.28445
35.32907,129.28464
35.32952,129.28452
35.32942,129.2846
35.33377,129.28915
35.33454,129.28954
35.3325,129.28027
35.3347,129.27899
35.33411,129.27793
35.33513,129.27951
35.33342,129.28139
35.33362,129.28154
35.33333,129.27947
35.33345,129.28169
35.33118,129.2874
35.34296,129.2778
35.33362,129.27986
35.33235,129.27892
35.33795,129.2299
35.33114,129.2809
35.33681,129.22757
35.32764,129.27675
35.32731,129.2765
35.32623,129.27679
35.32606,129.27665
35.32582,129.27673
