X,Y
35.18689,129.20371
35.18597,129.20278
35.2101,129.11928
35.18761,129.20418
35.18947,129.12562
35.22113,129.15306
35.16413,129.17308
35.16998,129.13849
35.18614,129.20399
35.19221,129.12564
35.19441,129.12458
35.19244,129.1232
35.23094,129.15173
35.16275,129.16033
35.20026,129.13255
35.20099,129.13351
35.20048,129.13346
35.20148,129.13439
35.20045,129.13379
35.20214,129.13488
35.20025,129.13338
35.2206,129.12893
35.19895,129.13232
35.2217,129.13114
35.22068,129.13057
35.22172,129.13065
35.22111,129.12996
35.22152,129.13256
35.22116,129.12933
35.22084,129.13022
35.2208,129.12944
35.2195,129.12525
35.21928,129.12472
35.22025,129.12623
35.22382,129.15043
35.19958,129.13005
35.21803,129.12211
35.22043,129.12982
35.19021,129.12382
35.18509,129.12275
35.18344,129.1222
35.19295,129.13041
35.19009,129.13389
35.1853,129.12244
35.19226,129.13489
35.18543,129.12363
35.18384,129.1233
35.1639,129.16807
35.16292,129.19487
35.16148,129.1756
35.18339,129.20132
35.16264,129.15577
35.20884,129.12574
35.18336,129.20189
35.18332,129.20113
35.2262,129.14762
35.22185,129.14866
35.19568,129.11932
35.19295,129.12342
35.17545,129.14117
35.2272,129.14993
35.22225,129.15081
35.1878,129.1282
35.18352,129.12872
35.18027,129.12583
35.18465,129.12777
35.19262,129.13164
35.19272,129.1313
35.1933,129.1313
35.19975,129.17237
35.19259,129.13106
35.20264,129.16227
35.21211,129.12294
35.19933,129.16569
35.19635,129.13264
35.19734,129.13257
35.19773,129.1321
35.19805,129.13294
35.19838,129.13085
35.19509,129.13163
35.19867,129.1309
35.19808,129.13393
35.19549,129.1317
35.19547,129.13208
35.16069,129.17064
35.19806,129.13354
35.19632,129.1305
35.22539,129.14869
35.19604,129.12967
35.19198,129.13047
35.23163,129.1552
35.17052,129.15545
35.23206,129.15466
35.19415,129.13347
35.19561,129.12885
35.19824,129.13193
35.1825,129.124
35.16882,129.14191
35.19675,129.12979
35.16913,129.14163
35.16891,129.14285
35.17188,129.14125
35.17635,129.14129
35.17382,129.13379
35.19521,129.1283
35.17388,129.13387
35.17263,129.13305
35.17398,129.13237
35.1696,129.14164
35.17032,129.13892
35.16872,129.14156
35.17155,129.13536
35.16315,129.16356
35.22084,129.13173
35.22032,129.13084
35.21987,129.12958
35.22096,129.12962
35.16767,129.1456
35.17442,129.1323
35.17225,129.13542
35.19211,129.12321
35.15772,129.18042
35.16301,129.17411
35.16572,129.16431
35.18314,129.12864
35.16038,129.15036
35.21123,129.12239
35.19931,129.13194
35.17829,129.19682
35.18691,129.12833
35.18305,129.1269
35.23303,129.15123
35.23064,129.14892
35.18735,129.12807
35.18969,129.12314
35.18075,129.12505
35.1917,129.11924
35.18986,129.12304
35.19963,129.12964
35.23108,129.1529
35.1993,129.13275
35.20058,129.1326
35.23481,129.14979
35.23079,129.15318
35.2316,129.15056
35.23088,129.15544
35.23104,129.15564
35.2316,129.15687
35.19989,129.13247
35.23166,129.15715
35.23277,129.15545
35.16901,129.13992
35.19099,129.13348
35.23221,129.15762
35.19057,129.13038
35.23282,129.15517
35.23175,129.14863
35.23125,129.14892
35.17224,129.1341
35.16965,129.14042
35.16862,129.13978
35.17517,129.14141
35.19039,129.11758
35.1909,129.13108
35.19316,129.12316
35.19007,129.11711
35.18999,129.11738
35.18543,129.12484
35.18559,129.12283
35.18485,129.12658
35.20741,129.1263
35.18543,129.12702
35.18655,129.12653
35.18528,129.12648
35.18566,129.12663
35.18401,129.12838
35.23398,129.1569
35.18171,129.12558
35.18635,129.12631
35.21261,129.14184
35.18528,129.12694
35.18576,129.12632
35.18213,129.12499
35.18452,129.12317
35.18415,129.12714
35.18478,129.12238
35.18459,129.12175
35.18489,129.12275
35.18406,129.12562
35.18121,129.12822
35.18457,129.12232
35.18248,129.12845
35.18387,129.12604
35.18307,129.12859
35.18021,129.12602
35.18652,129.12248
35.18427,129.12576
35.18758,129.12651
35.18598,129.12344
35.18403,129.12589
35.18353,129.12793
35.1837,129.12547
35.18388,129.12793
35.16283,129.16043
35.16159,129.16199
35.20144,129.13193
35.20658,129.12413
35.16603,129.15764
35.23071,129.15758
35.22133,129.12193
35.22242,129.13286
35.2105,129.1236
35.1889,129.1251
35.17105,129.17259
35.16388,129.15626
35.16971,129.16241
35.16292,129.15534
35.16318,129.15995
35.16172,129.16002
35.16821,129.16052
35.16187,129.15765
35.16156,129.15771
35.16335,129.1463
35.16002,129.15311
35.23182,129.15723
35.23246,129.15514
35.23318,129.15787
35.23284,129.15786
35.2215,129.1324
35.23021,129.14917
35.22063,129.13142
35.22137,129.13209
35.22054,129.12963
35.22281,129.14664
35.22131,129.14907
35.22453,129.15006
35.16667,129.15737
35.22271,129.14692
35.22508,129.14689
35.16698,129.15747
35.22442,129.14679
35.22369,129.15171
35.22164,129.14835
35.2236,129.1522
35.22447,129.15098
35.22255,129.15252
35.22456,129.15085
35.22713,129.14933
35.22398,129.15081
35.22846,129.14904
35.19248,129.12745
35.16825,129.1616
35.16912,129.16117
35.22911,129.16136
35.23512,129.15897
35.18584,129.12613
35.23091,129.15376
35.18285,129.12635
35.23186,129.15535
35.16744,129.15708
35.16564,129.15901
35.1927,129.13295
35.21035,129.11563
35.18436,129.12721
35.21739,129.15611
35.23265,129.15594
35.23003,129.15279
35.2302,129.15202
35.23335,129.15647
35.23264,129.15762
35.22146,129.15007
35.23308,129.15828
35.16831,129.15637
35.18519,129.12728
35.19097,129.12827
35.19084,129.12809
35.22142,129.15184
35.22254,129.15026
35.19231,129.12269
35.2238,129.14656
35.2326,129.15483
35.22969,129.16103
35.22744,129.14921
35.22337,129.15285
35.16801,129.16021
35.16179,129.18968
35.18404,129.12733
35.18429,129.12701
35.18107,129.12701
35.18654,129.12603
