X,Y
35.15406,129.02469
35.15348,129.02402
35.15442,129.02505
35.15112,129.02038
35.1501,129.01638
35.15241,129.0201
35.14743,129.02947
35.15135,129.02112
35.1532,129.03656
35.15225,129.02955
35.15016,129.02976
35.14922,129.02982
35.14906,129.0302
35.14993,129.02978
35.14361,129.01634
35.14401,129.01625
35.14527,129.01648
35.14496,129.01884
35.15149,129.01693
35.14987,129.0176
35.17998,129.05144
35.17872,129.05294
35.17579,129.04953
35.16928,129.05107
35.16908,129.05088
35.1773,129.05436
35.17968,129.05256
35.17895,129.05329
35.15722,129.04843
35.18089,129.06038
35.17457,129.05045
35.17431,129.05099
35.17354,129.05222
35.17343,129.05209
35.17336,129.05236
35.14762,129.02953
35.14888,129.0298
35.15193,129.02619
35.15134,129.03028
35.15226,129.0306
35.15233,129.02993
35.15235,129.03756
35.14869,129.01631
35.15107,129.03704
35.15086,129.01638
35.14914,129.01633
35.15108,129.01641
35.15119,129.01639
35.14955,129.02055
35.14905,129.02075
35.16935,129.05205
35.16791,129.05115
35.16887,129.05026
35.16715,129.04884
35.17011,129.04993
35.17265,129.05289
35.17212,129.05355
35.1701,129.06546
35.16739,129.06547
35.17034,129.06515
35.17004,129.06556
35.17068,129.06475
35.17294,129.0647
35.17154,129.06307
35.17088,129.06459
35.17176,129.06324
35.17133,129.06294
35.17349,129.05197
35.1758,129.05165
35.17108,129.05136
35.17164,129.06984
35.17189,129.06769
35.17302,129.06797
35.1696,129.06888
35.16958,129.06953
35.15073,129.03013
35.15139,129.03097
35.15312,129.04917
35.15089,129.04824
35.15113,129.04805
35.14991,129.03653
35.14977,129.03642
35.14934,129.03629
35.14908,129.03608
35.1491,129.03464
35.15112,129.02544
35.15115,129.02502
35.15116,129.0239
35.17269,129.0507
35.16617,129.04825
35.1675,129.04923
35.16624,129.05001
35.16138,129.03745
35.16563,129.04606
35.17138,129.06409
35.16914,129.06336
35.16552,129.0605
35.16835,129.07062
35.16875,129.07096
35.16702,129.07086
35.15199,129.04728
35.15203,129.0472
35.16994,129.07114
35.1541,129.04557
35.15357,129.04439
35.14907,129.03559
35.15033,129.03482
35.1508,129.03506
35.15132,129.03534
35.15087,129.02377
35.15085,129.02576
35.14806,129.0236
35.14818,129.02276
35.15286,129.0247
35.16765,129.05087
35.14962,129.01801
35.1667,129.05227
35.16741,129.05144
35.16635,129.04385
35.16707,129.04146
35.16645,129.04331
35.16534,129.06964
35.16501,129.06955
35.1637,129.06907
35.15957,129.0235
35.15862,129.0234
35.15893,129.02458
35.15359,129.04474
35.158,129.05311
35.15859,129.05451
35.15788,129.05423
35.16102,129.0598
35.15015,129.03635
35.15242,129.0377
35.15111,129.03677
35.1519,129.03564
35.15228,129.03589
35.17017,129.03901
35.17014,129.03969
35.16644,129.04231
35.1664,129.04284
35.16643,129.04315
35.16171,129.037
35.17653,129.04912
35.15938,129.02453
35.16868,129.03533
35.15369,129.0189
35.16205,129.0409
35.16256,129.04007
35.16216,129.04004
35.15394,129.01722
35.15433,129.01716
35.1543,129.01698
35.15289,129.03754
35.15408,129.03458
35.1519,129.03535
35.15404,129.0341
35.15385,129.03288
35.16993,129.03788
35.16992,129.039
35.16976,129.04051
35.16933,129.04071
35.17688,129.04903
35.18222,129.0502
35.16203,129.04007
35.17832,129.0719
35.17758,129.07454
35.17524,129.05454
35.17793,129.05347
35.1547,129.02389
35.15463,129.02344
35.15461,129.02335
35.15248,129.03357
35.16889,129.0409
35.16856,129.041
35.16824,129.04201
35.17347,129.0547
35.17252,129.05517
35.17222,129.05525
35.17197,129.05527
35.1713,129.05546
35.17561,129.04885
35.16973,129.0632
35.17037,129.06268
35.16877,129.06299
35.16821,129.06357
35.15417,129.02374
35.15583,129.02533
35.15931,129.02403
35.15959,129.02418
35.15955,129.02376
35.15919,129.02457
35.15905,129.0245
35.15859,129.02493
35.15849,129.02505
35.15838,129.02547
35.1586,129.02437
35.15122,129.03497
35.15091,129.03488
35.15132,129.03514
35.15364,129.03177
35.1734,129.06165
35.16941,129.06333
35.16865,129.06316
35.15793,129.05108
35.1595,129.04991
35.15761,129.02277
35.15815,129.02159
35.15822,129.02169
35.15852,129.02236
35.15841,129.02217
35.15693,129.02403
35.15662,129.02345
35.15385,129.02958
35.15365,129.02854
35.15372,129.02891
35.16541,129.05836
35.16465,129.05393
35.1655,129.05391
35.16514,129.05354
35.16001,129.05043
35.15919,129.05062
35.1564,129.02325
35.15745,129.02148
35.15658,129.04524
35.15644,129.04443
35.15378,129.02945
35.16854,129.04353
35.16473,129.04099
35.16609,129.03411
35.16605,129.0338
35.16505,129.03399
35.15809,129.0219
35.16586,129.04222
35.16278,129.04431
35.16253,129.04324
35.16275,129.04379
35.16244,129.04299
35.16234,129.04259
35.15582,129.04443
35.15425,129.04548
35.15078,129.02594
35.15087,129.0287
35.1508,129.02631
35.16415,129.03834
35.16397,129.03663
35.16227,129.0422
35.17456,129.05024
35.15535,129.047
35.15428,129.04595
35.15364,129.04498
35.15088,129.02885
35.15136,129.03069
35.14933,129.02981
35.14841,129.02599
35.15635,129.05119
35.16763,129.03568
35.16915,129.04256
35.16442,129.03929
35.1651,129.03791
35.16506,129.0373
35.16395,129.03899
35.16456,129.04191
35.16461,129.03449
35.17133,129.0505
35.16845,129.06292
35.17673,129.04874
35.17589,129.04876
35.17578,129.04877
35.17494,129.04901
35.15289,129.02575
35.15289,129.02538
35.15112,129.02353
35.15093,129.02283
35.15393,129.04393
35.15435,129.04375
35.15465,129.04366
35.1557,129.04367
35.14322,129.01797
35.14343,129.02
35.14399,129.01978
35.14381,129.01878
35.16456,129.04165
35.16627,129.03329
35.16631,129.03657
35.17175,129.03972
35.17112,129.03956
35.17358,129.06878
35.16994,129.06648
35.16873,129.06365
35.16981,129.0655
35.16861,129.06489
35.16795,129.06377
35.16746,129.06449
35.1505,129.02113
35.15037,129.02058
35.15292,129.02168
35.15469,129.04387
35.15523,129.04262
35.15476,129.03893
35.15498,129.043
35.15504,129.04193
35.15506,129.04229
35.15523,129.04204
35.15492,129.04048
35.15481,129.04005
35.14415,129.01836
35.14407,129.0193
35.14546,129.01655
35.14494,129.01583
35.16667,129.03322
35.16397,129.04347
35.16329,129.05529
35.16299,129.05538
35.16444,129.06113
35.16305,129.0594
35.16476,129.06201
35.16412,129.06101
35.16907,129.06978
35.17297,129.07051
35.15056,129.02243
35.15045,129.02208
35.15084,129.02514
35.14822,129.02218
35.14824,129.02113
35.14801,129.02199
35.14802,129.0217
35.14802,129.02157
35.15475,129.0405
35.1499,129.0197
35.15451,129.03957
35.15466,129.03972
35.15306,129.03833
35.15368,129.03863
35.15386,129.03702
35.14727,129.01625
35.16555,129.03658
35.14455,129.0195
35.16566,129.03899
35.1654,129.03749
35.16712,129.03699
35.1664,129.0369
35.16614,129.03643
35.16676,129.03656
35.16294,129.0448
35.16304,129.04564
35.16988,129.06524
35.1535,129.02284
35.15032,129.01637
35.14991,129.01818
35.15354,129.02343
35.15355,129.02357
35.15312,129.0386
35.15275,129.03842
35.15498,129.03621
35.15433,129.03624
35.14661,129.01656
35.14788,129.02294
35.14928,129.03217
35.16745,129.03669
35.18081,129.06007
35.15675,129.04632
35.15991,129.04984
35.1703,129.0502
35.171,129.05169
35.17122,129.05162
35.15589,129.06844
35.1569,129.06845
35.16296,129.06769
35.14991,129.04957
35.15027,129.04971
35.14983,129.04982
35.15013,129.04975
35.1511,129.05106
35.14843,129.04972
35.14826,129.04982
35.15012,129.05243
35.15028,129.05228
35.14994,129.0526
35.1497,129.05285
35.1508,129.05182
35.15231,129.05037
35.15257,129.04963
35.15245,129.04965
35.15191,129.04761
35.14869,129.05332
35.14763,129.05132
35.14815,129.05022
35.14433,129.05028
35.1422,129.05445
35.14586,129.06049
35.14264,129.05955
35.14289,129.06013
35.14244,129.05954
35.16637,129.03885
35.1667,129.03866
35.16734,129.03861
35.14749,129.05858
35.17395,129.05586
35.16583,129.0515
35.17052,129.03727
35.16018,129.05143
35.1726,129.05939
35.16514,129.05001
35.16282,129.04417
35.16756,129.04815
35.16293,129.04365
35.14568,129.04798
35.17621,129.05441
35.17189,129.03422
35.14599,129.04737
35.14596,129.04745
35.16339,129.0674
35.15953,129.05244
35.17319,129.05665
35.1552,129.03253
35.15495,129.03339
35.14836,129.06672
35.15623,129.02159
35.15651,129.02131
35.1534,129.03045
35.15395,129.02974
35.1745,129.05449
35.17374,129.0547
35.15719,129.03802
35.15576,129.04057
