X,Y
35.0983,129.02839
35.09805,129.0275
35.09717,129.03419
35.09725,129.03402
35.0979,129.02684
35.09811,129.02705
35.09816,129.0269
35.09833,129.02859
35.09838,129.0288
35.1059,129.02774
35.09886,129.03146
35.09863,129.03136
35.09883,129.03007
35.10538,129.029
35.09808,129.03415
35.09875,129.03185
35.09878,129.03226
35.09731,129.03364
35.09691,129.03573
35.10556,129.02916
35.10752,129.02965
35.10838,129.03063
35.10276,129.0298
35.10282,129.02822
35.10486,129.02762
35.10785,129.03029
35.10585,129.02992
35.10363,129.03295
35.10363,129.03353
35.10584,129.0348
35.10384,129.03425
35.10349,129.03382
35.10651,129.03334
35.10394,129.03379
35.10322,129.03198
35.10683,129.02979
35.10678,129.02993
35.10665,129.02957
35.10645,129.02956
35.10731,129.03047
35.10667,129.03128
35.10596,129.03124
35.10044,129.0343
35.10639,129.03068
35.10124,129.03402
35.1013,129.03389
35.10175,129.03402
35.10202,129.03398
35.09881,129.03174
35.10259,129.03368
35.10367,129.03275
35.10376,129.03404
35.10406,129.03443
35.10687,129.03516
35.10694,129.03491
35.10757,129.03487
35.10764,129.03478
35.10723,129.03511
35.10799,129.03542
35.10763,129.03543
35.10796,129.03485
35.10789,129.03467
35.10784,129.03455
35.10796,129.03455
35.10757,129.03451
35.10683,129.03488
35.10675,129.03307
35.10669,129.03315
35.10689,129.0334
35.10705,129.03335
35.10793,129.03383
35.10724,129.03348
35.10735,129.03337
35.10788,129.03346
35.10795,129.03368
35.10732,129.03324
35.10811,129.03309
35.10709,129.03317
35.10807,129.03316
35.10643,129.03294
35.10724,129.03311
35.1067,129.03382
35.10636,129.03452
35.10673,129.0343
35.10649,129.03452
35.10693,129.03369
35.10692,129.0338
35.10615,129.03475
35.10667,129.03464
35.10658,129.03483
35.1059,129.03524
35.10362,129.03444
35.10328,129.03436
35.10332,129.0342
35.10365,129.03506
35.10877,129.03578
35.10865,129.03439
35.10864,129.03582
35.10819,129.03415
35.10827,129.0353
35.10807,129.03389
35.10834,129.03536
35.10846,129.03356
35.10843,129.03375
35.10849,129.03384
35.10843,129.03389
35.10857,129.03396
35.10862,129.03416
35.10825,129.03316
35.10838,129.03328
35.1096,129.03403
35.1041,129.02695
35.10769,129.02631
35.10419,129.02768
35.1055,129.02215
35.10479,129.02694
35.10468,129.02754
35.10458,129.02647
35.10471,129.02542
35.10417,129.02712
35.10842,129.02672
35.1063,129.02628
35.10045,129.02466
35.09948,129.03116
35.11163,129.03243
35.10385,129.03218
35.10457,129.02232
35.11135,129.03426
35.1076,129.02625
35.09952,129.03048
35.1042,129.02183
35.0997,129.03039
35.10059,129.0341
35.10579,129.02825
35.10532,129.02305
35.10377,129.02258
35.10597,129.02248
35.10349,129.02301
35.10566,129.02168
35.1086,129.02383
35.10508,129.02543
35.10517,129.02316
35.10598,129.02783
35.10433,129.02976
35.10667,129.03103
35.1059,129.02276
35.10656,129.02268
35.10538,129.02381
35.10548,129.02332
35.10885,129.02589
35.10424,129.0231
35.10441,129.02247
35.10426,129.02255
35.10497,129.02387
35.10485,129.02376
35.10437,129.02376
35.10399,129.0239
35.10409,129.024
35.10406,129.0237
35.10624,129.0231
35.10405,129.02446
35.10411,129.02458
35.10408,129.0241
35.10498,129.02415
35.10464,129.02243
35.10578,129.02215
35.10846,129.02429
35.10825,129.02402
35.10878,129.02413
35.10381,129.02197
35.10381,129.02191
35.10886,129.02314
35.10358,129.02367
35.1088,129.02335
35.10856,129.02322
35.10853,129.02296
35.10843,129.02336
35.1054,129.02154
35.1082,129.0232
35.10808,129.02281
35.10818,129.02312
35.10829,129.02299
35.10799,129.02304
35.10804,129.02376
35.10807,129.02481
35.10814,129.02505
35.1065,129.02376
35.10594,129.02505
35.10602,129.02443
35.10622,129.02375
35.1077,129.02286
35.10503,129.02566
35.10518,129.02558
35.10532,129.02534
35.10561,129.02511
35.10482,129.0251
35.10443,129.0251
35.10507,129.02532
35.1041,129.02511
35.10466,129.02519
35.10422,129.02528
35.10393,129.02574
35.10329,129.02577
35.10347,129.02623
35.10367,129.02602
35.10348,129.02559
35.10349,129.02571
35.10751,129.02545
35.10663,129.02496
35.10668,129.02534
35.10733,129.02477
35.10706,129.02529
35.10799,129.02528
35.10844,129.02529
35.10717,129.025
35.10816,129.02551
35.1084,129.02549
35.10819,129.0259
35.10837,129.02557
35.10795,129.02596
35.10807,129.02593
35.10804,129.02577
35.10811,129.0257
35.10817,129.02581
35.108,129.02586
35.10777,129.026
35.10787,129.02582
35.10746,129.026
35.1074,129.02602
35.10729,129.02607
35.10709,129.02594
35.10708,129.02584
35.10726,129.02585
35.10693,129.02598
35.10687,129.02599
35.10705,129.02577
35.10676,129.02589
35.10675,129.02607
35.10664,129.02607
35.10662,129.02597
35.10618,129.0263
35.10504,129.0262
35.10479,129.02607
35.10628,129.0262
35.10364,129.02671
35.10577,129.02553
35.1064,129.02623
35.10482,129.02647
35.1045,129.02673
35.10406,129.02717
35.10415,129.0262
35.10421,129.02576
35.10387,129.02647
35.10396,129.02617
35.10371,129.02633
35.10327,129.02646
35.10364,129.02617
35.10319,129.0272
35.10325,129.02728
35.10342,129.02633
35.10333,129.02735
35.10419,129.02693
35.10446,129.02742
35.10317,129.02734
35.10452,129.02733
35.10445,129.02756
35.10444,129.0277
35.10431,129.0279
35.10431,129.02799
35.10513,129.0273
35.10518,129.02723
35.10559,129.02695
35.1037,129.02781
35.10361,129.02769
35.10347,129.02774
35.1054,129.02649
35.1086,129.02603
35.10984,129.02536
35.10871,129.02593
35.10879,129.02606
35.10875,129.02613
35.10859,129.02628
35.10819,129.02633
35.10483,129.02731
35.10821,129.02618
35.10798,129.02631
35.10804,129.02622
35.10148,129.02727
35.1015,129.02705
35.10657,129.02664
35.10668,129.02637
35.10025,129.02651
35.10036,129.02674
35.10297,129.02218
35.10023,129.027
35.10421,129.028
35.10024,129.02723
35.10071,129.02726
35.10083,129.02708
35.10062,129.02721
35.10051,129.02738
35.10248,129.02238
35.10286,129.02191
35.11306,129.03433
35.09652,129.03566
35.11234,129.0353
35.10021,129.03566
35.11233,129.03555
35.10621,129.02681
35.11238,129.0364
35.10653,129.02659
35.10599,129.0268
35.10579,129.02718
35.10576,129.027
35.10547,129.02728
35.09939,129.03496
35.10565,129.02745
35.10571,129.02734
35.10556,129.03119
35.10576,129.02723
35.10594,129.0274
35.09866,129.03207
35.10592,129.0276
35.10553,129.03069
35.11517,129.03357
35.09864,129.02681
35.09876,129.02679
35.10489,129.03445
35.106,129.03504
35.10286,129.02581
35.10253,129.02601
35.11096,129.02966
35.10242,129.026
35.10246,129.02559
35.1028,129.02636
35.10381,129.02638
35.10275,129.0258
35.10158,129.0267
35.10156,129.02744
35.10169,129.02698
35.10171,129.02668
35.10184,129.02744
35.10203,129.02545
35.10177,129.02545
35.10198,129.02558
35.09867,129.02555
35.09861,129.026
35.09644,129.02601
35.10187,129.02681
35.10205,129.02678
35.11304,129.03596
35.09863,129.03118
35.10263,129.03013
35.11029,129.03566
35.1111,129.03429
35.11066,129.03428
35.11025,129.03451
35.11007,129.03472
35.10484,129.02316
35.11277,129.03654
35.11288,129.03638
35.11236,129.0366
35.10959,129.03583
35.11242,129.03725
35.1126,129.03703
35.11278,129.03588
35.1132,129.0356
35.11303,129.03504
35.11316,129.03533
35.113,129.0357
35.11335,129.03582
35.11275,129.03413
35.11307,129.03444
35.11295,129.03456
35.10576,129.02794
35.10442,129.03268
35.10362,129.02729
35.10547,129.02787
35.10381,129.02669
35.10327,129.02686
35.1039,129.0285
35.10351,129.02676
35.10322,129.02704
35.10343,129.02673
35.10385,129.02625
35.10359,129.02639
35.10438,129.02752
35.10461,129.0276
35.10482,129.02685
35.10448,129.02572
35.10149,129.02712
35.10807,129.0355
35.10122,129.02604
35.10204,129.02706
35.10112,129.02714
35.10201,129.02758
35.10113,129.02656
35.10157,129.02548
35.10211,129.02743
35.10186,129.02709
35.10216,129.02616
35.10192,129.02758
35.1019,129.02618
35.10229,129.02728
35.10246,129.02736
35.10233,129.02704
35.10231,129.02633
35.10231,129.02662
35.10234,129.02686
35.11295,129.03386
35.10111,129.02751
35.1133,129.03328
35.11293,129.03309
35.113,129.03418
35.11159,129.03284
35.11173,129.03308
35.11156,129.03221
35.11228,129.03297
35.11119,129.03292
35.11176,129.0342
35.11192,129.03349
35.11121,129.0337
35.11145,129.03395
35.1118,129.03379
35.11115,129.03408
35.11101,129.03365
35.11131,129.03386
35.10478,129.02563
35.11095,129.03426
35.10467,129.02503
35.10445,129.02507
35.1055,129.02566
35.10535,129.02612
35.10541,129.02597
35.10499,129.02607
35.10585,129.02608
35.10634,129.02393
35.10665,129.02431
35.10752,129.02501
35.10649,129.02443
35.10746,129.02533
35.10201,129.02631
35.10783,129.0252
35.10075,129.02747
35.10083,129.0275
35.10082,129.02758
35.10072,129.02754
35.10068,129.0271
35.10065,129.02751
35.10079,129.0269
35.10072,129.02666
35.10064,129.02687
35.10068,129.02654
35.10024,129.0267
35.10078,129.02528
35.10023,129.02738
35.10021,129.02746
35.1011,129.02602
35.10029,129.02554
35.0993,129.02681
35.09931,129.02728
35.09961,129.02728
35.09923,129.02707
35.09886,129.02699
35.1108,129.03392
35.11072,129.03399
35.11033,129.03377
35.11039,129.03428
35.11004,129.03449
35.11067,129.03354
35.11013,129.0343
35.11007,129.03413
35.1105,129.03425
35.1095,129.0343
35.11098,129.0346
35.1097,129.03634
35.11088,129.03409
35.10953,129.03609
35.11047,129.03486
35.11033,129.0355
35.11038,129.03666
35.11003,129.03534
35.11058,129.03691
35.1101,129.03637
35.11021,129.03607
35.10804,129.02409
35.10749,129.02451
35.10717,129.02444
35.10774,129.02389
35.10696,129.02416
35.10691,129.02433
35.1071,129.02458
35.10751,129.02371
35.10742,129.02352
35.10792,129.02309
35.1049,129.02306
35.10656,129.02347
35.10532,129.0228
35.10759,129.02313
35.10593,129.02281
35.10515,129.02356
35.10565,129.02319
35.10527,129.02354
35.10549,129.02339
35.10487,129.02412
35.10579,129.02345
35.09927,129.02535
35.0994,129.02553
35.09973,129.02563
35.09977,129.0258
35.09999,129.02553
35.09992,129.02584
35.09997,129.02598
35.10021,129.02602
35.1003,129.026
35.1012,129.02288
35.10131,129.02329
35.101,129.0234
35.10092,129.02428
35.10125,129.02402
35.11342,129.03586
35.10077,129.02439
35.10066,129.02382
35.1037,129.02413
35.10093,129.02489
35.1007,129.02435
35.10065,129.02456
35.10063,129.02488
35.10063,129.02463
35.10067,129.02408
35.11234,129.03518
35.11234,129.03743
35.11239,129.03561
35.11257,129.03395
35.11236,129.03242
35.11254,129.03747
35.11132,129.0328
35.11203,129.03271
35.11135,129.03261
35.11505,129.03377
35.11494,129.03397
35.11335,129.03565
35.1132,129.03591
35.11331,129.03505
35.11402,129.03339
35.11224,129.02923
35.11331,129.0294
35.11386,129.03337
35.10485,129.02394
35.11183,129.03102
35.11321,129.03186
35.10476,129.02415
35.10508,129.02392
35.10337,129.0233
35.10449,129.02439
35.10179,129.02255
35.102,129.02472
35.10463,129.02717
35.10335,129.02362
35.10617,129.02621
35.10565,129.02689
35.10676,129.02614
35.10688,129.02614
35.10665,129.02615
35.10654,129.02617
35.10018,129.02437
35.10024,129.02452
35.1019,129.02219
35.10155,129.02423
35.10175,129.02295
35.10183,129.0229
35.10154,129.02482
35.10159,129.02272
35.10182,129.02449
35.1016,129.02288
35.10301,129.02454
35.10206,129.02226
35.10156,129.02405
35.10213,129.02405
35.10303,129.02398
35.10239,129.02499
35.10225,129.0241
35.10254,129.02365
35.1115,129.03673
35.11186,129.03632
35.11098,129.03738
35.11159,129.03736
35.10255,129.02321
35.11178,129.03596
35.11014,129.03655
35.11076,129.03739
35.11189,129.03757
35.11116,129.03744
35.11127,129.03672
35.11046,129.03501
35.11063,129.03552
35.11125,129.03498
35.1115,129.0346
35.11163,129.03499
35.10696,129.02613
35.10693,129.02592
35.10716,129.02611
35.10705,129.02613
35.11066,129.03502
35.11102,129.03488
35.10733,129.0259
35.10728,129.02599
35.10781,129.0265
35.10782,129.02599
35.10778,129.02628
35.1079,129.02618
35.10767,129.02647
35.10711,129.02638
35.10713,129.02651
35.10725,129.02644
35.10585,129.02692
35.10561,129.02741
35.10521,129.02774
35.10246,129.02375
35.10247,129.02326
35.10229,129.02339
35.10248,129.02296
35.10276,129.02375
35.10218,129.02179
35.10295,129.0226
35.10281,129.02263
35.10267,129.02229
35.10269,129.02148
35.10252,129.02163
35.10257,129.02235
35.10558,129.02355
35.10227,129.0235
35.10201,129.02408
35.1025,129.02408
35.10224,129.02446
35.10294,129.02452
35.10283,129.02347
35.11144,129.03487
35.10277,129.02451
35.10292,129.02288
35.11133,129.03485
35.10288,129.02427
35.11146,129.0353
35.11134,129.03532
35.11095,129.03564
35.11165,129.03534
