X,Y
35.16619,128.98113
35.166,128.98078
35.16619,128.98075
35.16815,128.97728
35.16896,128.97732
35.1672,128.98627
35.16679,128.98604
35.16742,128.98676
35.16647,128.98176
35.16675,128.98186
35.16642,128.98639
35.16602,128.98711
35.1659,128.98696
35.16479,128.98953
35.16609,128.98882
35.16553,128.98243
35.16542,128.98128
35.15941,128.98844
35.15864,128.98836
35.1591,128.98876
35.15912,128.98851
35.1592,128.98804
35.1585,128.98866
35.15836,128.98907
35.15843,128.98886
35.15675,128.98289
35.15671,128.98315
35.15775,128.98283
35.15723,128.98276
35.15709,128.9828
35.15701,128.9831
35.1566,128.98208
35.15637,128.98198
35.15673,128.98191
35.12963,128.97374
35.13014,128.97199
35.12835,128.97154
35.12707,128.97177
35.1277,128.97347
35.1259,128.97179
35.12792,128.97352
35.13166,128.97367
35.13012,128.97281
35.13162,128.974
35.1319,128.97348
35.13126,128.97395
35.13185,128.97434
35.1321,128.97346
35.13288,128.97387
35.13306,128.97404
35.1327,128.97376
35.14455,128.99344
35.1422,128.9895
35.14095,128.99017
35.14441,128.99151
35.15521,128.97885
35.15502,128.97922
35.15489,128.97874
35.1549,128.97927
35.15511,128.97955
35.15523,128.97915
35.1549,128.97966
35.15459,128.97852
35.15454,128.97907
35.15466,128.97846
35.15485,128.97856
35.15438,128.97871
35.15422,128.97843
35.15405,128.97828
35.15327,128.97822
35.15343,128.97835
35.15306,128.97808
35.15363,128.97943
35.16553,128.98224
35.16641,128.98055
35.16615,128.98182
35.16524,128.98028
35.16533,128.9821
35.16512,128.98201
35.16499,128.9823
35.16511,128.98215
35.16461,128.98159
35.16429,128.98197
35.1643,128.98187
35.16718,128.98292
35.1646,128.98257
35.1659,128.9876
35.16708,128.98584
35.16706,128.98571
35.15846,128.9897
35.15848,128.9895
35.15825,128.98974
35.16079,128.98738
35.16614,128.98453
35.16705,128.98477
35.16701,128.98529
35.16687,128.98533
35.16508,128.98139
35.16134,128.98605
35.15858,128.9894
35.15825,128.98917
35.16545,128.98155
35.16658,128.98324
35.16505,128.98647
35.1661,128.97933
35.16608,128.97842
35.16572,128.98793
35.15878,128.98868
35.16646,128.98586
35.1638,128.98784
35.15651,128.9825
35.12817,128.97171
35.15691,128.98152
35.15672,128.98107
35.15721,128.98114
35.15593,128.98087
35.15605,128.98083
35.15581,128.98147
35.15615,128.98129
35.15601,128.98153
35.15514,128.98167
35.15538,128.98166
35.15594,128.98197
35.15548,128.9807
35.15583,128.98053
35.15566,128.98044
35.15588,128.98035
35.1559,128.9802
35.15583,128.97983
35.1558,128.97998
35.17047,128.97778
35.17376,128.97735
35.17142,128.97924
35.1705,128.9797
35.19537,128.9871
35.17017,128.97829
35.18943,128.98298
35.17097,128.97844
35.17244,128.98118
35.17203,128.97866
35.12901,128.96961
35.13433,128.97377
35.13001,128.97153
35.12669,128.96927
35.15355,128.97915
35.15279,128.97877
35.15369,128.979
35.15426,128.97937
35.1541,128.98016
35.1544,128.98019
35.15463,128.98032
35.15474,128.98001
35.15304,128.9789
35.15486,128.98045
35.15438,128.97973
35.15415,128.97899
35.15409,128.97901
35.16615,128.98633
35.16574,128.98627
35.16511,128.98513
35.16432,128.98532
35.16393,128.98575
35.1655,128.98587
35.16401,128.98754
35.16484,128.98683
35.16676,128.98578
35.16705,128.98633
35.16538,128.9877
35.16524,128.98753
35.16349,128.98777
35.16636,128.98803
35.16344,128.98806
35.16462,128.98877
35.16364,128.9882
35.16377,128.98925
35.1636,128.98974
35.16049,128.9869
35.15912,128.98697
35.15892,128.98594
35.16492,128.98768
35.16232,128.98863
35.16081,128.98891
35.16579,128.98075
35.1658,128.98118
35.15631,128.97992
35.15785,128.98957
35.15651,128.97997
35.1568,128.97966
35.15667,128.97941
35.14133,128.98708
35.14146,128.98685
35.1568,128.97891
35.1569,128.97894
35.142,128.9901
35.15609,128.97987
35.1425,128.98952
35.14233,128.98911
35.15617,128.98041
35.13191,128.99718
35.13205,128.99756
35.14067,128.98189
35.14188,128.98965
35.14409,128.99083
35.14077,128.98151
35.14098,128.9818
35.14074,128.98059
35.14433,128.99103
35.14084,128.98175
35.13986,128.98021
35.13938,128.98253
35.13398,128.97351
35.14399,128.99142
35.13331,128.97421
35.12909,128.97144
35.1292,128.97093
35.12904,128.97172
35.12869,128.97218
35.12822,128.9713
35.1286,128.97066
35.13177,128.97397
35.13178,128.97343
35.1295,128.97378
35.12996,128.97316
35.12864,128.97618
35.12729,128.96971
35.12723,128.96995
35.12682,128.96946
35.12802,128.97088
35.12767,128.97211
35.12761,128.97262
35.12769,128.97176
35.1274,128.97058
35.12724,128.9708
35.12739,128.97104
35.1272,128.97158
35.12677,128.97143
35.13291,128.97299
35.12927,128.96892
35.12894,128.9684
35.12894,128.96918
35.13229,128.9745
35.13135,128.97391
35.13176,128.97322
35.13245,128.97368
35.13215,128.97384
35.17093,128.98875
35.16592,128.9818
35.16627,128.9814
35.15841,128.99002
35.15874,128.98986
35.15787,128.99014
35.15896,128.98973
35.15909,128.98912
35.15932,128.98927
35.15924,128.98948
35.15902,128.98924
35.15808,128.99004
35.15898,128.98954
35.15761,128.98984
35.15754,128.99015
35.15744,128.98997
35.15738,128.99004
35.15705,128.99028
35.15742,128.99037
35.1569,128.99057
35.1567,128.99067
35.15586,128.9913
35.1563,128.99085
35.15582,128.99153
35.1557,128.99187
35.15629,128.99172
35.15677,128.99161
35.15692,128.99076
35.13909,128.97861
35.15678,128.99084
35.13884,128.97792
35.14444,128.98804
35.14297,128.99337
35.14315,128.99386
35.13927,128.99142
35.14753,128.99012
35.14759,128.9897
35.14027,128.97971
35.13998,128.97984
35.14134,128.98302
35.14027,128.97929
35.14247,128.99473
35.13986,128.99131
35.14059,128.99077
35.14028,128.99094
35.13858,128.97842
35.14115,128.98284
35.12676,128.97097
35.12656,128.97053
35.12576,128.97081
35.1265,128.97138
35.12681,128.97111
35.13355,128.97329
35.1261,128.97066
35.12516,128.97098
35.12588,128.97117
35.12339,128.9734
35.12868,128.97538
35.12725,128.97332
35.13238,128.97422
35.13254,128.97427
35.13395,128.97363
35.12469,128.97419
35.12834,128.9753
35.12903,128.969
35.12606,128.97652
35.13182,128.97334
35.14526,128.98429
35.14547,128.98388
35.14357,128.98589
35.14425,128.98504
35.1441,128.98729
35.14458,128.98737
35.14516,128.98764
35.14415,128.98869
35.144,128.98842
35.1444,128.98911
35.13179,128.99752
35.14604,128.99018
35.14618,128.98892
35.13143,128.99769
35.15389,128.97865
35.15424,128.97896
35.1536,128.97845
35.15294,128.97865
35.12739,128.97268
35.15646,128.98048
35.15719,128.97937
35.14202,128.96966
35.16721,128.98114
35.16786,128.98061
35.16636,128.98007
35.16471,128.9802
35.15541,128.99216
35.15536,128.99203
35.15583,128.99206
35.15542,128.99192
35.15549,128.99239
35.15524,128.99248
35.15501,128.99255
35.15527,128.99221
35.15523,128.99279
35.15507,128.99288
35.15487,128.99322
35.15666,128.9921
35.15674,128.99223
35.15723,128.99227
35.15738,128.99195
35.15703,128.99255
35.15694,128.99185
35.1572,128.99245
35.17231,128.97987
35.17331,128.97986
35.17316,128.98007
35.17329,128.98101
35.17313,128.98069
35.17264,128.98119
35.16957,128.97877
35.17053,128.98031
35.1713,128.97992
35.1952,128.98711
35.19659,128.98784
35.19472,128.98581
35.19436,128.98603
35.19448,128.98534
35.19371,128.98678
35.194,128.98656
35.19374,128.9865
35.19425,128.98696
35.19071,128.98249
35.19425,128.98637
35.17699,128.97825
35.17687,128.9787
35.17671,128.97955
35.17395,128.97736
35.17371,128.97783
35.12664,128.97234
35.12616,128.97243
35.12599,128.97181
35.12633,128.97264
35.12363,128.97305
35.12899,128.97197
35.12956,128.97184
35.12579,128.96933
35.129,128.97245
35.12378,128.97293
35.13131,128.99786
35.13157,128.99847
35.13185,128.99894
35.13199,128.99868
35.13209,128.99983
35.13169,128.99825
35.14389,128.987
35.13214,129.00085
35.14231,128.9817
35.14322,128.98128
35.14288,128.98038
35.14262,128.98374
35.1426,128.98318
35.14267,128.98306
35.13982,128.97886
35.14049,128.98019
35.14174,128.98422
35.13931,128.97846
35.14135,128.9827
35.13823,128.96795
35.13839,128.96865
35.14101,128.96798
35.13323,128.96897
35.13327,128.96844
35.13334,128.96931
35.13352,128.96979
35.14832,128.97152
35.14806,128.97134
35.14767,128.97124
35.15277,128.97917
35.15317,128.97869
35.14796,128.97165
35.16402,128.98004
35.1542,128.98039
35.16418,128.98009
35.16387,128.98019
35.1642,128.9809
35.16355,128.98033
35.1644,128.98124
35.16524,128.98077
35.16478,128.98074
35.1637,128.97999
35.16384,128.97948
35.16419,128.98145
35.16421,128.98268
35.16391,128.98263
35.16615,128.98295
35.16617,128.9836
35.16598,128.98409
35.1662,128.98417
35.1669,128.98262
35.16671,128.98413
35.16646,128.98504
35.16653,128.9846
35.16651,128.9845
35.17127,128.9778
35.17708,128.97741
35.16996,128.97947
35.17043,128.98003
35.17057,128.98007
35.17123,128.98081
35.16915,128.9804
35.17231,128.97837
35.17257,128.97782
35.17262,128.97895
35.17294,128.97978
35.1767,128.97781
35.12479,128.97097
35.12475,128.97112
35.12451,128.97142
35.12709,128.97297
35.12745,128.971
35.12433,128.97178
35.12654,128.97356
35.12637,128.97324
35.12531,128.97282
35.12525,128.97431
35.12418,128.97403
35.12931,128.96979
35.12513,128.97052
35.13012,128.97186
35.13326,128.97353
35.13256,128.96589
35.12877,128.96962
35.13038,128.97267
35.13042,128.97204
35.1297,128.97254
35.12945,128.97149
35.1296,128.97233
35.13299,128.9742
35.13235,128.9738
35.13018,128.97316
35.12983,128.97323
35.12857,128.97589
35.14124,128.98253
35.14301,128.98971
35.15728,128.9928
35.15838,128.98797
35.15774,128.98625
35.15315,128.97903
35.15441,128.9789
35.15579,128.98828
35.15662,128.98389
35.15881,128.98845
35.1674,128.98687
35.16737,128.98665
35.16676,128.98717
35.16624,128.98739
35.17199,128.99775
35.1657,128.9871
35.16601,128.98683
35.16628,128.98655
35.16637,128.9867
35.16711,128.9866
35.16587,128.98495
35.16568,128.98504
35.16716,128.98649
35.1672,128.98556
35.15695,128.99361
35.1579,128.99265
35.15781,128.99227
35.15771,128.99234
35.15778,128.99181
35.15763,128.99168
35.15766,128.9918
35.15797,128.99173
35.15839,128.9921
35.15813,128.99177
35.15849,128.99186
35.15801,128.99153
35.15874,128.99137
35.15852,128.99146
35.1582,128.99323
35.15869,128.99167
35.15142,128.99182
35.12841,128.97679
35.12457,128.97195
35.12662,128.96986
35.12681,128.97005
35.12573,128.96903
35.12729,128.97262
35.12673,128.97285
35.1263,128.97064
35.12731,128.97125
35.12727,128.97136
35.12841,128.97629
35.1284,128.97652
35.12606,128.9703
35.1265,128.97213
35.12601,128.971
35.12572,128.97106
35.12542,128.97114
35.15022,128.99121
35.15002,128.99
