X,Y
35.0974,129.0248
35.11631,129.01168
35.11239,129.0244
35.11234,129.02454
35.10463,129.01855
35.10564,129.02027
35.10213,129.0185
35.10434,129.01933
35.09076,129.01754
35.10656,129.01827
35.10721,129.01654
35.12759,129.01177
35.11297,129.02424
35.11065,129.02235
35.11459,129.02396
35.11918,129.01996
35.11142,129.0267
35.11976,129.02006
35.1132,129.02386
35.11486,129.02433
35.1211,129.02067
35.11711,129.02041
35.11322,129.02531
35.10904,129.02381
35.11424,129.02115
35.11043,129.02514
35.1095,129.02404
35.11426,129.02282
35.10052,129.02308
35.08541,129.02049
35.08437,129.01769
35.08463,129.0166
35.08427,129.01796
35.08448,129.01849
35.08294,129.01865
35.09004,129.02461
35.08942,129.01793
35.08416,129.02152
35.08463,129.02093
35.08495,129.02105
35.09178,129.01921
35.09041,129.01995
35.09019,129.01968
35.08308,129.02449
35.08343,129.02062
35.08289,129.01912
35.08298,129.02352
35.09171,129.02369
35.08668,129.02404
35.09068,129.02454
35.08456,129.02404
35.09107,129.02307
35.09056,129.0251
35.08867,129.02503
35.09083,129.02507
35.08649,129.02525
35.08943,129.0217
35.08344,129.02395
35.08635,129.02071
35.08632,129.02117
35.08746,129.02106
35.08691,129.02098
35.08654,129.02077
35.08806,129.02116
35.08769,129.02106
35.08498,129.01703
35.09028,129.01892
35.08805,129.02247
35.08769,129.02278
35.08638,129.02244
35.08762,129.02373
35.08633,129.02346
35.08444,129.01724
35.08399,129.01833
35.08352,129.02467
35.08261,129.02397
35.11178,129.0272
35.11476,129.02196
35.11292,129.02707
35.08427,129.0214
35.08545,129.0234
35.08677,129.02365
35.08693,129.02123
35.08363,129.02152
35.08738,129.0236
35.12168,129.0169
35.11467,129.0121
35.11337,129.01472
35.11285,129.02231
35.10883,129.01673
35.10855,129.01036
35.10875,129.01122
35.10906,129.009
35.11941,129.01855
35.11345,129.02547
35.11145,129.02594
35.11067,129.02532
35.11055,129.02404
35.10864,129.00896
35.10812,129.00844
35.11144,129.01414
35.10908,129.02049
35.10979,129.01997
35.11055,129.02138
35.11034,129.02135
35.10916,129.02078
35.10933,129.0232
