X,Y
35.18616,129.08893
35.1838,129.0741
35.17732,129.08289
35.18531,129.07675
35.184,129.07766
35.18358,129.0782
35.18888,129.10482
35.18105,129.10633
35.16575,129.08321
35.1762,129.0945
35.19481,129.08075
35.1698,129.09452
35.18246,129.06908
35.19086,129.07899
35.17606,129.0854
35.17082,129.09641
35.18886,129.0713
35.18657,129.07712
35.16872,129.08732
35.18282,129.07791
35.17867,129.08694
35.18194,129.0708
35.18635,129.09368
35.17079,129.09596
35.16688,129.08245
35.18006,129.08621
35.19164,129.07682
35.1805,129.06586
35.18599,129.09604
35.17712,129.0861
35.18115,129.07803
35.17775,129.08583
35.17657,129.06908
35.1809,129.10392
35.16957,129.08734
35.18129,129.07833
35.17607,129.089
35.175,129.07981
35.17423,129.09378
35.18707,129.09367
35.19243,129.07752
35.18679,129.0927
35.17299,129.09581
35.18333,129.08848
35.187,129.07586
35.18875,129.09997
