X,Y
36.505911,127.713591
36.507092,127.71381
36.500925,127.716377
36.502438,127.715914
36.504348,127.71574
36.50643,127.715766
36.506372,127.714013
36.506425,127.713522
36.506757,127.712862
36.506887,127.714525
36.507266,127.714613
36.506989,127.715753
36.508071,127.715872
36.507961,127.715169
36.507752,127.714299
36.508426,127.713582
36.508512,127.71194
36.507506,127.713295
36.507631,127.712881
36.507702,127.712267
36.507637,127.711832
36.507817,127.711396
36.507294,127.711476
36.511622,127.71616
36.512035,127.715556
36.512007,127.71512
36.514622,127.74376
36.50241,127.752083
36.513694,127.743473
36.513846,127.743093
36.514527,127.745703
36.513761,127.745672
36.513961,127.74633
36.513401,127.74574
36.513237,127.744881
36.512459,127.743376
36.497307,127.742589
36.499495,127.745942
36.500654,127.748226
36.501772,127.748781
36.502358,127.748868
36.502882,127.74928
36.50327,127.74958
36.503079,127.748888
36.503801,127.74931
36.504018,127.749488
36.503764,127.748797
36.503935,127.748696
36.504043,127.748427
36.503866,127.75008
36.504443,127.750212
36.504273,127.750671
36.504778,127.750915
36.505022,127.751037
36.50384,127.750683
36.503193,127.7515
36.50323,127.751958
36.502636,127.752574
36.503223,127.753152
36.503466,127.752593
36.491037,127.719561
36.488933,127.7142
36.487119,127.720803
36.496547,127.717398
36.49645,127.710478
36.484848,127.720733
36.496169,127.717388
36.496304,127.717209
36.496456,127.716662
36.496536,127.71636
36.496051,127.717143
36.495744,127.716876
36.496094,127.716295
36.495302,127.716688
36.49559,127.716296
36.495048,127.71612
36.49492,127.715317
36.494578,127.715229
36.494476,127.714302
36.495268,127.717414
36.493896,127.716794
36.490949,127.716626
36.490982,127.715543
36.490909,127.715041
36.489746,127.714945
36.489224,127.715002
36.489225,127.715393
36.489513,127.715403
36.489217,127.715806
36.489784,127.715659
36.490676,127.715488
36.489236,127.716252
36.489309,127.716911
36.488941,127.717392
36.488903,127.716711
36.488722,127.716355
36.488477,127.71563
36.488557,127.715094
36.491052,127.714627
36.49226,127.714489
36.491701,127.714346
36.490916,127.714327
36.490915,127.713824
36.490752,127.71349
36.49104,127.713411
36.49132,127.713332
36.491527,127.713465
36.491753,127.713486
36.49142,127.713968
36.491565,127.714213
36.490841,127.712965
36.490723,127.712675
36.490451,127.711906
36.491027,127.711513
36.491126,127.711703
36.49292,127.711931
36.493309,127.712164
36.493832,127.712296
36.494175,127.712596
36.494082,127.711603
36.494648,127.710719
36.489406,127.712044
36.488721,127.71208
36.488207,127.711848
36.489822,127.712522
36.489779,127.713337
36.488895,127.713318
36.488707,127.713609
36.489347,127.713864
36.4896,127.713974
36.490257,127.713659
36.489322,127.714623
36.488807,127.714089
36.487879,127.714237
36.487887,127.713936
36.488086,127.713902
36.48841,127.713889
36.487617,127.713792
36.487562,127.713412
36.487867,127.713121
36.487887,127.713612
36.487405,127.712029
36.487171,127.712142
36.48682,127.71231
36.487497,127.712922
36.487731,127.712765
36.487174,127.713537
36.487448,127.714752
36.487638,127.715075
36.487857,127.716291
36.488011,127.71648
36.488416,127.716378
36.48747,127.716382
36.487813,127.716938
36.487895,127.717251
36.488256,127.717249
36.488266,127.717785
36.488356,127.717874
36.488429,127.718097
36.489019,127.719925
36.489575,127.71883
36.489393,127.71816
36.489934,127.718181
36.489014,127.717961
36.487671,127.717832
36.48714,127.717845
36.486761,127.717869
36.487508,127.717386
36.487543,127.717062
36.487164,127.71655
36.487236,127.716662
36.486598,127.717356
36.486335,127.716732
36.486412,127.718897
36.48688,127.718795
36.487026,127.719341
36.487081,127.719854
36.487046,127.720234
36.487443,127.720623
36.487704,127.720209
36.488127,127.720118
36.488794,127.719982
36.488012,127.720866
36.488958,127.720673
36.486201,127.721308
36.48611,127.720695
36.486515,127.720347
36.485776,127.72064
36.485281,127.720932
36.484966,127.721056
36.486513,127.719488
36.485963,127.719624
36.485567,127.719826
36.485342,127.719972
36.485243,127.720084
36.485253,127.720385
36.484703,127.72041
36.485613,127.720272
36.486036,127.72017
36.490996,127.71744
36.488829,127.711801
36.500939,127.764434
36.50027,127.76323
36.497926,127.763204
36.503317,127.754614
36.503275,127.756501
36.504001,127.75459
36.504416,127.754778
36.505012,127.755111
36.505218,127.754407
36.504959,127.755681
36.505427,127.755322
36.505365,127.755825
36.505284,127.756138
36.505069,127.756551
36.505277,127.756796
36.507681,127.75584
36.5068,127.757071
36.49629,127.747593
36.495184,127.748601
36.485025,127.747864
36.485584,127.747773
36.485862,127.747247
36.486186,127.747146
36.486646,127.747222
36.487603,127.748067
36.489279,127.747761
36.490631,127.747634
36.491604,127.747541
36.492173,127.748376
36.49283,127.747772
36.492856,127.747459
36.49347,127.747647
36.493849,127.748081
36.493308,127.747937
36.493597,127.748461
36.494463,127.748592
36.485912,127.705706
36.487959,127.706301
36.488098,127.70427
36.488576,127.704379
36.488934,127.703128
36.488535,127.702493
36.488356,127.702762
36.488004,127.702495
36.487859,127.70225
36.487691,127.700097
36.484168,127.703827
36.489754,127.703103
36.490244,127.701092
36.490766,127.700632
36.491697,127.698151
36.492886,127.698101
36.491994,127.697848
36.492659,127.697209
36.491523,127.69689
36.491573,127.695528
36.489004,127.695326
36.488508,127.695294
36.488394,127.696299
36.487111,127.695088
36.488887,127.698909
36.4902,127.705233
36.492375,127.702601
36.494985,127.697714
36.4972,127.693318
36.48853,127.707427
36.512727,127.710775
36.519941,127.716454
36.520335,127.718853
36.520332,127.717736
36.520744,127.716775
36.521031,127.715992
36.521229,127.715835
36.521653,127.716057
36.5226,127.716466
36.52285,127.715673
36.522526,127.715484
36.522002,127.715129
36.521614,127.715074
36.521793,127.714593
36.522244,127.714681
36.522559,127.714367
36.522794,127.71469
36.523028,127.714488
36.522766,127.714076
36.522017,127.713744
36.521119,127.715098
36.520731,127.714876
36.520489,127.715469
36.520236,127.715336
36.520289,127.714878
36.519974,127.715114
36.513129,127.717014
36.514031,127.717056
36.513966,127.716531
36.513542,127.716276
36.514029,127.716218
36.51429,127.716083
36.514567,127.715022
36.514896,127.713502
36.515245,127.712127
36.515593,127.710708
36.515257,127.709961
36.514941,127.709482
36.514879,127.709807
36.514644,127.709562
36.515075,127.709181
36.515307,127.708275
36.51581,127.707414
36.518339,127.702525
36.520366,127.70197
36.516108,127.707748
36.516137,127.708429
36.515768,127.708486
36.516075,127.708965
36.515661,127.709312
36.515337,127.709381
36.515743,127.709636
36.516257,127.7095
36.516644,127.709565
36.516366,127.709823
36.51634,127.710359
36.516315,127.711163
36.516002,127.712281
36.515083,127.716181
36.516616,127.716365
36.521927,127.71409
36.483976,127.7176
36.486149,127.714188
36.486271,127.716475
36.487257,127.714228
36.486825,127.718404
36.483859,127.71798
36.483224,127.716129
36.482912,127.721577
36.481692,127.720175
36.48283,127.721064
36.482739,127.720528
36.482684,127.720138
36.482592,127.719524
36.48251,127.718933
36.48205,127.718745
36.482078,127.719336
36.48216,127.719738
36.482439,127.719648
36.482331,127.719726
