X,Y
36.3113523,127.5767432
36.2965442,127.5676434
36.2645733,127.5691532
36.2784144,127.5815233
36.2843735,127.6203443
36.3556423,127.6733234
36.3939823,127.6617664
36.3284732,127.7601643
36.3458423,127.7933643
36.2456453,127.6226346
36.2774757,127.5283888
36.3337276,127.5245678
36.2126676,127.6309575
36.2972776,127.5794564
36.3054565,127.5721555
36.3167554,127.5853444
36.3395263,127.7735243
36.3046765,127.5608423
36.3882154,127.5382532
36.3075121,127.5727553
36.3084432,127.5722235
36.2934365,127.5701678
36.3027276,127.5633345
36.2917975,127.5564654
36.2986254,127.5596664
36.2969442,127.5717674
36.3160645,127.5785553
36.3177765,127.5905634
36.3080667,127.5631553
36.2929767,127.5746334
36.3143856,127.7588647
36.2944756,127.6906999
36.2708945,127.6195553
36.3006464,127.5656664
36.2931667,127.6185345
36.3493545,127.5911552
36.2497965,127.6015523
36.3546267,127.8757532
36.3012767,127.7844457
36.3218454,127.6814754
36.3635956,127.7035775
36.3050666,127.5677887
36.3065865,127.5668756
36.3055854,127.5652345
36.2979855,127.5701765
36.2955576,127.5689865
36.2979743,127.5311345
36.3695456,127.6822865
36.3316667,127.5359976
36.2053378,127.6307875
36.3532654,127.8427855
36.3335554,127.7625996
36.3952555,127.6692989
36.2893754,127.6433553
36.2999223,127.5685553
36.2978526,127.5675754
36.2981264,127.5738774
36.3011364,127.5731765
36.2887564,127.6411553
36.2771265,127.6278664
36.4128933,127.6249765
36.2833264,127.6157768
36.4430456,127.6688553
36.3262776,127.7282745
36.3644775,127.8425664
36.3755743,127.7912774
36.2465945,127.6265664
36.3294543,127.5666634
36.3371633,127.5142442
36.2912233,127.6373423
36.2460143,127.5528424
36.2445824,127.5538534
36.2424954,127.5542773
36.2419456,127.5547664
36.2330876,127.3835564
36.2330876,127.3835456
36.2399255,127.5555456
36.2376753,127.5555456
36.2371954,127.5555455
36.1902754,127.3459442
36.1903843,127.3459442
36.1906456,127.3503552
36.1907367,127.3504777
36.1905565,127.3506887
36.1903144,127.3506554
36.1904644,127.3504775
36.2475832,127.5538442
36.2393532,127.5555456
36.1912434,127.3457534
36.1909924,127.3459553
36.1908821,127.3501555
36.1908542,127.3503545
36.1909856,127.3506553
36.1754955,127.3409656
36.1752763,127.3413424
36.1748243,127.3411453
36.1738544,127.3421965
36.1741264,127.3419943
36.1741866,127.3418639
36.1743564,127.3423357
34.4112243,127.6724663
36.3923543,127.7347736
36.2414543,127.6617663
36.2413654,127.5121364
36.3397454,127.5063364
36.3078354,127.5717889
36.2788543,127.6682554
36.4097655,127.6424774
36.3810376,127.8124775
36.3272775,127.8136667
36.1928453,127.6307886
36.2736534,127.4985775
36.3761833,127.6524665
36.3928665,127.7193008
36.2811755,127.7309553
36.2992656,127.5602665
36.3001276,127.5616645
36.2980276,127.5582443
36.3009286,127.5688787
36.2919634,127.5566554
36.2773542,127.6288553
36.4285156,127.6428453
36.2496153,127.6301778
36.3448644,127.8776564
36.2762465,127.7166667
36.2400975,127.6647788
36.2677774,127.5231776
36.3510253,127.5238778
36.3397475,127.5083566
36.3017756,127.5695543
36.3068243,127.5687777
36.3024153,127.5776666
36.2967564,127.6028444
36.3160777,127.6042666
36.2692586,127.5721554
36.3029985,127.5935543
36.3148865,127.5807554
36.3082354,127.6202667
36.3593767,127.6764776
36.3083765,127.7353667
36.3086676,127.7004456
36.3165756,127.6117886
36.2983356,127.5771777
36.2846743,127.5622999
36.2764454,127.6256667
36.2769634,127.6881776
36.3584543,127.6913321
36.3303354,127.8138554
36.2521353,127.6162554
36.2704764,127.5259554
36.3909164,127.5445556
36.3029764,127.5749778
36.3018864,127.5748553
36.3029764,127.5736554
36.3017842,127.5738554
36.3063676,127.5645777
36.3179853,127.5826555
36.3180265,127.5824776
36.3185543,127.5827765
36.3190554,127.5824543
36.3188654,127.5828665
36.3029553,127.5722765
36.3028355,127.5721777
36.3367375,127.7673776
36.3049686,127.5694555
36.3030676,127.5682444
36.3011975,127.5647443
36.2984576,127.5492556
36.3015586,127.5507665
36.3018965,127.5587445
36.3028266,127.5603666
36.3048355,127.5584443
36.3005766,127.5586556
36.3004577,127.5618567
36.3015388,127.5665543
36.3015133,127.5706554
36.2999744,127.5762666
36.2819633,127.5787665
36.2510644,127.6265775
36.2987755,127.5723555
36.2941666,127.5649665
36.2935233,127.5702775
36.3552244,127.6738775
36.3037744,127.5688653
36.3522433,127.5239775
36.3026564,127.5682151
36.3032442,127.5682231
