x,y
36.9091,127.0694
36.9083,127.0700
36.9143,127.0667
36.9175,127.0721
36.9223,127.0777
36.9270,127.0760
36.9248,127.0750
36.9192,127.0741
36.9119,127.0546
36.9123,127.0541
36.9171,127.0442
36.9174,127.0445
36.9177,127.0426
36.9117,127.0524
36.7824,126.9681
36.7805,126.9684
36.7816,126.9687
36.7802,126.9692
36.7803,126.9691
36.7807,126.9690
36.7440,126.8620
36.7426,126.8755
36.7405,126.8658
36.7426,126.8726
36.7411,126.8689
36.7366,126.8680
36.7371,126.8675
36.7367,126.8702
36.7361,126.8690
36.7354,126.8686
36.7386,126.8764
36.7355,126.8704
36.7353,126.8713
36.7351,126.8718
36.7430,126.8632
36.7442,126.8708
36.7442,126.8708
36.7369,126.8706
36.9105,127.0339
36.9086,127.0345
36.9265,127.0034
36.9224,126.9991
36.9303,127.0409
36.9321,127.0440
36.9320,127.0432
36.9318,127.0427
36.9316,127.0417
36.9307,127.0410
36.9305,127.0402
36.9309,127.0409
36.9297,127.0406
36.9305,127.0399
36.9303,127.0396
36.9299,127.0401
36.9292,127.0412
36.9293,127.0412
36.9289,127.0408
36.9289,127.0412
36.9282,127.0399
36.9288,127.0404
36.9287,127.0404
36.9279,127.0406
36.9287,127.0414
36.9286,127.0411
36.7759,127.0788
36.7700,127.0740
36.7693,127.0736
36.7645,127.0714
36.7623,127.0722
36.7610,127.0767
36.7688,127.0789
36.7607,127.0767
36.7759,127.0675
36.7662,127.0706
36.7617,127.0673
36.7748,127.0675
36.7718,127.0642
36.7600,127.0626
36.7597,127.0629
36.7582,127.0639
36.7752,127.0745
36.7608,127.0762
36.7718,127.0652
36.7727,127.0646
36.7605,127.0767
36.7602,127.0766
36.7708,127.0661
36.7603,127.0763
36.7595,127.0765
36.7551,127.0328
36.7480,127.0444
36.7493,127.0416
36.7804,127.1119
36.7777,127.1071
36.7747,127.1184
36.7748,127.1178
36.7752,127.1176
36.7747,127.1177
36.7750,127.1194
36.7754,127.1192
36.7745,127.1175
36.7750,127.1170
36.7747,127.1167
36.7746,127.1163
36.7748,127.1165
36.7755,127.1167
36.7754,127.1159
36.7751,127.1157
36.7745,127.1160
36.7764,127.1143
36.7768,127.1162
36.7784,127.1052
36.7788,127.1152
36.7745,127.1172
36.8119,126.8622
36.8251,126.8614
36.8131,126.8626
36.8123,126.8637
36.8108,126.8646
36.8256,126.8607
36.7936,126.9687
36.7945,126.9676
36.7945,126.9672
36.7945,126.9680
36.7949,126.9706
36.7954,126.9730
36.7962,126.9716
36.7978,126.9699
36.7984,126.9704
36.7968,126.9722
36.7961,126.9696
36.7950,126.9685
36.7947,126.9679
36.7997,126.9791
36.7881,126.9695
36.7882,126.9704
36.7877,126.9744
36.7964,126.9755
36.7930,126.9686
36.7948,126.9743
36.7763,127.0788
36.7757,127.0747
36.7699,127.0769
36.7751,127.0723
36.7767,127.0775
36.7712,127.0812
36.7717,127.0814
36.7698,127.0802
36.7696,127.0799
36.7553,127.0958
36.7518,127.0939
36.7508,127.0936
36.7512,127.0931
36.7514,127.0928
36.7514,127.0935
36.7517,127.0924
36.7516,127.0921
36.7515,127.0918
36.7511,127.0918
36.7519,127.0915
36.7515,127.0916
36.7515,127.0911
36.7512,127.0913
36.7508,127.0913
36.7701,127.0836
36.7158,126.9537
36.7022,126.9547
36.7176,126.9562
36.7169,126.9497
36.7165,126.9501
36.7142,126.9461
36.7158,126.9444
36.7151,126.9495
36.7148,126.9487
36.7114,126.9561
36.7109,126.9570
36.7155,126.9486
36.7105,126.9579
36.7108,126.9575
36.7156,126.9489
36.7154,126.9492
36.7161,126.9503
36.7103,126.9584
36.7140,126.9493
36.7141,126.9498
36.7136,126.9488
36.7130,126.9496
36.7125,126.9474
36.7124,126.9479
36.7121,126.9476
36.7295,127.0155
36.7306,127.0147
36.7300,127.0149
36.7302,127.0157
36.7300,127.0154
36.7300,127.0158
36.7298,127.0153
36.7303,127.0166
36.7300,127.0168
36.6756,126.9957
36.6764,126.9995
36.6761,126.9997
36.6731,127.0013
36.6737,127.0014
36.6739,127.0012
36.6755,127.0018
36.6761,127.0017
36.6757,127.0022
36.6773,127.0043
36.6772,127.0041
36.6706,127.0043
36.6696,127.0046
36.6768,127.0024
36.6703,127.0040
36.6702,127.0025
36.8106,126.8710
36.8106,126.8696
36.8098,126.8698
36.8097,126.8689
36.8114,126.8698
36.8114,126.8698
36.8101,126.8724
36.8098,126.8721
36.8098,126.8721
36.7818,126.8715
36.7844,126.8898
36.7846,126.8903
36.7885,126.8756
36.7849,126.8901
36.7888,126.8741
36.7880,126.8743
36.7874,126.8736
36.7871,126.8732
36.7842,126.8904
36.7842,126.8912
36.7930,126.8794
36.7920,126.8718
36.7935,126.8726
36.7940,126.8738
36.7748,126.8467
36.7761,126.8387
36.7769,126.8404
36.7763,126.8405
36.7738,126.8588
36.7742,126.8580
36.7808,126.8492
36.7753,126.8586
36.7803,126.8506
36.7765,126.8509
36.7900,126.8917
36.7881,126.8920
36.7930,126.8864
36.7893,126.8873
36.7883,126.8869
36.7921,126.8886
36.7917,126.8872
36.7896,126.8892
36.7887,126.8840
36.7892,126.8842
36.7895,126.8844
36.8086,126.9264
36.8086,126.9229
36.8085,126.9257
36.8084,126.9261
36.7913,126.9278
36.7914,126.9291
36.7915,126.9305
36.7935,126.9329
36.7929,126.9328
36.7941,126.9286
36.7947,126.9282
36.7957,126.9284
36.7951,126.9316
36.7940,126.9323
36.7932,126.9324
36.7940,126.9305
36.7945,126.9312
36.7942,126.9309
36.7477,126.8603
36.7478,126.8611
36.7482,126.8596
36.7482,126.8589
36.7502,126.8577
36.7493,126.8591
36.7489,126.8595
36.7485,126.8593
36.7488,126.8601
36.7485,126.8600
36.7487,126.8607
36.7497,126.8587
36.7472,126.8623
36.7484,126.8601
36.7271,126.9091
36.7519,126.8606
36.7496,126.9263
36.7504,126.9256
36.7576,126.9281
36.7497,126.9268
36.7490,126.9270
36.7696,126.8963
36.7689,126.8978
36.7684,126.8985
36.7679,126.8978
36.7402,126.8908
36.7647,126.8617
36.7646,126.8609
36.7646,126.8603
36.7546,126.8669
36.7647,126.8634
36.7574,126.8681
36.7638,126.8792
36.7591,126.8680
36.7606,126.8676
36.7602,126.8676
36.7584,126.8682
36.7639,126.8678
36.7586,126.8723
36.7638,126.8797
36.7575,126.8767
36.7554,126.8762
36.7369,126.9217
36.7381,126.9172
36.7382,126.9172
36.7380,126.9169
36.7361,126.9233
36.7393,126.9125
36.7344,126.9234
36.7388,126.9158
36.7900,127.0101
36.7907,127.0108
36.7914,127.0085
36.7914,127.0080
36.7915,127.0100
36.7905,127.0064
36.7902,127.0063
36.7899,127.0065
36.7899,127.0068
36.7897,127.0059
36.7904,127.0054
36.7902,127.0054
36.7900,127.0061
36.7893,127.0058
36.7893,127.0061
36.7922,127.0025
36.7842,127.0094
36.7841,127.0099
36.7839,127.0105
36.7849,127.0094
36.7846,127.0077
36.7847,127.0073
36.7849,127.0066
36.7855,127.0067
36.7849,127.0066
36.7863,127.0070
36.7867,127.0071
36.9224,127.0160
36.9218,127.0168
36.9215,127.0172
36.9222,127.0170
36.9226,127.0173
36.9230,127.0164
36.9231,127.0157
36.9244,127.0201
36.9228,127.0182
36.9223,127.0184
36.9302,127.0077
36.9226,127.0176
36.9226,127.0180
36.9309,127.0079
36.9307,127.0080
36.9305,127.0079
36.9302,127.0080
36.9300,127.0078
36.9229,127.0104
36.9225,127.0097
36.9248,127.0112
36.9231,127.0109
36.9231,127.0107
36.9256,127.0105
36.9249,127.0116
36.7795,126.9691
36.7820,126.9700
36.7832,126.9686
36.7866,126.9659
36.7864,126.9654
36.7860,126.9648
36.7852,126.9618
36.7845,126.9602
36.7842,126.9598
36.7840,126.9591
36.7847,126.9606
36.7741,126.9753
36.7739,126.9748
36.7783,126.9755
36.7847,126.9673
36.7784,126.9752
36.7788,126.9738
36.7780,126.9739
36.7784,126.9736
36.7772,126.9712
36.7779,126.9710
36.7788,126.9727
36.7797,126.9725
36.7816,126.9916
36.7818,126.9902
36.7825,126.9920
36.7822,126.9921
36.9063,127.0338
36.9277,127.0377
36.9276,127.0384
36.9280,127.0373
36.9262,127.0380
36.9262,127.0380
36.9265,127.0378
36.9266,127.0378
36.9274,127.0376
36.9275,127.0378
36.9277,127.0379
36.9270,127.0379
36.9272,127.0379
36.9262,127.0367
36.9269,127.0365
36.9263,127.0371
36.9266,127.0365
36.9274,127.0372
36.9272,127.0365
36.9282,127.0367
36.9276,127.0366
36.9281,127.0371
36.9285,127.0371
36.9283,127.0369
36.9289,127.0420
36.9290,127.0423
36.9299,127.0386
36.9304,127.0385
36.9303,127.0385
36.9304,127.0394
36.9308,127.0388
36.9307,127.0390
36.9282,127.0417
36.9279,127.0421
36.9244,127.0399
36.9314,127.0418
36.9309,127.0394
36.9280,127.0362
36.9287,127.0367
36.9272,127.0363
36.9275,127.0372
36.9265,127.0399
36.9294,127.0369
36.9298,127.0360
36.9281,127.0387
36.9271,127.0374
36.9272,127.0448
36.9314,127.0390
36.9289,127.0363
36.7599,127.0767
36.7712,127.0668
36.7713,127.0662
36.7713,127.0655
36.7713,127.0653
36.7713,127.0653
36.7605,127.0724
36.7739,127.0682
36.7743,127.0688
36.7631,127.0725
36.7738,127.0945
36.7599,127.1061
36.7598,127.1067
36.7609,127.1051
36.7642,127.0976
36.7603,127.1054
36.7626,127.0989
36.7624,127.1043
36.7663,127.1044
36.7650,127.1093
36.7652,127.1095
36.7663,127.1048
36.7666,127.1057
36.7666,127.1052
36.7652,127.1058
