x,y
36.2547,126.5412
36.2523,126.5440
36.2531,126.5441
36.2522,126.5463
36.2531,126.5471
36.2536,126.5474
36.2540,126.5479
36.2548,126.5476
36.2550,126.5481
36.2544,126.5484
36.2548,126.5484
36.2538,126.5490
36.2529,126.5497
36.2521,126.5486
36.2532,126.5486
36.2489,126.5454
36.2481,126.5465
36.2511,126.5446
36.2521,126.5475
36.2520,126.5504
36.2527,126.5522
36.2514,126.5517
36.2507,126.5525
36.2485,126.5515
36.2476,126.5506
36.2482,126.5528
36.2504,126.5536
36.2362,126.5316
36.2354,126.5318
36.2348,126.5330
36.2377,126.5337
36.2341,126.5381
36.2358,126.5391
36.2333,126.5388
36.2328,126.5375
36.2334,126.5393
36.2324,126.5409
36.2316,126.5425
36.2316,126.5431
36.2324,126.5445
36.2307,126.5448
36.2315,126.5466
36.2289,126.5451
36.2271,126.5448
36.2266,126.5453
36.2252,126.5449
36.2248,126.5344
36.2225,126.5310
36.2222,126.5309
36.2218,126.5308
36.2203,126.5303
36.2217,126.5313
36.2216,126.5317
36.2215,126.5339
36.2206,126.5337
36.2224,126.5347
36.2227,126.5349
36.2237,126.5347
36.2220,126.5354
36.2236,126.5326
36.2260,126.5353
36.2264,126.5362
36.2274,126.5365
36.2277,126.5359
36.2282,126.5364
36.2278,126.5368
36.2274,126.5367
36.2281,126.5375
36.2272,126.5375
36.2257,126.5379
36.2268,126.5376
36.2274,126.5387
36.2282,126.5392
36.2267,126.5389
36.2312,126.5425
36.2328,126.5985
36.2319,126.5968
36.2317,126.5957
36.2317,126.5949
36.2310,126.5920
36.2309,126.5918
36.2314,126.5910
36.2319,126.5903
36.2330,126.5890
36.2324,126.5890
36.2328,126.5886
36.2306,126.5914
36.2298,126.5904
36.2282,126.5884
36.2285,126.5883
36.2285,126.5873
36.2289,126.5870
36.2293,126.5859
36.2306,126.5862
36.2300,126.5859
36.2296,126.5854
36.2290,126.5855
36.2297,126.5847
36.2286,126.5855
36.2264,126.5859
36.2271,126.5858
36.2267,126.5848
36.2270,126.5840
36.2266,126.5851
36.2264,126.5856
36.2248,126.5852
36.2245,126.5850
36.2241,126.5843
36.2234,126.5831
36.2232,126.5827
36.2230,126.5821
36.2231,126.5814
36.2235,126.5811
36.2226,126.5811
36.2229,126.5798
36.2233,126.5794
36.2225,126.5794
36.2220,126.5802
36.2211,126.5808
36.2216,126.5785
36.2212,126.5784
36.2206,126.5775
36.2202,126.5772
36.2212,126.5777
36.2205,126.5784
36.2183,126.5772
36.2157,126.5754
36.2128,126.5735
36.2116,126.5727
36.2109,126.5729
36.2078,126.5727
36.2193,126.5777
36.2201,126.5751
36.2193,126.5769
36.2246,126.5683
36.2246,126.5675
36.2255,126.5685
36.2254,126.5690
36.2343,126.5751
36.2345,126.5735
36.2348,126.5728
36.2347,126.5724
36.2338,126.5739
36.2337,126.5737
36.2330,126.5732
36.2330,126.5726
36.2359,126.5737
36.2379,126.5756
36.2400,126.5765
36.2421,126.5676
36.2413,126.5673
36.2401,126.5787
36.2393,126.5790
36.2419,126.5787
36.2407,126.5796
36.2432,126.5801
36.2235,126.5635
36.2253,126.5627
36.2253,126.5610
36.2254,126.5603
36.2238,126.5611
36.2242,126.5608
36.2263,126.5610
36.2265,126.5623
36.2269,126.5622
36.2273,126.5621
36.2281,126.5624
36.2293,126.5625
36.2276,126.5609
36.2225,126.5517
36.2222,126.5520
36.2235,126.5510
36.2240,126.5509
36.2245,126.5505
36.2232,126.5506
36.2232,126.5498
36.2229,126.5496
36.2228,126.5487
36.2224,126.5483
36.2224,126.5478
36.2220,126.5463
36.2221,126.5453
36.2235,126.5457
36.2240,126.5426
36.2246,126.5448
36.2226,126.5506
36.2218,126.5514
36.2248,126.5489
36.2263,126.5481
36.2262,126.5489
36.2277,126.5504
36.2302,126.5529
36.2271,126.5546
36.2271,126.5558
36.2273,126.5571
36.2280,126.5594
36.2288,126.5599
36.2284,126.5584
36.2291,126.5572
36.2302,126.5569
36.2281,126.5576
36.2282,126.5556
36.2285,126.5566
36.2285,126.5508
36.2287,126.5506
36.2286,126.5500
36.2317,126.5512
36.2313,126.5499
36.2325,126.5524
36.2378,126.5537
36.2385,126.5538
36.2386,126.5518
36.2385,126.5514
36.2376,126.5507
36.2377,126.5507
36.2391,126.5531
36.2372,126.5568
36.2399,126.5583
36.2410,126.5581
36.2417,126.5611
36.2420,126.5587
36.2428,126.5584
36.2430,126.5591
36.2434,126.5578
36.2450,126.5555
36.2379,126.5542
36.2364,126.5575
36.2363,126.5581
36.2365,126.5588
36.2363,126.5598
36.2359,126.5600
36.2360,126.5605
36.2368,126.5597
