X,Y
36.3001493,126.846091
36.3012448,126.706662
36.3004654,126.705818
36.2970631,126.701139
36.1903771,126.886621
36.3088114,126.849177
36.2661619,126.850405
36.1616285,126.978731
36.2186992,126.758633
36.2814141,126.927592
36.2239348,126.989836
36.1910508,126.894069
36.2172491,126.839672
36.2520616,127.001755
36.3123195,126.854852
36.3136858,126.855637
36.2830258,126.912007
36.2833564,126.914367
36.2832831,126.912655
36.2815761,126.910657
36.2840528,126.911494
36.2806258,126.911211
36.2759115,126.909867
36.2769173,126.924207
36.2802031,126.888119
36.2450374,126.935444
36.2492532,126.885012
36.194789,126.899795
36.2569439,126.938711
36.2815942,126.923711
36.2813751,126.926446
36.2828862,126.921953
36.2784454,126.767886
36.2993972,126.711976
36.287623,126.914229
36.2844247,126.911753
36.2796846,126.913245
36.2768832,126.942257
36.2721888,126.940217
36.2757574,126.906304
36.2744711,126.880643
36.2843094,126.917468
36.287678,126.740012
36.2814439,126.908556
36.2845955,126.908241
36.2824213,126.917423
36.2120859,126.759404
36.2735781,126.916968
36.2753582,126.917383
36.2735082,126.916843
36.2789182,126.908439
36.2815722,126.911416
36.2738677,126.915568
36.2810191,126.907018
36.2834159,126.909486
36.2839159,126.909293
36.2805891,126.910377
36.2773014,126.909515
36.2823113,126.924717
36.2827223,126.926336
36.2829167,126.923706
36.3019383,126.704663
36.2797358,126.911207
36.3087981,126.852993
36.1916158,126.891044
36.2807075,126.912066
36.2829938,126.911351
36.2156673,126.760108
36.2725414,126.910238
36.2847331,126.921008
36.2820939,126.913138
36.1574465,126.997588
36.1873232,126.773296
36.2760333,126.912992
36.2762221,126.912444
36.2830828,126.912928
36.2832491,126.912372
36.2545129,127.000656
36.2141593,127.006013
36.2433852,127.006177
36.1191786,126.837192
36.1861398,126.705738
36.2828398,126.923227
36.1912453,126.719877
36.3289158,126.969803
36.2922804,126.687186
36.3646926,126.738401
36.1121309,126.866171
36.3546899,126.787888
36.3861148,126.847515
36.3193819,126.858079
36.3288302,126.969993
36.2622996,127.064858
36.1583973,126.995446
36.2929303,126.854679
36.2938458,126.855354
36.2370731,126.799566
36.2843574,126.929128
36.2828369,126.906498
36.2759386,126.890935
36.2193786,126.754858
36.2151214,126.757496
36.2823847,126.907367
36.2819435,126.907848
36.2815024,126.908511
36.2812796,126.908854
36.2806922,126.909728
36.2794672,127.031635
36.2802586,126.908276
36.1895874,126.892692
36.2463965,126.915179
36.2163035,126.915179
36.3007903,126.895026
36.3018854,126.895244
36.3013885,126.896328
36.2625384,127.020984
36.2839219,126.911241
36.2763313,126.899413
36.2495923,127.001738
36.3030001,126.894658
36.3042328,126.895029
36.3039423,126.895194
36.2813776,126.913339
36.1946853,126.899732
36.1830046,126.898474
36.2778094,126.899642
36.2787198,126.899903
36.2852884,126.903999
36.2861047,126.904899
36.2881099,126.907877
36.287583,126.908234
36.2858643,126.908698
36.2849323,126.909704
36.2631444,127.021051
36.2630908,127.018244
36.2759082,126.932066
36.2807864,126.918493
36.2812935,126.918752
36.2712583,126.908746
36.2703274,126.914278
36.2701048,126.908789
36.2783706,126.905435
36.2815146,126.909694
36.2727148,126.913254
36.2731748,126.910658
36.2203172,126.758817
36.2175998,126.759793
36.2796017,126.906699
36.2807297,126.905646
36.2791075,126.905659
36.2848591,126.908151
36.2842167,126.913873
36.2841358,126.911046
36.2751532,126.899735
36.2652614,126.903773
36.2690368,126.905771
36.2726397,126.903399
36.2667951,126.903009
36.2698853,126.904671
36.2754399,126.903151
36.2827805,126.915544
36.2822466,126.915578
36.2613555,126.841087
36.2748081,126.866936
36.2590992,126.887874
36.2651472,126.919973
36.2759894,126.950575
36.2868937,126.932067
36.2864737,126.926663
36.2734188,126.921295
36.2782549,126.907277
36.2784729,126.906625
36.2754555,126.889943
36.2746514,126.890108
36.2735145,126.881621
36.2760165,126.908629
36.2665413,126.876874
36.2744009,126.887312
36.3137655,126.847255
36.3086744,126.856919
36.3078678,126.856817
36.3095348,126.852961
36.3111941,126.852087
36.3106086,126.854106
36.3082187,126.860187
36.3064922,126.861449
36.2157718,126.762782
36.2163061,126.764076
36.2121913,126.754697
36.2142824,126.757106
36.273552,126.887736
36.2760409,126.887137
36.2794799,126.888103
36.2759245,126.880874
36.2840945,126.910053
36.2834525,126.910154
36.2795112,126.918442
36.2821414,126.911034
36.2760529,126.906247
36.2747064,126.907259
36.2652673,126.845004
36.2655287,126.846751
36.2527816,126.813669
36.2528779,126.814706
36.3070111,126.957734
36.3082047,126.956521
36.2179137,126.763557
36.2170198,126.761566
36.1669962,126.972252
36.2781714,126.916301
36.2781954,126.915154
36.2959006,126.891637
36.2369965,126.826691
36.2366044,126.826647
36.2369879,126.825406
36.1275515,126.857115
36.2234391,126.989875
36.2620401,127.023841
36.3148181,126.715633
36.1824893,126.814466
36.1904192,126.893236
36.1750802,126.946436
36.2814368,126.861434
36.2813429,126.778161
36.2165829,126.838578
36.2425876,126.896011
36.3075447,126.956982
36.2513429,127.001173
36.2725357,126.908664
36.2729998,126.908752
36.2752307,126.915466
36.2782059,126.917266
36.2175771,126.764251
36.2962651,126.893596
36.2931925,126.894165
36.2929934,126.890689
36.2755671,126.879472
36.2752559,126.881407
36.2447784,126.884612
36.2423683,126.885228
36.2305562,126.946846
36.2875383,126.740024
36.2779209,126.912547
36.2863591,126.923494
36.2816313,126.778181
36.2762559,126.915521
36.2715569,126.783589
36.2687572,126.928255
36.2689331,126.928447
36.2845565,126.923145
36.2853875,126.922688
36.2674741,126.849387
36.2647724,126.845553
36.1886816,126.730801
36.1919594,126.732631
36.1279289,126.858072
36.1292598,126.859447
36.2747308,126.909621
36.2742659,126.908625
36.1821641,126.815395
36.1834679,126.810626
36.1703891,126.945698
36.1761821,126.946686
36.1638139,126.978338
36.1642649,126.969901
36.2526652,126.815569
36.2503548,126.810542
36.2353633,126.820711
36.2361492,126.826543
36.2545932,126.819626
36.2823638,126.915676
36.2727094,126.867958
36.2134274,126.755438
36.2443249,127.022954
36.2717685,126.883944
36.2479217,126.887431
