x,y
36.18683,127.10008
36.19649,127.0912
36.20114,127.08647
36.19633,127.09035
36.19494,127.08998
36.18511,127.12031
36.19583,127.10026
36.18585,127.11959
36.18629,127.11915
36.18679,127.11864
36.20823,127.09933
36.20676,127.08432
36.18961,127.1157
36.19037,127.11502
36.20484,127.09021
36.20141,127.08899
36.19108,127.11439
36.21247,127.09712
36.16156,127.02218
36.1598,127.01986
36.16046,127.0217
36.16175,127.02129
36.15991,127.02196
36.15953,127.02217
36.15918,127.02251
36.15928,127.0218
36.15868,127.02204
36.15973,127.02435
36.159,127.02297
36.16098,127.02451
36.15764,127.01877
36.15966,127.01815
36.16528,127.01551
36.16546,127.01543
36.16619,127.01606
36.16437,127.01499
36.16519,127.01532
36.16384,127.0146
36.16369,127.01394
36.16411,127.01414
36.16398,127.01395
36.16426,127.01396
36.16429,127.01467
36.16458,127.01364
36.16499,127.01411
36.16513,127.01351
36.16482,127.0141
36.16439,127.0144
36.16398,127.01179
36.16404,127.01222
36.1637,127.01318
36.16535,127.01338
36.16553,127.01241
36.1656,127.01363
36.16537,127.01177
36.16504,127.0123
36.16467,127.01183
36.16439,127.01192
36.16453,127.01233
36.16437,127.01252
36.16413,127.01235
36.16397,127.01293
36.16437,127.01108
36.16324,127.01264
36.16282,127.01287
36.16346,127.01282
36.16218,127.01295
36.16386,127.0133
36.16291,127.01239
36.16222,127.01315
36.16208,127.01311
36.16257,127.01363
36.16189,127.01442
36.16251,127.01777
36.1633,127.01395
36.16292,127.01401
36.16305,127.01365
36.16317,127.01391
36.16284,127.01469
36.16277,127.01451
36.16312,127.01439
36.16358,127.01472
36.16352,127.01518
36.16319,127.01552
36.16256,127.01519
36.16383,127.01594
36.16385,127.0157
36.16225,127.01968
36.16231,127.01902
36.16295,127.01851
36.16246,127.01839
36.16263,127.01826
36.16283,127.01728
36.16287,127.01684
36.16311,127.01655
36.16339,127.01614
36.16379,127.01669
36.16402,127.01711
36.16356,127.01676
36.16426,127.01724
36.16447,127.01776
36.16394,127.01782
36.16429,127.01794
36.16142,127.01786
36.15806,127.01529
36.15891,127.01552
36.15911,127.0154
36.15904,127.01517
36.15884,127.01476
36.15904,127.01429
36.1591,127.01476
36.15937,127.01474
36.15924,127.01451
36.15984,127.01425
36.16021,127.01431
36.15916,127.01634
36.15908,127.01697
36.16003,127.01595
36.16159,127.01599
36.23827,127.14834
36.21006,127.18398
36.2239,127.21641
36.14334,127.01965
36.22824,127.21177
36.2491,127.22348
36.25253,127.18478
36.22433,127.21502
36.22602,127.21375
36.20998,127.2176
36.22486,127.18785
36.20758,127.20198
36.17844,127.28661
36.19585,127.27315
36.23466,127.2822
36.18429,127.29818
36.23917,127.27287
36.16362,127.2983
36.23572,127.27673
36.19737,127.27301
36.21703,127.28851
36.19677,127.25687
36.20114,127.30241
36.21042,127.31056
36.15914,127.30977
36.21477,127.31011
36.18678,127.29128
36.22205,127.28967
36.15998,127.28592
36.23918,127.27114
36.23572,127.27633
36.22478,127.30664
36.17393,127.32432
36.20251,127.26216
36.14819,127.312
36.20592,127.31018
36.21114,127.25046
36.17999,127.27714
36.17112,127.29283
36.14933,127.30363
36.21644,127.24357
36.18848,127.29049
36.16234,127.31145
36.16548,127.30195
36.2172,127.26728
36.16726,127.29307
36.16163,127.30101
36.17275,127.29625
36.24197,127.27573
36.1954,127.08623
36.21825,127.31243
36.21801,127.3025
36.21838,127.30215
36.20128,127.08549
36.18394,127.09213
36.18872,127.08815
36.20942,127.08278
36.20239,127.08031
36.22275,127.29453
36.196,127.08302
36.18781,127.08512
36.19643,127.08231
36.19646,127.08283
36.19625,127.08011
36.20237,127.07682
36.20625,127.07961
36.20745,127.08144
36.20858,127.08996
36.20888,127.08903
36.2095,127.08528
36.18297,127.07604
36.20659,127.08698
36.20476,127.08753
36.20628,127.08663
36.20733,127.08712
36.1905,127.07887
36.18418,127.09992
36.18782,127.10066
36.18714,127.10337
36.18668,127.10171
36.18774,127.10279
36.17296,127.09903
36.20467,127.08066
36.20497,127.08293
36.20128,127.09684
36.20109,127.09628
36.20318,127.11737
36.20682,127.08283
36.20312,127.11807
36.17912,127.10552
36.19702,127.0898
36.1886,127.10549
36.21032,127.09661
36.20363,127.08628
36.19767,127.11669
36.19902,127.11155
36.19566,127.09141
36.15989,127.02232
