x,y
36.6037,127.2989
36.6038,127.2993
36.6039,127.2999
36.6039,127.3002
36.6035,127.3003
36.6036,127.3006
36.6035,127.2999
36.6034,127.2995
36.6034,127.2989
36.6034,127.2986
36.6037,127.2983
36.6027,127.2984
36.6033,127.2983
36.6023,127.2986
36.6024,127.2989
36.6029,127.299
36.6025,127.2991
36.6022,127.2992
36.5856,127.297
36.602,127.2996
36.6025,127.3005
36.6031,127.3004
36.6031,127.3001
36.603,127.2993
36.6046,127.3001
36.6048,127.3001
36.6053,127.3
36.6056,127.2999
36.6057,127.2999
36.6059,127.2999
36.606,127.2998
36.6066,127.2995
36.6069,127.2996
36.6071,127.2997
36.6075,127.2989
36.6072,127.2985
36.6068,127.2988
36.6069,127.2986
36.5829,127.2999
36.5871,127.2988
36.6062,127.2992
36.6059,127.2993
36.6055,127.2994
36.6053,127.2994
36.6051,127.2992
36.587,127.2981
36.6048,127.2997
36.6048,127.2995
36.6047,127.2991
36.6051,127.2989
36.605,127.2984
36.605,127.2981
36.605,127.298
36.5861,127.299
36.5864,127.2989
36.6063,127.3003
36.606,127.3009
36.5881,127.3003
36.6046,127.3008
36.6055,127.3007
36.605,127.3005
36.6059,127.3006
36.6058,127.3012
36.6057,127.3016
36.6054,127.3015
36.605,127.3017
36.6047,127.3018
36.6044,127.302
36.6041,127.3022
36.5888,127.3014
36.5893,127.3018
36.5896,127.3021
36.5902,127.3026
36.5904,127.3028
36.6028,127.3027
36.6027,127.3024
36.6026,127.3025
36.6023,127.3021
36.602,127.3016
36.6026,127.302
36.6021,127.3018
36.6028,127.302
36.6029,127.3014
36.6032,127.3033
36.6034,127.3033
36.6035,127.3028
36.6035,127.3031
36.603,127.3028
36.6029,127.3018
36.6032,127.3032
36.6035,127.3025
36.6038,127.3024
36.6027,127.304
36.6033,127.3038
36.6029,127.3039
36.6039,127.3033
36.6042,127.3033
36.6037,127.303
36.6041,127.3031
36.6045,127.3028
36.6042,127.3027
36.6026,127.3038
36.6023,127.3039
36.6042,127.3017
36.5922,127.3041
36.6042,127.2983
36.6041,127.2993
36.6042,127.3002
36.6043,127.3005
36.6043,127.3009
36.6044,127.3014
36.5922,127.304
36.6039,127.3013
36.6037,127.3013
36.6031,127.3014
36.6033,127.3017
36.5921,127.3039
36.5919,127.3039
36.6037,127.3021
36.5916,127.3038
36.5916,127.3037
36.6042,127.3007
36.6036,127.301
36.6041,127.3007
36.6038,127.3007
36.6034,127.3008
36.6032,127.301
36.6029,127.3009
36.6024,127.3009
36.602,127.3012
36.6024,127.3012
36.602,127.2986
36.6019,127.2985
36.6018,127.299
36.5914,127.3036
36.6002,127.3019
36.5912,127.3036
36.5998,127.3027
36.5945,127.3035
36.5948,127.3031
36.5944,127.3035
36.6,127.3044
36.5946,127.3035
36.5949,127.3035
36.599,127.3041
36.5947,127.3027
36.5989,127.3038
36.5989,127.3034
36.5989,127.3029
36.5992,127.3028
36.5991,127.3025
36.5946,127.3026
36.599,127.3048
36.5997,127.3036
36.5995,127.3031
36.5996,127.3033
36.5991,127.3047
36.5999,127.3033
36.5997,127.3026
36.6003,127.3025
36.6005,127.3026
36.6008,127.3026
36.6008,127.3029
36.5945,127.3026
36.5943,127.3025
36.6009,127.3031
36.5938,127.3022
36.6023,127.3043
36.6022,127.3043
36.5935,127.302
36.5932,127.3018
36.5926,127.3015
36.5946,127.3
36.5946,127.3008
36.6022,127.2975
36.6021,127.2969
36.5943,127.3012
36.6031,127.2965
36.6027,127.2965
36.603,127.2965
36.6033,127.2965
36.6037,127.2964
36.6034,127.297
36.6031,127.2971
36.5941,127.3014
36.5942,127.3019
36.5939,127.3017
36.6018,127.2973
36.6043,127.2963
