X,Y
36.7788,126.44768
36.78169,126.46711
36.76712,126.46078
36.78114,126.45528
36.81117,126.58329
36.78491,126.44519
36.97707,126.38518
36.97076,126.41084
36.71531,126.3928
36.82804,126.44751
36.82973,126.44948
36.82873,126.44905
36.82787,126.44866
36.76924,126.44719
36.76904,126.44685
36.79536,126.49617
36.78882,126.49469
36.791,126.48608
36.79742,126.48853
36.79852,126.49168
36.78059,126.45079
36.78216,126.45794
36.78138,126.458
36.77041,126.46449
36.76771,126.44874
36.74595,126.48348
36.79926,126.51938
36.65876,126.52967
36.70962,126.54309
36.80082,126.51767
36.864,126.43639
36.71686,126.54371
36.70603,126.51295
36.7806,126.46123
36.7893,126.46051
36.78807,126.46068
36.78682,126.44583
36.7858,126.45114
36.78493,126.45328
36.75613,126.56267
36.83275,126.49846
36.75525,126.4268
36.7438,126.4485
36.83787,126.46177
36.75194,126.37204
36.77573,126.40092
36.82681,126.36241
36.78207,126.44937
36.77185,126.46606
36.77912,126.45654
36.78277,126.46163
36.93892,126.4348
36.7515,126.37342
36.69094,126.58078
36.99129,126.36796
36.77074,126.49021
36.66192,126.40059
36.76163,126.51153
36.77,126.45011
36.78707,126.4557
36.78999,126.44604
36.78411,126.4461
36.76808,126.45288
36.77194,126.45479
36.77276,126.46555
36.77756,126.4691
36.77348,126.42738
36.76375,126.42352
36.77755,126.46413
36.77707,126.44198
36.77493,126.45352
36.78163,126.44491
36.77961,126.4437
36.78718,126.46282
36.7794,126.46018
36.78363,126.44501
36.78221,126.4586
36.77553,126.45515
36.81607,126.49125
36.79393,126.36101
36.82565,126.36936
36.783,126.44754
36.71971,126.53523
36.96767,126.41218
36.8164,126.43945
36.93119,126.43745
36.84415,126.44552
36.78328,126.46832
36.76729,126.45959
36.74321,126.44763
36.75611,126.42615
36.724337,126.503474
36.60394,126.4114
36.966333,126.336033
36.67563,126.53194
36.71275,126.39242
36.77207,126.46204
36.78421,126.45801
36.67323,126.38943
36.83059,126.49912
36.81642,126.35001
36.73526,126.38337
36.96937,126.40333
36.969,126.39637
36.95452,126.42478
36.98805,126.3764
36.91044,126.46573
36.94716,126.39832
36.92249,126.44152
36.94974,126.42698
36.93534,126.43612
36.968995,126.336965
37.00177,126.45257
36.81076,126.586
36.92723,126.3898
36.88211,126.38287
36.619753,126.399249
36.827298,126.326552
36.720267,126.449527
36.830103,126.365508
36.960798,126.342871
37.005836,126.449527
36.727238,126.498051
36.873224,126.366312
36.78325,126.45927
36.78233,126.45355
36.77877,126.45884
36.9501,126.38265
36.91635,126.44344
36.91044,126.44224
36.94706,126.42751
36.99865,126.45419
36.98929,126.39803
36.98683,126.33405
36.92333,126.47952
36.92421,126.4716
36.94119,126.47136
36.94643,126.44793
36.85789,126.43405
36.87876,126.41721
36.89299,126.43882
36.89129,126.45412
36.78357,126.45675
36.78124,126.45531
36.78038,126.45647
36.78078,126.45928
36.78198,126.4594
36.78343,126.45406
36.87457,126.44632
36.84536,126.45652
36.91342,126.42938
36.86148,126.42816
36.86422,126.41439
36.85393,126.39751
36.8763,126.39145
36.91021,126.44168
36.91129,126.43752
36.94189,126.42993
36.94566,126.42852
36.96885,126.43926
36.78697,126.4445
36.78721,126.50803
36.7836,126.45797
36.77779,126.46055
36.78449,126.4658
36.93706,126.43542
36.78829,126.45671
36.77252,126.45207
36.76695,126.45249
36.78561,126.46082
36.78258,126.44864
36.78296,126.45711
36.93404,126.4395
36.69123,126.57925
36.78753,126.45477
36.73959,126.42354
36.77418,126.46048
36.77619,126.45298
36.60576,126.41368
36.78331,126.44817
36.7733,126.44897
36.77471,126.44535
36.78543,126.44542
36.77107,126.44799
36.78278,126.45462
36.93861,126.43483
36.78461,126.44776
36.6939,126.58781
36.74539,126.44876
36.779,126.46644
36.93963,126.43358
36.79019,126.45639
36.77831,126.4619
36.77955,126.46228
36.67005,126.53311
36.77875,126.44884
36.93627,126.4273
36.94328,126.42157
36.98303,126.39973
36.78236,126.44738
36.77825,126.45293
36.789,126.46026
36.77899,126.45328
