x,y
36.66849,126.83255
36.67436,126.82793
36.67448,126.82699
36.67156,126.84048
36.67463,126.83226
36.66929,126.82512
36.67559,126.83311
36.67796,126.83266
36.67764,126.83241
36.67932,126.83136
36.67936,126.83151
36.68166,126.83101
36.67964,126.83049
36.67967,126.83089
36.67944,126.83041
36.6799,126.82913
36.68032,126.82909
36.67955,126.82905
36.68101,126.83068
36.68169,126.82748
36.68181,126.82964
36.68182,126.82817
36.68223,126.82929
36.68168,126.82987
36.68183,126.8295
36.67252,126.84435
36.68304,126.82861
36.68292,126.82982
36.68211,126.83147
36.68279,126.83146
36.70691,126.87878
36.70455,126.88152
36.70655,126.88658
36.70609,126.886
36.70703,126.88841
36.70578,126.88417
36.70512,126.88648
36.70799,126.8919
36.70468,126.88574
36.70351,126.87694
36.71668,126.85069
36.7096,126.87219
36.70306,126.87523
36.68801,126.833
36.70445,126.8752
36.71088,126.90009
36.71122,126.87231
36.71458,126.86739
36.68789,126.83398
36.68821,126.83144
36.68786,126.83362
36.69444,126.8286
36.69259,126.83494
36.68819,126.83971
36.68847,126.83977
36.68923,126.84015
36.68857,126.84183
36.69052,126.84166
36.69042,126.83395
36.69108,126.83387
36.68897,126.84229
36.6908,126.83264
36.69046,126.83208
36.69105,126.82982
36.69093,126.83133
36.69117,126.83198
36.694,126.84527
36.69005,126.84188
36.69113,126.83271
36.72002,126.80062
36.69112,126.83308
36.69147,126.83532
36.69129,126.83429
36.71897,126.79997
36.71861,126.79997
36.7181,126.80394
36.71798,126.80245
36.71866,126.80421
36.71901,126.80393
36.71714,126.80043
36.70901,126.79618
36.70868,126.79923
36.71791,126.80386
36.71684,126.8033
36.71018,126.79822
36.71508,126.79189
36.71495,126.79714
36.71552,126.79866
36.71913,126.79614
36.71499,126.80136
36.72219,126.7985
36.71421,126.80222
36.71447,126.80198
36.71527,126.80326
36.71497,126.80481
36.71366,126.80332
36.71227,126.80257
36.71319,126.80245
36.72161,126.80141
36.71254,126.80177
36.71444,126.80094
36.7117,126.80175
36.71084,126.80155
36.71129,126.7993
36.71187,126.80086
36.70924,126.79951
36.70996,126.7996
36.71974,126.80033
36.70997,126.80078
36.71518,126.8069
36.70947,126.80037
36.7242,126.79752
36.71556,126.80676
36.71623,126.80527
36.68341,126.83238
36.71643,126.80447
36.68402,126.83855
36.68182,126.83265
36.6844,126.83241
36.68478,126.83242
36.68354,126.83052
36.68516,126.83156
36.68508,126.83204
36.68384,126.83052
36.68364,126.82959
36.68443,126.83073
36.6869,126.83154
36.68643,126.82973
36.68698,126.8308
36.6868,126.82996
36.68716,126.83128
36.68581,126.83163
36.68563,126.83179
36.68539,126.83217
36.68573,126.83221
36.68547,126.83456
36.68577,126.83568
36.68656,126.83695
36.68511,126.83496
36.68371,126.83332
36.68251,126.83508
36.68348,126.83809
36.68358,126.83744
36.67962,126.8324
36.67662,126.83326
36.68465,126.83205
36.6778,126.83379
36.67466,126.83308
36.68462,126.83228
36.69416,126.83523
36.68466,126.83139
36.68876,126.82295
36.6924,126.83497
36.68935,126.82599
36.69171,126.83483
36.69221,126.83372
36.6922,126.8339
36.69102,126.84058
36.69354,126.83183
36.69259,126.83063
36.69164,126.83946
36.69342,126.82974
36.69189,126.83869
36.69331,126.83493
36.69404,126.83626
36.69394,126.83451
