x,y
35.82295,128.54831
35.83386,128.55564
35.83394,128.55577
35.83377,128.55651
35.83408,128.55593
35.8338,128.55619
35.83144,128.55873
35.82307,128.54753
35.8304,128.55775
35.82215,128.54876
35.82753,128.56054
35.82737,128.56011
35.8317,128.55841
35.83121,128.55714
35.83013,128.55955
35.8282,128.55546
35.83005,128.55938
35.83112,128.55908
35.82965,128.55194
35.82949,128.55199
35.82933,128.55962
35.82655,128.55311
35.83097,128.55445
35.82874,128.55841
35.83373,128.55582
35.82686,128.55328
35.82783,128.55535
35.82837,128.55393
35.832,128.55311
35.82418,128.54868
35.83134,128.55406
35.82382,128.54961
35.8303,128.55701
35.82673,128.55356
35.82225,128.54884
35.83028,128.55468
35.82715,128.55074
35.82195,128.54912
35.82571,128.56165
35.83025,128.55893
35.82962,128.55275
35.83059,128.55255
35.82343,128.54767
35.83112,128.55457
35.83085,128.5538
35.82121,128.55153
35.82962,128.55422
35.82301,128.55106
35.82817,128.55233
35.82282,128.55173
35.82259,128.55278
35.82624,128.55364
35.82423,128.55278
35.82912,128.5551
35.82504,128.54974
35.83354,128.55526
35.83122,128.55422
35.82647,128.55201
35.83143,128.55324
35.83023,128.56018
35.82464,128.54701
35.8247,128.55133
35.82765,128.55062
35.82846,128.55489
35.82679,128.55039
35.8272,128.55581
35.82818,128.55089
35.82963,128.56027
35.83361,128.55508
35.82959,128.55646
35.83034,128.55234
35.82979,128.55189
35.8195,128.55345
35.83196,128.55398
35.82306,128.54839
35.82949,128.55674
35.82751,128.55207
35.83124,128.55762
35.82262,128.54914
35.82667,128.55164
35.83018,128.55255
35.82838,128.56
35.82507,128.55114
35.8238,128.55246
35.82659,128.5553
35.82435,128.54946
35.82159,128.54956
35.82375,128.55054
35.83251,128.55454
35.82813,128.55008
35.82984,128.55532
35.82787,128.55475
35.83004,128.55548
35.83027,128.55188
35.82637,128.54976
35.82547,128.55494
35.82705,128.55315
35.82465,128.55112
35.8242,128.54725
35.82377,128.54689
35.82369,128.54839
35.82369,128.54771
35.8239,128.54857
35.82753,128.55748
35.82383,128.54872
35.82891,128.55134
35.81975,128.55167
35.82849,128.5508
35.83072,128.55225
35.82517,128.54746
35.82672,128.55603
35.83008,128.55451
35.82852,128.56022
35.82726,128.55083
35.82137,128.55122
35.82597,128.55049
35.82673,128.55274
35.82968,128.55218
35.82956,128.55531
35.829,128.55141
35.82725,128.55788
35.82509,128.55431
35.83218,128.55423
35.83233,128.55419
35.831,128.55559
35.82464,128.54971
35.82693,128.55383
35.82797,128.55151
35.82786,128.55027
35.8224,128.55107
35.82227,128.55268
35.82216,128.55241
35.82715,128.55399
35.83057,128.54918
35.82961,128.54854
35.83111,128.54696
35.8297,128.54918
35.83,128.54955
35.82923,128.54357
35.8293,128.54934
35.82951,128.54894
35.82927,128.54954
35.82974,128.54987
35.83029,128.54784
35.82936,128.54907
35.8306,128.5484
35.83082,128.54816
35.83063,128.54699
35.83023,128.54722
35.83063,128.54726
35.83027,128.54617
35.83066,128.54517
35.83029,128.545
35.83026,128.54561
35.83056,128.5458
35.83113,128.54399
35.83113,128.54414
35.83052,128.54413
35.82979,128.54416
35.8295,128.54362
35.8325,128.5522
35.82896,128.54391
35.82969,128.54371
35.83141,128.54573
35.83081,128.55759
35.82647,128.55664
35.82709,128.55748
35.82646,128.55231
35.82659,128.55587
35.8268,128.5569
35.82609,128.55514
35.82637,128.55534
35.82637,128.55471
35.83104,128.55775
35.82938,128.55665
35.82956,128.55661
35.8287,128.55356
35.82771,128.55437
35.82831,128.5518
35.82575,128.55402
35.82855,128.55218
35.82753,128.55013
35.8295,128.55361
35.82486,128.55317
35.82923,128.55635
35.82197,128.54931
35.82943,128.55632
35.82908,128.55317
35.82944,128.55819
35.82948,128.55834
35.82475,128.55299
35.82578,128.55084
35.82433,128.54734
35.82798,128.55436
35.82904,128.55207
35.82824,128.55415
35.82585,128.55069
35.82296,128.55196
35.83054,128.55443
35.83037,128.55428
35.82788,128.55934
35.83008,128.55665
35.82668,128.54962
35.82377,128.54899
35.82638,128.54877
35.82378,128.54798
35.82206,128.54982
35.82608,128.55478
35.8252,128.55329
35.82677,128.5553
35.82699,128.55509
35.82703,128.55488
35.82679,128.55444
35.82706,128.55393
35.82657,128.55438
35.82673,128.5541
35.82709,128.55409
35.82749,128.55441
35.82755,128.55423
35.82756,128.55393
35.82727,128.55357
35.82718,128.55376
35.82735,128.55338
35.82739,128.55357
35.8282,128.55396
35.82701,128.55343
35.82568,128.55466
35.82595,128.55419
35.82581,128.55446
35.82585,128.5541
35.82529,128.55358
35.82663,128.55288
35.82612,128.55388
35.82594,128.55302
35.82674,128.55255
35.82617,128.55206
35.8248,128.55401
35.82446,128.55376
35.82728,128.54659
35.82433,128.55367
35.82748,128.54619
35.82749,128.54749
35.82705,128.54721
35.82834,128.54821
35.82819,128.54629
35.82802,128.54637
35.82809,128.54675
35.82779,128.54703
35.82771,128.54696
35.82788,128.54662
35.82817,128.5473
35.82832,128.54704
35.82846,128.54758
35.82844,128.54681
35.82875,128.54748
35.82887,128.54795
35.82891,128.54721
35.82841,128.54615
35.82871,128.54579
35.82804,128.54595
35.8277,128.54575
35.82819,128.54588
35.82776,128.54544
35.82748,128.54526
35.82907,128.54554
35.82698,128.54447
35.82843,128.54485
35.82723,128.54472
35.82726,128.54491
35.82712,128.54492
35.8267,128.54523
35.82406,128.55356
35.82522,128.55313
35.82499,128.55293
35.82551,128.55274
35.82568,128.55241
35.82531,128.5521
35.82513,128.55243
35.82498,128.55183
35.82568,128.55198
35.82581,128.55175
35.82521,128.55158
35.82533,128.55136
35.82405,128.54891
35.82492,128.55194
35.82569,128.54827
35.8247,128.55235
35.82397,128.55165
35.82414,128.55271
35.8241,128.55303
35.82371,128.55321
35.82362,128.55315
35.82352,128.55225
35.82334,128.55212
35.82301,128.55186
35.82279,128.55229
35.82288,128.55259
35.8229,128.55287
35.8225,128.55232
35.82264,128.5516
35.82143,128.55169
35.82148,128.55157
35.83192,128.54749
35.83186,128.54725
35.83192,128.5478
35.8218,128.55179
35.83096,128.54756
35.83146,128.5475
35.83109,128.54749
35.83194,128.54696
35.83108,128.54936
35.82605,128.5456
35.83074,128.54969
