x,y
35.84608,128.59609
35.84551,128.59616
35.84575,128.59647
35.84558,128.59641
35.84607,128.59655
35.8453,128.59658
35.84584,128.59607
35.84555,128.59685
35.84556,128.5967
35.84688,128.59766
35.84573,128.59554
35.8473,128.59572
35.84527,128.59605
35.84685,128.59563
35.84672,128.59536
35.84517,128.57807
35.84535,128.57807
35.84688,128.59754
35.84487,128.57834
35.8449,128.57851
35.84491,128.57907
35.84543,128.579
35.83967,128.57621
35.84482,128.57948
35.84394,128.57972
35.84465,128.57884
35.84436,128.57832
35.84438,128.57883
35.84396,128.57846
35.84439,128.5786
35.84396,128.5782
35.84408,128.57722
35.844,128.57743
35.84385,128.5779
35.84417,128.57708
35.84427,128.5767
35.84072,128.57596
35.84457,128.57659
35.84474,128.57693
35.84458,128.57648
35.83922,128.59605
35.8392,128.59571
35.83942,128.59515
35.83968,128.59601
35.83986,128.59533
35.83959,128.59488
35.83968,128.59506
35.83967,128.59453
35.83954,128.59458
35.83929,128.59485
35.8525,128.59909
35.8545,128.5996
35.85287,128.59836
35.85436,128.5989
35.85338,128.59865
35.85423,128.59884
35.85447,128.59977
35.8544,128.59962
35.85455,128.59906
35.85429,128.59929
35.85366,128.59942
35.84729,128.60076
35.85413,128.59932
35.8475,128.60112
35.84739,128.60282
35.84746,128.60199
35.84727,128.60301
35.84745,128.60323
35.84702,128.60394
35.84713,128.60455
35.8473,128.60443
35.8465,128.60147
35.84618,128.60241
35.84667,128.60222
35.84633,128.60245
35.84622,128.60213
35.84676,128.60238
35.84666,128.6021
35.84686,128.60192
35.84641,128.60232
35.84654,128.60178
35.84614,128.60175
35.84642,128.60133
35.84242,128.6055
35.84227,128.60553
35.83023,128.60273
35.83009,128.60275
35.8421,128.60511
35.8419,128.60517
35.84227,128.60508
35.84256,128.6054
35.84284,128.60546
35.84275,128.60533
35.84286,128.60533
35.84297,128.60531
35.84303,128.60481
35.8429,128.60485
35.84207,128.60395
35.8426,128.60496
35.84255,128.60442
35.84263,128.60464
35.84239,128.60474
35.83897,128.60104
35.83531,128.60122
35.83761,128.60019
35.84175,128.59743
35.83517,128.60125
35.83326,128.60057
35.84188,128.59733
35.84176,128.59727
35.84217,128.5964
