x,y
36.30957,127.4065
36.30958,127.40689
36.30878,127.40598
36.30894,127.40555
36.31071,127.41135
36.30906,127.4062
36.30899,127.40485
36.26802,127.40854
36.26867,127.40801
36.26952,127.4095
36.26881,127.40838
36.27087,127.40502
36.27414,127.40302
36.27461,127.40289
36.27186,127.40468
36.27239,127.40354
36.27209,127.40276
36.27158,127.40102
36.2715,127.40067
36.27112,127.39326
36.27066,127.39147
36.27054,127.39024
36.27057,127.38898
36.27127,127.39212
36.27059,127.3893
36.27047,127.39075
36.2726,127.39068
36.2714,127.39184
36.27083,127.39258
36.27221,127.39312
36.27158,127.39236
36.27171,127.39229
36.27247,127.39244
36.27233,127.39235
36.27141,127.39318
36.27381,127.39539
36.27286,127.39662
36.27426,127.39597
36.31463,127.39773
36.27764,127.39832
36.31436,127.39752
36.2755,127.39642
36.31495,127.39787
36.31481,127.39742
36.3145,127.39736
36.31501,127.39814
36.30879,127.40374
36.30898,127.40454
36.30897,127.40418
36.3088,127.40416
36.30848,127.40405
36.30867,127.40544
36.30849,127.40367
36.3087,127.40478
36.3084,127.40458
36.30811,127.4052
36.30759,127.40586
36.30771,127.40588
36.30895,127.40508
36.3078,127.40557
36.30814,127.40571
36.30797,127.40614
36.30862,127.40603
36.30785,127.40624
36.30846,127.40622
36.30816,127.40667
36.30842,127.40742
36.31065,127.40427
36.31083,127.40469
36.31109,127.405
36.31078,127.40478
36.31028,127.4047
36.31039,127.40506
36.31107,127.40529
36.3108,127.4052
36.31147,127.40583
36.3113,127.40603
36.31155,127.40622
36.31162,127.40612
36.31165,127.40597
36.30861,127.40745
36.32644,127.39135
36.32668,127.39093
36.32653,127.39145
36.3261,127.39103
36.326,127.39121
36.32657,127.39131
36.32612,127.39167
36.31518,127.39815
36.31508,127.39779
36.32565,127.39161
36.31506,127.39757
36.31499,127.39688
36.31571,127.39737
36.31561,127.39784
36.31526,127.39753
36.31721,127.39743
36.31771,127.39699
36.31669,127.39746
36.317,127.39764
36.31767,127.3968
36.31663,127.39703
36.31724,127.39672
36.31676,127.39608
36.31642,127.3954
36.31633,127.39501
36.3172,127.39548
36.31664,127.39504
36.32269,127.40103
36.32257,127.40061
36.31773,127.39663
36.31691,127.39463
36.31781,127.39642
36.31764,127.39624
36.31696,127.39494
36.31702,127.39654
36.31736,127.39631
36.31693,127.39666
36.31635,127.3969
36.31652,127.39664
36.31597,127.39709
36.31578,127.39721
36.31916,127.39533
36.31553,127.39697
36.31569,127.39721
36.31583,127.397
36.31906,127.40416
36.31831,127.40432
36.31793,127.40451
36.3171,127.40426
36.32575,127.39245
36.32565,127.39173
36.32573,127.39171
36.32606,127.39177
36.32594,127.39264
36.32596,127.39245
36.32593,127.39306
36.32604,127.39316
36.32581,127.39377
36.32533,127.39386
36.32535,127.3937
36.32522,127.39431
36.32738,127.39171
36.32675,127.39286
36.3273,127.39137
36.32655,127.39429
36.32684,127.39324
36.32651,127.39452
36.32715,127.39332
36.32668,127.39337
36.32709,127.39343
36.32746,127.39327
36.32702,127.39239
36.32724,127.39214
36.32892,127.39298
36.32747,127.3923
36.32848,127.39252
36.32911,127.39324
36.32731,127.39308
36.32707,127.39412
36.32686,127.39441
36.32725,127.39434
36.3268,127.39456
36.3274,127.39402
36.32768,127.39399
36.24723,127.40463
36.32658,127.39367
36.32712,127.39397
36.24971,127.40543
36.24943,127.40409
36.24899,127.40293
36.25149,127.40199
36.31683,127.40502
36.31649,127.40523
36.31717,127.40537
36.31644,127.40463
36.3167,127.40426
36.31693,127.40394
36.31692,127.40359
36.3171,127.40357
36.31755,127.40733
36.31702,127.40359
36.31777,127.40509
36.31793,127.40579
36.32026,127.41242
36.31803,127.40614
36.3178,127.40765
36.32039,127.41293
36.32031,127.41
36.31973,127.41379
36.31639,127.40569
36.32036,127.41278
36.31993,127.4137
36.3201,127.41328
36.31873,127.41376
36.31722,127.40355
36.32017,127.41356
36.32043,127.41341
36.31026,127.41211
36.31835,127.41445
36.32062,127.41312
36.31872,127.41474
36.33113,127.40336
36.32809,127.40681
36.31636,127.40523
36.3272,127.41028
36.33526,127.40133
36.33139,127.40435
36.32996,127.39519
36.33022,127.39514
36.32977,127.3951
36.33007,127.40595
36.33064,127.406
36.2515,127.39954
36.25219,127.39889
36.25028,127.40068
36.25187,127.39948
36.24652,127.40019
36.2536,127.39906
36.2521,127.39511
36.25448,127.39781
36.25447,127.39849
36.25435,127.39807
36.25353,127.39629
36.25412,127.39744
36.25443,127.39737
36.25456,127.39678
36.255,127.39682
36.25524,127.39637
36.25485,127.39795
36.25595,127.39853
36.25722,127.3983
36.29845,127.38417
36.25632,127.3991
36.26918,127.40051
36.25764,127.39885
36.25874,127.39662
36.27053,127.40933
36.26894,127.4057
36.26939,127.40363
36.2611,127.40888
36.26205,127.41599
36.26179,127.41503
36.26232,127.41195
36.26196,127.414
36.26322,127.41386
36.31545,127.40041
36.26927,127.41216
36.26361,127.41088
36.31557,127.40072
36.2687,127.41259
36.31534,127.40085
36.31582,127.40097
36.31514,127.40131
36.31548,127.40079
36.31527,127.40056
36.32925,127.39573
36.32966,127.39605
36.32938,127.39622
36.3299,127.39603
36.32858,127.39588
36.3311,127.39597
36.33053,127.39601
36.33042,127.39638
36.33002,127.39613
36.33014,127.39639
36.3307,127.39653
36.33077,127.39601
36.33124,127.39673
36.33113,127.39642
36.33132,127.39681
36.33122,127.39607
36.33205,127.39716
36.33211,127.39709
36.33215,127.39692
36.33222,127.39689
36.32104,127.41682
36.32072,127.41626
36.33249,127.39756
36.31534,127.42291
36.31979,127.41728
36.31691,127.42362
36.31685,127.42122
36.31154,127.42068
36.31717,127.42445
36.31478,127.41824
36.31737,127.41491
36.31225,127.42818
36.30906,127.41936
36.31114,127.42046
36.31672,127.41398
36.31508,127.42607
36.27679,127.39543
36.31504,127.40095
36.27605,127.39455
36.31509,127.40067
36.27643,127.39676
36.27634,127.39437
36.31463,127.40107
36.31469,127.40155
36.31479,127.40087
36.31474,127.40015
36.31462,127.40017
36.31477,127.39978
36.31437,127.39994
36.31422,127.39937
36.3143,127.39997
36.31381,127.39955
36.31422,127.4001
36.31424,127.40024
36.3141,127.40068
36.3142,127.40107
36.31382,127.39987
36.31425,127.40122
36.31383,127.40132
36.31399,127.40092
36.31323,127.39809
36.31308,127.39783
36.31261,127.39758
36.31359,127.40023
36.31277,127.39795
36.31336,127.39868
36.31375,127.39867
36.31352,127.39845
36.31301,127.39834
36.31344,127.39746
36.3137,127.39738
36.31405,127.39751
36.31378,127.39673
36.31367,127.39723
36.3138,127.39777
36.31234,127.40719
36.31271,127.40716
36.31263,127.40691
36.31236,127.40731
36.27728,127.39525
36.31198,127.40705
36.31176,127.4071
36.31548,127.39639
36.31248,127.40754
36.28289,127.42671
36.28318,127.42742
36.28202,127.4217
36.28438,127.42668
36.27934,127.4252
36.28149,127.42173
36.2824,127.42217
36.28241,127.42264
36.28234,127.42303
36.28334,127.42244
36.28217,127.42261
36.28199,127.42287
36.28295,127.42299
36.27084,127.4282
36.27911,127.42466
36.27732,127.4194
36.27523,127.41153
36.27562,127.40877
36.27506,127.40839
36.28017,127.4071
36.28088,127.40655
36.27632,127.40671
36.27601,127.40687
36.27902,127.4084
36.27944,127.40746
36.27857,127.40689
36.27686,127.4071
36.27773,127.40469
36.27731,127.40056
36.27708,127.40404
36.27778,127.40386
36.28045,127.40147
36.2776,127.40292
36.29453,127.3977
36.31523,127.39645
36.29871,127.39521
36.29832,127.39568
36.31581,127.39625
36.31149,127.40707
36.31039,127.40714
36.31127,127.40722
36.31142,127.4056
36.31069,127.40694
36.3117,127.40545
36.31085,127.40668
36.31151,127.4053
36.31167,127.40491
36.31251,127.405
36.3128,127.40592
36.31292,127.40605
36.31413,127.40585
36.31415,127.4053
36.31436,127.40558
36.31406,127.40459
36.31389,127.40502
36.31463,127.40312
36.31107,127.40679
36.31446,127.40353
36.31644,127.40382
36.31485,127.40315
36.31484,127.40396
36.31481,127.40357
36.31511,127.40318
36.31459,127.40368
36.31651,127.40373
36.31589,127.40344
36.31768,127.40487
36.31759,127.40513
36.31779,127.40632
36.31834,127.40477
36.31755,127.40579
36.31825,127.40582
36.31899,127.40453
36.31937,127.40427
36.31959,127.40419
36.32768,127.3937
36.32761,127.39356
36.31882,127.40458
36.32756,127.39263
36.31534,127.39553
36.3153,127.39536
36.3279,127.39282
36.32763,127.39239
36.31511,127.39599
36.31603,127.39616
36.3152,127.39541
36.31566,127.39541
36.31598,127.39511
36.31499,127.39563
36.31489,127.39518
36.31496,127.39549
36.31332,127.39594
36.31395,127.39602
36.31343,127.3962
36.31474,127.39598
36.31375,127.39661
36.31361,127.39699
36.31471,127.3967
36.31404,127.39691
36.31317,127.39691
36.31261,127.39732
36.31276,127.39727
36.31243,127.39488
36.31265,127.39697
36.31315,127.39632
36.31234,127.39557
36.31253,127.39657
36.31249,127.39524
36.31204,127.39493
36.3118,127.39387
36.31162,127.39278
36.31151,127.39312
36.31176,127.39269
36.31162,127.39374
36.31181,127.39334
36.31215,127.39287
36.31197,127.39351
36.31228,127.39378
36.31225,127.39393
36.31274,127.3945
36.31261,127.39495
36.31504,127.39477
36.31248,127.395
36.31257,127.39361
36.31284,127.3952
36.32832,127.4112
36.32846,127.39266
36.32806,127.39247
36.32841,127.39311
36.32827,127.39357
36.32779,127.39374
36.32771,127.3949
36.3281,127.39384
36.32802,127.39423
36.32786,127.39461
36.32807,127.39468
36.32755,127.3947
36.32618,127.39205
36.32822,127.39535
36.32729,127.39464
36.32874,127.39348
36.32718,127.39472
36.32908,127.39363
36.32861,127.39554
