x,y
38.1211578,128.2019762
38.1301059,128.2163618
38.1253583,128.2060597
38.1163252,128.1986783
38.1289603,128.2121951
38.1257359,128.2065284
38.1231465,128.2135012
38.1166988,128.2014621
38.1194761,128.2001468
38.1189765,128.2126336
38.1247052,128.1982108
37.9463543,128.3157861
37.9466904,128.3214311
37.9663859,128.0811815
37.9549908,128.3173481
37.9572937,128.3187349
37.9568709,128.3184941
37.9537402,128.3166941
37.9535419,128.3167387
37.9578961,128.3192382
37.9587714,128.3187186
37.9609855,128.3196045
37.9618751,128.3204732
37.9473815,128.3124225
37.8734379,128.2593552
38.2251511,128.2112882
38.1256281,128.2114326
37.9665902,128.3227359
38.0656538,128.1696729
38.0671341,128.1740869
38.0620128,128.1640577
38.1214966,128.2091624
38.0702466,128.1772971
38.0736371,128.1814084
38.0654024,128.1752224
38.0720971,128.1809829
38.1273584,128.2161141
38.0691412,128.1754024
38.1204899,128.2026815
38.1969005,128.3425691
38.0738804,128.1813521
38.1215192,128.2065963
38.1310345,128.2111631
38.0603698,128.1663331
38.0670281,128.1725823
37.9660441,128.0803391
37.9671533,128.0790996
38.0716341,128.1773004
38.1247661,128.2046665
38.1290814,128.2198149
38.0624358,128.1643891
38.0573241,128.1666338
38.2211565,128.2080331
38.0683775,128.1740101
38.0625569,128.1679221
38.1185483,128.2000531
38.2227796,128.2072382
38.0653204,128.1697064
38.1362169,128.2595116
38.0655731,128.1694791
38.0681065,128.1683681
37.9683593,128.0810586
38.1231769,128.2066352
37.9747329,128.0886122
38.1232678,128.2062021
38.0695189,128.1759276
38.1886823,128.3174845
37.8729533,128.2584328
38.0674561,128.1695291
38.0688261,128.1752535
37.8723181,128.2604993
38.1292546,128.2187091
38.0658191,128.1675081
38.2125038,128.3581613
