X,Y
37.5804341,129.1130271
37.5246841,129.1144111
37.5154231,129.1234611
37.5177501,129.1158001
37.5180101,129.1200101
37.5148301,129.1201001
37.4946601,129.1077001
37.4868601,129.1093001
37.4925301,129.1095001
37.4797901,129.1121001
37.5500101,129.1053001
37.5427401,129.1053001
37.5589701,129.1128001
37.5238701,129.1133001
37.5229401,129.1138001
37.5214011,129.1125001
37.4989201,129.1250001
37.5433801,129.1031001
37.5357201,129.1037001
37.5585801,129.1094001
37.4856101,129.0676001
37.5452701,129.1036001
37.5407101,129.1080011
37.4810301,129.1267001
37.5584011,129.1142001
37.5417701,129.1029001
37.5408701,129.1083001
37.5225101,129.1155001
37.4984301,129.1263001
37.5370101,129.1055001
37.4818601,129.1292001
37.4866901,129.0683001
37.5427901,129.1101001
37.5191401,129.1110001
37.5183101,129.1150011
37.5398201,129.1003001
37.5386401,129.1028001
37.5187101,129.1136001
37.4803501,129.1288001
37.5218301,129.1104001
37.5211801,129.1066001
37.5203501,129.1084001
37.4970701,129.1085001
37.5522011,129.1164001
37.5520801,129.1136001
37.4976501,129.1248001
37.5237501,129.1037001
37.5403901,129.1075001
37.5150201,129.1223001
37.4808301,129.1095001
37.5173801,129.1180011
37.5778301,129.0874001
37.5038701,129.1072001
37.5419601,129.1070011
37.5519401,129.1057001
37.5923101,129.0895001
37.5492701,129.1089001
37.4885701,129.0993001
37.5201301,129.1108001
37.4833301,129.1283001
37.4781501,129.1571001
37.5223501,129.1140011
37.5290101,129.1006001
37.4888011,129.1083001
37.4703801,129.1400111
37.5456801,129.1029001
37.5200701,129.1058001
37.5425801,129.1062001
37.4822801,129.1233001
37.4970901,129.1063001
37.5162101,129.1164001
37.5405011,129.1091001
37.5221101,129.1122001
37.5430101,129.1075001
37.4877901,129.1025001
37.5346701,129.1148001
37.5941501,129.0828001
37.4665901,129.1496001
37.5133201,129.1036001
37.5139101,129.1039001
37.5026201,129.0441001
37.5986101,129.0794001
37.5052101,129.1266001
37.6023301,129.0747001
37.5780901,129.0970011
37.5057701,129.1267001
37.5513801,129.1079001
37.5508201,129.1082001
37.5500301,129.1093001
37.5512501,129.1069001
37.5509501,129.1075001
37.5503601,129.1078001
37.5499201,129.1087001
37.5505401,129.1088001
37.5507011,129.1085001
37.5503101,129.1082001
37.5504601,129.1081001
37.5504401,129.1086001
37.5123301,129.1247001
37.4968901,129.1284001
37.5379301,129.1070011
37.4943101,129.1056001
37.5109201,129.1206001
37.5244901,129.1077001
37.5209101,129.1130011
37.5203201,129.1044001
37.5178801,129.1108001
37.5160501,129.1183001
37.5359901,129.1124001
37.5365101,129.1127001
37.5297601,129.1015001
37.4841701,129.1281001
37.5402801,129.0993001
37.5505601,129.1031001
37.5421501,129.1083001
37.5360111,129.1018001
37.5381801,129.1003001
37.4875501,129.1024001
37.5123201,129.1219001
37.5158271,129.1214601
37.5246671,129.1061841
37.5317041,129.1107141
37.5179481,129.1017061
37.4777591,129.1284131
37.5203971,129.1187031
37.5245051,129.1095731
37.5260311,129.1085781
37.5517211,129.1022181
37.5524411,129.1039111
37.5436461,129.1021611
37.5428041,129.1004101
37.4853381,129.1047721
37.4861561,129.1029881
37.4814791,129.1244211
37.4823011,129.1232841
37.5160431,129.1067751
37.5161981,129.1071131
37.4948611,129.1233571
37.4942121,129.1237491
37.5345891,129.1124271
37.5340251,129.1139721
37.5334151,129.1125671
37.5585861,129.1093891
37.5577911,129.1095551
37.4963491,129.1003911
37.4955781,129.1028991
37.5219541,129.1019821
37.5124251,129.1192961
37.4856231,129.0676111
37.5274771,129.1061741
37.5516311,129.1053591
37.5900281,129.0892571
37.4694701,129.0365581
37.4838731,129.1250941
37.5168761,129.0219111
37.4927961,129.0911631
37.5842371,129.1018971
37.4765891,129.1321311
37.5807351,129.1122451
37.4765981,129.1594771
37.5695471,129.1166081
37.5947211,129.0883511
37.5614841,129.1199161
37.5322111,129.1172581
37.5803891,129.1081321
37.5769531,129.0972971
37.5219531,129.0701551
37.5878641,129.0727671
37.5154811,128.9835961
37.5109311,129.1178721
37.4709031,129.1339061
37.5223951,129.1129181
37.5213091,129.1134441
37.5229371,129.1137521
37.4860651,129.1048571
37.4861521,129.1083091
37.4860581,129.1107311
37.5242181,129.1160141
37.5238711,129.1133111
37.5321331,129.1133971
37.5494411,129.1037111
