x,y
37.73666,127.80892
37.70818,127.81108
37.73235,127.80474
37.73295,127.80571
37.73408,127.8066
37.72918,127.79256
37.73509,127.80434
37.7342,127.80466
37.72841,127.77569
37.72755,127.77528
37.70954,127.74295
37.71722,127.74221
37.70832,127.74045
37.71392,127.75421
37.72349,127.7266
37.72165,127.75283
37.72065,127.71609
37.73068,127.73095
37.72492,127.72863
37.72234,127.71831
37.71972,127.71566
37.72027,127.71406
37.71979,127.71071
37.71874,127.70505
37.71074,127.70195
37.70636,127.70096
37.70559,127.70111
37.7248,127.8667
37.73864,128.02339
37.73833,128.02593
37.70944,128.04153
37.73291,128.0327
37.75651,128.02144
37.73815,128.02832
37.755,128.00837
37.74203,128.0067
37.73918,128.0062
37.75424,128.00383
37.74731,128.00417
37.75182,128.00197
37.74971,128.00128
37.74509,128.00635
37.75372,128.00107
37.75507,127.97041
37.75556,127.97457
37.75454,127.96489
37.75484,127.9635
37.7546,127.96308
37.75454,127.9613
37.74674,127.95699
37.74801,127.94595
37.74598,127.95549
37.74908,127.94314
37.75176,127.94118
37.77383,128.29618
37.77091,128.29906
37.77246,128.29998
37.76945,128.30382
37.7673,128.30622
37.7663,128.3092
37.76642,128.31189
37.76475,128.31183
37.76293,128.31927
37.76683,128.31579
37.77645,128.31839
37.78165,128.32529
37.78341,128.33428
37.77896,128.32705
37.78752,128.34217
37.78749,128.36317
37.78761,128.36096
37.79089,128.36272
37.79341,128.37017
37.78842,128.35929
37.75034,128.40128
37.73955,128.4058
37.74196,128.40236
37.73885,128.40203
37.59874,127.88496
37.64453,127.88537
37.64403,127.88185
37.72197,127.86188
37.60711,127.87128
37.61153,127.86655
37.60992,127.86653
37.60784,127.86409
37.60557,127.86442
37.65948,127.88379
37.65897,127.88312
37.6512,127.87131
37.65804,127.88158
37.65931,127.88769
37.661,127.88818
37.66435,127.88804
37.65833,127.88317
37.65742,127.8887
37.65745,127.88703
37.65707,127.8903
37.65738,127.88939
37.65654,127.89047
37.6551,127.89038
37.65531,127.88764
37.65455,127.88768
37.65115,127.88686
37.64321,127.88214
37.65036,127.89116
37.72026,127.86318
37.719,127.86109
37.71723,127.86077
37.71576,127.8615
37.71356,127.86113
37.71428,127.8616
37.71239,127.86141
37.71071,127.86091
37.7123,127.86204
37.70982,127.8625
37.71068,127.86164
37.70996,127.86329
37.70674,127.86153
37.7102,127.8655
37.7105,127.86704
37.70545,127.85834
37.70596,127.85762
37.70472,127.85782
37.70521,127.85723
37.70637,127.85771
37.71387,127.79771
37.70972,127.79872
37.71017,127.79995
37.70999,127.79744
37.70892,127.79962
37.70852,127.80093
37.70876,127.79748
37.75688,127.94033
37.7613,127.94138
37.78061,127.91095
37.79035,127.90872
37.78973,127.9111
37.80383,127.90789
37.8159,127.90174
37.82073,127.8941
37.83455,127.88821
37.82774,127.89098
37.77718,127.97123
37.77803,127.9709
37.78796,127.97402
37.78557,127.97382
37.78946,127.97428
37.80115,127.96024
37.8031,127.95981
37.79886,127.96567
37.80249,127.95997
37.80479,127.96009
37.81021,127.95813
37.81748,127.96356
37.81169,127.96021
37.81334,127.96051
37.82088,127.95835
37.8158,127.9605
37.82166,127.95795
37.74316,128.40087
37.73855,128.40127
37.73542,128.4015
37.73437,128.40435
37.74174,128.40443
37.73106,128.40717
37.72911,128.41374
37.75014,128.40866
37.7303,128.41086
37.72774,128.40711
37.72435,128.41152
37.72337,128.41378
37.71889,128.42014
37.71918,128.41836
37.72125,128.41868
37.71926,128.42075
37.73204,128.36953
37.71578,128.33338
37.71704,128.33797
37.72116,128.35014
37.72658,128.35658
37.72522,128.35619
37.72675,128.35698
37.72703,128.35781
37.73261,128.36117
37.71998,128.34767
37.63259,127.89438
37.63228,127.89033
37.63216,127.88767
37.62719,127.89358
37.63083,127.89237
37.63158,127.88837
37.70872,127.79308
37.63114,127.88529
37.77855,127.87218
37.78484,127.86722
37.80048,127.85385
37.63061,127.88432
37.63064,127.88216
37.62914,127.88036
37.63221,127.89415
37.62725,127.89117
37.62747,127.88877
37.63045,127.88708
37.63104,127.89858
37.62593,127.90314
37.62613,127.90509
37.62655,127.90733
37.62107,127.90907
37.63287,127.89493
37.63367,127.89593
37.63224,127.89812
37.63295,127.89677
37.63244,127.89522
37.62971,127.8945
37.61932,127.89642
37.61373,127.8927
37.61856,127.89369
37.70004,127.7882
37.69948,127.78807
37.61593,127.89328
37.81443,127.84908
37.82146,127.84358
37.81194,127.85119
37.80285,127.8558
37.81396,127.84996
37.80023,127.85637
37.80019,127.85583
37.79828,127.86003
37.79895,127.85993
37.78234,127.87005
37.78375,127.86805
37.77725,127.87222
37.77566,127.87211
37.77231,127.87416
37.74468,128.37984
37.76921,127.8749
37.76923,127.87763
37.76941,127.8768
37.76621,127.88027
37.76732,127.87895
37.76471,127.88093
37.7621,127.88188
37.78397,127.98974
37.78501,127.9868
37.78647,127.98211
37.78492,127.98312
37.78436,127.9913
37.78443,127.99429
37.77022,128.0338
37.70845,127.96882
37.71414,127.97048
37.72123,127.96692
37.73237,127.95437
37.73488,127.94905
37.72566,127.96519
37.73715,127.9462
37.74038,127.92727
37.74684,127.92071
37.73961,127.92851
37.73572,127.93109
37.73207,127.935
37.7361,127.93828
37.7377,127.93908
37.74167,127.94175
37.74079,127.9411
37.76326,127.95564
37.76693,127.96254
37.76377,127.95565
37.76772,127.96388
37.73425,128.3613
37.73533,128.36214
37.73574,128.36583
37.73967,128.36504
37.74602,128.36205
37.75368,128.38283
37.75384,128.37453
37.75655,128.37224
37.75545,128.36928
37.75781,128.3709
37.74927,128.3744
37.74795,128.37528
37.75191,128.37307
37.74684,128.3735
37.73866,128.38478
37.74608,128.37145
37.74478,128.38199
37.75017,128.37232
37.7316,128.3739
37.7355,128.3603
37.76049,128.34612
37.75842,128.34929
37.75877,128.352
37.7576,128.35038
37.75616,128.35229
37.75335,128.35603
37.75781,128.35195
37.75515,128.35309
37.75621,128.3528
37.75435,128.3522
37.75439,128.35246
37.7548,128.35337
37.75425,128.3532
37.75389,128.35423
37.75229,128.35647
37.75196,128.35603
37.61827,127.88965
37.61754,127.89431
37.61689,127.89197
37.61538,127.89461
37.65176,127.81572
37.64898,127.81038
37.61014,127.89825
37.65412,127.82545
37.73845,127.87805
37.73675,127.87697
37.74009,127.87376
37.61164,127.89847
37.61144,127.90054
37.61061,127.90088
37.65281,127.81871
37.65309,127.81622
37.65061,127.81236
37.646,127.80996
37.64637,127.80883
37.64574,127.80775
37.63818,127.81625
37.63739,127.81766
37.63754,127.82106
37.63773,127.82224
37.63748,127.81851
37.63488,127.82258
37.64763,127.81358
37.63238,127.82324
37.76061,127.88247
37.75823,127.88306
37.75756,127.88348
37.75191,127.8861
37.74888,127.86415
37.7285,127.86847
37.73339,127.87267
37.68231,127.72869
37.68278,127.72916
37.68676,127.73131
37.69399,127.72339
37.67887,127.75163
37.71049,127.84835
37.70875,127.84938
37.71156,127.85069
37.69365,127.72342
37.70738,127.85456
37.70747,127.85358
37.71181,127.85249
37.70765,127.85301
37.70699,127.85384
37.70516,127.8536
37.77199,127.96895
37.77311,127.96967
37.77595,127.97296
37.75838,127.98362
37.76536,127.972
37.75927,127.97723
37.76284,127.97563
37.76554,127.97355
37.67858,127.91126
37.69821,127.98094
37.66752,127.90337
37.68804,127.93466
37.64051,127.90266
37.65097,127.9354
37.66637,127.92774
37.63922,128.01673
37.67909,128.02437
37.65582,128.06306
37.6304,128.00374
37.8319,128.3702
37.74871,128.35292
37.76255,128.35581
37.81907,128.24647
37.76234,128.35735
37.76171,128.35731
37.80615,128.22033
37.80454,128.22408
37.80867,128.21903
37.80918,128.21911
37.81067,128.21914
37.81086,128.21912
37.85597,128.28405
37.81658,128.22537
37.81607,128.2294
37.8205,128.23936
37.81926,128.24276
37.82496,128.26647
37.8257,128.26564
37.82677,128.26509
37.82382,128.26531
37.82566,128.26537
37.82686,128.2655
37.8231,128.26695
37.82325,128.29156
37.82291,128.26755
37.82242,128.26847
37.82218,128.26822
37.82176,128.26826
37.82164,128.26847
37.66013,127.83343
37.66307,127.83013
37.6666,127.83773
37.66808,127.84016
37.70467,127.85263
37.7035,127.85238
37.66207,127.83566
37.68281,127.85689
37.69943,127.85396
37.6671,127.83608
37.66163,127.82696
37.66595,127.84141
37.66917,127.84376
37.66823,127.84296
37.67111,127.84476
37.70655,127.85352
37.70569,127.85419
37.70308,127.85464
37.70339,127.85406
37.7009,127.85586
37.70386,127.85418
37.70252,127.85447
37.70107,127.85323
37.70179,127.85241
37.70335,127.85274
37.70369,127.85292
37.69177,127.84024
37.70441,127.85339
37.68749,127.85373
37.68435,127.85649
37.68553,127.85413
37.68447,127.85418
37.68196,127.85434
37.6956,127.85641
37.69257,127.85603
37.86461,128.55811
37.66929,127.82856
37.68277,127.92884
37.67643,127.93325
37.67002,127.85613
37.67196,127.85461
37.6761,127.86891
37.67981,127.86901
37.67624,127.86999
37.68908,127.86685
37.69117,127.78542
37.84457,128.52155
37.82107,128.26827
37.82073,128.26869
37.82089,128.2683
37.8204,128.26853
37.85859,128.28322
37.8534,128.28097
37.85434,128.28426
37.85359,128.2798
37.85367,128.27074
37.8501,128.27224
37.84977,128.27241
37.84817,128.27317
37.84298,128.26601
37.84316,128.27452
37.83908,128.27036
37.83739,128.26478
37.85137,128.26765
37.683,127.92761
37.68201,127.93141
37.6833,127.93238
37.68264,127.93232
37.68593,127.92899
37.67754,127.93468
37.67755,127.9356
37.67835,127.93304
37.6847,127.93413
37.67715,127.93413
37.67785,127.93179
37.67888,127.93349
37.68324,127.93401
37.68205,127.9349
37.66991,127.84825
37.67114,127.85021
37.67233,127.85136
37.67054,127.84962
37.67332,127.85252
37.67298,127.85353
37.66726,127.83062
37.66824,127.83264
37.66788,127.8351
37.67083,127.82444
37.67258,127.85494
37.66689,127.85611
37.6675,127.85642
37.6768,127.86926
37.67838,127.86955
37.67937,127.86938
37.6804,127.86843
37.69426,127.85396
37.69427,127.86869
37.69337,127.85305
37.68245,127.85877
37.68305,127.8604
37.6837,127.86083
37.68382,127.8587
37.68885,127.86771
37.69019,127.8677
37.69183,127.78177
37.69099,127.78361
37.69246,127.77579
37.73095,128.09991
37.72989,128.10055
37.73286,128.09895
37.73316,128.10924
37.73521,128.09812
37.69832,127.92165
37.73599,128.1068
37.738,128.092
37.73796,128.09153
37.73988,128.09014
37.7446,128.08888
37.75224,128.08688
37.74907,128.09909
37.72999,128.08448
37.7384,128.08519
37.68101,127.93605
37.67951,127.93727
37.68019,127.93693
37.67916,127.93671
37.67926,127.93529
37.68089,127.93836
37.6806,127.94039
37.6829,127.94271
37.6776,127.93906
37.67792,127.93825
37.68178,127.94036
37.67697,127.94084
37.67741,127.9363
37.67744,127.93788
37.67754,127.9366
37.67751,127.93722
37.67683,127.93628
37.67663,127.93681
37.67652,127.93753
37.67404,127.938
37.67558,127.93742
37.67643,127.94482
37.678,127.94456
37.67713,127.94755
37.67758,127.94544
37.68099,127.94627
37.67584,127.95019
37.67748,127.95037
37.6783,127.95098
37.67979,127.95056
37.67932,127.95194
37.68024,127.95349
37.67152,127.94618
37.67152,127.94514
37.67145,127.94572
37.67561,127.95366
37.67517,127.95166
37.68028,127.87029
37.69033,127.89983
37.69081,127.90145
37.69035,127.9003
37.69273,127.9057
37.69175,127.90355
37.69371,127.90842
37.69392,127.90886
37.69392,127.91016
37.69513,127.91371
37.69404,127.9117
37.69535,127.91431
37.69534,127.91475
37.6955,127.91648
37.69656,127.91823
37.69611,127.91726
37.69432,127.91446
37.69745,127.91884
37.70071,127.91213
37.70074,127.91341
37.70069,127.91494
37.69985,127.9189
37.69887,127.92091
37.69806,127.92377
37.70203,127.913
37.70311,127.91494
37.70178,127.91546
37.70492,127.91725
37.70426,127.9179
37.7047,127.91915
37.74184,128.08441
37.75202,128.08086
37.75036,128.0809
37.74652,128.0675
37.75124,128.06819
37.75316,128.06883
37.74945,128.0696
37.75703,128.06883
37.75974,128.0681
37.7543,128.07003
37.75836,128.05439
37.75535,128.0553
37.75126,128.04869
37.7527,128.04781
37.71799,128.0709
37.75594,128.04766
37.75995,128.0491
37.74723,128.038
37.74874,128.03899
37.74603,128.03838
37.74139,128.04273
37.72901,128.05493
37.74313,128.0401
37.74394,128.03944
37.74454,128.03848
37.70388,128.06393
37.74796,128.03514
37.70659,128.05553
37.67299,127.95176
37.70576,128.06185
37.66632,127.95362
37.67557,127.95438
37.67353,127.95826
37.6753,127.95552
37.67568,127.95608
37.67294,127.95939
37.6718,127.96915
37.67218,127.96714
37.6723,127.9723
37.67396,127.96676
37.67311,127.96506
37.67521,127.96349
37.67696,127.96445
37.67781,127.96833
37.68273,127.96927
37.67313,127.98192
37.68531,127.97235
37.68775,127.97342
37.68543,127.97016
37.68721,127.97048
37.68473,127.97313
37.68912,127.97042
37.71823,127.92653
37.71747,127.92426
37.72319,127.94123
37.72193,127.93352
37.72642,127.9428
37.72988,127.94428
37.72763,127.94503
37.72888,127.91344
37.72319,127.91811
37.72735,127.91453
37.73353,127.91049
37.6834,127.97487
37.68605,127.9739
37.68509,127.97222
37.68973,127.96863
37.6843,127.97698
37.69118,127.96753
37.68657,127.96524
37.7001,127.98022
37.68799,127.96811
37.68551,127.96886
37.71964,127.92431
37.71851,127.92596
37.71846,127.92721
37.71911,127.92842
37.72109,127.93203
37.72144,127.93256
37.72228,127.9376
37.72444,127.9434
37.71849,127.94379
37.72934,127.95094
37.72081,127.94317
37.72212,127.93911
37.71878,127.94392
37.72254,127.94523
37.72473,127.94061
37.72822,127.94582
37.71809,127.92687
37.71708,127.92585
37.71665,127.92531
37.71673,127.92547
37.71868,128.03594
37.74412,128.00506
37.72197,128.03619
37.74594,128.00146
37.74712,128.00064
37.75677,127.99865
37.75723,127.99787
37.75791,127.99616
37.75869,127.99481
37.70679,128.05047
37.75735,127.98493
37.75708,127.98456
37.75566,127.98314
37.75232,127.95897
37.7507,127.95783
37.74534,127.95559
37.76331,127.93791
37.76494,127.93505
37.77602,127.91219
37.78615,127.91255
37.79255,127.89135
37.7907,127.89362
37.78595,127.89674
37.81011,127.90558
37.8084,127.90661
37.80777,127.91004
37.69454,127.97206
37.6976,127.98013
37.69553,127.92742
37.70128,127.93017
37.69933,127.92942
37.69686,127.93034
37.69996,127.92689
37.69455,127.92907
37.69019,127.93107
37.69149,127.93316
37.6914,127.93221
37.69064,127.93586
37.68923,127.93804
37.69001,127.93889
37.68908,127.9391
37.69068,127.93808
37.68948,127.93968
37.69484,127.94594
37.69408,127.95522
37.69527,127.95028
37.69445,127.95608
37.69578,127.95613
37.69717,127.94286
37.68529,127.92423
37.68971,127.92608
37.68629,127.92342
37.68434,127.92416
37.68377,127.92295
37.68656,127.92294
37.68377,127.92169
37.68112,127.92021
37.67686,127.91741
37.71742,127.92658
37.71271,127.92347
37.71063,127.92923
37.71472,127.92621
37.71657,127.92655
37.71374,127.92583
37.7131,127.92558
37.71152,127.92681
37.72005,127.92303
37.7201,127.92257
37.72038,127.92184
37.7203,127.92207
37.72104,127.92132
37.72454,127.91673
37.73968,127.90977
37.71028,127.91462
37.72034,127.92041
37.71323,127.9167
37.71182,127.91772
37.70999,127.91438
37.70926,127.91441
37.81957,127.89637
37.82539,127.89244
37.82922,127.88958
37.8366,127.88807
37.82415,127.87297
37.82381,127.87187
37.82365,127.87411
