x,y
35.18451,126.79813
35.18406,126.79816
35.1843,126.79813
35.18445,126.79934
35.18427,126.79958
35.18262,126.79984
35.18185,126.79936
35.21614,126.77954
35.21548,126.7794
35.21513,126.77967
35.2146,126.78042
35.21417,126.78108
35.21396,126.78113
35.21382,126.78171
35.21194,126.78481
35.21163,126.7832
35.21132,126.78277
35.21118,126.78293
35.21136,126.78316
35.21057,126.78584
35.21342,126.79033
35.21306,126.79006
35.21253,126.78941
35.21153,126.78892
35.2158,126.78849
35.21554,126.78843
35.21516,126.78866
35.2146,126.78872
35.21363,126.78887
35.21943,126.79435
35.21863,126.79462
35.2154,126.79335
35.21485,126.79318
35.21445,126.79309
35.21389,126.79283
35.21375,126.79257
35.20691,126.7947
35.20765,126.79479
35.20688,126.78908
35.2076,126.78871
35.20801,126.78944
35.20852,126.78979
35.2069,126.79296
35.2084,126.79341
35.20866,126.79241
35.20888,126.79172
35.20928,126.79173
35.20971,126.79121
35.2093,126.79092
35.20953,126.79045
35.2111,126.79123
35.21066,126.79137
35.21062,126.79108
35.21018,126.79088
35.20986,126.79054
35.21134,126.79041
35.21119,126.7904
35.21092,126.7904
35.2104,126.79024
35.21001,126.78972
35.21051,126.78901
35.2111,126.78861
35.18635,126.78498
35.18634,126.78407
35.18677,126.78455
35.18682,126.78314
35.18693,126.78243
35.18601,126.78306
35.18353,126.78368
35.18309,126.78359
35.18134,126.78306
35.18043,126.78038
35.18004,126.78001
35.18016,126.78067
35.18017,126.78141
35.18042,126.78212
35.18061,126.78329
35.17705,126.78327
35.17828,126.78296
35.17885,126.7833
35.17954,126.78282
35.17951,126.78343
35.17978,126.78325
35.1821,126.78572
35.18214,126.78799
35.18245,126.78849
35.18242,126.7877
35.18263,126.78711
35.18249,126.78662
35.1825,126.78565
35.18304,126.78506
35.18453,126.78625
35.18481,126.78458
35.18451,126.78387
35.18409,126.78376
35.18391,126.78372
35.18357,126.785
35.1836,126.7858
35.18337,126.78619
35.18299,126.78662
35.18292,126.78693
35.18352,126.78655
35.1834,126.78742
35.18303,126.78719
35.18279,126.78742
35.18279,126.78854
35.20254,126.81289
35.20314,126.81294
35.20378,126.81329
35.20418,126.81355
35.20436,126.81369
35.19254,126.79646
35.21753,126.80972
35.22113,126.80389
35.22078,126.80405
35.21998,126.80268
35.22003,126.80312
35.22011,126.80343
35.2204,126.80324
35.2203,126.80363
35.21992,126.80416
35.2201,126.80411
35.22021,126.8045
35.21934,126.80399
35.21938,126.80444
35.21941,126.80475
35.21877,126.80506
35.21833,126.80527
35.21662,126.80484
35.21664,126.80451
35.21663,126.80384
35.21659,126.80328
35.21658,126.80285
35.21665,126.80225
35.21673,126.80181
35.21691,126.8012
35.21701,126.80089
35.21713,126.80055
35.21727,126.80013
35.21743,126.79964
35.21747,126.79894
35.21588,126.79555
35.21388,126.79671
35.21416,126.79672
35.21467,126.79687
35.21505,126.79713
35.21523,126.79739
35.21557,126.79749
35.21582,126.79757
35.21603,126.79772
35.2165,126.7982
35.21743,126.79859
35.21775,126.79849
35.21799,126.79826
35.21822,126.79792
35.21847,126.79767
35.21874,126.79748
35.21944,126.79678
35.21976,126.79732
35.21941,126.79759
35.21928,126.79736
35.21918,126.79793
35.21906,126.79865
35.2187,126.79908
35.21835,126.80083
35.21729,126.80146
35.21745,126.80118
35.21788,126.80124
35.21913,126.80177
35.21821,126.80127
35.21864,126.80198
35.21806,126.80158
35.21812,126.80212
35.2178,126.80213
35.21785,126.80196
35.21762,126.80185
35.21738,126.80199
35.21724,126.80241
35.21721,126.80287
35.21724,126.80336
35.2178,126.80387
35.21769,126.80378
35.21672,126.80379
35.21701,126.80378
35.21726,126.80378
35.21725,126.80414
35.21715,126.80473
35.21729,126.8046
35.21773,126.80504
35.21786,126.80548
35.21739,126.80571
35.21676,126.80451
35.21672,126.80545
35.21686,126.80612
35.21694,126.80726
35.21705,126.8077
35.21696,126.80785
35.21708,126.80821
35.21723,126.80898
35.21731,126.80924
35.2177,126.81028
35.21784,126.81075
35.21795,126.81109
35.218,126.81127
35.1653,126.7957
35.16524,126.79639
35.16516,126.79701
35.1651,126.79726
35.16511,126.79797
35.18486,126.80945
35.18529,126.80967
35.18068,126.80563
35.18053,126.80597
35.18039,126.80645
35.1807,126.80715
35.18071,126.80695
35.1822,126.80581
35.18076,126.80585
35.16514,126.79844
35.17418,126.79362
35.17402,126.7935
35.17317,126.79379
35.17341,126.7935
35.17375,126.79316
35.1734,126.79292
35.17386,126.78862
35.17345,126.78984
35.17369,126.79138
35.1736,126.79162
35.17351,126.79213
35.17351,126.79258
35.17286,126.79262
35.17255,126.79254
35.17113,126.79042
35.1712,126.79072
35.17116,126.79095
35.17095,126.79063
35.17152,126.79121
35.17214,126.79109
35.17171,126.79169
35.17215,126.79218
35.17206,126.79246
35.1718,126.79344
35.17105,126.79352
35.17086,126.7937
35.17071,126.7942
35.17066,126.79443
35.17056,126.79481
35.17075,126.79548
35.1707,126.79573
35.1695,126.79615
35.16951,126.79629
35.16955,126.79647
35.16949,126.79664
35.16736,126.79751
35.16733,126.79766
35.16723,126.79775
35.16711,126.79783
35.18177,126.80606
35.18236,126.80574
35.18249,126.80528
35.18244,126.80591
35.18344,126.80623
35.18329,126.80614
35.18307,126.80619
35.18296,126.80589
35.182,126.80558
35.18178,126.8056
35.18138,126.80564
35.18401,126.79613
35.18419,126.79175
35.18429,126.79209
35.18405,126.79266
35.18431,126.79269
35.18448,126.79329
35.18424,126.79306
35.18453,126.79368
35.18433,126.79359
35.18447,126.79409
35.18532,126.79403
35.18555,126.79463
35.18529,126.79432
35.18515,126.79438
35.18504,126.79438
35.18478,126.79439
35.18445,126.7944
35.18466,126.7947
35.18074,126.79965
35.18118,126.79989
35.18502,126.79991
35.18429,126.79577
35.18383,126.79637
35.18358,126.79671
35.18342,126.79718
35.18269,126.79786
35.18489,126.79758
35.18482,126.79701
35.18463,126.79861
35.12314,126.72119
35.12267,126.72143
