x,y
35.67967,128.70742
35.67931,128.70767
35.67948,128.70647
35.63854,128.70257
35.633,128.70182
35.63293,128.70097
35.63963,128.70401
35.65587,128.6956
35.65482,128.69417
35.69059,128.71816
35.63962,128.70163
35.6973,128.71574
35.63869,128.72676
35.7053,128.71505
35.63659,128.72446
35.70457,128.71462
35.70534,128.7152
35.70419,128.71401
35.70581,128.71761
35.70495,128.71516
35.70543,128.71642
35.65975,128.71493
35.70397,128.71476
35.65823,128.71778
35.70573,128.71426
35.67243,128.68711
35.6709,128.68831
35.67116,128.68533
35.65929,128.6798
35.6647,128.68569
35.67018,128.68913
35.66236,128.67917
35.64274,128.70177
35.66008,128.67872
35.65512,128.69636
35.64089,128.70329
35.63934,128.70335
35.6559,128.69583
35.63931,128.70211
35.64,128.70307
35.64005,128.70324
35.64066,128.7033
35.64911,128.73897
35.65565,128.69558
35.64919,128.73863
35.64873,128.73795
35.63878,128.72772
35.63951,128.72907
35.63971,128.72788
35.6592,128.71494
35.66048,128.71617
35.63952,128.72825
35.64567,128.72146
35.66041,128.71534
35.65942,128.7153
35.65972,128.7162
35.66122,128.70697
35.65958,128.71697
35.65884,128.71625
35.6594,128.71602
35.65985,128.67908
35.64421,128.70894
35.66026,128.71664
35.65848,128.71679
35.66257,128.68187
35.66304,128.68166
35.66486,128.68399
35.66016,128.68161
35.6648,128.68509
35.65999,128.68135
35.66294,128.68045
35.65986,128.68029
35.66073,128.68627
35.65517,128.69539
35.64296,128.70091
35.65709,128.72629
35.65441,128.73408
35.65488,128.69542
35.6431,128.70154
35.65446,128.73347
35.65482,128.73218
35.64686,128.72116
35.65451,128.72213
35.64685,128.72281
35.64757,128.72321
35.65608,128.72993
35.64648,128.72237
35.65859,128.72663
35.64705,128.72242
35.6464,128.72255
35.65533,128.72673
35.647,128.72206
35.64547,128.72367
35.64667,128.72273
35.64598,128.70803
35.64547,128.70798
35.64595,128.72251
35.64693,128.70842
35.6456,128.72311
35.6465,128.72384
35.66462,128.6851
35.64721,128.70881
35.64613,128.70931
35.64334,128.70919
35.66495,128.68528
35.6435,128.7108
35.64329,128.70834
35.64658,128.71098
35.64638,128.71067
35.66258,128.68217
35.64608,128.71013
35.66347,128.68538
35.67315,128.68977
35.6633,128.68693
35.66953,128.68812
35.67028,128.68739
35.66963,128.68532
35.66873,128.68825
35.65495,128.73037
35.65547,128.73071
35.67029,128.68709
35.65461,128.73237
35.65551,128.73026
35.65486,128.72871
35.65462,128.73051
35.65507,128.72774
35.65497,128.72898
35.67052,128.68533
35.7175,128.72584
35.70895,128.72325
35.64626,128.73224
35.71895,128.7259
35.71774,128.71706
35.70693,128.72565
35.64617,128.73193
35.64663,128.73219
