x,y
36.42526,129.10659
36.42708,129.05608
36.42763,129.13358
36.45576,129.09875
36.42708,129.05514
36.43482,129.10138
36.41897,129.14515
36.42368,129.10832
36.42181,129.14857
36.42165,129.14889
36.42736,129.12243
36.42372,129.11223
36.42206,129.10695
36.41937,129.14504
36.42401,129.10803
36.42214,129.14903
36.42544,129.12922
36.42843,129.05334
36.43616,129.04716
36.4339,129.04715
36.42474,129.10896
36.39848,129.06896
36.39674,129.06921
36.43967,129.10684
36.43951,129.1097
36.3989,129.07018
36.41875,129.07916
36.39945,129.07283
36.39725,129.071
36.42806,129.05836
36.42785,129.05664
36.44914,129.0908
36.42588,129.11124
36.42354,129.10762
36.42738,129.05582
36.40245,129.07308
36.40417,129.09148
36.31701,129.21799
36.39971,129.1393
36.38662,129.13449
36.39019,129.13543
36.31771,129.2198
36.39127,129.13898
36.38748,129.13305
36.35884,129.16075
36.35141,129.18818
36.35773,129.15861
36.35041,129.17966
36.35298,129.0598
36.38296,129.1306
36.35272,129.06002
36.35222,129.06048
36.35189,129.06078
36.3516,129.06104
36.35109,129.06153
36.31861,129.08118
36.28434,129.10219
36.31819,129.08456
36.3076,129.10017
36.35323,129.05969
36.35461,129.05408
36.28787,129.12387
36.3308,129.07518
36.27967,129.02098
36.27292,129.03188
36.35411,129.05292
36.31814,129.16032
36.32557,129.08545
36.22182,129.03784
36.27281,129.1427
36.22493,129.01633
36.28043,129.02085
36.25283,129.02391
36.28409,129.0189
36.27779,129.02317
36.27695,129.02499
36.27374,129.03082
36.25949,129.03841
36.2792,129.02137
36.27638,129.0262
36.27428,129.03007
36.28024,129.02028
36.2536,129.03903
36.42491,129.13217
36.42591,129.12743
36.42036,129.14235
36.39736,129.09939
36.43808,129.06743
36.4295,129.11934
36.42656,129.12187
36.42641,129.12059
36.42667,129.12196
36.42499,129.13222
36.41055,129.09976
36.41072,129.09941
36.40331,129.11576
36.40358,129.11768
36.40368,129.11694
36.41058,129.10072
36.4112,129.10059
36.4253,129.13274
36.39841,129.07
36.40334,129.11719
36.40304,129.1158
36.39765,129.09938
36.41874,129.10252
36.38121,129.10229
36.41149,129.05738
36.45851,129.07164
36.43506,129.06018
36.44138,129.07124
36.4578,129.07162
36.43489,129.05198
36.43541,129.05179
36.40364,129.11658
36.39205,129.14053
36.43006,129.05714
36.40328,129.09049
36.41653,129.07411
36.36656,129.18027
36.36468,129.17415
36.29726,129.05677
36.34704,129.1494
36.36424,129.12716
36.35477,129.11087
36.36491,129.12966
36.35817,129.16176
36.35748,129.16582
36.35052,129.13026
36.34985,129.1291
36.36206,129.16894
36.35848,129.16637
36.36431,129.17298
36.36399,129.17234
36.36334,129.17142
36.36029,129.16756
36.3396,129.05886
36.32405,129.07547
36.31117,129.0967
36.25431,129.16768
36.31818,129.08188
36.26631,129.16602
36.24266,129.17483
36.27591,129.18661
36.3455,129.06439
36.34248,129.0593
36.32212,129.0917
36.35419,129.04878
36.35075,129.05072
36.34839,129.06111
36.34719,129.06022
36.34307,129.04831
36.25315,129.03919
36.25314,129.03934
36.25211,129.03932
36.24416,129.0421
36.24334,129.04257
36.2439,129.04223
36.27847,129.06706
36.24706,129.04558
36.22969,129.01776
36.2425,129.04295
36.40337,129.11558
36.29866,129.00733
36.40007,129.09347
36.40256,129.11639
36.40227,129.11531
36.40131,129.11816
36.42696,129.05728
36.41109,129.10227
36.42572,129.0588
36.39805,129.09902
36.428,129.0576
36.42794,129.05684
36.42667,129.05707
36.42678,129.05721
36.42955,129.05441
36.42849,129.05681
36.42966,129.05631
36.42969,129.05607
36.43055,129.05638
36.43574,129.05836
36.42873,129.05529
36.37313,129.08899
36.35456,129.04801
36.45213,129.07544
36.44209,129.07903
36.42576,129.109
36.42407,129.10744
36.4263,129.10971
36.36851,129.1436
36.35033,129.08647
36.33247,129.2082
36.34313,129.15574
36.37712,129.09714
36.37402,129.09953
36.3695,129.0796
36.37728,129.09272
36.37386,129.09111
36.37563,129.09076
36.37145,129.08787
36.36987,129.08186
36.3721,129.0847
36.37546,129.09596
36.36525,129.07889
36.36654,129.07663
36.36431,129.0803
36.36511,129.07914
36.36427,129.0786
36.35439,129.05576
36.36625,129.07989
36.3438,129.03833
36.2823,129.12663
36.32921,129.0658
36.34674,129.06409
36.35464,129.04802
36.35409,129.04662
36.34288,129.05541
36.35476,129.05781
36.3538,129.05764
36.34778,129.06006
36.34945,129.06014
36.42995,129.05695
36.42599,129.05803
36.35457,129.04853
36.42804,129.05671
36.35413,129.05057
36.41193,129.05848
36.41201,129.05832
36.41221,129.05831
36.41167,129.05834
36.41117,129.05906
36.42789,129.05377
36.41395,129.06204
36.4125,129.06104
36.41876,129.07889
36.40922,129.06158
36.4144,129.06109
36.42517,129.10853
36.41255,129.05767
36.45243,129.07419
36.45619,129.09991
36.4493,129.09062
36.42355,129.06873
36.42346,129.06846
36.42113,129.06835
36.42088,129.07094
36.42042,129.13032
36.42288,129.12138
36.38003,129.12283
36.38412,129.12721
36.42015,129.06292
36.383,129.1306
36.35117,129.08655
36.37959,129.11137
36.41989,129.06055
36.41974,129.07985
36.38141,129.10028
36.43372,129.0636
36.34458,129.06337
36.39157,129.14247
36.34968,129.11364
36.38459,129.12372
36.39172,129.1299
36.38179,129.131
36.38163,129.12492
36.38339,129.12416
36.38279,129.12464
36.35699,129.10498
36.34638,129.06132
36.34483,129.1522
36.34685,129.06316
36.34592,129.06457
36.31703,129.21734
36.34825,129.06436
36.344,129.05515
36.34621,129.06537
36.35474,129.05508
36.34507,129.06488
36.34088,129.06487
36.33856,129.06465
36.34019,129.06411
36.34525,129.06682
36.31178,129.10415
36.28671,129.12641
36.33081,129.07416
36.25926,129.14977
36.30172,129.1185
36.41095,129.0593
36.33558,129.06813
36.41251,129.06023
36.40993,129.05314
36.41127,129.05992
36.40894,129.06294
36.41301,129.06215
36.42064,129.05948
36.41632,129.06926
36.41644,129.06359
36.41958,129.06241
36.42036,129.06342
36.40883,129.06142
36.41882,129.06146
36.4195,129.09129
36.40275,129.11415
36.40265,129.11342
36.38151,129.09878
36.38357,129.10133
36.38367,129.08592
36.40004,129.08191
36.45393,129.06794
36.44228,129.11027
36.4457,129.14324
36.44813,129.08622
36.32377,129.20785
36.35308,129.11463
36.36472,129.17666
