위도,경도
36.06493,128.33679
36.07071,128.34799
36.06617,128.33315
36.0482,128.33169
36.0704,128.34582
36.06099,128.29971
36.07019,128.34698
36.07026,128.34688
36.07117,128.34737
36.06982,128.34656
36.07081,128.34445
36.07123,128.34698
36.0708,128.3465
36.07117,128.34558
36.0709,128.34583
36.03578,128.36287
36.07134,128.34679
36.07191,128.34483
36.07157,128.34525
36.0723,128.34508
36.0711,128.3442
36.10909,128.49925
36.11125,128.50017
36.11098,128.5011
36.04715,128.3431
36.0449,128.34117
36.1136,128.49541
36.11194,128.50043
36.11373,128.49722
36.11386,128.49555
36.11307,128.49829
36.11356,128.49491
36.11397,128.49509
36.11483,128.49503
36.11361,128.49975
36.10747,128.50407
36.10011,128.50864
36.10004,128.5097
36.09682,128.50736
36.09896,128.50979
36.09842,128.50898
36.09489,128.50738
36.09456,128.50792
36.0435,128.33674
36.04479,128.34104
36.0452,128.33851
36.04344,128.33849
36.04513,128.33197
36.04396,128.33943
36.04342,128.33911
36.04188,128.33625
36.04604,128.33851
36.0486,128.34138
36.04809,128.34329
36.04802,128.34376
36.04819,128.34437
36.09537,128.48408
36.04918,128.34457
36.05454,128.49765
36.05332,128.49759
36.05372,128.49761
36.09904,128.48612
36.07542,128.53871
36.07521,128.53909
36.06751,128.53768
36.07739,128.538
36.07849,128.53776
36.07585,128.53925
36.07378,128.53944
36.0669,128.53768
36.06579,128.53767
36.06617,128.53774
36.06568,128.53813
36.06484,128.53857
36.09381,128.48335
36.06439,128.53923
36.06418,128.54033
36.06464,128.54163
36.06394,128.54306
36.06414,128.54222
36.0511,128.32965
36.06527,128.54907
36.06499,128.54826
36.00979,128.35171
36.00853,128.342
36.00829,128.3431
36.00957,128.35236
36.00842,128.35603
36.00928,128.35393
36.00891,128.3565
36.00873,128.35344
36.00737,128.3547
36.00849,128.35648
36.01391,128.57891
36.01327,128.57935
36.01364,128.57873
36.0144,128.57767
36.01603,128.57709
36.01683,128.57729
36.01693,128.57724
36.01748,128.57721
36.0175,128.57696
36.0187,128.57601
36.01852,128.5764
36.02,128.57642
36.02023,128.57465
36.0225,128.57478
36.0512,128.3367
36.02019,128.57713
36.05346,128.33464
36.05166,128.33468
36.0538,128.33213
36.05468,128.33274
36.05506,128.3283
36.0511,128.3292
36.05127,128.32861
36.05132,128.325
36.05107,128.32996
36.05055,128.33029
36.03627,128.36179
36.03601,128.36137
36.08519,128.5381
36.0876,128.53745
36.08559,128.53816
36.08489,128.53815
36.08224,128.53861
36.08273,128.53661
36.08167,128.53868
36.08066,128.53876
36.07938,128.53898
36.07699,128.53923
36.07653,128.53951
36.07588,128.54205
36.05908,128.54596
36.08767,128.53806
36.09901,128.53614
36.08752,128.53757
36.07878,128.53903
36.10284,128.5205
36.10322,128.5201
36.10194,128.52065
36.10128,128.52132
36.09629,128.52148
36.09927,128.52124
36.0979,128.52128
36.09775,128.52063
36.09753,128.52101
35.9868,128.34315
35.99046,128.33978
35.99129,128.34086
35.99281,128.33838
36.07328,128.33829
36.07248,128.33876
36.07034,128.33644
36.07075,128.33653
36.06827,128.33941
35.9874,128.34197
35.98771,128.34305
35.98628,128.3414
35.98903,128.34434
35.98846,128.34184
35.98976,128.342
35.99358,128.34772
35.99185,128.33952
35.99564,128.34203
35.99589,128.34226
35.99609,128.34308
35.99242,128.33892
35.99616,128.34235
36.00697,128.59536
36.00647,128.59526
36.00527,128.59589
36.00575,128.59514
36.00419,128.59482
36.00414,128.59569
36.07307,128.33955
35.99955,128.59361
36.07359,128.33975
36.07345,128.33878
36.07313,128.33868
36.09385,128.51641
36.0727,128.33914
36.0729,128.33866
36.10872,128.48952
36.07083,128.3345
36.11128,128.48863
36.10764,128.48931
36.10766,128.48839
36.10699,128.48827
36.1091,128.48834
36.1069,128.48717
36.10975,128.48792
36.11024,128.48732
36.10588,128.48946
36.10631,128.48833
36.10221,128.48863
36.10264,128.48816
36.10466,128.48869
36.10226,128.48622
36.10315,128.48936
36.10339,128.49011
36.10175,128.48544
36.10145,128.48536
35.99114,128.33367
36.10188,128.48642
35.9928,128.33691
35.99161,128.33549
35.99213,128.33599
35.99169,128.3315
35.99086,128.3332
35.99047,128.3322
35.99023,128.33252
35.99103,128.33157
35.99123,128.33165
35.99365,128.33392
35.99312,128.33472
35.99676,128.32795
35.99693,128.32884
35.99928,128.33032
36.00003,128.32959
35.99644,128.32408
36.00146,128.32695
35.99635,128.31821
35.99439,128.31358
35.99409,128.32151
35.99473,128.32176
35.99387,128.32067
35.99358,128.32037
35.99326,128.32004
35.9939,128.31864
35.99396,128.31898
35.99371,128.32037
36.06943,128.336
36.00854,128.51374
36.00762,128.51385
36.00896,128.51352
36.07067,128.33586
36.06854,128.33561
36.07004,128.33658
36.06966,128.33957
36.05582,128.33035
35.99915,128.32482
36.0713,128.33902
35.99721,128.59406
36.07121,128.34262
36.07016,128.34152
36.06962,128.34115
36.06622,128.34815
36.06669,128.35038
36.05598,128.32996
36.05624,128.33039
36.05422,128.33881
36.05291,128.33754
36.0531,128.33965
36.05163,128.33927
36.05083,128.34273
36.03546,128.51451
36.03466,128.51546
36.03501,128.51531
36.03484,128.51473
36.03464,128.51411
36.03475,128.513
36.03487,128.5121
36.03487,128.51116
36.03405,128.51045
36.0338,128.51008
36.03354,128.50966
36.03493,128.51345
36.04586,128.52002
36.04604,128.51966
36.04606,128.51991
36.04576,128.51983
36.04542,128.51904
36.04636,128.5193
36.0462,128.51887
36.04613,128.51932
36.04559,128.51851
36.04575,128.51872
36.04744,128.51981
36.10002,128.48248
36.04989,128.50909
36.05204,128.50785
36.05216,128.50844
36.10179,128.48355
36.09693,128.4772
36.09771,128.48052
36.09667,128.47967
36.09744,128.47665
36.09677,128.47863
36.09553,128.47795
36.09622,128.47816
36.09448,128.47718
36.09405,128.47744
36.09297,128.47715
36.0903,128.47678
36.09001,128.47632
35.99786,128.32323
36.08937,128.47586
35.99818,128.32348
35.99749,128.32396
36.00155,128.32355
35.99902,128.32509
36.00143,128.32504
36.00315,128.32503
36.00376,128.32447
36.00376,128.32302
36.0049,128.3221
36.00439,128.32263
36.01203,128.58582
36.00529,128.32239
36.01285,128.58552
36.01087,128.58733
36.01176,128.58618
36.01257,128.5847
36.01234,128.58571
36.01301,128.58485
36.01203,128.58631
36.01248,128.58661
36.01621,128.58765
36.01349,128.58531
36.01385,128.58637
36.016,128.58538
36.01689,128.58567
36.01905,128.58606
36.01947,128.58466
36.01957,128.58484
36.01916,128.58402
36.01961,128.58357
36.01929,128.58395
36.01795,128.5825
36.0187,128.58372
36.0183,128.58322
36.01495,128.57969
36.01733,128.57964
36.01526,128.59076
36.01321,128.57974
36.00142,128.60035
36.01383,128.57967
36.00012,128.59908
35.9997,128.59833
35.99928,128.59787
35.99883,128.59696
35.99854,128.59638
35.99823,128.59605
35.99755,128.59475
35.99687,128.59364
36.00057,128.59588
35.99679,128.59276
35.99761,128.59394
36.00075,128.60345
36.00083,128.60124
36.0003,128.60359
35.99956,128.60826
35.99888,128.60851
36.00046,128.60945
36.0001,128.60844
36.00065,128.60908
36.00031,128.60983
35.99974,128.61028
36.00005,128.61026
36.07029,128.34119
36.06956,128.339
36.07086,128.3409
36.06906,128.33941
36.06951,128.34027
36.0674,128.34081
36.06842,128.34564
36.06871,128.34607
36.06002,128.34645
36.06186,128.34511
36.06249,128.34562
36.0635,128.34536
36.06556,128.34624
36.06459,128.34697
36.06578,128.34724
36.06594,128.34752
36.0662,128.34758
36.06546,128.34777
36.06574,128.34839
36.06528,128.34839
36.06527,128.34841
36.06656,128.34939
36.06636,128.35039
36.06737,128.35057
36.06618,128.34948
36.06747,128.35084
36.0663,128.34976
36.06626,128.34996
36.05346,128.50893
36.06666,128.35067
36.05308,128.50964
36.05283,128.50899
36.05309,128.50867
36.05302,128.51011
36.06281,128.49965
36.05291,128.51063
36.05228,128.50962
36.05092,128.51118
36.05216,128.51004
36.05034,128.50747
36.05028,128.50592
36.05098,128.50783
36.0517,128.50444
36.05157,128.50473
36.05093,128.50076
35.99494,128.33595
35.98226,128.3582
35.98508,128.35221
35.98628,128.35048
35.98676,128.5585
35.98635,128.54852
35.98684,128.55454
35.98617,128.54754
35.98831,128.56114
35.98495,128.55276
36.07319,128.34264
36.0725,128.3427
36.07331,128.34278
36.05031,128.33886
36.03624,128.3613
35.9886,128.54744
36.03933,128.36064
35.99353,128.58831
35.99507,128.59028
35.99867,128.59259
36.01013,128.61322
35.98809,128.55233
36.07151,128.33574
36.00477,128.59297
36.0506,128.50121
36.05247,128.50886
36.05218,128.49827
36.05168,128.499
36.05218,128.4981
