x,y
36.65658,128.20834
36.64622,128.16582
36.63488,128.20553
36.68454,128.21727
36.63474,128.20441
36.63519,128.20417
36.64952,128.20502
36.66124,128.16796
36.64644,128.16585
36.66914,128.22407
36.64435,128.18391
36.69225,128.1954
36.69853,128.21406
36.64473,128.21169
36.66945,128.23625
36.64293,128.21774
36.64453,128.20256
36.63196,128.20951
36.62182,128.2184
36.68006,128.18013
36.62735,128.22754
36.64588,128.18558
36.6515,128.21517
36.64005,128.21705
36.64269,128.2159
36.68048,128.17937
36.65043,128.22537
36.68374,128.20448
36.63356,128.20603
36.68162,128.2061
36.63379,128.2061
36.64513,128.16568
36.64607,128.18188
36.62865,128.20698
36.62788,128.20722
36.64668,128.15574
36.62522,128.20874
36.64721,128.18172
36.65198,128.22491
36.64434,128.2202
36.67552,128.18633
36.64521,128.18376
36.65159,128.22529
36.67491,128.2244
36.69742,128.21614
36.65353,128.18843
36.69365,128.19349
36.66964,128.23761
36.63514,128.2026
36.68901,128.21971
36.68269,128.22204
36.69661,128.21569
36.65852,128.23205
36.66183,128.24277
36.64312,128.21959
36.67282,128.22297
36.61687,128.21078
36.64344,128.20267
36.65183,128.22618
36.65638,128.2306
36.68107,128.20653
36.64873,128.20555
36.65615,128.22966
36.64362,128.16184
36.68348,128.20322
36.6261,128.22745
36.64378,128.16286
36.63259,128.2094
36.64216,128.15443
36.63222,128.20642
36.62345,128.20687
36.66885,128.23614
36.63742,128.21043
36.60075,128.00363
36.59217,128.00407
36.59716,128.00118
36.57365,128.04405
36.56529,127.9629
36.57627,128.03655
36.56429,128.05574
36.59824,128.20396
36.64314,128.06191
36.64411,128.06137
36.64607,128.0606
36.64644,128.06011
36.64735,128.06018
36.64861,128.05983
36.64462,128.06093
36.64268,128.06206
36.64569,128.07153
36.61955,128.0927
36.62937,128.09102
36.62131,128.08407
36.64212,128.09344
36.62079,128.089
36.63774,128.07036
36.64339,128.09075
36.63989,128.06804
36.63798,128.06894
36.63648,128.06844
36.63579,128.07118
36.63607,128.0628
36.64324,128.09061
36.64068,128.06645
36.63306,128.0562
36.63142,128.05836
36.63194,128.05735
36.63139,128.05589
36.64108,128.08774
36.59922,128.01702
36.69283,127.89799
36.5977,128.01751
36.59974,128.01657
36.58935,128.02979
36.66069,128.02555
36.67367,128.01395
36.66392,128.02223
36.67272,128.01307
36.67054,128.01113
36.66978,128.01333
36.67921,128.01521
36.66973,128.01421
36.62571,128.02979
36.62236,128.03513
36.6277,128.02442
36.631,128.02108
36.63428,128.01924
36.62525,128.04109
36.63302,128.01628
36.62995,128.02253
36.62314,128.03766
36.62671,128.04615
36.57978,128.20011
36.58067,128.19924
36.58665,128.19678
36.58923,128.21013
36.59132,128.20954
36.61433,128.03972
36.59663,128.06889
36.61112,128.0422
36.62881,128.02839
36.65429,128.04611
36.59692,128.0692
36.65339,128.04434
36.60084,128.05126
36.59915,128.05404
36.60026,128.05173
36.67235,127.99652
36.67081,127.99354
36.67718,127.9861
36.67011,127.98331
36.66723,128.00224
36.68122,127.98327
36.67305,127.96624
36.67291,127.96535
36.67233,127.96146
36.67518,127.96078
36.67487,127.96398
36.67567,127.95466
36.67123,127.96068
36.69383,127.93658
36.64517,128.06649
36.64449,128.06693
36.63722,128.0864
36.64459,128.0734
36.64727,128.07645
36.63565,128.08494
36.6472,128.07704
36.64463,128.0719
36.64514,128.06602
36.63896,128.08547
36.64627,128.06335
36.64549,128.06052
36.64517,128.06344
36.64235,128.06574
36.64236,128.06442
36.64227,128.06509
36.64349,128.06175
36.64705,128.05884
36.64612,128.06019
36.65355,128.05965
36.61907,128.10058
36.64791,128.05985
36.64804,128.05957
36.64603,128.07509
36.64882,128.06273
