x,t
36.572966,128.186703
36.572632,128.187239
36.572783,128.188178
36.573106,128.189274
36.572673,128.189429
36.571934,128.189528
36.571989,128.189025
36.571664,128.189136
36.571411,128.189996
36.570969,128.190173
36.573277,128.189721
36.573419,128.190949
36.568459,128.19305
36.568782,128.193632
36.568763,128.194581
36.574192,128.192137
36.57423,128.191098
36.574162,128.188349
36.574145,128.187835
36.578858,128.193813
36.578892,128.194707
36.5788,128.195858
36.578961,128.196484
36.579467,128.195681
36.579403,128.196307
36.579593,128.196285
36.579898,128.196677
36.579825,128.197503
36.579573,128.197201
36.579475,128.196821
36.579248,128.197278
36.57343,128.183989
36.574965,128.182015
36.575164,128.181792
36.575192,128.180787
36.573535,128.174425
36.57384,128.174794
36.573714,128.175018
36.573118,128.175597
36.569256,128.172963
36.569697,128.172964
36.569518,128.172226
36.569647,128.170461
36.573751,128.174057
36.573698,128.173688
36.574088,128.171868
36.574116,128.17132
36.520366,128.264368
36.520619,128.264367
36.520277,128.264066
36.521738,128.263814
36.522802,128.263528
36.523659,128.262882
36.468419,128.210441
36.523213,128.261039
36.522465,128.26089
36.523141,128.260681
36.523852,128.261108
36.524076,128.261924
36.524111,128.26246
36.524151,128.260662
36.525259,128.260665
36.526042,128.261462
36.528738,128.260611
36.528138,128.259023
36.527705,128.259233
36.527481,128.258563
36.528643,128.258924
36.529383,128.258446
36.530482,128.258506
36.445549,128.213112
36.443945,128.21333
36.444422,128.213488
36.444061,128.21372
36.443592,128.214222
36.443393,128.214544
36.442637,128.213829
36.442501,128.214284
36.443211,128.215225
36.443674,128.213362
36.448231,128.210074
36.448727,128.210365
36.449231,128.210668
36.448819,128.209317
36.449043,128.209741
36.449027,128.208548
36.449461,128.208058
36.44984,128.207769
36.449009,128.207968
36.481641,128.24706
36.449481,128.206495
36.449401,128.206072
36.447633,128.206971
36.447182,128.20709
36.448137,128.207362
36.448632,128.207844
36.448081,128.208456
36.448595,128.208446
36.448007,128.209393
