x,y
36.34784,128.43185
36.34764,128.43241
36.34734,128.43295
36.35134,128.43309
36.34615,128.43239
36.34405,128.43404
36.34539,128.43325
36.34612,128.43112
36.44637,128.35932
36.44945,128.36032
36.44816,128.35821
36.44789,128.35772
36.44839,128.35831
36.45052,128.35506
36.44924,128.35548
36.45024,128.35367
36.45267,128.35503
36.45194,128.35263
36.45155,128.35271
36.45169,128.35373
36.45102,128.35407
36.4472,128.35807
36.45037,128.35316
36.45534,128.35743
36.458,128.35712
36.45788,128.35789
36.33852,128.49596
36.33969,128.49617
36.34021,128.49461
36.33776,128.49242
36.33691,128.49653
36.33772,128.49892
36.38335,128.43833
36.38099,128.44398
36.38397,128.43606
36.38458,128.4352
36.3844,128.43237
36.38153,128.43154
36.38567,128.43421
36.38368,128.43135
36.3881,128.43302
36.38561,128.43466
36.38543,128.43292
36.38703,128.43186
36.38648,128.43382
36.38717,128.43928
36.38768,128.43695
36.38717,128.44045
36.38634,128.43908
36.38474,128.43897
36.38502,128.43988
36.38501,128.4378
36.38463,128.43809
36.3863,128.43818
36.38689,128.43787
36.38584,128.43602
36.3861,128.43689
36.38582,128.43634
36.38339,128.44043
36.35377,128.69911
36.35231,128.69785
36.35389,128.69805
36.35347,128.69735
36.35361,128.6983
36.35234,128.69817
36.35304,128.69462
36.35227,128.69799
