x,y
36.65866,128.45469
36.65884,128.45539
36.65942,128.45245
36.65892,128.45603
36.65954,128.45273
36.65938,128.45485
36.65886,128.45401
36.65925,128.45371
36.65905,128.4533
36.66036,128.45461
36.65814,128.45442
36.6594,128.45497
36.65945,128.45327
36.6704,128.45964
36.65912,128.4595
36.66017,128.46155
36.65909,128.45675
36.65897,128.4585
36.66417,128.46197
36.66078,128.45797
36.65898,128.45752
36.66474,128.46158
36.66424,128.46175
36.66491,128.46129
36.66574,128.45888
36.67101,128.46054
36.66933,128.45973
36.66489,128.45912
36.67133,128.45163
36.6676,128.45972
36.66097,128.44364
36.66686,128.44514
36.66446,128.45764
36.66589,128.44597
36.66441,128.45712
36.65714,128.45827
36.65313,128.45956
36.65593,128.46311
36.65914,128.46507
36.66517,128.45935
36.66785,128.45408
36.65594,128.45733
36.65571,128.45774
36.65647,128.45905
36.6592,128.46182
36.65322,128.45927
36.65674,128.46753
36.65672,128.46556
36.66412,128.46343
36.65646,128.46837
36.65715,128.45905
36.65797,128.46995
36.65664,128.46476
36.65747,128.46084
36.65749,128.46644
36.65601,128.45969
36.65939,128.46276
36.65717,128.45971
36.65704,128.46041
36.6629,128.46223
36.65865,128.4654
36.65827,128.46124
36.65602,128.45934
36.65797,128.45786
36.6635,128.46209
36.65418,128.47154
36.6517,128.46975
36.65145,128.47012
36.65178,128.46865
36.64661,128.46831
36.64888,128.4753
36.64892,128.4718
36.6487,128.45913
36.65109,128.46323
36.65056,128.46379
36.65811,128.47079
36.64986,128.47511
36.65137,128.46261
36.64919,128.4706
36.65024,128.47136
36.65104,128.47311
36.65338,128.46903
36.64871,128.46755
36.65757,128.45917
36.65154,128.46176
36.65226,128.46061
36.65137,128.46035
36.65224,128.45983
36.65342,128.45839
36.65033,128.46403
36.65077,128.46196
36.652,128.46029
36.65147,128.46219
36.65155,128.45859
36.65244,128.46078
36.651,128.46152
36.64958,128.46055
36.64965,128.45938
36.65273,128.46061
36.65359,128.45933
36.65254,128.45183
36.64984,128.43803
36.64983,128.44084
36.65917,128.44783
36.65685,128.45033
36.6526,128.44744
36.65864,128.45238
36.65905,128.45207
36.6585,128.45182
36.6581,128.45142
36.65826,128.45129
36.6577,128.45024
36.65748,128.45038
36.65529,128.44734
36.65548,128.44765
36.65526,128.44755
36.65534,128.44691
36.65364,128.44676
36.65271,128.44766
36.65233,128.44767
36.65196,128.44725
36.65097,128.44762
36.64807,128.44256
36.6525,128.45914
36.6477,128.44361
36.65758,128.45036
36.64905,128.44124
36.64973,128.46081
36.65175,128.4566
36.65355,128.44952
36.65366,128.44865
36.64982,128.44526
36.6483,128.44456
36.64844,128.44441
36.6486,128.44459
36.64915,128.44535
36.64944,128.44547
36.64966,128.44594
36.64991,128.44711
36.65675,128.44802
36.66006,128.441
36.6525,128.43998
36.65225,128.4392
36.64764,128.42843
36.6521,128.4444
36.65164,128.44325
36.64907,128.4427
36.65477,128.4314
36.65418,128.44366
36.65347,128.44329
36.65177,128.44161
36.65137,128.44371
36.64808,128.44282
36.65906,128.44045
36.65387,128.44178
36.65606,128.45246
36.65208,128.45996
36.65131,128.45162
36.65151,128.45154
36.65148,128.4519
36.65846,128.44724
36.65688,128.45041
36.65684,128.44709
36.65653,128.45211
36.6555,128.44741
36.65243,128.44194
36.65465,128.44853
36.64675,128.44856
36.64992,128.43344
36.65675,128.44975
36.65891,128.45213
36.65835,128.44193
36.65441,128.44432
36.64692,128.43916
36.65492,128.43027
36.65595,128.4373
36.65114,128.4449
36.65215,128.44467
36.64875,128.4424
36.64898,128.4336
36.64821,128.43354
36.65222,128.44169
36.655,128.43885
36.64955,128.44281
36.64682,128.45389
36.65097,128.45244
36.65248,128.44754
36.64935,128.44641
36.64972,128.44756
36.64878,128.44693
36.64332,128.43081
36.64763,128.43538
36.64646,128.43561
36.64503,128.43081
36.64888,128.43472
36.64579,128.45248
36.65042,128.44768
36.65564,128.45035
36.63012,128.43352
36.65498,128.44094
36.65245,128.44293
36.65222,128.44766
36.656,128.45174
36.64801,128.44404
36.64873,128.44632
36.64817,128.44493
36.65229,128.46184
36.65348,128.44792
36.65597,128.45148
36.65743,128.45192
36.6513,128.44592
36.65586,128.44363
36.65654,128.44158
36.62883,128.43284
36.64544,128.43143
36.63022,128.43561
36.64813,128.4414
36.64725,128.4388
36.65479,128.43598
36.65197,128.44263
36.62828,128.43403
36.65802,128.44147
36.65361,128.43841
36.65294,128.4438
36.65117,128.44476
36.65127,128.44475
36.64842,128.434
36.65042,128.44464
36.65226,128.46095
36.65302,128.43897
36.62956,128.43511
36.65004,128.44394
36.65308,128.43603
36.65273,128.43317
36.65181,128.43973
36.65139,128.44044
36.6451,128.42838
36.62875,128.43619
36.6308,128.43791
36.65024,128.44473
36.62829,128.43546
36.62928,128.43623
36.65067,128.4441
36.65129,128.44463
36.65067,128.44385
36.6544,128.43339
36.65062,128.44359
36.65125,128.44362
36.65158,128.44368
36.65206,128.44332
36.65259,128.44311
36.65286,128.44344
36.65332,128.44291
36.65492,128.45313
36.65222,128.46002
36.65218,128.46033
36.65256,128.46141
36.64956,128.44206
36.6489,128.44441
36.65145,128.44142
36.65431,128.43816
36.65549,128.44373
36.6515,128.44332
36.64987,128.44365
36.64962,128.44341
36.65196,128.44203
36.65273,128.44273
36.65091,128.44498
36.65186,128.44504
36.65156,128.44408
36.64909,128.44447
36.64916,128.44325
36.6508,128.44207
36.64881,128.44362
36.65229,128.45868
36.64889,128.44414
36.65872,128.43452
36.65312,128.4553
36.65309,128.45484
36.6524,128.45335
36.65281,128.45356
36.65138,128.45282
36.65047,128.44022
36.65121,128.44015
36.65104,128.44014
36.65123,128.44007
36.65224,128.4395
36.6508,128.44009
36.65175,128.43847
36.65209,128.4418
36.65584,128.44552
36.65132,128.44073
36.65378,128.44372
36.64929,128.42318
36.65636,128.44549
36.65479,128.44773
36.67041,128.46
36.64966,128.44316
36.65164,128.44159
36.65189,128.44176
36.65612,128.4387
36.6574,128.43802
36.65139,128.4565
36.62853,128.43258
36.65484,128.45003
36.65472,128.44888
36.65007,128.45899
36.65572,128.45504
36.65546,128.45402
36.64231,128.45172
36.65186,128.4563
36.65433,128.44522
36.65362,128.44445
36.65426,128.44582
36.65563,128.4458
36.65588,128.44584
36.6556,128.44596
36.65608,128.4459
36.64962,128.44301
36.65274,128.44055
36.64989,128.4412
36.65517,128.43962
36.65,128.44014
36.65409,128.43948
36.65048,128.44253
36.64911,128.44197
36.65081,128.44388
36.6521,128.44225
36.6536,128.44263
36.64487,128.41535
36.64656,128.41491
36.65203,128.41466
36.65167,128.42197
36.65116,128.42221
36.65164,128.41597
36.65298,128.42365
36.65773,128.45229
36.65514,128.44916
36.65558,128.44616
36.65311,128.44753
36.65552,128.44721
36.6597,128.44467
36.656,128.4483
36.66002,128.44363
36.66122,128.44287
36.66037,128.44207
36.65884,128.45452
36.66593,128.44449
36.66638,128.44596
36.66615,128.44672
36.66585,128.44684
36.66565,128.44788
36.6645,128.44993
36.66986,128.456
36.65961,128.46049
36.66016,128.45981
36.66154,128.45784
36.66209,128.45816
36.65958,128.45713
36.67379,128.46034
36.66709,128.45441
36.67361,128.46088
36.66443,128.45732
36.66395,128.43893
36.67344,128.46011
36.66452,128.45917
36.6631,128.44862
36.67027,128.46125
36.66543,128.45871
36.66412,128.45804
36.66059,128.46128
36.66126,128.46048
36.66327,128.44731
36.66538,128.45855
36.65576,128.46922
36.65517,128.47042
36.66201,128.46017
36.65731,128.46977
36.66783,128.45522
36.67268,128.46155
36.66213,128.45906
36.6625,128.45936
36.66216,128.4594
36.65841,128.45911
36.66742,128.45943
36.66745,128.45974
36.65904,128.45712
36.65958,128.45691
36.65921,128.4564
36.66041,128.45555
36.66243,128.44944
36.65751,128.45635
36.6568,128.45909
36.66652,128.45006
36.66232,128.46161
36.66137,128.45582
36.6424,128.42351
36.6392,128.41963
36.63694,128.41548
36.65832,128.46995
36.65756,128.46904
36.65625,128.47058
36.65427,128.46309
36.66021,128.46679
36.66078,128.46731
36.66087,128.46805
36.66133,128.46896
36.65728,128.46595
36.6597,128.46447
36.65943,128.46596
36.65918,128.46737
36.66012,128.46746
36.66022,128.46531
36.66156,128.4646
36.66049,128.46529
36.65963,128.45673
36.66174,128.45465
36.65855,128.45634
36.6595,128.45599
36.66185,128.45031
36.67305,128.46109
36.67169,128.46084
36.6588,128.45673
36.65786,128.45454
36.65826,128.45493
36.65753,128.4556
36.65821,128.45777
36.65834,128.45654
36.65835,128.45573
36.66051,128.46014
36.66958,128.45677
36.67407,128.46094
36.67375,128.46195
36.67326,128.46065
36.67011,128.46001
36.66164,128.46074
36.66228,128.45614
36.66783,128.45644
36.66069,128.46082
36.66203,128.45689
36.66163,128.45763
36.66291,128.46138
36.66046,128.45711
36.66129,128.46199
36.65871,128.46031
36.65827,128.45998
36.65766,128.45951
36.64976,128.47716
36.65738,128.45939
36.65715,128.45884
36.65689,128.45824
36.65827,128.45624
36.65786,128.45582
36.65815,128.45762
36.65942,128.45362
36.65847,128.45424
36.65899,128.45581
36.66038,128.45306
36.66004,128.45258
36.65987,128.45455
36.6593,128.45278
36.65988,128.45364
36.66004,128.45322
36.65879,128.45588
36.66315,128.43991
36.66068,128.45986
36.6605,128.45996
36.67033,128.44946
36.66105,128.46125
36.65983,128.46054
36.66006,128.46104
36.66096,128.4564
36.65982,128.46118
36.65821,128.45907
36.66096,128.45575
36.65979,128.45968
36.65613,128.45843
36.65826,128.45831
36.64503,128.47778
36.65543,128.45544
36.65707,128.46989
36.66102,128.4708
36.65488,128.47067
36.64114,128.43228
36.64131,128.43213
36.64069,128.42143
36.64093,128.42572
36.64429,128.42381
36.64213,128.42482
36.64312,128.42979
36.63365,128.42566
36.63872,128.42632
36.63498,128.42549
36.63465,128.42496
36.63498,128.44687
36.63557,128.4462
36.63341,128.45068
36.63248,128.46799
36.64314,128.4672
36.64624,128.46055
36.6488,128.42532
36.64034,128.4686
36.64964,128.41065
36.63644,128.42984
36.63359,128.42354
36.63388,128.42601
36.63537,128.43005
36.63584,128.43078
36.63526,128.43187
36.63379,128.43144
36.63329,128.42512
36.63742,128.41914
36.63541,128.41839
36.63739,128.42297
36.63795,128.42224
36.63645,128.42516
36.63578,128.41948
36.63808,128.44277
36.6384,128.44325
36.63525,128.44614
36.63207,128.44681
36.62712,128.44097
36.63573,128.44644
36.62589,128.44451
36.62606,128.44134
36.62956,128.44253
36.63463,128.44627
36.63538,128.44749
36.63312,128.44561
36.63587,128.44689
36.64036,128.45202
36.63166,128.44778
36.63186,128.45211
36.6315,128.45225
36.63274,128.45207
36.63125,128.4466
36.63565,128.44925
36.63532,128.45085
36.63874,128.44349
36.63787,128.44643
36.62975,128.44937
36.62975,128.46802
36.63015,128.46892
36.62913,128.46789
36.63255,128.4685
36.6323,128.46938
36.63249,128.46962
36.6334,128.47059
36.6244,128.47768
36.63066,128.45995
36.62287,128.47456
36.62361,128.48092
36.62566,128.48104
36.62374,128.47922
36.6351,128.47225
36.63528,128.47222
36.63853,128.46027
36.64217,128.46844
36.64339,128.46187
36.64353,128.46241
36.64511,128.46187
36.64306,128.46303
36.64409,128.46361
36.64508,128.46435
36.64713,128.46292
36.64451,128.46234
