x,y
37.37983,126.9533
37.37983,126.95257
37.37898,126.95283
37.38037,126.9532
37.37964,126.95364
37.3797,126.95394
37.37912,126.95317
37.37932,126.9536
37.3794,126.95264
37.37931,126.95244
37.37972,126.95275
37.3795,126.95203
37.37934,126.95199
37.38108,126.94977
37.37913,126.95121
37.37889,126.95258
37.37861,126.95249
37.37882,126.9531
37.41223,126.9067
37.41247,126.90673
37.41214,126.90656
37.41193,126.90712
37.41213,126.90752
37.41197,126.90657
37.41174,126.90634
37.41198,126.9067
37.41177,126.90677
37.40534,126.8979
37.40482,126.89685
37.40491,126.89728
37.4047,126.89704
37.4045,126.89704
37.40501,126.89761
37.40461,126.89768
37.4048,126.89867
37.40485,126.89886
37.40496,126.89924
37.38016,126.95361
37.40518,126.89875
37.40533,126.89911
37.40569,126.89898
37.40581,126.89852
37.40562,126.8986
37.4057,126.89799
37.40578,126.89832
37.40591,126.8989
37.40613,126.89905
37.40632,126.89901
37.3919,126.92994
37.39076,126.93176
37.39114,126.92989
37.41273,126.91546
37.39201,126.92988
37.39203,126.9293
37.39167,126.92883
37.39182,126.9287
37.3915,126.92897
37.39144,126.9296
37.39172,126.92958
37.39119,126.92923
37.39138,126.92916
37.39109,126.92898
37.39166,126.9279
37.39099,126.92848
37.39099,126.9283
37.39151,126.93026
37.39127,126.93024
37.39117,126.93029
37.39109,126.93054
37.38983,126.92984
37.40641,126.8959
37.3912,126.93114
37.39092,126.93064
37.39054,126.93108
37.39092,126.92677
37.39031,126.93094
37.39063,126.93021
37.39043,126.93118
37.3902,126.93105
37.39068,126.9291
37.39028,126.92946
37.39023,126.93253
37.38997,126.9322
37.38994,126.93204
37.4068,126.89578
37.40731,126.89721
37.40688,126.89614
37.40697,126.89657
37.40695,126.89574
37.40705,126.89709
37.40628,126.89622
37.40658,126.89654
37.40669,126.89705
37.42669,126.91496
37.42657,126.91524
37.40626,126.96431
37.40655,126.96416
37.40891,126.89427
37.40611,126.96351
37.40612,126.96331
37.40621,126.9623
37.40608,126.96255
37.40605,126.96294
37.40661,126.96261
37.40645,126.96241
37.40615,126.96213
37.40624,126.96533
37.40585,126.96175
37.40596,126.96217
37.4054,126.96456
37.40474,126.91073
37.40459,126.91032
37.40304,126.96917
37.4035,126.96971
37.40466,126.91053
37.4051,126.91108
37.40486,126.91103
37.40429,126.96621
37.40086,126.96135
37.40371,126.9659
37.40366,126.96723
37.40273,126.96972
37.40046,126.96142
37.40652,126.89828
37.40653,126.89894
37.40689,126.89792
37.40677,126.89865
37.40672,126.8982
37.40722,126.89781
37.40751,126.89823
37.40735,126.89827
37.40736,126.89849
37.40729,126.89888
37.40628,126.89976
37.40615,126.89965
37.40602,126.89933
37.40624,126.89953
37.40351,126.9056
37.40408,126.90581
37.37566,126.95948
37.37559,126.95991
37.37584,126.95967
37.37459,126.96093
37.40645,126.90881
37.41359,126.91732
37.41354,126.9177
37.41362,126.91773
37.41355,126.91803
37.41379,126.91801
37.4133,126.91837
37.41336,126.91765
37.41376,126.91709
37.41452,126.91794
37.41475,126.91794
37.41489,126.91757
37.41456,126.91768
37.41436,126.91808
37.40143,126.9032
37.38941,126.93146
37.41274,126.91929
37.38965,126.93087
37.38941,126.93109
37.38917,126.93086
37.38909,126.93044
37.38962,126.93051
37.38928,126.92986
37.38943,126.93266
37.38914,126.93283
37.38916,126.93252
37.38888,126.93259
37.38912,126.93209
37.38884,126.93196
37.38833,126.93171
37.38845,126.93187
37.38822,126.93161
37.38863,126.9322
37.38809,126.93149
37.38789,126.93112
37.38821,126.93105
37.38782,126.93088
37.38839,126.93109
37.38833,126.93095
37.38987,126.93175
37.41668,126.92031
37.37846,126.9375
37.3997,126.9688
37.40421,126.97206
37.37987,126.9364
37.38012,126.93612
37.38044,126.93614
37.38054,126.93642
37.38009,126.93668
37.37985,126.93693
37.3797,126.9367
37.37938,126.93715
37.37909,126.93773
37.37919,126.93739
37.37902,126.93785
37.37817,126.93889
37.37801,126.93906
37.37804,126.93925
37.3784,126.93865
37.37803,126.93852
37.37719,126.94067
37.37873,126.93728
37.37896,126.93711
37.37792,126.93732
37.37823,126.93707
37.37783,126.93711
37.37761,126.93688
37.37785,126.93678
37.37792,126.93696
37.37805,126.93661
37.37653,126.93921
37.37888,126.93652
37.37661,126.93939
37.38124,126.92924
37.40094,126.96919
37.39945,126.96834
37.39844,126.96825
37.39791,126.96824
37.39829,126.96843
37.3968,126.96853
37.3987,126.96869
37.40455,126.97143
37.40418,126.97189
37.4045,126.97186
37.40374,126.97294
