x,y
37.46922,126.81293
37.46722,126.81207
37.46526,126.80888
37.46821,126.81077
37.46961,126.80515
37.46847,126.81148
37.46348,126.80868
37.47107,126.81215
37.46826,126.80963
37.46515,126.81007
37.46695,126.80907
37.46919,126.81123
37.46986,126.80983
37.46739,126.81054
37.46795,126.81104
37.4648,126.81021
37.46922,126.80962
37.46796,126.80566
37.46916,126.80927
37.46461,126.81203
37.46763,126.81076
37.48143,126.80467
37.46897,126.80592
37.4661,126.80908
37.47138,126.81158
37.46876,126.81116
37.46607,126.80972
37.46658,126.81129
37.46597,126.81154
37.47013,126.81082
37.46709,126.81004
37.46757,126.80971
37.46717,126.81211
37.46913,126.81016
37.46573,126.80907
37.46589,126.80831
37.46591,126.81008
37.46937,126.80977
37.46671,126.80792
37.46516,126.8097
37.46751,126.81111
37.46964,126.80975
37.46437,126.80967
37.48113,126.80419
37.46445,126.81184
37.48129,126.80761
37.47721,126.8056
37.4777,126.80602
37.48128,126.80637
37.48214,126.80819
37.47744,126.80225
37.47937,126.80737
37.48192,126.80685
37.48321,126.80734
37.46632,126.81108
37.46482,126.80549
37.46743,126.80814
37.46849,126.8109
37.47106,126.81241
37.46676,126.81108
37.47187,126.81244
37.46559,126.81099
37.46371,126.80836
37.46558,126.81008
37.46658,126.81345
37.46485,126.81002
37.46704,126.81073
37.46435,126.80918
37.46717,126.81034
37.46825,126.81243
37.46536,126.81425
37.47185,126.81303
37.46365,126.81043
37.46477,126.80806
37.46724,126.80809
37.46481,126.80893
37.46476,126.80951
37.46767,126.80815
37.46822,126.81016
37.46655,126.8097
37.46644,126.809
37.473,126.81205
37.46892,126.81178
37.46664,126.81076
37.46216,126.80295
37.46724,126.81098
37.45987,126.81297
37.46179,126.80424
37.46531,126.8104
37.46883,126.81093
37.46771,126.81071
37.46482,126.81209
37.46627,126.80964
37.46617,126.81087
37.46227,126.80645
37.46618,126.80999
37.46875,126.81099
37.47155,126.81431
37.46407,126.80908
37.4643,126.81169
37.47028,126.80571
37.46194,126.80509
37.46372,126.80774
37.47098,126.81181
37.46835,126.81128
37.46546,126.80785
37.46169,126.80369
37.46218,126.80614
37.46222,126.80544
37.46857,126.81046
37.4677,126.8093
37.46576,126.81023
37.46442,126.8099
37.46753,126.8074
37.46741,126.81072
37.46713,126.81173
37.46779,126.81063
37.46922,126.80947
37.46694,126.80949
37.46517,126.81038
37.46766,126.81014
37.47267,126.81234
37.46703,126.81039
37.47158,126.81372
37.48132,126.80425
37.47489,126.80395
37.47232,126.81174
37.47844,126.80953
37.47485,126.80501
37.48198,126.80768
37.4795,126.80785
37.47469,126.80434
37.4793,126.80575
37.48012,126.80493
37.47815,126.80954
37.47736,126.80838
37.48245,126.80891
37.47975,126.80408
37.47819,126.80777
37.47979,126.80519
37.48053,126.81044
37.48317,126.80769
37.48202,126.80992
37.47965,126.80931
37.48158,126.8044
37.47676,126.80877
37.47881,126.80984
37.48031,126.81009
37.47876,126.80375
37.47874,126.80358
37.47965,126.8086
37.47845,126.80551
37.47981,126.80595
37.47837,126.80652
37.48286,126.80634
37.47679,126.80931
37.48052,126.80648
37.47984,126.80558
37.48101,126.80397
37.48373,126.80827
37.47833,126.809
37.47715,126.81003
37.48131,126.80439
37.48359,126.80776
37.48064,126.81045
37.48157,126.80708
37.47786,126.80859
37.47821,126.80441
37.47897,126.80917
37.48257,126.8057
37.48145,126.80621
37.47799,126.80508
37.47712,126.80397
37.47864,126.80609
37.47718,126.80687
37.47795,126.80896
37.47812,126.80994
37.4771,126.80909
37.48328,126.80807
37.4836,126.80849
37.48225,126.8099
37.47717,126.80889
37.4792,126.8082
37.4806,126.81075
37.47778,126.80812
37.48146,126.80486
37.47827,126.80972
37.4792,126.80537
37.47811,126.80895
37.47728,126.80493
37.47879,126.81013
37.47976,126.80602
37.47825,126.80858
37.48038,126.81038
37.4801,126.80365
37.48105,126.80942
37.48025,126.80877
37.48132,126.80407
37.47755,126.80797
37.47669,126.80822
37.47941,126.80832
37.47788,126.80407
37.48175,126.80697
37.48018,126.81065
37.47809,126.80851
37.48014,126.80585
37.48063,126.80447
37.48286,126.80937
37.47741,126.8078
37.47735,126.80427
37.47819,126.80861
37.47826,126.80702
37.47882,126.80607
37.48253,126.80928
37.4775,126.80527
37.4777,126.8111
37.48282,126.80946
37.47709,126.80729
37.48288,126.80673
37.48264,126.80684
37.47867,126.81076
37.47766,126.80706
37.47759,126.80937
37.47782,126.81134
37.47779,126.80947
37.47481,126.80373
37.47579,126.80779
37.47863,126.80392
37.47484,126.80584
37.47888,126.80682
37.47978,126.80633
37.47888,126.80947
37.48159,126.80409
37.47956,126.80574
37.47905,126.8036
37.47817,126.80411
37.4772,126.80875
37.47883,126.81096
37.48107,126.80435
37.47742,126.80909
37.47934,126.80416
37.47838,126.8081
37.47811,126.80801
37.48008,126.80945
37.48064,126.80506
37.48188,126.8072
37.47943,126.80517
37.47734,126.80971
37.47796,126.80699
37.47778,126.80895
37.47812,126.80966
37.4839,126.80871
37.47867,126.80826
37.48377,126.80879
37.47838,126.80764
37.47681,126.80394
37.47794,126.8082
37.48843,126.81903
37.48252,126.81154
37.48135,126.81498
37.48272,126.81245
37.48343,126.81588
37.46731,126.83009
37.46693,126.83039
37.48144,126.81269
37.48486,126.81727
37.48897,126.81998
37.4816,126.80393
37.47174,126.8268
37.47759,126.8085
37.47567,126.807
37.48173,126.8034
37.47822,126.80577
37.48334,126.80772
37.47936,126.80439
37.47871,126.80688
37.47678,126.80767
37.47796,126.80806
37.47552,126.80673
37.47137,126.82437
37.47761,126.8087
37.48303,126.81808
37.4803,126.81331
37.48152,126.81414
37.48476,126.81109
37.48482,126.81128
37.48508,126.81275
37.48096,126.8195
37.48315,126.81936
37.48345,126.81645
37.47923,126.81165
37.47996,126.8108
37.48198,126.8125
37.4852,126.81611
37.48245,126.81337
37.47453,126.8249
37.48847,126.81926
37.4887,126.81886
37.4837,126.81755
37.48443,126.81931
37.48066,126.81322
37.48453,126.81124
37.47963,126.81304
37.48372,126.81527
37.4799,126.81357
37.48107,126.81147
37.48152,126.81073
37.48587,126.81945
37.48322,126.81214
37.48137,126.81351
37.48243,126.81858
37.4816,126.81341
37.47452,126.82438
37.48068,126.81224
37.47995,126.81225
37.48137,126.81459
37.48106,126.81279
37.48531,126.81635
37.48969,126.81987
37.48479,126.81665
37.48433,126.81769
37.48569,126.81412
37.48498,126.81709
37.48251,126.81232
37.48226,126.81175
37.47397,126.82117
37.48938,126.81941
37.48238,126.81359
37.47175,126.82882
37.4848,126.81612
37.47148,126.82785
37.48165,126.81571
37.48232,126.81452
37.48243,126.81702
37.48391,126.81371
37.47868,126.81144
37.48192,126.8164
37.48037,126.81328
37.48434,126.81492
37.4883,126.82012
37.48575,126.81754
37.48484,126.81442
37.4792,126.81116
37.48281,126.81219
37.48363,126.81678
37.47879,126.81119
37.48831,126.81866
37.47542,126.82433
37.48191,126.81199
37.48242,126.81309
37.48511,126.81616
37.48278,126.81123
37.48249,126.81072
37.48236,126.81494
37.47134,126.8281
37.47593,126.82346
37.4884,126.81827
37.48419,126.81414
37.48209,126.81966
37.48318,126.81392
37.48874,126.81964
37.48986,126.82003
37.48726,126.81738
37.48549,126.81573
37.48363,126.81452
37.48407,126.81922
37.48869,126.81859
37.48037,126.80429
37.47548,126.82356
37.48742,126.8169
37.48189,126.81548
37.48746,126.81782
37.48647,126.81629
37.48654,126.81589
37.48345,126.81768
37.48251,126.81759
37.47492,126.82404
37.48479,126.81794
37.48369,126.81633
37.48301,126.81707
37.4835,126.81542
37.48337,126.81597
37.48147,126.81391
37.47801,126.81172
37.48571,126.8186
37.48335,126.81627
37.4851,126.81921
37.48667,126.81676
37.47415,126.82531
37.48198,126.81355
37.47529,126.82249
37.47316,126.82417
37.48262,126.8102
37.48128,126.81307
37.48501,126.81829
37.48678,126.8167
37.4859,126.81479
37.46763,126.83089
37.47852,126.81133
37.46821,126.83104
37.4824,126.81124
37.48817,126.81863
37.48151,126.81302
37.47998,126.81114
37.48328,126.81494
37.48504,126.81863
37.48356,126.81318
37.48206,126.81375
37.48192,126.81776
37.48056,126.81411
37.48281,126.81671
37.48298,126.8112
37.48557,126.81826
37.48787,126.81851
37.4894,126.82051
37.47875,126.81632
37.47296,126.83002
37.48275,126.81583
37.48381,126.81323
37.47963,126.81351
37.47368,126.82405
37.4821,126.81671
37.48499,126.81591
37.48632,126.81803
37.48934,126.81961
37.48305,126.81267
37.48995,126.82054
37.48233,126.80479
37.48272,126.81198
37.48622,126.81552
37.48195,126.81436
37.48413,126.80958
37.48144,126.81195
37.48309,126.8162
37.48708,126.81693
37.48507,126.81794
37.47249,126.82961
37.47473,126.82227
37.48516,126.8175
37.48796,126.81919
37.49022,126.82054
37.48174,126.81166
37.48296,126.8156
37.47368,126.82525
37.48012,126.8111
37.46893,126.83026
37.48435,126.81005
37.47895,126.81233
37.48531,126.81658
37.48189,126.81485
37.48037,126.81107
37.47959,126.81128
37.4745,126.82606
37.47871,126.81096
37.48226,126.81264
37.48913,126.81972
37.48503,126.81848
37.48291,126.81169
37.47913,126.81235
37.48226,126.81412
37.48906,126.82027
37.48304,126.81511
37.48888,126.81877
37.48083,126.81297
37.48527,126.81324
37.48683,126.81714
37.48195,126.81495
37.48504,126.81569
37.48728,126.81687
37.48396,126.81448
37.47421,126.82479
37.4871,126.81651
37.48957,126.81963
37.4887,126.81913
37.48646,126.81614
37.48104,126.8137
37.48278,126.81603
37.46911,126.83036
37.4838,126.81711
37.48666,126.816
37.48214,126.81468
37.47373,126.82075
37.48742,126.81706
37.48227,126.81022
37.47298,126.83041
37.48278,126.80982
37.4825,126.81259
37.48451,126.81051
37.48491,126.81935
37.48411,126.81517
37.48173,126.81506
37.48151,126.81584
37.4812,126.81094
37.48186,126.81589
37.48249,126.81554
37.47218,126.82703
37.48408,126.80922
37.48378,126.81539
37.48452,126.81774
37.48341,126.81414
37.47373,126.82511
37.48352,126.81584
37.48391,126.81731
37.48614,126.81827
37.48122,126.81711
37.48348,126.81133
37.48334,126.81569
37.48617,126.81841
37.48443,126.81022
37.47416,126.82152
37.48214,126.81696
37.48356,126.81553
37.48103,126.81223
37.48196,126.81616
37.49001,126.82023
37.48117,126.81392
37.48225,126.81845
37.48571,126.81794
37.48296,126.81853
37.48317,126.81792
37.48246,126.81197
37.48015,126.8137
37.48352,126.81479
37.484,126.80945
37.48353,126.81838
37.48176,126.81041
37.48566,126.81729
37.48875,126.82002
37.48525,126.8177
37.48616,126.81516
37.48449,126.81839
37.48809,126.81786
37.48806,126.81771
37.48317,126.81715
37.48303,126.81378
37.48245,126.81038
37.4869,126.81659
37.47917,126.81216
37.48463,126.81839
37.48215,126.81525
37.48372,126.81837
37.52111,126.8141
37.52672,126.82173
37.52461,126.82517
37.53842,126.81609
37.52739,126.82342
37.52318,126.78437
37.52195,126.82128
37.51828,126.77331
37.52218,126.78942
37.51644,126.77456
37.52057,126.77644
37.52284,126.77553
37.48378,126.80921
37.52042,126.77086
37.52039,126.76876
37.51668,126.80335
37.51902,126.7662
37.51906,126.76139
37.51069,126.80734
37.51866,126.79672
37.50754,126.80711
37.52036,126.79902
37.5231,126.79656
37.52906,126.80441
37.5122,126.79075
37.52741,126.80745
37.51688,126.8096
37.52217,126.80691
37.51141,126.81289
37.51883,126.82148
37.50743,126.81199
37.5068,126.81103
37.50735,126.81143
37.5176,126.82027
37.46763,126.81335
37.50879,126.82299
37.51588,126.81259
37.48903,126.81899
37.46402,126.8084
37.47637,126.79181
37.46922,126.79898
37.4706,126.79262
37.48229,126.80192
37.46489,126.79685
37.46787,126.79545
37.48652,126.74997
37.48211,126.8165
37.48757,126.75258
37.48133,126.75867
37.48152,126.77267
37.48506,126.77363
37.47333,126.76854
37.47952,126.77506
37.47255,126.78231
37.47634,126.77767
37.4761,126.77561
37.47695,126.7854
37.47386,126.77437
