x,y
37.6345211,126.7737
37.6363595,126.7739
37.6404953,126.7741
37.6381092,126.7749
37.6384422,126.7747
37.6389925,126.7751
37.6398517,126.7768
37.6405812,126.7766
37.6414111,126.7771
37.638574,126.77768
37.6390731,126.7795
37.6394341,126.7798
37.6416316,126.7794
37.6404089,126.7808
37.641407,126.77979
37.6353567,126.7726
37.6406073,126.7809
37.636576,126.77412
37.6336846,126.7744
37.6338831,126.7746
37.6375222,126.7742
37.6329122,126.7757
37.6357156,126.7718
37.6346073,126.7764
37.6340755,126.7763
37.6360503,126.7772
37.6941568,126.7316
37.6953768,126.7332
37.6955939,126.7336
37.6970682,126.7362
37.6973203,126.7361
37.6964264,126.7352
37.6965725,126.7361
37.6965134,126.7339
37.6977935,126.7342
37.697515,126.73455
37.69821,126.731180
37.6983984,126.7347
37.6989286,126.7341
37.6993508,126.7336
37.6957651,126.7297
37.6971513,126.7291
37.6976823,126.7289
37.6967388,126.7379
37.6965394,126.7374
37.6935723,126.8101
37.7137868,126.7826
37.7117609,126.7833
37.7110671,126.7832
37.7137623,126.7888
37.7135642,126.7889
37.7138982,126.7893
37.713405,126.79062
37.7025683,126.8184
37.712846,126.79035
37.7132083,126.7914
37.7131234,126.7893
37.7122034,126.7887
37.7104808,126.7877
37.7103475,126.7887
37.7092636,126.7872
37.6856527,126.7794
37.706654,126.78906
37.7064303,126.7898
37.7067876,126.7881
37.7067948,126.7871
37.7075144,126.7865
37.7125641,126.7889
37.7064258,126.7874
37.6931551,126.8084
37.7010167,126.7807
37.6999552,126.7816
37.6926863,126.8082
37.7063756,126.7797
37.691794,126.80800
37.7099594,126.7835
37.7097619,126.7839
37.7106244,126.7826
37.7087645,126.7805
37.7092881,126.7810
37.707927,126.78071
37.7069868,126.7790
37.6922105,126.8092
37.6917615,126.8101
37.7077113,126.7762
37.7077049,126.7776
37.7068776,126.7784
37.7062668,126.8046
37.7082071,126.7811
37.6930731,126.7972
37.687653,126.79420
37.6940733,126.7973
37.690906,126.81040
37.7111502,126.7943
37.7112665,126.7938
37.7070949,126.7790
37.7077885,126.8094
37.6902636,126.8087
37.7049572,126.8136
37.6886795,126.8097
37.6884912,126.8102
37.688791,126.81179
37.6934011,126.8100
37.6879842,126.8087
37.6879023,126.8083
37.6989062,126.8047
37.6987088,126.8052
37.6870461,126.8081
37.7179008,126.7856
37.7188764,126.7870
37.6865982,126.8097
37.7170637,126.7861
37.716904,126.78745
37.7165414,126.7862
37.7153165,126.7864
37.7152092,126.7868
37.71512,126.787406
37.6868737,126.8073
37.7119019,126.7864
37.6884043,126.8067
37.7098445,126.7847
37.7095131,126.7857
37.6876303,126.8072
37.7118731,126.7855
37.7008492,126.7977
37.6874073,126.7928
37.6890482,126.8038
37.7165122,126.7850
37.7062334,126.7808
37.6897129,126.8027
37.6913232,126.8013
37.6373837,126.7771
37.6342749,126.7769
37.665297,126.77317
37.6652387,126.7756
37.6346628,126.7771
37.6649384,126.7740
37.6661017,126.7746
37.6659043,126.7750
37.6666015,126.7768
37.6672383,126.7753
37.6678251,126.7759
37.6679611,126.7764
37.6683219,126.7766
37.6679359,126.7773
37.668153,126.77779
37.6356089,126.7772
37.7212037,126.8267
37.7148787,126.8326
37.7190149,126.8332
37.7216778,126.8367
37.6724054,126.7874
37.6639617,126.7914
37.6636045,126.7932
37.6612992,126.7938
37.6617683,126.7942
37.6622094,126.8044
37.6618483,126.8040
37.6623524,126.8037
37.6633516,126.8032
37.6630994,126.8032
37.6634622,126.8047
37.6621276,126.8040
37.6645767,126.8031
37.6771532,126.7973
37.6756838,126.7968
37.6738196,126.7973
37.6614086,126.7945
37.6626285,126.8018
37.6622678,126.8016
37.6599129,126.8104
37.6611028,126.7949
37.6588763,126.7942
37.6590743,126.7941
37.6591559,126.7944
37.6597151,126.8107
37.659852,126.79581
37.6595467,126.7963
37.6578772,126.8000
37.656324,126.80323
37.6580436,126.8025
37.6574361,126.8002
37.6602722,126.7991
37.6584064,126.7986
37.6765697,126.8092
37.6641,126.8145734
37.6656553,126.8124
37.6756326,126.7984
37.6767681,126.8093
37.673714,126.80942
37.6700732,126.8034
37.6757692,126.8214
37.6669889,126.8070
37.6680453,126.8084
37.668683,126.80726
37.6684946,126.8077
37.6670706,126.8074
37.6668513,126.8056
37.6823183,126.8208
37.6702146,126.8127
37.6790708,126.8182
37.6760499,126.8223
37.6748252,126.8169
37.6671574,126.8165
37.6747413,126.8151
37.6774336,126.8085
37.6726277,126.8174
37.6785985,126.8215
37.6786832,126.8239
37.6859346,126.8172
37.6642413,126.8127
37.6860962,126.8168
37.6858792,126.8164
37.6944322,126.7378
37.6948511,126.7358
37.6953745,126.7283
37.6947658,126.7301
37.695014,126.73221
37.6944549,126.7319
37.6896284,126.8171
37.6745427,126.8206
37.6733476,126.8112
37.672494,126.80718
37.6719643,126.8083
37.6845758,126.8070
37.6846829,126.8064
37.6731884,126.8187
37.6842658,126.8048
37.684267,126.80562
37.6837691,126.8042
37.6831541,126.8028
