x,y
37.358255,126.9590907
37.3589579,126.959333
37.3591922,126.9593893
37.3592757,126.9596545
37.3594379,126.9599649
37.3587712,126.9600442
37.3595304,126.9603232
37.3594317,126.9613928
37.3621682,126.9391451
37.3495152,126.9593466
37.3493079,126.9592874
37.3492066,126.9594088
37.3490827,126.9593553
37.3489678,126.9594879
37.3487696,126.9594485
37.3484588,126.9595729
37.3481839,126.9594489
37.3482245,126.9596351
37.3480037,126.959353
37.3745348,126.9391379
37.3738929,126.9392767
37.373537,126.9394125
37.3735529,126.9396693
37.3734358,126.9397118
37.3732377,126.93998
37.3736341,126.9398668
37.3734833,126.9400984
37.3734767,126.9403101
37.3742265,126.9398607
37.3739584,126.9396662
37.3754565,126.9399275
37.3751119,126.9400322
37.3651271,126.9518058
37.3652715,126.9522629
37.3661909,126.9477863
37.3666008,126.9475348
37.367031,126.9475571
37.3672449,126.9473961
37.3686351,126.9482644
37.3687411,126.9484421
37.3670878,126.9486041
37.3677385,126.9480448
37.3678467,126.948231
37.3676189,126.9474522
37.3681892,126.9484961
37.368288,126.9476211
37.3678934,126.9469186
37.3688892,126.9470788
37.3681617,126.9474236
37.369085,126.9467343
37.3694232,126.9474143
37.3692692,126.9455771
37.3693595,126.9461584
37.3694497,126.9463841
37.3703757,126.9467871
37.3708375,126.9467557
37.3703504,126.9456412
37.3704564,126.9459657
37.3612973,126.9365439
37.3649963,126.9414429
37.3643953,126.9422871
37.3678418,126.9424369
37.3693062,126.9429579
37.3597071,126.9410378
37.3606333,126.9373713
37.3754951,126.9453609
37.3656283,126.9544781
37.3656757,126.9548364
37.3656038,126.9553642
37.3652815,126.9547266
37.3705331,126.9462168
37.3710852,126.9466483
37.3713441,126.9464053
37.3712561,126.9459962
37.3509509,126.9553757
37.35112,126.9558299
37.3512911,126.9557057
37.3520684,126.9561821
37.3524786,126.9567462
37.3527695,126.9575474
37.3530355,126.9581003
37.3506116,126.9576615
37.3510845,126.9573028
37.3531412,126.9576657
37.3529,126.9572002
37.3536208,126.9570418
37.3537649,126.9570276
37.3543168,126.9570442
37.3539791,126.9574536
37.3544543,126.9572812
37.354101,126.9582126
37.3525077,126.9561705
37.3522868,126.955674
37.3526381,126.9555582
37.36516,126.9550823
37.365115,126.9553194
37.3655874,126.9537528
37.3651145,126.9541397
37.364646,126.9540807
37.36454,126.9537619
37.3647317,126.9544334
37.3640809,126.9549729
37.3635269,126.9553373
37.3620883,126.9515001
37.3628243,126.9557102
37.3625316,126.9562099
37.3715605,126.9373819
37.3719166,126.9378361
37.3473771,126.9584053
37.3714931,126.9377122
37.371261,126.9376475
37.3710742,126.9378904
37.3708716,126.9381389
37.3706014,126.9384016
37.3711916,126.938466
37.3517796,126.9612782
37.3713664,126.9367555
37.3712613,126.9382543
37.3708809,126.9387175
37.370649,126.9389068
37.3706088,126.9396971
37.3698626,126.9385603
37.3713449,126.9387736
37.3527033,126.955307
37.3527639,126.9547398
37.3527774,126.954531
37.3526445,126.9546467
37.3523946,126.9550109
37.3522099,126.9549602
37.3520388,126.9551042
37.3659591,126.9537949
37.374326,126.9404985
37.3739003,126.9407077
37.3736436,126.9408519
37.3730828,126.9410245
37.3728036,126.9411602
37.3623671,126.9559108
37.3620496,126.9562073
37.3616216,126.9561314
37.361322,126.9560695
37.3610043,126.9560273
37.3603759,126.9561095
37.3595358,126.9564374
37.3590606,126.9566719
37.3586733,126.956943
37.3583355,126.9573157
37.3580856,126.9576319
37.3726438,126.9370508
37.3727563,126.9369209
37.3721373,126.9377032
37.3718582,126.9380647
37.3717411,126.9382342
37.3715859,126.9385871
37.3726891,126.9375983
37.3730722,126.9379028
37.3737988,126.9403381
37.3736367,126.9405075
37.3731524,126.9406236
37.372889,126.940748
37.3742177,126.940143
37.3746365,126.9399394
37.3744607,126.939694
37.372504,126.9413072
37.3720716,126.9414882
37.371995,126.9412737
37.3721976,126.9411099
37.3726345,126.9408724
37.3728618,126.9404348
37.3723705,126.9399949
37.3722132,126.9407627
37.3726297,126.9402741
37.3575565,126.9583489
37.3566912,126.9575677
37.3565807,126.9570824
37.3564299,126.9574494
37.3573066,126.9586792
37.3563035,126.9568484
37.3751775,126.9406898
37.3759727,126.9407823
37.3757587,126.9407401
37.3753241,126.941034
37.3570702,126.9589954
37.356881,126.9592946
37.3568513,126.9578837
37.3745404,126.9414213
37.3739076,126.9417492
37.3733266,126.9420432
37.3728875,126.9422637
37.3720935,126.9401023
37.3713999,126.9404613
37.3733833,126.9383344
37.3731672,126.938662
37.3735364,126.9381565
37.3736829,126.9383201
37.3735524,126.9385657
37.3729984,126.9389896
37.3727464,126.9394216
37.3724695,126.9397125
37.3726536,126.9386032
37.3720351,126.9405681
37.3718032,126.940715
37.3714834,126.9407576
37.3732734,126.9391954
37.3755805,126.9402068
37.3758238,126.9402602
37.3757113,126.940472
37.3750558,126.9404782
37.3743171,126.9407751
37.3718409,126.9396142
37.3715796,126.9395524
37.371438,126.9401
37.3710664,126.9402414
37.3714915,126.9390839
37.3713093,126.9395639
37.3741465,126.9376197
37.3743042,126.9375349
37.3746603,126.9379665
37.3743784,126.9372893
37.374739,126.9376531
37.3711225,126.939945
37.3715505,126.9398431
37.3748787,126.9378308
37.3752867,126.9383865
37.3752939,126.9391824
37.3731385,126.9355291
37.3734586,126.9359494
37.3737719,126.9363584
37.3739591,126.9367025
37.3720749,126.9389367
37.3720545,126.9387871
37.3627326,126.9463409
37.3625905,126.9460504
37.3623651,126.9456272
37.3633519,126.9461853
37.3635409,126.9456518
37.3631328,126.9448675
37.3739748,126.9409448
37.3739591,126.9410323
37.373628,126.9411426
37.3732001,126.9413433
37.3729952,126.9414959
37.3727992,126.9414029
37.3724997,126.941691
37.3751665,126.9458607
37.3755857,126.9462697
37.3764747,126.9447815
37.3761165,126.9445419
37.3759094,126.9447961
37.3684455,126.9424195
37.3654572,126.9396899
37.3620475,126.9457093
37.375777,126.945897
37.376207,126.9454112
37.3559804,126.9437412
37.3565369,126.9439665
37.3583259,126.9448738
37.3585649,126.9455255
37.3586818,126.945026
37.3636735,126.9448671
37.3638065,126.9450928
37.3638135,126.9456346
37.3638876,126.9452903
37.3631526,126.9438572
37.3610608,126.9364763
37.3608966,126.937007
37.3660492,126.9482859
37.3659052,126.9486811
37.3654706,126.9489382
37.3650314,126.9491304
37.3742362,126.9411675
37.3745898,126.9409838
37.3749298,126.9408311
37.3726035,126.9419704
37.3711907,126.9457507
37.3729751,126.9418798
37.3709382,126.9452569
37.3655425,126.9390718
37.3643009,126.9382487
37.3730989,126.9417329
37.3734593,126.9415689
37.3739007,126.9413343
37.3661965,126.9405924
37.3645156,126.9441864
37.3584544,126.9405167
37.3537996,126.9344141
37.3535565,126.9346231
37.3533155,126.9348293
37.356991,126.9334914
37.3591646,126.9466341
37.359167,126.9468627
37.3599688,126.9466364
37.3598315,126.9469469
37.3596898,126.9473872
37.3597098,126.9466676
37.3594262,126.9472576
37.3679748,126.9263837
37.3681886,126.9260222
37.3680463,126.9254071
37.3679897,126.9250346
37.367854,126.9241824
37.367741,126.9235673
37.3672653,126.922882
37.3669784,126.9251344
37.3667383,126.9266163
37.3669435,126.926952
37.364725,126.948919
37.3646687,126.9490065
37.3646956,126.9486396
37.3648578,126.948789
