x,y
37.78511,127.02332
37.79264,127.01397
37.79307,127.01356
37.79202,127.01555
37.79208,127.01497
37.7306,126.99584
37.73077,126.99548
37.7316,126.99544
37.73163,126.99753
37.72556,126.99105
37.7200633,126.9831692
37.80353,127.07045
37.80735,127.08183
37.80197,127.0732
37.80743,126.91467
37.80086,127.07472
37.80402,126.91341
37.80466,127.0748
37.78612,127.07496
37.78663,127.0753
37.78774,127.07472
37.78744,127.07485
37.806144,126.9133338
37.78797,127.07496
37.79049,127.07487
37.80742,127.04414
37.80425,126.91392
37.809,127.10774
37.8061,126.98826
37.79517,127.04971
37.79202,127.07533
37.79804,127.04386
37.79905,127.04203
37.79906,127.04282
37.79911,127.04167
37.799,127.04408
37.71873,126.98033
37.71302,126.99243
37.74678,126.94935
37.74644,126.9504
37.74502,126.95117
37.74495,126.95048
37.74392,126.95194
37.75029,126.94197
37.74363,126.95789
37.74554,126.95983
37.7468,126.96093
37.73982,126.95521
37.7421,126.95384
37.79831,127.04501
37.79929,127.04588
37.80031,127.04213
37.80176,127.0433
37.80229,127.04562
37.8043,127.04297
37.80359,127.04486
37.83104,126.99806
37.8339451,126.9991786
37.83786,126.9951
37.83585,127.00214
37.8371,126.99592
37.83775,126.99837
37.83258,126.9971
37.8358101,127.0018822
37.79858,127.04421
37.83815,126.99452
37.83527,127.00088
37.83339,126.99389
37.8347199,127.0009621
37.83048,126.99222
37.829,126.99423
37.78997,127.06892
37.79037,127.06811
37.7841507,127.0815623
37.81328,127.10553
37.81381,127.10825
37.81367,127.11157
37.8134,127.10886
37.81241,127.10831
37.81296,127.11075
37.81061,127.11002
37.80973,127.11032
37.80995,127.11007
37.80169,127.10594
37.7956784,127.0878871
37.7087,126.99382
37.7103,126.9938
37.71042,126.98541
37.7863122,127.0826203
37.78675,127.07348
37.77706,127.06613
37.8053,127.02937
37.80618,127.02913
37.80542,127.02773
37.80723,126.92125
37.78878,127.07021
37.79131,127.07341
37.7889,127.07441
37.8385,126.96365
37.82826,126.98351
37.82692,126.98121
37.82763,126.98186
37.82596,126.98432
37.82403,126.98351
37.83654,127.0024
37.82029,126.99671
37.70664,126.9329
37.80133,127.08979
37.8145923,127.1065677
37.81444,127.10707
37.8022,127.0896205
37.80391,127.08817
37.80669,127.09109
37.82473,126.97304
37.76878,127.04416
37.82593,126.97616
37.8285,126.973
37.8252,126.98004
37.77291,127.04515
37.76717,127.04401
37.76824,127.04318
37.7684,127.04206
37.76766,127.03858
37.82775,126.96967
37.82727,126.96715
37.82698,126.96809
37.76663,127.04254
37.7106,126.98272
37.7161,126.97734
37.71971,126.94049
37.7206,126.94105
37.78015,127.05075
37.7749,127.06048
37.76349,127.04685
37.78974,127.09262
37.78743,126.9754
37.78879,127.09362
37.791,127.0929
37.79275,127.09615
37.7922587,127.0946724
37.79252,127.09563
37.7925108,127.0949225
37.79363,127.09778
37.79194,127.09833
37.79211,127.09786
37.78351,127.08198
37.78328,127.08296
37.78734,127.08857
37.81707,126.98034
37.81791,126.98168
37.81336,126.97767
37.817,126.97779
37.8167,126.97638
37.81637,126.97578
37.81903,126.97414
37.80172,127.10238
37.80401,127.09983
