x,y
37.5715,127.7347
37.5715,127.7647
37.5715,127.7363
37.5716,127.7961
37.5716,127.3909
37.4168,127.6945
37.4171,127.683
37.4171,127.6329
37.4172,127.757
37.5737,127.7179
37.5738,127.3912
37.5739,127.7345
37.574,127.6724
37.5744,127.7337
37.5745,127.3914
37.5745,127.6642
37.5746,127.6647
37.5747,127.6517
37.5749,127.6638
37.4223,127.7513
37.4224,127.7542
37.4224,127.6332
37.4226,127.7526
37.4168,127.7581
37.4228,127.7542
37.4229,127.5954
37.4229,127.6435
37.423,127.6296
37.4232,127.5378
37.4233,127.5974
37.4233,127.7645
37.4234,127.5727
37.4234,127.7524
37.4235,127.5398
37.4237,127.7507
37.3907,127.7499
37.3908,127.7166
37.423,127.5948
37.3916,127.7473
37.3917,127.7498
37.3918,127.7156
37.4172,127.6152
37.5543,127.7137
37.5543,127.7909
37.5543,127.6775
37.5544,127.7132
37.5544,127.6236
37.5544,127.7119
37.5545,127.3274
37.572,127.7361
37.5721,127.4208
37.5723,127.4109
37.5724,127.4205
37.5725,127.7351
37.5726,127.4197
37.5726,127.4241
37.5726,127.6961
37.5727,127.6716
37.5728,127.4199
37.5729,127.4229
37.573,127.7354
37.5731,127.4213
37.5732,127.3911
37.5556,127.4553
37.5556,127.6648
37.555,127.3418
37.555,127.3264
37.3922,127.719
37.3932,127.7808
37.3934,127.7152
37.3935,127.7794
37.5551,127.6702
37.5551,127.6816
37.5551,127.3425
37.5552,127.7139
37.5552,127.4543
37.5552,127.7104
37.5552,127.3636
37.5553,127.6667
37.5553,127.3615
37.5554,127.6255
37.5554,127.6754
37.5756,127.4116
37.3921,127.7762
37.5757,127.3367
37.5758,127.3914
37.576,127.412
37.5762,127.3372
37.5733,127.423
37.4215,127.7545
37.4215,127.7516
37.4216,127.7524
37.4217,127.5507
37.4217,127.6205
37.4217,127.5711
37.4219,127.5367
37.422,127.6011
37.3852,127.762
37.3853,127.7599
37.3853,127.7659
37.3854,127.7606
37.3856,127.7658
37.3859,127.7651
37.386,127.7652
37.3861,127.7125
37.3864,127.7119
37.5664,127.4119
37.5665,127.4225
37.5666,127.4209
37.5667,127.6552
37.5668,127.4223
37.5669,127.7573
37.4159,127.7643
37.4159,127.6255
37.416,127.7579
37.4161,127.7524
37.4161,127.6928
37.4161,127.6947
37.4162,127.5707
37.5537,127.715
37.5538,127.4553
37.5538,127.7094
37.5538,127.6223
37.5538,127.5036
37.5539,127.7071
37.5539,127.7148
37.554,127.3635
37.554,127.3414
37.5703,127.7202
37.5701,127.734
37.5705,127.4265
37.5706,127.734
37.5707,127.4188
37.5707,127.7383
37.4164,127.6144
37.4165,127.5409
37.4165,127.6107
37.4165,127.5429
37.4165,127.5729
37.4173,127.6138
37.4174,127.7569
37.4209,127.5758
37.4211,127.7518
37.4211,127.5964
37.3793,127.7142
37.3799,127.7371
37.3814,127.714
37.3823,127.7405
37.3829,127.7417
37.3836,127.7585
37.3719,127.772
37.3844,127.7594
37.3849,127.7677
37.5543,127.6713
37.3869,127.7136
37.3874,127.7101
37.3885,127.714
37.3889,127.7467
37.389,127.7173
37.389,127.7204
37.3891,127.7433
37.3895,127.7161
37.5585,127.706
37.5586,127.345
37.5586,127.3517
37.5587,127.3785
37.5587,127.3571
37.5587,127.5022
37.5587,127.6874
37.5588,127.7883
37.5588,127.7061
37.5588,127.6606
37.5586,127.7055
37.5589,127.5009
37.559,127.3767
37.559,127.7781
37.4166,127.6328
37.4166,127.6129
37.4166,127.7528
37.4166,127.7559
37.4167,127.7586
37.4205,127.7537
37.4206,127.755
37.4206,127.752
37.4207,127.5752
37.4208,127.6141
37.3704,127.7735
37.5542,127.6762
37.5542,127.3272
37.5542,127.7159
37.5542,127.7096
37.5537,127.5023
37.571,127.6685
37.571,127.7523
37.5711,127.4195
37.5712,127.4104
37.5713,127.6805
37.5715,127.752
37.417,127.7585
37.417,127.5732
37.4171,127.5434
37.4171,127.6143
37.5695,127.797
37.5696,127.7634
37.5696,127.7308
37.5696,127.4211
37.5696,127.6705
37.5696,127.7993
37.5697,127.6695
37.5616,127.3799
37.5617,127.6668
37.5618,127.7046
37.5618,127.7758
37.5619,127.7945
37.5671,127.4184
37.5671,127.4113
37.5669,127.4218
37.5672,127.7197
37.5673,127.7687
37.5684,127.4191
37.5685,127.7992
37.5685,127.6556
37.5685,127.3897
37.5513,127.4582
37.5513,127.3656
37.5514,127.6719
37.5514,127.339
37.5515,127.3393
37.5515,127.7166
37.6052,127.3469
37.6052,127.3573
37.6052,127.3552
37.6053,127.3561
37.6053,127.3479
37.588,127.3883
37.5772,127.6762
37.5773,127.3659
37.5774,127.364
37.5775,127.7537
37.5776,127.3628
37.5776,127.7519
37.5778,127.7577
37.5779,127.3599
37.4176,127.6338
37.4176,127.5433
37.5674,127.7628
37.4134,127.6198
37.4134,127.7538
37.4136,127.5724
37.4136,127.5733
37.4137,127.7674
37.4139,127.7615
37.4133,127.7633
37.5882,127.3878
37.5519,127.6522
37.5521,127.7024
37.5521,127.7057
37.4176,127.5381
37.4177,127.6342
37.4178,127.6154
37.4178,127.6142
37.4179,127.5721
37.3977,127.7197
37.3979,127.731
37.3983,127.7301
37.3973,127.7263
37.3993,127.7298
37.3993,127.7655
37.4176,127.6104
37.3996,127.7485
37.555,127.3266
37.555,127.6537
37.5573,127.3416
37.5573,127.3587
37.4141,127.5721
37.4108,127.7526
37.4111,127.7806
37.4111,127.7512
37.4112,127.7674
37.4115,127.619
37.4119,127.6194
37.412,127.6871
37.5845,127.6625
37.5847,127.6781
37.5848,127.39
37.5848,127.4564
37.585,127.355
37.5851,127.3962
37.5852,127.3624
37.5495,127.3794
37.5495,127.6808
37.5496,127.3302
37.5496,127.5011
37.6012,127.4261
37.6013,127.4268
37.5573,127.7063
37.5574,127.4514
37.5574,127.3524
37.5575,127.3495
37.5575,127.3537
37.5575,127.3629
37.5576,127.7114
37.5782,127.4172
37.5783,127.7595
37.5469,127.3204
37.559,127.5027
37.5591,127.3513
37.5591,127.3519
37.6013,127.3567
37.6013,127.3957
37.6014,127.3627
37.6014,127.4259
37.6015,127.3959
37.5854,127.3952
37.5854,127.39
37.5855,127.3953
37.5856,127.3636
37.5856,127.3888
37.5858,127.3884
37.5859,127.396
37.5521,127.6833
37.5522,127.337
37.6019,127.3975
37.602,127.3628
37.602,127.3792
37.602,127.427
37.602,127.3697
37.5591,127.3481
37.5592,127.3526
37.5592,127.3466
37.4181,127.613
37.4181,127.7581
37.4182,127.7549
37.4182,127.7573
37.4183,127.5744
37.4183,127.6151
37.4183,127.614
37.4184,127.765
37.5863,127.3964
37.5863,127.3535
37.5864,127.6321
37.5498,127.3264
37.5498,127.7224
37.5498,127.4221
37.6022,127.3764
37.6022,127.4193
37.5906,127.379
37.5908,127.3802
37.591,127.3791
37.5912,127.3851
37.5914,127.3892
37.5916,127.3896
37.5572,127.5035
37.5572,127.6658
37.602,127.3732
37.5572,127.328
37.5522,127.6592
37.5523,127.7032
37.4184,127.6123
37.4186,127.6141
37.4186,127.629
37.4187,127.5796
37.4188,127.6136
37.4188,127.6119
37.4121,127.754
37.5797,127.41
37.5797,127.3893
37.5797,127.3606
37.5799,127.4269
37.5799,127.4255
37.5799,127.3938
37.58,127.4079
37.58,127.4185
37.5801,127.7473
37.5801,127.4249
37.5642,127.4117
37.5644,127.7774
37.5645,127.7276
37.5646,127.3868
37.5648,127.4179
37.5648,127.725
37.5648,127.7167
37.5651,127.4186
37.5652,127.7773
37.6021,127.3825
37.6021,127.3642
37.6021,127.3562
37.6021,127.4276
37.6022,127.3836
37.6022,127.5988
37.4189,127.7331
37.4003,127.766
37.4004,127.7216
37.4005,127.7276
37.3997,127.7198
37.4007,127.7216
37.5577,127.3532
37.5578,127.374
37.5578,127.7051
37.5578,127.3559
37.5578,127.3582
37.5578,127.3714
37.5578,127.3758
37.5654,127.7754
37.5655,127.7285
37.5656,127.3315
37.4143,127.7607
37.4143,127.7456
37.4144,127.5398
37.4146,127.7635
37.4146,127.5727
37.4146,127.5436
37.4147,127.5719
37.4147,127.7534
37.4148,127.6851
37.415,127.573
37.4151,127.5724
37.4126,127.7676
37.4127,127.7539
37.5654,127.7043
37.4128,127.7425
37.4129,127.7673
37.413,127.5718
37.4132,127.7621
37.5498,127.458
37.5499,127.7045
37.55,127.6469
37.6042,127.37
37.6042,127.3687
37.6043,127.6827
37.6043,127.3477
37.6043,127.3955
37.6044,127.6017
37.6044,127.6827
37.5579,127.3283
37.5579,127.3771
37.5579,127.7136
37.5594,127.3542
37.5594,127.679
37.5594,127.7038
37.5595,127.3306
37.5596,127.7146
37.5597,127.6615
37.5597,127.7142
37.5599,127.3558
37.5599,127.3293
37.419,127.5745
37.419,127.6144
37.4191,127.7545
37.4192,127.6967
37.5528,127.4601
37.5528,127.6697
37.5529,127.7051
37.553,127.3377
37.553,127.4559
37.553,127.7906
37.6044,127.3692
37.6044,127.3662
37.5868,127.4596
37.587,127.3518
37.5871,127.4579
37.5871,127.6612
37.5873,127.3894
37.5874,127.365
37.5875,127.3466
37.5876,127.3458
37.5885,127.3508
37.5888,127.3915
37.5889,127.3887
37.5891,127.4599
37.5564,127.6502
37.5565,127.705
37.5565,127.4555
37.5565,127.7061
37.5565,127.5092
37.5517,127.5831
37.4192,127.6112
37.4192,127.573
37.4192,127.6801
37.4193,127.5732
37.4193,127.611
37.4193,127.5727
37.4011,127.7344
37.4012,127.7636
37.5877,127.4588
37.5877,127.3483
37.5502,127.7901
37.5502,127.7202
37.5503,127.62
37.5503,127.7047
37.5504,127.4592
37.5504,127.3373
37.5515,127.7084
37.5517,127.6201
37.5517,127.3384
37.5518,127.6603
37.6054,127.3698
37.6055,127.3905
37.6055,127.3525
37.6055,127.3564
37.6055,127.3782
37.6056,127.3485
37.6016,127.3825
37.6017,127.3964
37.6018,127.4056
37.4012,127.7646
37.4012,127.7305
37.4013,127.7578
37.4015,127.7436
37.4016,127.7353
37.4017,127.7663
37.5581,127.3746
37.5582,127.3763
37.5579,127.7054
37.5583,127.5005
37.553,127.7158
37.5531,127.6303
37.5531,127.5047
37.5532,127.7154
37.5532,127.7087
37.5803,127.422
37.5805,127.7468
37.5805,127.4177
37.5805,127.4137
37.5806,127.4008
37.5806,127.3617
37.5807,127.4182
37.5504,127.7216
37.6046,127.4263
37.6046,127.3788
37.6046,127.3538
37.6046,127.3508
37.6047,127.3913
37.6047,127.3546
37.6047,127.3883
37.6048,127.3521
37.6048,127.399
37.5962,127.3461
37.5964,127.3824
37.5965,127.4348
37.5965,127.3711
37.5965,127.3733
37.5966,127.3783
37.6017,127.4209
37.6017,127.3532
37.6017,127.3669
37.5895,127.3924
37.5895,127.5846
37.5896,127.3652
37.5899,127.5845
37.59,127.3794
37.5902,127.3895
37.5567,127.5002
37.5567,127.3571
37.5583,127.3417
37.5601,127.3332
37.5601,127.409
37.5599,127.3325
37.5602,127.3452
37.5602,127.7222
37.5603,127.3846
37.5604,127.4661
37.5604,127.3806
37.4195,127.7546
37.4196,127.7311
37.4196,127.5411
37.4197,127.5427
37.4197,127.5414
37.4198,127.7591
37.4198,127.5404
37.4026,127.771
37.4027,127.7456
37.4028,127.7428
37.4029,127.7438
37.403,127.7712
37.4031,127.7526
37.5808,127.364
37.5808,127.3937
37.4153,127.7536
37.4154,127.7538
37.4154,127.7471
37.4155,127.7673
37.4151,127.767
37.4155,127.7668
37.4156,127.5676
37.5534,127.3389
37.5535,127.6719
37.5535,127.6709
37.5535,127.7093
37.5536,127.6546
37.5536,127.7079
37.5809,127.4189
37.581,127.3599
37.5807,127.6615
37.5697,127.3899
37.5698,127.7516
37.5699,127.7638
37.5699,127.7391
37.57,127.7366
37.5556,127.3444
37.5557,127.3689
37.5557,127.3602
37.5557,127.5046
37.5558,127.7092
37.5506,127.6296
37.5506,127.3384
37.5507,127.5853
37.5508,127.7054
37.5555,127.709
37.5508,127.62
37.5509,127.3365
37.551,127.7105
37.551,127.7059
37.5567,127.5023
37.5567,127.3705
37.5567,127.453
37.5567,127.3411
37.5568,127.5028
37.5569,127.3544
37.5569,127.348
37.5518,127.586
37.5518,127.7018
37.5519,127.7067
37.4033,127.7237
37.4034,127.7713
37.4037,127.7454
37.4039,127.7693
37.4042,127.7465
37.4044,127.7699
37.4046,127.7474
37.4046,127.7495
37.4047,127.7569
37.4051,127.7565
37.4052,127.7584
37.551,127.5842
37.5511,127.7901
37.5511,127.5013
37.6049,127.3481
37.5763,127.7322
37.5763,127.6489
37.5764,127.3618
37.4241,127.5384
37.4243,127.6267
37.4237,127.5385
37.4243,127.5954
37.5688,127.7987
37.5689,127.4263
37.5689,127.6576
37.5689,127.3896
37.4055,127.7622
37.5691,127.7542
37.5691,127.7992
37.5658,127.4096
37.5659,127.725
37.566,127.7395
37.5661,127.4202
37.5661,127.6696
37.5661,127.7669
37.5842,127.3569
37.5844,127.3895
37.605,127.5905
37.605,127.3889
37.605,127.3555
37.6394,127.4269
37.6395,127.3931
37.6396,127.4289
37.4245,127.566
37.4245,127.6218
37.4246,127.6152
37.4174,127.6141
37.394,127.7792
37.3942,127.7634
37.3954,127.715
37.3954,127.7764
37.3957,127.7754
37.3959,127.7492
37.3962,127.7759
37.5691,127.7983
37.5692,127.7635
37.5692,127.7202
37.561,127.7777
37.5691,127.7315
37.561,127.6686
37.5611,127.7926
37.4076,127.7591
37.4073,127.7644
37.4078,127.7675
37.5786,127.419
37.5787,127.7499
37.5787,127.7552
37.5788,127.7557
37.5788,127.7607
37.5788,127.6451
37.5788,127.4031
37.5623,127.7949
37.5624,127.7744
37.5625,127.7771
37.5626,127.6519
37.5676,127.7648
37.5676,127.5236
37.5676,127.8033
37.5677,127.4096
37.5678,127.7197
37.5678,127.5195
37.5679,127.4213
37.5679,127.799
37.5679,127.4116
37.568,127.4194
37.3968,127.727
37.3971,127.7502
37.3971,127.7497
37.5546,127.6804
37.5546,127.6672
37.5547,127.6681
37.5548,127.6542
37.3965,127.7749
37.5548,127.6725
37.42,127.7522
37.4199,127.7584
37.4201,127.5412
37.42,127.5422
37.568,127.7617
37.4089,127.7502
37.4093,127.6885
37.4095,127.7217
37.4099,127.7511
37.408,127.7687
37.41,127.7447
37.4102,127.7435
37.4102,127.7687
37.4102,127.7459
37.6396,127.6228
37.6397,127.4071
37.6397,127.6019
37.5548,127.7902
37.5548,127.6242
37.5548,127.3283
37.5549,127.3424
37.5549,127.6677
37.577,127.7568
37.577,127.3898
37.4201,127.7593
37.4203,127.6395
37.406,127.7616
37.4061,127.7629
37.4062,127.6874
37.4063,127.749
37.4064,127.7828
37.4066,127.7471
37.4056,127.7488
37.4068,127.7646
37.407,127.7618
37.4071,127.7484
37.4073,127.7586
37.5791,127.7487
37.5792,127.4105
37.5792,127.7155
37.5793,127.4132
37.5632,127.6692
37.5633,127.7279
37.5634,127.7145
37.5634,127.7204
37.5636,127.3856
37.5637,127.7759
37.5637,127.3543
37.5638,127.67
37.5639,127.4116
37.5682,127.8002
37.6398,127.4264
37.6399,127.6236
37.5559,127.3568
37.5559,127.7103
37.556,127.7126
37.556,127.7042
37.556,127.7068
37.5561,127.5039
37.5561,127.3597
37.5561,127.37
37.5562,127.7062
37.5562,127.3595
37.5563,127.5059
37.5662,127.8038
37.5662,127.7193
37.5662,127.4217
37.5662,127.3321
37.5663,127.4123
37.5663,127.6573
37.5663,127.7672
37.5664,127.4124
37.5664,127.4205
37.5665,127.5169
37.5666,127.7684
37.5666,127.418
37.5667,127.7037
37.5668,127.517
37.5668,127.4174
37.4157,127.6144
37.4157,127.5695
37.4157,127.7418
37.4157,127.6855
37.4158,127.7395
37.4158,127.7589
37.4158,127.7466
37.4159,127.7437
37.4159,127.7538
37.416,127.5715
37.4156,127.6948
37.4161,127.7539
37.4161,127.7668
37.4162,127.5676
37.5536,127.4526
37.5536,127.6827
37.5536,127.6623
37.5536,127.3386
37.5537,127.6601
37.5537,127.709
37.5537,127.6669
37.5537,127.4608
37.5537,127.7086
37.5537,127.4612
37.5537,127.7157
37.5537,127.5021
37.5538,127.6707
37.5538,127.6847
37.5538,127.7084
37.5539,127.3389
37.5539,127.455
37.5539,127.4485
37.5539,127.7144
37.554,127.71
37.57,127.7993
37.5702,127.7334
37.5702,127.6548
37.5702,127.737
37.5703,127.7642
37.5703,127.7321
37.5703,127.7976
37.5703,127.7956
37.5704,127.7374
37.5704,127.7388
37.5705,127.8002
37.5706,127.7944
37.5706,127.7377
37.5706,127.655
37.5707,127.6787
37.4162,127.5697
