X,Y
34.95942,128.66282
34.95127,128.65046
34.95579,128.65751
34.9527,128.65597
34.95161,128.65788
34.94883,128.6505
34.95112,128.64929
34.94914,128.65127
34.94908,128.65207
34.94879,128.65188
34.94913,128.65377
34.95202,128.65542
34.95015,128.65336
34.95042,128.65424
34.94946,128.65251
34.9517,128.65142
34.9521,128.65219
34.94992,128.65169
34.94999,128.65124
34.94944,128.65201
34.95944,128.66211
34.95562,128.65089
34.9548,128.65172
34.95434,128.65221
34.9552,128.65268
34.95488,128.65257
34.95521,128.65323
34.9553,128.65378
34.9549,128.65368
34.95467,128.65359
34.95328,128.6548
34.95462,128.65507
34.95405,128.65582
34.95312,128.65579
34.95406,128.65536
34.95421,128.65438
34.95448,128.6547
34.9552,128.65489
34.955,128.65407
34.95591,128.65312
34.96009,128.6622
34.95735,128.65144
34.95718,128.65067
34.95645,128.65215
34.95714,128.65482
34.95664,128.6549
34.95679,128.65561
34.95831,128.65187
34.95699,128.65544
34.9594,128.6613
34.95956,128.6594
34.95955,128.66032
34.95937,128.65837
34.95738,128.656
34.95677,128.65626
34.9568,128.65711
34.95646,128.65587
34.9569,128.65762
34.95711,128.65803
34.95751,128.65872
34.95485,128.6605
34.95475,128.65796
34.9551,128.65847
34.95545,128.65883
34.95592,128.65811
34.95652,128.65813
34.95568,128.65813
34.95555,128.65737
34.95538,128.65772
34.95572,128.65678
34.9555,128.65638
34.95533,128.65699
34.95319,128.65651
34.95301,128.65737
34.95275,128.6578
34.95175,128.65722
34.95233,128.65626
34.95164,128.65708
34.95283,128.65699
34.95251,128.65723
34.95235,128.6579
34.96002,128.66449
34.95115,128.65833
34.95217,128.65825
34.95889,128.66134
34.94541,128.65264
34.95982,128.64715
34.95945,128.64773
34.95735,128.64918
34.95815,128.64927
34.95877,128.64844
34.95566,128.64935
34.95502,128.64884
34.95429,128.64791
34.95107,128.64951
34.95075,128.64896
34.954,128.64752
34.95055,128.64825
34.95903,128.6621
34.99585,128.645
34.95075,128.65923
34.9498,128.6498
34.94961,128.6483
34.95023,128.65036
34.95137,128.64105
34.9483,128.6314
34.94872,128.63064
34.94746,128.63164
34.95693,128.63976
34.94081,128.62426
34.96016,128.63336
34.94552,128.62285
34.96125,128.64088
34.96004,128.64055
34.9605,128.6405
34.9605,128.64063
34.9569,128.64313
34.95638,128.64096
34.95931,128.64061
34.95745,128.63993
34.95895,128.64012
34.95811,128.64008
34.95064,128.63481
34.95025,128.63604
34.95149,128.63618
34.95831,128.63675
34.95418,128.64102
34.9561,128.63815
34.95837,128.63376
34.95531,128.64202
34.94977,128.63579
34.95229,128.63916
34.94878,128.63516
34.95522,128.64378
34.96107,128.6348
34.94717,128.63681
34.96137,128.63466
34.95556,128.64323
34.94585,128.63746
34.94423,128.63736
34.94311,128.63777
34.94367,128.63809
34.94395,128.63757
34.95559,128.64393
34.94371,128.63031
34.9453,128.62926
34.94476,128.62918
34.93915,128.63044
34.93917,128.6308
34.95906,128.63112
34.96032,128.63199
34.94687,128.63005
34.9401,128.62299
34.95021,128.63361
34.93993,128.62474
34.93984,128.62701
34.93975,128.62545
34.95185,128.64085
34.95237,128.64162
34.94824,128.63158
34.94768,128.63093
34.95268,128.64104
34.9467,128.63043
34.94043,128.63198
34.9531,128.64074
34.94904,128.63201
34.94949,128.63302
34.95087,128.6335
34.9502,128.63341
34.94999,128.63323
34.95042,128.63308
34.95098,128.63265
34.95122,128.63295
34.95933,128.64687
34.95151,128.63255
34.95161,128.63401
34.95231,128.63393
34.95213,128.63291
34.95241,128.63337
34.95592,128.63337
34.95762,128.63362
34.95805,128.6335
34.95816,128.63277
34.95836,128.63302
34.95898,128.63313
34.94864,128.63256
34.95925,128.63246
34.95984,128.63172
34.96007,128.63319
34.95982,128.63153
34.95957,128.63177
34.95611,128.63958
34.96058,128.63149
34.96017,128.6314
34.95166,128.64022
34.96178,128.63012
34.96144,128.63067
34.96112,128.63114
34.96221,128.6346
34.98035,128.63093
34.98205,128.61864
34.98204,128.61824
34.98242,128.61786
34.98277,128.61855
34.98218,128.62018
34.98683,128.6217
34.98623,128.62281
34.99815,128.6273
34.99813,128.62733
34.99593,128.62609
34.99757,128.62749
34.99633,128.62602
34.99643,128.62692
34.99631,128.62693
34.99663,128.62719
34.99711,128.62759
34.99577,128.62714
34.99589,128.62502
34.99574,128.62423
34.99517,128.62373
34.99559,128.62352
34.99556,128.62614
34.99517,128.62636
34.97883,128.63462
34.99336,128.62734
34.99131,128.62836
34.97917,128.63409
34.9854,128.62358
34.98488,128.62393
34.98453,128.62408
34.98445,128.62592
34.98372,128.62582
34.9831,128.62527
34.9837,128.62446
34.98184,128.62379
34.9826,128.62445
34.98001,128.62828
34.98034,128.62727
34.98024,128.62821
34.97982,128.63114
34.97883,128.63243
34.99216,128.62569
34.99229,128.6258
34.97765,128.63439
34.97899,128.63331
34.97888,128.63334
34.97834,128.63452
34.98032,128.63276
34.97957,128.633
34.97941,128.63371
34.97914,128.63303
34.98077,128.62808
34.98163,128.62906
34.97815,128.63612
34.99116,128.63041
34.98159,128.62929
34.99085,128.63008
34.99152,128.62991
34.99181,128.62992
34.99209,128.62879
34.99179,128.62935
34.99122,128.63094
34.98236,128.63451
34.97795,128.63105
34.98234,128.63279
34.97946,128.63265
34.98226,128.61591
34.99585,128.6255
34.9953,128.62542
34.99122,128.62748
34.98322,128.62457
34.98138,128.62501
34.98125,128.62558
34.97879,128.63336
34.97953,128.63195
34.97961,128.63188
34.97993,128.63199
34.97813,128.63972
34.99146,128.62956
34.99154,128.62874
34.98316,128.63385
34.97861,128.64216
34.97875,128.64303
34.98082,128.64461
34.98039,128.64632
34.98098,128.64739
34.97984,128.64501
34.98097,128.64719
34.98158,128.64502
34.98204,128.64609
34.98259,128.64554
34.98378,128.64632
34.98287,128.64565
34.9822,128.64401
34.98201,128.64437
34.98156,128.64444
34.98198,128.6435
34.98238,128.64331
34.98241,128.64363
35.00335,128.6497
35.00402,128.6494
34.98579,128.64655
34.99079,128.64596
34.99101,128.645
34.99135,128.64553
34.99124,128.64478
34.99104,128.64477
34.99082,128.647
34.9916,128.64517
34.99145,128.64508
34.99464,128.64549
34.996,128.64693
34.99286,128.64516
34.99576,128.64723
34.99773,128.64607
35.00083,128.64477
35.00091,128.64684
35.00197,128.64732
35.00108,128.64842
35.00197,128.64759
35.00158,128.64904
35.00201,128.6487
35.00174,128.64842
35.00238,128.64852
35.00232,128.64799
35.00282,128.64742
35.01069,128.6524
35.01152,128.65325
35.01127,128.65284
34.97935,128.64355
34.97979,128.64379
34.99583,128.64606
34.97902,128.64068
34.99987,128.64533
34.98058,128.64655
34.99065,128.64459
34.98054,128.64449
34.97933,128.64317
34.98207,128.644
34.98187,128.64319
34.98178,128.64587
34.98245,128.64206
35.00325,128.64998
35.00474,128.65025
34.99071,128.64567
35.01282,128.65171
34.99106,128.64518
34.9904,128.64327
34.99503,128.64612
34.99593,128.6475
34.99899,128.64678
35.00788,128.65247
35.00204,128.64711
35.01075,128.65228
35.00273,128.64883
34.96999,128.65827
34.97405,128.65684
34.9651,128.65287
34.97511,128.6544
34.97537,128.65266
34.97736,128.65223
34.98017,128.65969
34.96579,128.65003
34.97549,128.65345
34.96729,128.64955
34.9664,128.64986
34.967,128.64972
34.96745,128.6501
34.96823,128.64798
34.96782,128.6491
34.968,128.64936
34.9682,128.64854
34.96859,128.6498
34.9793,128.66001
34.96907,128.64966
34.9713,128.64983
34.97212,128.64981
34.96531,128.65023
34.97444,128.65468
34.97419,128.65555
34.96422,128.65572
34.96386,128.65513
34.96368,128.65512
34.96354,128.65395
34.96453,128.6542
34.9634,128.65579
34.96303,128.65578
34.96173,128.65559
34.9596,128.65628
34.95961,128.65746
34.9616,128.6571
34.9618,128.65769
34.96274,128.65694
34.96171,128.65696
34.96218,128.65604
34.96091,128.65588
34.96368,128.65747
34.9635,128.6569
34.96295,128.65627
34.96417,128.65659
34.97075,128.6586
34.97147,128.66049
34.97322,128.65683
34.97168,128.6581
34.97331,128.65653
34.97332,128.65745
34.97399,128.65647
34.97416,128.6566
34.97314,128.65756
34.97274,128.65772
34.97271,128.65714
34.97234,128.65796
34.97245,128.65768
34.97396,128.65843
34.97426,128.65877
34.97535,128.6574
34.97576,128.65271
