X,Y
35.512196,127.72933
35.511472,127.72943
35.511648,127.73055
35.511684,127.73004
35.513032,127.72994
35.511116,127.73088
35.512435,127.73129
35.540359,127.77414
35.513472,127.73025
35.513222,127.73063
35.512695,127.73066
35.512487,127.73074
35.51194,127.73092
35.512085,127.73126
35.512205,127.73151
35.511481,127.73129
35.510656,127.73167
35.512809,127.73107
35.522308,127.72078
35.522419,127.72106
35.522546,127.72158
35.522724,127.72194
35.522819,127.72226
35.522967,127.72273
35.523262,127.72252
35.52295,127.72121
35.525193,127.72666
35.525607,127.72673
35.40376,127.68577
35.40273,127.68701
35.401641,127.68702
35.401442,127.68761
35.401501,127.68829
35.401123,127.68861
35.400163,127.6887
35.400016,127.68957
35.400483,127.68776
35.400758,127.68749
35.401157,127.68698
35.401994,127.68842
35.402189,127.6886
35.402455,127.68896
35.401884,127.68952
35.402313,127.6902
35.401605,127.69026
35.402856,127.6898
35.40322,127.69031
35.402903,127.69064
35.40133,127.68518
35.400292,127.68651
35.399081,127.68838
35.398388,127.69018
35.39468,127.69342
35.393812,127.69391
35.391136,127.69738
35.390392,127.69741
35.470791,127.7251
35.470504,127.72494
35.471775,127.72532
35.47274,127.72471
35.473702,127.71229
35.474098,127.71285
35.471703,127.72446
35.473827,127.71325
35.474779,127.71302
35.474299,127.71238
35.478534,127.7465
35.464903,127.70653
35.464389,127.70621
35.463556,127.70583
35.46433,127.70517
35.464477,127.70552
35.464741,127.70612
35.467473,127.70254
35.462163,127.69962
35.461785,127.69916
35.454731,127.69985
35.47401,127.74789
35.473576,127.74753
35.475817,127.75009
35.475507,127.75054
35.475644,127.75098
35.476128,127.75075
35.479309,127.75268
35.557565,127.79106
35.557526,127.79146
35.55772,127.79167
35.557707,127.79231
35.558426,127.79196
35.558473,127.79139
35.558113,127.7913
35.559256,127.79327
35.556995,127.79208
35.556636,127.79146
35.556309,127.79114
35.556082,127.79136
35.554642,127.79134
35.555582,127.79207
35.553539,127.79225
35.526094,127.7849
35.518855,127.78577
35.565484,127.78417
35.565398,127.78469
35.564959,127.78462
35.56554,127.78526
35.565669,127.78493
35.565717,127.78439
35.565204,127.7853
35.564679,127.78539
35.564069,127.78566
35.563135,127.78549
35.562633,127.7854
35.590029,127.77106
35.589103,127.77221
35.589576,127.77257
35.589279,127.77355
35.589555,127.77378
35.580369,127.77547
35.580752,127.77548
35.580171,127.77582
35.579209,127.77678
35.583897,127.76246
35.583182,127.75502
35.581564,127.75403
35.581967,127.75294
35.583224,127.75267
35.582895,127.75152
35.582921,127.75066
35.583589,127.75053
35.583487,127.74985
35.585556,127.74476
35.585817,127.74327
35.585746,127.74278
35.586372,127.7425
35.586301,127.74299
35.5885,127.74624
35.588117,127.74658
35.588152,127.74718
35.587701,127.74867
35.586605,127.74962
35.516946,127.72703
35.523296,127.7337
35.522173,127.72864
35.517814,127.72548
35.518852,127.72411
35.519347,127.72372
35.517747,127.72912
35.510564,127.72721
35.510108,127.72688
35.509855,127.72636
35.508966,127.72652
35.507588,127.72555
35.506067,127.72602
35.505132,127.7264
35.504376,127.72696
35.521498,127.71833
35.521899,127.71871
35.518631,127.72296
35.518847,127.72304
35.518748,127.72329
35.520098,127.72553
35.520073,127.72525
35.507757,127.71803
