X,Y
35.07313,127.94862
35.07636,127.94537
35.07953,127.94781
35.07664,127.94637
35.07706,127.94597
35.07981,127.94216
35.0802,127.94243
35.08016,127.94341
35.0812,127.9415
35.08104,127.94259
35.08089,127.94199
35.05739,127.96025
35.05952,127.958
35.05787,127.95972
35.05871,127.95948
35.05882,127.96039
35.05859,127.96099
35.05885,127.96145
35.05805,127.96121
35.05848,127.96167
35.05934,127.96316
35.05715,127.96251
35.0563,127.96211
35.05491,128.0847
35.05484,128.08439
35.07673,128.06884
35.05686,128.08635
35.05632,128.08498
35.07531,128.06879
35.07543,128.06876
35.07673,128.06882
35.07653,128.06954
35.07595,128.06905
35.07595,128.07091
35.0488,128.07438
35.04841,128.07166
35.0481,128.07161
35.04761,128.07058
35.04787,128.06867
35.04753,128.06955
35.04755,128.06833
35.04807,128.06935
35.04836,128.06852
35.04893,128.06866
35.04842,128.06951
35.04878,128.06978
35.04981,128.07262
35.049,128.07553
35.05006,128.075
35.05072,128.0749
35.04987,128.07808
35.05017,128.08151
35.0509,128.08027
35.05161,128.07868
35.05122,128.07947
35.05176,128.07793
35.0528,128.07334
35.05237,128.07376
35.05248,128.07335
35.05255,128.07411
35.05242,128.07428
35.05215,128.0734
35.05228,128.07296
35.05241,128.07251
35.05261,128.07289
35.05274,128.07245
35.05245,128.07232
35.0523,128.07226
35.05214,128.07219
35.05197,128.07212
35.05185,128.07256
35.0518,128.07276
35.05168,128.07319
35.05146,128.07382
35.05291,128.07486
35.05348,128.07475
35.05295,128.07325
35.05355,128.07281
35.05308,128.0728
35.0492,128.08267
35.05294,128.07253
35.04883,128.08392
35.05066,128.08422
35.04952,128.08394
35.04982,128.08203
35.0501,128.08411
35.05051,128.0847
35.0495,128.08457
35.04919,128.08427
35.05065,128.08321
35.05032,128.08398
35.04805,128.08539
35.05197,128.08292
35.05184,128.0843
35.04985,128.08037
35.04619,128.06972
35.05058,128.08689
35.05097,128.08477
35.04963,128.08613
35.05023,128.08529
35.0507,128.08515
35.0507,128.08609
35.05049,128.09496
35.04845,128.09627
35.04781,128.09717
35.05761,128.0812
35.04708,128.09673
35.04461,128.09582
35.04529,128.09656
35.04664,128.09773
35.04614,128.09695
35.04228,128.0958
35.04757,128.09836
35.04611,128.09882
35.04669,128.10121
35.0453,128.09872
35.04591,128.09974
35.04553,128.09965
35.03375,128.11677
35.04501,128.09925
35.0332,128.11685
35.03217,128.11684
35.03373,128.11743
35.03221,128.11726
35.03475,128.11804
35.0339,128.1191
35.03389,128.11898
35.0347,128.1226
35.03366,128.11999
35.03201,128.12375
35.03285,128.12426
35.03318,128.1243
35.03284,128.12632
35.03232,128.12699
35.03187,128.1269
35.03163,128.12803
35.03195,128.12698
35.03064,128.12782
35.03091,128.12785
35.02805,128.12767
35.02967,128.12601
35.03026,128.12692
35.03083,128.12746
35.02055,128.12455
35.03181,128.12141
35.01937,128.12393
35.01923,128.12327
35.0201,128.12447
35.01966,128.12438
35.02149,128.12577
35.01865,128.1244
35.01941,128.12462
35.02014,128.12513
35.01195,128.13247
35.01583,128.13268
35.01368,128.13203
35.01964,128.12485
35.01105,128.13103
35.01035,128.12919
35.01046,128.13352
35.01058,128.12984
35.00747,128.12668
35.00412,128.13707
35.00384,128.13604
35.00866,128.12777
35.00918,128.12766
35.00402,128.13777
35.00607,128.13959
35.00328,128.14704
35.0039,128.13841
35.00213,128.14482
35.00279,128.14703
35.00324,128.14784
35.00179,128.14811
34.99721,128.14969
34.99835,128.14954
34.99674,128.14963
34.99612,128.14927
34.99709,128.15024
34.99679,128.15126
34.99644,128.15132
34.99593,128.15164
34.994,128.15552
34.99365,128.15571
34.99055,128.15738
34.99371,128.15589
34.99066,128.15807
34.99013,128.1557
34.99134,128.1486
34.99272,128.14849
34.99717,128.14476
34.99704,128.14527
34.97984,128.13213
34.97869,128.13167
34.97977,128.13241
34.9808,128.13062
34.97921,128.13217
34.97911,128.13201
34.97889,128.13266
34.97836,128.13342
34.97831,128.13308
34.97937,128.13268
34.98501,128.13225
34.98486,128.1319
34.98468,128.13181
34.9841,128.13256
34.98464,128.13289
34.98448,128.13247
34.98333,128.1325
34.98059,128.13493
34.98417,128.13589
34.99154,128.14589
34.99192,128.14409
34.98475,128.13853
34.99268,128.14203
34.99282,128.14265
35.05196,128.0815
34.99508,128.14176
35.05186,128.08193
34.9938,128.14187
35.05204,128.08054
35.05239,128.07808
35.05211,128.07766
35.05225,128.07816
35.05269,128.07728
35.05297,128.0762
35.05331,128.07557
35.05327,128.07682
35.05353,128.07608
35.05293,128.07814
35.05297,128.07737
35.0533,128.07743
35.04675,128.06481
35.04649,128.06438
35.05267,128.07896
35.04684,128.06524
35.04613,128.06325
35.04726,128.06288
35.04675,128.06299
35.04751,128.06363
35.04759,128.06461
35.04683,128.06404
35.06166,128.07067
35.06233,128.0724
35.06226,128.07198
35.06148,128.07074
35.06167,128.07222
35.06203,128.07154
35.05415,128.08756
35.05383,128.08975
35.0543,128.0896
35.05322,128.09093
35.05477,128.08895
35.0534,128.0854
35.05415,128.08708
35.06187,128.07883
35.05593,128.07689
35.06198,128.07948
35.06189,128.07852
35.06174,128.07616
35.06141,128.07748
35.06411,128.07807
35.06393,128.07733
35.06361,128.07589
35.06433,128.07858
35.0631,128.07923
35.06301,128.08008
35.06282,128.07914
35.06787,128.07529
35.05721,128.05852
35.05795,128.05678
35.05763,128.05581
35.05846,128.05451
35.059,128.05356
35.05848,128.05321
35.05802,128.05224
35.05653,128.05046
35.05756,128.05258
35.05715,128.05129
35.05654,128.05076
35.05632,128.0515
35.05684,128.05348
35.0566,128.05242
35.05635,128.0542
35.05685,128.05457
35.05709,128.05469
35.05747,128.05407
35.05729,128.05379
35.05735,128.05525
35.05699,128.05626
35.0571,128.05721
35.05764,128.05512
35.05843,128.05391
35.05791,128.05421
35.05796,128.0537
35.05684,128.05545
35.05606,128.05632
35.06006,128.06704
35.04952,128.06676
35.04619,128.06844
35.05091,128.08379
35.04862,128.06732
35.00539,128.14073
35.04887,128.06599
35.00181,128.14825
34.99452,128.1523
35.009,128.12753
34.98583,128.14028
35.0109,128.13257
34.99352,128.14195
35.01078,128.13131
35.08082,128.09634
35.08134,128.09764
35.08225,128.09829
35.08141,128.09811
35.08216,128.09788
35.08244,128.10204
35.08215,128.0975
35.08219,128.09816
35.08413,128.09871
35.0829,128.09828
35.08415,128.09832
35.08548,128.09667
35.08484,128.09596
35.08404,128.09542
35.08305,128.09681
35.08311,128.09582
35.08131,128.09564
35.08167,128.09478
35.08232,128.09496
35.08229,128.0953
35.08012,128.09613
35.08274,128.09509
35.07856,128.09366
35.08102,128.09389
35.0816,128.0927
35.08125,128.09415
35.08186,128.0925
35.0823,128.09368
35.08311,128.09351
35.08301,128.09402
35.08282,128.09359
35.08664,128.09875
35.08652,128.10001
35.08825,128.09859
35.08975,128.0964
35.0751,128.09145
35.08931,128.09675
35.08396,128.08946
35.08556,128.08968
35.08483,128.08918
35.08481,128.08876
35.08508,128.08996
35.08449,128.09008
35.08537,128.09116
35.08403,128.0896
35.08466,128.09084
35.08338,128.09036
35.08531,128.09102
35.08464,128.09053
35.08371,128.09029
35.08387,128.09043
35.08442,128.0913
35.08494,128.09149
35.0842,128.09088
35.0837,128.09127
35.08316,128.09139
35.08276,128.08813
35.08446,128.0874
35.08467,128.08726
35.08652,128.09103
35.08613,128.0907
35.08947,128.09674
35.08252,128.08734
35.0848,128.088
35.08259,128.08708
35.08183,128.09105
35.08033,128.09027
35.08182,128.08709
35.08,128.08871
35.08139,128.0892
35.08175,128.08883
35.08049,128.08916
35.08179,128.08954
35.08202,128.08892
35.08181,128.08891
35.08192,128.09056
35.0824,128.08852
35.08108,128.09011
35.08138,128.09046
35.08089,128.09123
35.08082,128.09029
35.08749,128.09151
35.08828,128.09326
35.08848,128.09186
35.08804,128.09273
35.08779,128.09231
35.0876,128.09047
35.08748,128.09031
35.08717,128.08999
35.08857,128.09034
35.08866,128.09108
35.08911,128.08957
35.08838,128.08951
35.08854,128.08981
35.08857,128.09005
35.08807,128.08979
35.08769,128.08971
35.08802,128.08958
35.08236,128.08966
35.08704,128.08914
35.08655,128.08984
35.08747,128.08814
35.08685,128.08754
35.08612,128.08801
35.08613,128.0875
35.08603,128.08723
35.07809,128.08847
35.07871,128.08709
35.07698,128.08677
35.07739,128.08702
35.07696,128.0882
35.08174,128.10687
35.07977,128.10722
35.07927,128.10687
35.07889,128.10864
35.07944,128.11095
35.07904,128.10918
35.07995,128.10519
35.07755,128.10841
35.07935,128.10329
