X,Y
36.5488,128.7030
36.5482,128.7113
36.5439,128.6810
36.5396,128.6913
36.5394,128.6923
36.5385,128.6923
36.5383,128.6924
36.5394,128.6913
36.5406,128.6942
36.5399,128.6923
36.5398,128.6926
36.5395,128.6933
36.5477,128.7114
36.5400,128.6935
36.5399,128.6944
36.5407,128.6951
36.5412,128.6955
36.5432,128.6973
36.5427,128.6976
36.5420,128.6968
36.5424,128.6985
36.5417,128.6980
36.5464,128.7105
36.5471,128.7105
36.5502,128.7202
36.5459,128.7241
36.5431,128.7233
36.5382,128.7203
36.5343,128.7194
36.5534,128.7368
36.5533,128.7376
36.5530,128.7382
36.5529,128.7393
36.5476,128.7112
36.5525,128.7394
36.5527,128.7402
36.5527,128.7402
36.5516,128.7416
36.5516,128.7426
36.5514,128.7428
36.5508,128.7445
36.5508,128.7444
36.5512,128.7443
36.5501,128.7443
36.5414,128.7131
36.5497,128.7435
36.5491,128.7438
36.5501,128.7478
36.5490,128.7472
36.5486,128.7467
36.5481,128.7440
36.5503,128.7468
36.5506,128.7461
36.5454,128.7383
36.5455,128.7382
36.5417,128.7135
36.5451,128.7367
36.5446,128.7363
36.5445,128.7379
36.5435,128.7381
36.5430,128.7374
36.5418,128.7373
36.5421,128.7367
36.5419,128.7366
36.5411,128.7361
36.5411,128.7358
36.5409,128.7138
36.5404,128.7356
36.5455,128.7251
36.5450,128.7260
36.5467,128.7167
36.5499,128.7204
36.5499,128.7200
36.5482,128.7203
36.5479,128.7177
36.5421,128.6976
36.5424,128.6980
36.5409,128.7142
36.5414,128.6979
36.5391,128.6920
36.5389,128.6923
36.5397,128.6921
36.5401,128.6917
36.5403,128.6925
36.5410,128.6939
36.5413,128.6921
36.5408,128.6919
36.5407,128.6907
36.5415,128.7125
36.5408,128.6891
36.5450,128.7260
36.5445,128.7264
36.5452,128.7264
36.5494,128.7373
36.5491,128.7374
36.5486,128.7377
36.5510,128.7374
36.5499,128.7235
36.5510,128.7327
36.5412,128.7123
36.5511,128.7337
36.5516,128.7338
36.5312,128.7338
36.5316,128.7336
36.5331,128.7333
36.5336,128.7335
36.5345,128.7340
36.5398,128.6906
36.5351,128.7348
36.5371,128.7349
36.5304,128.6949
36.5408,128.7123
36.5372,128.7344
36.5407,128.6962
36.5410,128.6957
36.5403,128.6947
36.5401,128.6949
36.5404,128.6945
36.5401,128.6945
36.5399,128.6943
36.5402,128.7354
36.5404,128.7125
36.5391,128.7353
36.5387,128.7355
36.5386,128.7355
36.5499,128.7344
36.5496,128.7343
36.5495,128.7339
36.5482,128.7349
36.5479,128.7346
36.5497,128.7339
36.5501,128.7332
36.5401,128.7134
36.5499,128.7331
36.5463,128.6991
36.5461,128.6996
36.5455,128.6996
36.5453,128.7000
36.5446,128.6991
36.5438,128.6977
36.5437,128.6973
36.5436,128.6964
36.5434,128.6951
36.5406,128.7123
36.5435,128.6950
36.5424,128.6958
36.5425,128.6961
36.5428,128.6967
36.5425,128.6972
36.5421,128.6963
36.5412,128.6975
36.5418,128.6969
36.5417,128.6959
36.5420,128.6957
36.5400,128.7128
36.5411,128.6964
36.5372,128.7347
36.5475,128.7372
36.5473,128.7373
36.5468,128.7374
36.5477,128.7369
36.5474,128.7357
36.5476,128.7358
36.5480,128.7360
36.5481,128.7369
36.5407,128.7128
36.5488,128.7375
36.5407,128.7369
36.5392,128.7346
36.5475,128.7358
36.5480,128.7365
36.5474,128.7383
36.5475,128.7395
36.5478,128.7397
36.5487,128.7403
36.5487,128.7346
36.5412,128.7119
36.5487,128.7352
36.5495,128.7331
36.5497,128.7337
36.5498,128.7335
36.5490,128.7329
36.5500,128.7336
36.5493,128.7321
36.5493,128.7321
36.5493,128.7316
36.5493,128.7316
36.5400,128.7124
36.5493,128.7312
36.5499,128.7312
36.5502,128.7310
36.5490,128.7313
36.5404,128.6968
36.5405,128.6977
36.5400,128.6979
36.5467,128.7051
36.5467,128.7055
36.5481,128.7084
36.5405,128.7117
36.5479,128.7267
36.5483,128.7272
36.5481,128.7275
36.5477,128.7275
36.5470,128.7282
36.5461,128.7285
36.5440,128.7282
36.5454,128.7307
36.5442,128.7312
36.5417,128.6852
36.5416,128.7117
36.5484,128.7501
36.5477,128.7501
36.5473,128.7503
36.5477,128.7495
36.5476,128.7494
36.5489,128.7514
36.5259,128.6936
36.5258,128.6930
36.5486,128.7510
36.5490,128.7509
36.5485,128.7035
36.5428,128.7116
36.5484,128.7506
36.5476,128.7346
36.5475,128.7342
36.5479,128.7342
36.5482,128.7341
36.5486,128.7341
36.5484,128.7345
36.5512,128.7344
36.5516,128.7346
36.5514,128.7330
36.5430,128.7112
36.5448,128.7571
36.5446,128.7568
36.5440,128.7563
36.5441,128.7556
36.5441,128.7547
36.5438,128.7543
36.5435,128.7539
36.5436,128.7546
36.5450,128.7577
36.5493,128.7507
36.5431,128.7111
36.5463,128.7490
36.5576,128.6774
36.5262,128.6941
36.5279,128.6968
36.5461,128.7486
36.5445,128.7477
36.5436,128.7468
36.5432,128.7470
36.5288,128.6976
36.5499,128.7143
36.5436,128.7111
36.5495,128.7148
36.5566,128.6764
36.5502,128.7342
36.5502,128.7345
36.5557,128.6750
36.5574,128.6777
36.5441,128.7495
36.5440,128.7472
36.5456,128.7484
36.5450,128.7481
36.5439,128.7119
36.5537,128.6774
36.5517,128.6776
36.5531,128.6778
36.5538,128.6774
36.5547,128.6771
36.5549,128.6771
36.5553,128.6771
36.5565,128.6775
36.5569,128.6796
36.5566,128.6796
36.5447,128.7114
36.5563,128.6794
36.5560,128.6793
36.5430,128.7265
36.5486,128.7266
36.5477,128.7256
36.5481,128.7241
36.5483,128.7236
36.5503,128.7194
36.5498,128.7105
36.5486,128.7211
36.5458,128.7108
36.5470,128.7344
36.5465,128.7338
36.5459,128.7337
36.5468,128.7382
36.5422,128.7379
36.5420,128.7379
36.5416,128.7385
36.5415,128.7395
36.5420,128.7359
36.5486,128.6720
36.5419,128.7355
36.5360,128.7436
36.5356,128.7440
36.5421,128.7459
36.5433,128.7479
36.5443,128.7466
36.5444,128.7459
36.5445,128.7455
36.5303,128.6952
36.5485,128.7437
36.5468,128.7105
36.5530,128.7385
36.5512,128.6774
36.5288,128.6971
36.5302,128.6975
36.5307,128.6969
36.5310,128.6967
36.5408,128.6988
36.5443,128.7080
36.5422,128.7092
36.5372,128.7093
36.5474,128.7112
36.5424,128.7099
36.5472,128.7199
36.5555,128.6773
36.5561,128.6762
36.5553,128.6748
36.5595,128.6768
36.5589,128.6789
36.5523,128.7219
36.5526,128.7223
36.5528,128.7227
36.5482,128.7035
36.5475,128.7118
36.5482,128.7111
36.5472,128.7148
36.5468,128.7139
36.5470,128.7122
36.5453,128.7130
36.5457,128.7127
36.5466,128.7122
36.5472,128.7123
36.5516,128.7204
36.5513,128.7201
36.5477,128.7031
36.5512,128.7200
36.5485,128.7206
36.5479,128.7202
36.5490,128.7204
36.5497,128.7206
36.5510,128.7205
36.5512,128.7202
36.5501,128.7239
36.5459,128.7243
36.5449,128.7242
36.5523,128.7164
36.5445,128.7239
36.5425,128.7217
36.5426,128.7217
36.5431,128.7220
36.5368,128.7192
36.5366,128.7186
36.5390,128.7201
36.5394,128.7199
36.5395,128.7200
36.5411,128.7208
36.5526,128.7197
36.5432,128.7227
36.5470,128.7245
36.5473,128.7244
36.5484,128.7233
36.5471,128.7256
36.5487,128.6720
36.5483,128.6716
36.5479,128.6725
36.5471,128.6737
36.5465,128.6744
36.5494,128.7106
36.5461,128.6754
36.5459,128.6768
36.5410,128.6884
36.5398,128.6917
36.5401,128.6911
36.5401,128.6904
36.5401,128.6901
36.5404,128.6889
36.5413,128.6873
36.5439,128.6802
36.5491,128.7116
36.5441,128.6809
36.5418,128.6855
36.5416,128.6848
36.5420,128.6836
36.5424,128.6827
36.5433,128.6817
36.5420,128.6964
36.5394,128.6905
36.5415,128.6864
36.5422,128.6832
36.4561,128.8976
36.4561,128.8947
36.4335,128.9161
36.4316,128.9149
36.4329,128.8950
36.4333,128.8954
36.4334,128.8948
36.4336,128.8939
36.4331,128.8935
36.4351,128.8940
36.4340,128.8953
36.4110,128.8681
36.4576,128.8954
36.3907,128.8666
36.3909,128.8668
36.3911,128.8669
36.4027,128.8663
36.4326,128.8960
36.4318,128.8969
36.4312,128.8963
36.4316,128.8957
36.4409,128.8998
36.4411,128.9001
36.4584,128.8961
36.4416,128.9002
36.4418,128.8994
36.4421,128.8996
36.4422,128.9009
36.4418,128.8997
36.4409,128.8994
36.4591,128.8908
36.4588,128.8900
36.4184,128.9675
36.4186,128.9674
36.4541,128.8971
36.4183,128.9668
36.4179,128.9665
36.4175,128.9659
36.4174,128.9657
36.4316,128.9624
36.4313,128.9612
36.4312,128.9605
36.4326,128.9621
36.4330,128.9615
36.4353,128.9599
36.4543,128.8971
36.4471,128.9633
36.4418,128.9005
36.4415,128.9005
36.4569,128.8935
36.4575,128.8936
36.4183,128.9673
36.4434,128.8373
36.4441,128.8371
36.4384,128.9600
36.4456,128.9614
36.4564,128.8960
36.4462,128.9623
36.4466,128.9623
36.4467,128.9628
36.4477,128.9616
36.4495,128.9597
36.4491,128.9587
36.4497,128.9569
36.4499,128.9569
36.4447,128.8374
36.4442,128.8378
36.4557,128.8967
36.4438,128.8378
36.4349,128.8458
36.4427,128.8378
36.4337,128.8508
36.4350,128.8509
36.4353,128.8506
36.4348,128.8555
36.4357,128.8559
36.4387,128.8663
36.4513,128.8740
36.4555,128.8972
36.4518,128.8734
36.4520,128.8737
36.4518,128.8732
36.4524,128.8740
36.3062,128.9064
36.3058,128.9068
36.3055,128.9075
36.3058,128.9078
36.3048,128.9077
36.3037,128.9075
36.4555,128.8963
36.3099,128.9197
36.4381,128.8665
36.4384,128.8669
36.4389,128.8667
36.4391,128.8670
36.4397,128.8667
36.4393,128.8665
36.4398,128.8663
36.4386,128.8655
36.4391,128.8658
36.4548,128.8983
36.4391,128.8653
36.4394,128.8657
36.4515,128.8742
36.4521,128.8741
36.4552,128.8777
36.4608,128.8650
36.4617,128.8649
36.4602,128.8674
36.4608,128.8679
36.4607,128.8686
36.4564,128.8970
36.4542,128.8988
36.4605,128.8692
36.3213,128.9260
36.3309,128.9267
36.3349,128.9275
36.3351,128.9276
36.3356,128.9272
36.3358,128.9275
36.3359,128.9270
36.3361,128.9263
36.3396,128.9245
36.4582,128.8909
36.3405,128.9225
36.3409,128.9227
36.3411,128.9228
36.3407,128.9233
36.3399,128.9234
36.3299,128.9041
36.3301,128.9042
36.3298,128.9046
36.3395,128.9236
36.3454,128.9255
36.4577,128.8910
36.3456,128.9257
36.3461,128.9254
36.3604,128.9276
36.3625,128.9280
36.3635,128.9283
36.3641,128.9284
36.3701,128.9277
