X,Y
36.7236862,128.2760748
36.6459717,128.3233577
36.7603944,128.2442539
36.7605744,128.2445549
36.7612544,128.2430359
36.6625827,128.2868937
36.7613044,128.3175709
36.7761267,128.2884445
36.7709967,128.3159025
36.7710197,128.3156525
36.8544619,128.2819775
36.7876839,128.2676251
36.7216157,128.3047405
36.7948419,128.2557251
36.7851731,128.3207551
36.6812213,128.1260258
36.637512,128.247322
36.674604,128.265926
36.675071,128.265974
36.774248,128.304885
36.782905,128.347597
36.768925,128.314195
36.695631,128.305672
36.693587,128.125004
36.657095,128.094613
36.677019,128.124964
36.686492,128.108035
36.686812,128.108655
36.599654,128.005797
36.583458,127.963247
36.5463561,128.0488381
36.590154,127.998443
36.590011,127.998627
36.599602,128.200568
36.597455,128.199495
36.5943453,128.1982714
36.5939053,128.1980854
36.5942853,128.1974764
36.5939875,128.1969864
36.5939375,128.1969664
36.5942453,128.1981514
36.5942153,128.1967664
36.5942753,128.1968064
36.6466801,128.0608901
36.6916756,128.1310181
36.6918851,128.1449067
36.6939829,128.1216155
36.6959513,128.1336698
36.6773983,128.1231458
36.6851713,128.1294658
36.6841652,128.1041285
36.6570724,128.0880985
36.5454885,127.9622854
36.6010432,128.0049211
36.6018582,128.0041891
36.6012652,128.0043991
36.5929802,128.0039411
36.6104601,127.9855795
36.597245,128.199459
36.586817,128.195493
36.587397,128.195793
36.592345,128.199269
36.591209,128.200779
36.592166,128.192729
36.617433,128.202184
36.642046,128.191478
36.601445,128.202374
36.601335,128.202084
36.600145,128.206205
36.6465501,128.0608301
36.6463501,128.0610801
36.6459701,128.0611701
36.6460701,128.0608701
36.6466901,128.0607801
36.6462301,128.0608501
36.6457701,128.0611101
36.6458301,128.0612601
36.6458501,128.0614201
36.6467201,128.0610201
36.6467801,128.0619301
36.6468801,128.0618901
36.6470201,128.0618901
36.6561901,128.1295971
36.6570431,128.0946421
36.5913571,128.2152311
36.5625441,127.9680361
36.6533841,128.1283721
36.7982551,128.2202761
36.7423391,128.0806221
36.5773621,128.0349251
36.6869451,128.2560611
36.5780923,127.9877798
36.5731523,127.9884298
36.5730623,127.9878128
36.5783923,127.9893898
36.5992471,128.2003821
36.5956852,128.1923184
36.6004315,128.2002121
36.5927315,128.1928253
36.5932879,128.1925073
36.5938479,128.1923913
36.5927918,128.1932995
36.599515,128.205745
36.644754,128.175409
36.6063621,128.1618301
36.606106,128.161135
36.604343,128.184428
36.624333,128.160153
36.586182,128.183346
36.586483,128.183138
36.589178,128.191082
36.589781,128.191377
36.590657,128.187887
36.589369,128.183337
36.606731,128.205679
36.761476,128.077152
36.760662,128.076928
36.6762911,127.9604751
36.670361,127.9604591
36.5693561,127.9537775
36.7882461,128.2635581
36.6051341,128.2172011
36.7242024,128.1089626
36.7424407,128.0802816
36.7982796,128.2200665
36.6235919,128.0413183
36.6761569,127.9605016
36.5695894,128.2861035
36.5389153,128.2553529
36.6122567,128.2140559
36.6103481,128.2628092
36.5957807,128.2007834
36.5958657,128.2006084
36.5962511,128.1999133
36.5953841,128.2018572
36.5956067,128.2014234
36.5979659,128.1961518
36.5946818,128.1947035
36.5958372,128.1935252
36.5970011,128.2005153
36.5973971,128.1924185
36.759774,128.077248
36.585201,128.190736
36.594952,128.191507
36.587885,128.188432
36.747066,128.082052
36.749286,128.082452
36.590363,128.213017
36.594004,128.202437
36.663938,128.123145
36.6055101,128.2021301
36.6052801,128.2021301
36.6052801,128.2020301
36.6101281,128.2560992
36.6450743,128.1817279
36.6495314,128.2539456
36.6868191,128.2560829
36.7840307,128.3204895
36.7734858,128.3616142
36.6915484,128.1221955
36.7060229,128.1126615
36.6608324,128.0967285
36.5516423,128.052031
36.5699925,127.9546254
36.5771752,128.0351041
36.5971471,128.1920793
36.5959481,128.2027453
36.5982512,128.1952039
36.5982712,128.1954304
36.5993182,128.1933689
36.5986996,128.1928765
36.5912982,128.2015153
36.5910982,128.2014853
36.5911582,128.2019153
36.5908582,128.2016453
36.5910782,128.2019553
36.5910982,128.2019413
36.6012801,128.2064501
36.6044501,128.2075901
36.6043101,128.2079501
36.6004201,128.2039901
36.6001901,128.2041201
36.6031418,128.2018932
36.6031918,128.2015832
36.5984701,128.1932801
36.5985701,128.1933801
36.5991598,128.1965904
36.5901682,128.1986153
36.5831851,128.1940553
36.5947653,128.1990714
36.5869314,128.1983155
36.6002173,128.2078503
36.6012575,128.1853787
36.6008795,128.1858287
36.6396957,128.1495553
36.6393757,128.1491323
36.6060591,128.1665642
36.6265658,128.1500674
36.5879101,128.1851759
36.5838265,128.1797727
36.5838365,128.1802657
36.5828651,128.1924053
36.5989552,128.2019074
36.5984759,128.2003151
36.5982359,128.2005498
36.5926582,128.1983256
36.5939557,128.1954685
36.5755932,128.2094704
36.5910079,128.1937953
36.5909179,128.1930853
36.5897882,128.1985453
36.5907182,128.1993453
36.5905282,128.1997753
36.5856512,128.2159612
36.5912301,128.1913201
36.5909901,128.1918301
36.5888601,128.1874801
36.5881601,128.1874801
