X,Y
37.48584,130.89622
37.48539,130.91708
37.49192,130.91084
37.4928875,130.9055863
37.46193,130.85616
37.51545,130.8143
37.540007,130.8702474
37.48459,130.90357
37.49403,130.9099
37.49661,130.8924
37.4653,130.87832
37.46044,130.8643
37.51799,130.79774
37.52607,130.82058
37.49257,130.91024
37.49304,130.90905
37.48426,130.90499
37.52987,130.90183
37.51517,130.90588
37.48301,130.907
37.49115,130.91274
37.48239,130.90898
37.5204,130.87073
37.51813,130.87073
37.48657,130.89237
37.4827,130.90847
37.48281,130.90407
37.48537,130.90648
37.48633,130.90233
37.48312,130.90787
37.54204,130.87401
37.53437,130.84235
37.50902,130.81522
37.54149,130.89355
37.49912,130.91205
37.4933,130.90797
37.46658,130.83666
37.49655,130.90828
37.47035,130.85497
37.46449,130.84937
37.47835,130.89346
37.49525,130.90971
37.54138,130.9167
37.4846,130.90503
37.4959,130.90934
37.46719,130.83758
37.4764,130.80938
37.54514,130.9084
37.50163,130.80784
37.48208,130.90801
37.48251,130.90141
37.48417,130.90388
37.46112,130.87456
37.53797,130.87125
37.48166,130.89333
37.49221,130.90862
37.49259,130.91046
37.48196,130.9083
37.49732,130.91063
37.53315,130.85726
37.52681,130.82952
37.48614,130.90018
37.48623,130.8989
37.48287,130.87789
37.47265,130.88782
37.46696,130.87909
