x,y
127.1993,37.7068
127.21075,37.67941
127.28737,37.533
127.24793,37.6566
127.2236,37.64857
127.21609,37.63624
127.18652,37.6246
127.21241,37.6906
127.19539,37.6083
127.16421,37.61133
127.22221,37.59333
127.3125,37.65332
127.30676,37.65303
127.17914,37.65268
127.17615,37.6563
127.30539,37.65497
127.30501,37.63673
127.118,37.66954
127.11843,37.66457
127.1153,37.66602
127.11318,37.67106
127.17791,37.66028
127.1989,37.6998
127.19057,37.70286
127.20826,37.68724
127.20865,37.68401
127.11907,37.70833
127.14465,37.65374
127.14002,37.65013
127.3089,37.72398
127.14259,37.65697
127.11906,37.7071
127.14329,37.65643
127.28415,37.59835
127.24963,37.65969
127.21858,37.58569
127.29877,37.6643
127.30419,37.6584
127.19985,37.71879
127.17692,37.6581
127.11871,37.71185
127.19957,37.70831
127.23898,37.6603
127.13945,37.65096
127.31082,37.56024
127.22921,37.64363
127.21323,37.63789
127.16692,37.60889
127.20037,37.59266
128.5434,38.06276
127.25068,37.65462
127.24,37.65386
127.20303,37.63108
127.21136,37.63742
127.1579,37.6848
127.29411,37.52077
127.20752,37.63726
127.23819,37.55559
127.18719,37.71223
127.17107,37.70353
127.18618,37.721
127.18427,37.7192
127.18444,37.70779
127.20696,37.7261
127.3063,37.68299
127.30605,37.68646
127.18211,37.6564
127.43232,38.32114
127.90725,34.8458
127.18953,37.68346
127.22342,37.73914
127.30096,37.6612
127.35668,37.66274
127.17833,37.71784
127.30208,37.68603
127.28939,37.65825
127.277,37.65767
127.18118,37.65736
127.19143,37.64965
127.11128,37.71003
127.14309,37.6495
127.24933,37.65669
127.30303,37.54503
127.31056,37.55408
127.23191,37.64678
127.21537,37.58367
127.24317,37.60589
127.21436,37.63567
127.18414,37.60647
127.10307,37.64924
127.23954,37.55306
128.60339,38.08323
127.19209,37.62652
127.30494,37.66362
127.23723,37.56501
127.19702,37.74129
127.30706,37.65399
127.29385,37.66231
127.52295,38.28148
127.30567,37.65454
127.19072,37.64904
127.1789,37.65238
127.17299,37.65854
127.52064,38.27846
127.14423,37.6537
127.21351,37.69573
127.30828,37.55512
127.32283,37.71008
127.28347,37.76538
127.25059,37.65375
127.22663,37.64434
127.20565,37.62334
127.11145,37.71074
127.18647,37.62765
127.29862,37.64605
127.17085,37.58948
127.15498,37.60715
127.17335,37.65094
127.31278,37.39993
127.30054,37.65628
127.2197,37.61626
127.22145,37.58007
127.20361,37.71628
127.11635,37.66301
127.11333,37.71108
127.23754,37.64871
127.21443,37.59075
127.21313,37.63602
127.1814,37.71971
127.31876,37.56739
127.23829,37.6452
127.16637,37.60875
127.28252,37.65751
127.24183,37.65991
127.14265,37.65255
127.24821,37.65499
127.24372,37.65942
127.23826,37.6494
127.16263,37.70142
127.12253,37.6982
127.30373,37.65063
127.18582,37.61722
127.30637,37.65785
127.2151,37.59298
127.12016,37.66425
127.15555,37.60975
127.20034,37.71772
127.28633,37.65192
127.20657,37.72422
127.1938,37.71536
127.21164,37.5876
127.33426,37.69526
127.20939,37.74545
127.21671,37.587
127.31267,37.68483
127.19837,37.71027
127.18404,37.65096
127.301,37.67109
127.19536,37.70435
127.19502,37.70565
127.24229,37.65746
