x,y
37.7049517,126.3221022
37.7479831,126.4844335
37.7518547,126.4875648
37.7500479,126.4854211
37.7424276,126.4998034
37.7444296,126.4789456
37.7481344,126.4809596
37.7417928,126.4818229
37.7480708,126.4744758
37.7481992,126.4846712
37.7495176,126.4849499
37.7517526,126.4849514
37.7458107,126.4887537
37.7444143,126.4926356
37.7427435,126.4945635
37.6325128,126.4188958
37.6344912,126.4233048
37.6398063,126.3919005
37.7733883,126.4142427
37.7447573,126.3897473
37.6624392,126.4219948
37.6537642,126.4377506
37.7626802,126.4654435
37.7152476,126.5112619
37.7313504,126.4618748
37.7268131,126.4584958
37.7169616,126.4841621
37.6534687,126.2363697
37.6833269,126.3619114
37.6843434,126.4867814
37.6484834,126.5264643
37.7256651,126.4171551
37.6288664,126.5341323
37.6395009,126.4909252
37.7824967,126.3116114
37.7839595,126.2818523
37.7466885,126.5049638
37.7510373,126.4930126
37.7459092,126.4795126
37.7445721,126.4821728
37.7292441,126.4734471
37.7298431,126.4740737
37.7505825,126.4847134
37.7483607,126.4834383
37.7511198,126.4896623
37.7442158,126.4996811
37.7415772,126.4956734
37.7830395,126.4015205
37.7972846,126.3227244
37.6315199,126.4505907
37.6161605,126.4873477
37.7322116,126.4888546
37.6297261,126.5346764
37.7377543,126.5155117
37.6195286,126.4650399
37.6978906,126.4268602
37.6787856,126.5107158
37.7505822,126.4847139
37.6389176,126.4914852
37.6401274,126.4914398
37.7427194,126.4925278
37.7474545,126.4832488
37.7427632,126.4875687
37.7478726,126.4803499
37.7449966,126.4879073
37.7752238,126.2546597
37.7458654,126.4867929
37.7470661,126.4844485
37.7469986,126.4850928
37.7465667,126.4877881
37.7399666,126.4898907
37.6995209,126.3150456
37.6946404,126.3246621
37.4417272,126.2918611
37.7511406,126.4820364
37.6318773,126.4007527
37.6815296,126.3989237
37.7321092,126.4516559
37.7328641,126.4996736
37.6007341,126.4377342
37.7670265,126.3689833
37.7699354,126.4425398
37.7238987,126.4823802
37.7082274,126.4491759
37.7474238,126.5037682
37.7455745,126.4869573
37.7443462,126.4795309
37.7365324,126.4793965
37.7394999,126.4905752
37.7418931,126.4581332
37.7479839,126.4844337
37.7474677,126.4854441
37.7369515,126.4979006
37.7434658,126.5030077
37.7435602,126.5028063
37.7503773,126.4848273
37.7489867,126.4836867
37.7477905,126.4837053
37.7811845,126.2780292
37.6297264,126.5346766
37.7673212,126.4508211
37.7042396,126.4358563
37.7039322,126.4358374
37.7033413,126.4346811
37.7039677,126.4352025
37.7495133,126.4855864
37.7336333,126.5162545
37.7750309,126.4356766
37.7743343,126.4353068
37.5178658,126.9103924
37.7736246,126.4074912
37.7406536,126.4870439
37.7474836,126.4953335
37.7519931,126.4702201
37.7450549,126.5040586
37.7488459,126.4873106
37.7578348,126.5019038
37.7466216,126.4777421
37.7424737,126.4579977
37.6381039,126.4930351
37.6399438,126.4910071
37.7468533,126.4816575
37.7358861,126.4826598
37.7552618,126.4966876
37.6393146,126.4897482
37.7443141,126.4868642
37.7428618,126.4998733
37.7472894,126.4870539
37.7423688,126.4983387
37.7454819,126.4839822
37.6393256,126.4900975
37.7825906,126.2791672
37.6515226,126.4488308
37.6983714,126.4832987
37.7427518,126.4876889
37.7063358,126.3810142
37.7169296,126.3918452
37.6419831,126.4839021
37.6452416,126.4799426
37.7544207,126.5000957
37.7471454,126.4830238
37.7539558,126.4794601
37.7545021,126.4779398
37.7506965,126.4821428
37.7511197,126.4896622
37.7482857,126.4836352
37.7337324,126.5036992
37.7431406,126.4983098
37.6544616,126.3269182
37.7451033,126.4893548
37.7514584,126.4881316
37.7535937,126.4837357
37.7505829,126.4847131
37.7474721,126.4814461
37.7470859,126.4794013
37.7443463,126.4795302
37.7454957,126.4826458
37.6481938,126.3423787
37.6858546,126.3171324
37.5993542,126.4965064
37.6419839,126.4839028
37.7419831,126.4577623
37.7029114,126.3807682
37.7469132,126.4754749
37.7386667,126.5031094
37.7386662,126.5031095
37.7386665,126.5031093
37.7476448,126.5132918
37.7378609,126.4852645
37.7512952,126.4807941
37.6417315,126.4909372
37.6428174,126.4916069
37.7555237,126.4968119
37.7475995,126.4820989
37.7451156,126.4817868
37.7443462,126.4795307
