x,y
37.4237815,126.6574268
37.4258813,126.6591542
37.4279208,126.6556002
37.4263783,126.6565224
37.4264903,126.6578721
37.4262032,126.6574977
37.4251312,126.6568049
37.4227691,126.6530762
37.4231039,126.6552438
37.4213559,126.6536872
37.4174712,126.6524597
37.4248652,126.6536371
37.4215321,126.6477837
37.4212149,126.6439126
37.4232036,126.6561655
37.4213836,126.6503471
37.4226143,126.6436014
37.4172137,126.6543061
37.4239712,126.6438859
37.4280601,126.6486821
37.4245231,126.6481233
37.4281263,126.6526341
37.4312168,126.6499347
37.4283729,126.6472753
37.4261359,126.6491432
37.4276306,126.6469277
37.4229072,126.6443925
37.4259971,126.6479435
37.4238031,126.6478832
37.4180463,126.6561441
37.4233209,126.6512341
37.4211617,126.6490152
37.4273032,126.6578606
37.4268351,126.6510685
37.4273561,126.6449383
37.4312791,126.6516586
37.4287935,126.6490094
37.4281624,126.6504822
37.4245391,126.6495682
37.4235357,126.6542607
37.4241685,126.6522778
37.4158928,126.6543057
37.4162686,126.6517959
37.4206957,126.6500971
37.4224636,126.6504511
37.4212345,126.6435515
37.4196206,126.6495953
37.4263623,126.6513618
37.4272471,126.6490552
37.4342126,126.6473344
37.4319466,126.6492339
37.4202542,126.6477999
37.4245374,126.6532593
37.4165934,126.6534218
37.4258877,126.6496095
37.4274382,126.6546111
37.4252954,126.6559427
37.4207691,126.6464711
37.4245382,126.6558276
37.4243371,126.6579298
37.4273445,126.6428136
37.4314693,126.6504798
37.4278526,126.6477399
37.4317731,126.6543574
37.4244469,126.6410311
37.4231161,126.6419412
37.4163451,126.6540407
37.4230151,126.6427551
37.4213698,126.6469654
37.4203319,126.6516981
37.4221726,126.6480179
37.4200963,126.6489709
37.4272516,126.6594221
37.4288597,126.6523562
37.4260026,126.6437492
37.4271122,126.6533076
37.4242762,126.6464264
37.4283222,126.6511243
37.4254792,126.6464829
37.4219191,126.6516105
37.4226233,126.6432874
37.4256123,126.6578608
37.4230482,126.6478246
37.4254691,126.6544761
37.4279134,126.6454687
37.4223479,126.6551059
37.4229897,126.6463195
37.4182037,126.6508437
37.4167404,126.6506104
37.4307692,126.6506356
37.4124282,126.6832024
37.4246682,126.6826556
37.4131151,126.6781612
37.4255253,126.6800566
37.4250374,126.6812252
37.4246129,126.6833509
37.4254117,126.6847315
37.4197321,126.6776441
37.4146151,126.6787786
37.4217159,126.6849503
37.4214978,126.6851166
37.4208249,126.6844937
37.4202508,126.6854536
37.4212133,126.6789791
37.4216408,126.6779775
37.4163078,126.6910194
37.4231563,126.6720964
37.4235718,126.6716266
37.4074385,126.6846656
37.4082035,126.6847781
37.4261611,126.6835732
37.4240161,126.6825711
37.4220586,126.6750865
37.4251381,126.6767961
37.4204201,126.6796942
37.4121871,126.6797236
37.4118479,126.6867764
37.4101224,126.6850781
37.4180483,126.6820829
37.4177586,126.6817531
37.4173806,126.6810684
37.4151346,126.6784911
37.4206725,126.6764481
37.4184976,126.6801402
37.4244625,126.6852581
37.4138914,126.6777226
37.4170794,126.6889348
37.4220135,126.6769879
37.4196541,126.6915179
37.4157798,126.6909297
37.4167251,126.6891577
37.4119721,126.6827511
37.4074568,126.6854661
37.4168892,126.6820845
37.4175155,126.6801501
37.4183628,126.6807477
37.4184281,126.6866521
37.4224637,126.6815196
37.4249045,126.6871344
37.4221213,126.6756461
37.4212877,126.6764923
37.4215433,126.6751349
37.4202036,126.6762272
37.4183566,126.6788275
37.4185922,126.6784622
37.4161711,126.6786281
37.4158392,126.6807469
37.4152583,126.6808204
37.4237276,126.6736087
37.4263322,126.6834295
37.4265968,126.6851571
37.4194748,126.6805179
37.4137012,126.6807782
37.4149107,126.6803997
37.4260176,126.6831631
37.4199587,126.6787631
37.4143858,126.6805091
37.4220529,126.6771279
37.4213028,126.6788713
37.4146286,126.6784963
37.4078021,126.6855173
