X,Y
37.41084,126.65937
37.41107,126.66014
37.41092,126.66011
37.41107,126.6589
37.40983,126.65969
37.41063,126.65794
37.41004,126.65874
37.41043,126.65492
37.41126,126.65477
37.4108,126.65467
37.40994,126.65519
37.40867,126.65561
37.40725,126.65699
37.40586,126.65705
37.40581,126.65751
37.40718,126.66032
37.40555,126.65765
37.42912,126.69674
37.40512,126.65772
37.40661,126.65997
37.42636,126.69836
37.42672,126.69739
37.4241,126.694
37.42434,126.69648
37.42412,126.69432
37.42438,126.69463
37.42359,126.69354
37.42376,126.69402
37.42392,126.6935
37.42465,126.69649
37.42399,126.69447
37.42383,126.69505
37.425,126.68722
37.42024,126.67859
37.42425,126.68888
37.42379,126.69183
37.42083,126.67819
37.41971,126.67883
37.42033,126.67845
37.4198,126.68041
37.41957,126.68049
37.41939,126.68079
37.41914,126.68093
37.41929,126.6809
37.4192,126.68039
37.4236,126.6899
37.42758,126.67917
37.42407,126.69062
37.42028,126.68902
37.41572,126.68107
37.41515,126.68081
37.41509,126.68128
37.42755,126.67988
37.41479,126.68135
37.42691,126.67914
37.42725,126.67947
37.41501,126.68178
37.4272,126.67923
37.41431,126.67962
37.41379,126.6804
37.41237,126.67785
37.41262,126.67747
37.41212,126.67918
37.41275,126.67737
37.41191,126.67843
37.41234,126.67858
37.41223,126.67875
37.41404,126.68041
37.41478,126.68037
37.41202,126.67853
37.41593,126.67301
37.41245,126.67772
37.41724,126.65627
37.42768,126.65286
37.42777,126.65369
37.42786,126.65411
37.42752,126.65371
37.42755,126.65484
37.42751,126.65417
37.42612,126.65621
37.42729,126.65395
37.42734,126.65823
37.42703,126.65738
37.4269,126.65794
37.42424,126.65759
37.42724,126.65792
37.42706,126.65793
37.42583,126.65664
37.42556,126.65801
37.42549,126.65759
37.42517,126.65749
37.42491,126.65757
37.42528,126.65712
37.42423,126.65734
37.42441,126.65737
37.42463,126.65716
37.425,126.65741
37.42535,126.65866
37.42637,126.65935
37.42617,126.65948
37.41913,126.65934
37.42702,126.65987
37.42538,126.65727
37.42646,126.6577
37.4188,126.65337
37.42577,126.65936
37.41741,126.65375
37.41729,126.65378
37.41843,126.65572
37.41855,126.65614
37.41855,126.65551
37.42169,126.65163
37.42143,126.65162
37.4213,126.6506
37.41536,126.65192
37.41659,126.6521
37.41733,126.6541
37.41709,126.65679
37.41815,126.65554
37.41835,126.65591
37.41748,126.65579
37.42212,126.65106
37.42132,126.6516
37.42076,126.65041
37.42158,126.64822
37.42205,126.64719
37.42039,126.64991
37.42104,126.64939
37.42093,126.64902
37.42095,126.64889
37.42101,126.64863
37.42055,126.64816
37.42091,126.64815
37.4197,126.64948
37.42009,126.64967
37.41955,126.65116
37.42129,126.64686
37.42002,126.65105
37.42086,126.65019
37.41869,126.64985
37.42223,126.64363
37.42827,126.64705
