X,Y
33.497 ,126.4420 
33.468 ,126.5222 
33.479 ,126.5198 
33.480 ,126.5197 
33.480 ,126.5197 
33.479 ,126.5218 
33.478 ,126.5295 
33.467 ,126.5214 
33.465 ,126.5291 
33.469 ,126.5226 
33.470 ,126.5234 
33.462 ,126.5684 
33.467 ,126.5219 
33.467 ,126.5238 
33.467 ,126.5246 
33.467 ,126.5226 
33.468 ,126.5227 
33.469 ,126.5227 
33.471 ,126.5223 
33.471 ,126.5227 
33.470 ,126.5248 
33.470 ,126.5233 
33.461 ,126.5690 
33.510 ,126.5044 
33.511 ,126.5044 
33.462 ,126.5684 
33.511 ,126.5044 
33.512 ,126.5040 
33.484 ,126.4810 
33.484 ,126.4829 
33.479 ,126.4821 
33.517 ,126.4995 
33.462 ,126.5668 
33.512 ,126.5042 
33.512 ,126.5049 
33.512 ,126.5048 
33.463 ,126.5663 
33.512 ,126.5044 
33.512 ,126.5045 
33.512 ,126.5050 
33.513 ,126.5048 
33.513 ,126.5055 
33.513 ,126.5043 
33.513 ,126.5040 
33.513 ,126.5056 
33.512 ,126.5056 
33.512 ,126.5054 
33.511 ,126.5052 
33.455 ,126.5776 
33.457 ,126.5772 
33.456 ,126.5774 
33.479 ,126.4784 
33.478 ,126.4782 
33.508 ,126.5077 
33.478 ,126.4792 
33.478 ,126.4790 
33.478 ,126.4786 
33.478 ,126.4783 
33.478 ,126.4781 
33.478 ,126.4780 
33.478 ,126.4785 
33.478 ,126.4788 
33.477 ,126.4792 
33.477 ,126.4788 
33.508 ,126.5089 
33.508 ,126.5093 
33.507 ,126.5090 
33.507 ,126.5089 
33.507 ,126.5085 
33.507 ,126.5082 
33.507 ,126.5082 
33.507 ,126.5082 
33.506 ,126.5080 
33.505 ,126.5073 
33.506 ,126.5076 
33.507 ,126.5071 
33.507 ,126.5075 
33.508 ,126.5079 
33.508 ,126.5085 
33.508 ,126.5080 
33.509 ,126.5079 
33.509 ,126.5089 
33.506 ,126.5086 
33.508 ,126.5089 
33.509 ,126.5099 
33.509 ,126.5095 
33.509 ,126.5082 
33.509 ,126.5090 
33.507 ,126.5148 
33.503 ,126.5136 
33.502 ,126.5147 
33.503 ,126.5124 
