X,Y
33.25226,126.55788
33.24722,126.56379
33.24985,126.56283
33.26597,126.61637
33.2375,126.59737
33.27097,126.59031
33.26181,126.56337
33.26757,126.55878
33.23989,126.51525
33.2563,126.42782
33.23463,126.48009
33.24445,126.38742
33.47556,126.46038
33.47536,126.46045
33.47495,126.46046
33.47081,126.44853
33.47181,126.44942
33.47284,126.44981
33.46942,126.45192
33.46941,126.4496
33.47059,126.44747
33.47056,126.44582
33.47948,126.44417
33.48028,126.44433
33.47944,126.44441
33.47913,126.44476
33.47923,126.44538
33.4787,126.44448
33.48048,126.44639
33.48121,126.44462
33.48252,126.44287
33.48241,126.44353
33.48219,126.44615
33.48285,126.44649
33.48288,126.44606
33.48432,126.44639
33.48398,126.44648
33.48162,126.45219
33.47895,126.4518
33.47228,126.45258
33.47582,126.4446
33.47915,126.44442
33.48018,126.45786
33.4697,126.4534
33.47513,126.45495
33.476,126.45415
33.47629,126.45379
33.47573,126.45358
33.47742,126.45406
33.48077,126.4561
33.48298,126.45548
33.48155,126.45507
33.48119,126.45505
33.47838,126.45899
33.47888,126.45939
33.48397,126.4548
33.4847,126.45403
33.4852,126.45315
33.48725,126.45281
33.48612,126.4532
33.48748,126.45229
33.48839,126.45157
33.48797,126.45173
33.48864,126.45139
33.48907,126.45151
33.48885,126.45096
33.48902,126.45104
33.49067,126.45099
33.49042,126.45071
33.49016,126.45128
33.49018,126.4502
33.49003,126.45037
33.48965,126.45017
33.48919,126.45003
33.48896,126.45044
33.48876,126.44886
33.48778,126.45137
33.48775,126.45117
33.48304,126.44737
33.4823,126.44683
33.48191,126.44716
33.48115,126.4469
33.48037,126.4515
33.47848,126.45118
33.47879,126.45073
33.47871,126.45101
33.47938,126.45084
33.47946,126.44945
33.48005,126.44777
33.48052,126.44722
33.47979,126.44721
33.47974,126.44757
33.47867,126.44748
33.47871,126.4479
33.47811,126.44897
33.47925,126.44829
33.47925,126.44852
33.47918,126.44904
33.47605,126.45938
33.479,126.45011
33.47849,126.45047
33.47827,126.44954
33.47803,126.44956
33.47785,126.45053
33.47655,126.44981
33.47604,126.44731
33.47581,126.46081
33.47909,126.44899
33.4696,126.5747
33.46952,126.57508
33.46925,126.57348
33.46914,126.57508
33.46967,126.5756
33.46997,126.5752
33.47029,126.57524
33.47076,126.57487
33.47078,126.57527
33.47154,126.57571
33.47318,126.57456
33.47244,126.57469
33.4721,126.57487
33.47211,126.57451
33.47148,126.57318
33.47124,126.5736
33.47118,126.57258
33.47095,126.57286
33.47123,126.57121
33.47119,126.57093
33.47229,126.57086
33.4734,126.57103
33.47843,126.57454
33.47914,126.57407
33.47756,126.57654
33.4783,126.57549
33.48056,126.57485
33.47919,126.57492
33.48088,126.57317
33.48127,126.57241
33.48138,126.57137
33.48056,126.5716
33.47978,126.57114
33.47947,126.5709
33.47892,126.57065
33.47852,126.57017
33.47839,126.57011
33.47826,126.5699
33.47754,126.56924
33.47639,126.56885
33.47609,126.57058
33.47576,126.57027
33.47607,126.56901
33.47556,126.56888
33.47529,126.56887
33.45839,126.578
33.46236,126.5764
33.47036,126.57337
33.46822,126.57046
33.47058,126.58142
33.47054,126.58215
33.47034,126.58316
33.47033,126.58372
33.47053,126.5824
33.47204,126.57695
33.4738,126.57708
33.47404,126.57746
33.47154,126.58039
33.47095,126.58034
33.47097,126.57999
33.47082,126.57963
33.47049,126.57902
33.47011,126.57783
33.47005,126.57741
33.46996,126.57677
33.45249,126.57843
33.45302,126.57868
33.45331,126.57985
33.4566,126.57716
33.45537,126.57757
33.4562,126.57735
33.45263,126.58052
33.45295,126.57923
33.46996,126.57321
33.47042,126.5743
33.47043,126.57474
33.46942,126.57433
33.46962,126.57445
