x,y
36.03745,126.55698
36.03654,126.55763
36.03751,126.55553
36.0366,126.55494
36.036,126.55479
36.03578,126.5548
35.9682,126.79268
36.037,126.55605
35.96691,126.79285
35.96588,126.79263
35.96568,126.79411
35.97107,126.79108
35.96661,126.79487
35.96657,126.79114
35.97132,126.79229
35.97072,126.79265
35.97723,126.79664
35.97576,126.79426
35.97683,126.79486
35.97682,126.79645
35.97718,126.79834
35.97624,126.79551
35.9776,126.79471
35.97743,126.79459
35.97826,126.79498
35.97917,126.79374
35.97839,126.7956
35.9793,126.79304
35.97874,126.79235
35.9782,126.79254
35.9766,126.79294
35.97569,126.78857
35.96029,126.79736
35.97299,126.76972
35.96015,126.79786
35.97615,126.78869
35.9834,126.76842
35.98359,126.76732
35.9829,126.77013
35.96816,126.78209
35.98149,126.77172
35.95441,126.79534
35.98084,126.76622
35.97807,126.77937
35.96193,126.79494
35.9729,126.77137
35.96734,126.78195
35.95557,126.77318
35.9654,126.78111
35.9493,126.80474
35.9672,126.78037
35.96058,126.79794
35.9693,126.78409
35.98191,126.77029
35.95947,126.78245
35.94666,126.80611
35.95497,126.80497
35.98222,126.76934
35.96974,126.73013
35.97038,126.73011
35.96889,126.73194
35.96923,126.73076
35.97002,126.72949
35.96767,126.73189
35.96837,126.73125
35.96759,126.73345
35.96857,126.73187
35.966,126.73434
35.96625,126.73422
35.96605,126.73422
35.96633,126.73433
35.96686,126.73327
35.96835,126.73429
35.96894,126.73287
35.96899,126.73383
35.96887,126.73326
35.97003,126.73204
35.99309,126.70822
35.99152,126.70819
35.99326,126.70877
35.99294,126.70863
35.99352,126.70876
35.99381,126.70533
35.99315,126.70987
35.99339,126.70908
35.99219,126.70725
35.99313,126.70955
35.99207,126.70769
35.99314,126.70631
35.98613,126.72412
35.99256,126.70604
35.98574,126.72553
35.98608,126.72643
35.98535,126.725
35.98585,126.72609
35.98698,126.72366
35.98706,126.72209
35.986,126.72326
36.03945,126.55446
36.03775,126.5549
36.03937,126.55462
36.03828,126.55441
36.04103,126.55415
36.04027,126.55496
36.0401,126.55425
36.04237,126.55441
36.04161,126.55388
36.04151,126.55015
36.03885,126.55453
36.04204,126.55011
36.04348,126.54889
36.04378,126.54856
36.04052,126.5503
36.0336,126.55357
36.03605,126.55388
35.96429,126.75391
35.96428,126.75386
35.96395,126.75484
35.96426,126.75611
35.96434,126.75519
35.97738,126.78963
35.97903,126.78744
35.97954,126.78836
35.97506,126.78735
35.97507,126.78775
35.97476,126.78763
35.97394,126.78691
35.97275,126.78642
35.97277,126.78479
35.97369,126.78481
35.97151,126.78372
35.9722,126.78353
35.97296,126.78453
35.97495,126.78583
35.97469,126.78682
35.97455,126.7858
35.97701,126.7844
35.97656,126.78373
35.9769,126.78291
35.97732,126.78104
35.97885,126.78118
35.9776,126.78346
35.97356,126.78646
35.97292,126.77029
35.96231,126.79136
35.96283,126.78994
35.97556,126.77954
35.94644,126.77705
35.98274,126.76802
35.95452,126.79126
35.95447,126.79062
35.95886,126.78205
35.94842,126.78611
35.95918,126.79323
35.96795,126.78414
35.95902,126.80159
35.958,126.79612
35.96498,126.76801
35.98089,126.78303
35.97155,126.77118
35.96688,126.79767
35.96036,126.79939
35.97458,126.79081
35.96627,126.77619
35.96193,126.79488
35.97029,126.73043
35.9719,126.73313
35.97199,126.7306
35.97019,126.73251
35.97279,126.73442
35.97209,126.73163
35.97274,126.73434
35.97128,126.7322
35.97209,126.73181
35.97126,126.73163
35.98748,126.7216
35.98798,126.72073
35.98748,126.71925
35.98748,126.71949
35.98776,126.72131
35.98799,126.72034
35.98816,126.72028
35.98839,126.71979
35.98808,126.7197
35.98697,126.72054
35.98845,126.71956
35.98672,126.72122
35.98568,126.72095
35.98806,126.72109
35.98552,126.72162
35.9859,126.72164
35.98627,126.7216
35.9677,126.75783
35.96508,126.75669
35.98652,126.72167
35.98657,126.7219
35.98466,126.7219
35.96414,126.75652
35.96425,126.75669
35.96592,126.75693
35.96693,126.75731
35.96756,126.75662
35.9671,126.75714
35.9677,126.75701
35.96704,126.75664
35.96755,126.75615
35.96803,126.75582
35.96824,126.75575
35.96827,126.75632
35.96893,126.7554
35.9694,126.75515
35.96954,126.75493
35.9699,126.75452
35.96978,126.75411
35.96989,126.75327
35.96969,126.75219
35.96955,126.75163
35.96961,126.75103
35.97879,126.78182
35.97961,126.78325
35.97968,126.78206
35.97971,126.78266
35.98046,126.78288
35.98069,126.78243
35.98074,126.78215
35.97885,126.77982
35.98022,126.77775
35.97928,126.77986
35.98089,126.77731
35.97812,126.78039
35.97741,126.77943
35.97737,126.78008
35.97662,126.77996
35.97631,126.78054
35.9758,126.77751
35.9742,126.77918
35.97516,126.77938
35.97611,126.78027
35.97574,126.77977
35.97559,126.77862
35.97425,126.77763
35.98292,126.76749
35.98305,126.76235
35.97311,126.77222
35.94876,126.80469
35.94835,126.78488
35.957,126.79083
35.96024,126.79142
35.97597,126.72759
35.97584,126.72727
35.97917,126.72491
35.94898,126.77723
35.95383,126.80512
35.97608,126.72932
35.98126,126.73466
35.98123,126.7339
35.98132,126.73378
35.98125,126.73424
35.98107,126.73588
35.98138,126.73545
35.98129,126.73526
35.98072,126.73679
35.97175,126.72855
35.98116,126.73494
35.97239,126.73064
35.98066,126.73683
35.98124,126.73683
35.98016,126.73689
35.97133,126.73003
35.97191,126.73032
35.97222,126.73039
35.97218,126.73021
35.97257,126.73022
35.97215,126.72966
35.97232,126.72924
35.97241,126.72948
35.97259,126.72978
35.97299,126.72994
35.97333,126.72974
35.97368,126.72934
35.97412,126.7282
35.97272,126.72895
35.96893,126.75245
35.96871,126.75223
35.97286,126.72863
35.9684,126.75231
35.96748,126.75126
35.96878,126.75124
35.96775,126.75188
35.96719,126.75128
35.97393,126.75394
35.96722,126.75078
35.966,126.7521
35.96649,126.75218
35.96684,126.75228
35.96731,126.75259
35.97063,126.75348
35.97157,126.75485
35.97147,126.75453
35.97087,126.75425
35.9725,126.75457
35.9723,126.75576
35.97227,126.75608
35.97232,126.75653
35.9726,126.75635
35.9735,126.75673
35.98044,126.77009
35.97401,126.75701
35.97639,126.77566
35.97541,126.77612
35.97534,126.77443
35.97703,126.77328
35.9763,126.77375
35.97721,126.77314
35.97748,126.77223
35.98037,126.77154
35.9755,126.77239
35.97662,126.77238
35.97507,126.77234
35.97842,126.77116
35.97908,126.77047
35.97834,126.77005
35.98001,126.76953
35.9809,126.76987
35.98136,126.76951
35.96649,126.78286
35.97075,126.78209
35.96726,126.78022
35.96583,126.78005
35.96852,126.78122
35.96448,126.77991
35.96122,126.77963
35.9794,126.73548
35.97929,126.735
35.97877,126.7345
35.9795,126.73436
35.9635,126.77978
35.97968,126.7368
35.97946,126.73662
35.97962,126.73596
35.97914,126.73597
35.97982,126.73596
35.98012,126.73594
35.98011,126.73627
35.98032,126.73589
35.98011,126.73657
35.98013,126.73503
35.9801,126.7356
35.97961,126.73497
35.97956,126.73504
35.97932,126.73477
