x,y
35.937099,126.9228
35.936472,126.9224
35.936028,126.9221
35.935485,126.9217
35.933873,126.9206
35.932839,126.9199
35.931486,126.9190
35.930494,126.9183
35.929491,126.9176
35.928409,126.9168
35.965092,126.9309
35.93414,126.95286
36.023654,126.9549
35.957977,127.0766
35.937762,126.9778
36.011506,126.9506
35.935525,126.9637
36.098633,127.0097
36.138733,126.9671
36.098714,126.9893
36.116278,127.0177
36.110384,127.0162
36.111664,126.9862
35.980101,127.0096
35.94982,126.99528
35.94502,127.01005
35.951408,126.9733
35.946799,126.9672
35.950867,126.9652
35.979257,126.9497
35.973354,126.9304
35.963026,126.9543
35.974257,126.9472
35.958383,126.9554
35.959766,126.9632
35.980285,126.9558
35.980546,126.9558
35.957079,126.9533
35.954915,126.9541
35.96411,126.93594
35.965457,126.9350
35.977899,126.9557
35.976509,126.9559
35.974461,126.9457
35.956839,126.9560
36.083556,126.9917
36.081322,126.9950
36.080881,126.9932
36.091079,126.9956
36.094487,126.9908
36.094217,126.9932
36.091349,126.9888
36.097493,126.9915
36.104405,126.9868
36.103071,126.9870
36.105989,126.9860
36.099625,126.9948
36.101121,126.9948
36.102988,126.9931
36.103725,127.0023
36.104309,127.0044
35.969844,127.0946
35.933603,127.0592
35.932355,127.0678
35.932096,127.0680
35.966476,127.0723
35.966722,127.0676
35.999831,127.1070
36.021113,127.1060
36.018858,127.1052
35.983564,127.0786
35.966847,127.0950
35.964967,127.0853
35.943282,127.0825
35.949551,126.9563
35.951215,126.9613
35.948116,126.9528
35.954479,126.9520
35.960957,126.9602
35.958589,126.9584
35.959937,126.9687
35.960674,126.9802
35.950692,126.9898
36.033036,127.0222
36.030906,127.0093
36.029297,127.0086
36.036365,126.9868
36.036378,126.9855
36.036085,126.9853
36.038416,127.0450
36.083223,126.9674
35.987829,126.9715
35.988167,126.9724
35.981991,126.9694
35.990519,126.9829
35.961712,126.9923
36.082586,127.0512
35.933034,126.9804
35.996681,126.9931
36.015656,126.9815
36.018658,126.9763
36.016546,126.9764
36.023048,126.9732
36.020279,126.9717
35.961416,126.9825
35.945392,127.0189
35.934155,127.0184
35.964769,127.0438
35.928065,127.0490
35.929269,127.0498
35.922346,127.0339
35.901095,127.0296
35.908468,127.0044
35.897879,127.0054
35.938729,126.9756
35.936923,126.9749
35.919442,126.9815
35.92973,126.97173
35.915759,126.9629
35.919484,126.9559
35.924118,126.9615
35.930228,126.9614
35.930236,126.9611
35.928108,126.9496
35.937105,126.9483
35.939117,126.9276
35.939192,126.9382
35.937114,126.9427
35.937633,126.9426
35.946339,126.9431
35.91408,126.96616
35.914269,126.9615
35.915725,126.9598
35.91543,126.97492
35.922081,126.9758
35.949534,126.9197
35.936327,126.9138
35.953914,126.9199
35.954899,126.9201
35.91885,126.95045
35.923318,127.0665
36.135099,126.9816
35.939792,126.9487
36.099205,126.9646
36.024901,126.9868
36.107403,126.8888
36.111908,126.8905
36.077823,126.9059
36.054311,127.0577
36.040693,127.1096
36.029329,127.0966
35.944699,127.0388
35.945107,127.0400
35.933927,127.0295
35.90117,127.01073
35.898269,127.0047
35.956495,126.9556
35.958753,126.9657
35.937025,126.9428
35.938611,126.9393
35.938778,126.9386
35.950032,126.9342
35.949189,126.9345
35.953597,126.9318
35.920143,126.8627
35.942557,126.9444
35.9503,126.9488
