x,y
35.61218,126.83952
35.58722,126.85288
35.61219,126.83997
35.61204,126.84215
35.60248,126.86994
35.60071,126.86801
35.54678,126.884
35.60148,126.86907
35.60187,126.86944
35.60111,126.86849
35.60169,126.86878
35.54725,126.88534
35.54765,126.88431
35.54786,126.88516
35.54951,126.88309
35.5802,126.88796
35.55005,126.88417
35.57854,126.88621
35.57858,126.88538
35.57838,126.87872
35.58114,126.88632
35.57845,126.88505
35.57659,126.8789
35.57703,126.87834
35.57518,126.87976
35.55138,126.87854
35.54901,126.87856
35.54577,126.87809
35.50975,126.91667
35.56065,126.87905
35.50874,126.91828
35.58029,126.88961
35.57087,126.88662
35.5364,126.89126
35.53825,126.8918
35.55496,126.89143
35.53849,126.89128
35.53988,126.89136
35.53926,126.89115
35.53915,126.89046
35.53888,126.89029
35.53692,126.89028
35.53891,126.88988
35.57798,126.88848
35.50864,126.9164
35.50832,126.91643
35.57824,126.88922
35.57826,126.88972
35.57906,126.88926
35.57987,126.88829
35.53144,126.92492
35.53467,126.89141
35.53538,126.8909
35.51008,126.88349
35.53262,126.92612
35.53415,126.89148
35.57096,126.8878
35.57151,126.8895
35.50855,126.91615
35.51189,126.91931
35.51145,126.91879
35.57876,126.82463
35.58172,126.8246
35.5752,126.88952
35.57103,126.88991
35.57206,126.89037
35.5709,126.8843
35.57087,126.88359
35.57207,126.88476
35.57336,126.88405
35.51075,126.88363
35.50945,126.88297
35.50927,126.89225
35.50904,126.89226
35.50876,126.89176
35.50941,126.89184
35.50975,126.89217
35.50678,126.91494
35.50622,126.91428
35.5054,126.91459
35.50522,126.91408
35.50466,126.91396
35.50406,126.91304
35.53751,126.8307
35.51074,126.91784
35.51053,126.91757
35.57296,126.82474
35.53425,126.83112
35.57322,126.8252
35.57676,126.82359
35.57737,126.82405
35.57956,126.82548
35.58108,126.8242
35.57544,126.82129
35.57665,126.82206
35.57024,126.82256
35.56989,126.82209
35.57031,126.82216
35.58241,126.8236
35.58198,126.82359
35.56994,126.82279
35.57088,126.82274
35.57114,126.8221
35.57113,126.82376
35.57147,126.82384
35.57167,126.82373
35.57048,126.8238
35.57141,126.82418
35.57078,126.82453
35.57288,126.82561
35.57109,126.82559
35.57611,126.8223
