x,y
35.411969,127.619614
35.377134,127.581441
35.488952,127.485647
35.456785,127.562125
35.50578,127.362676
35.33685,127.226482
35.398653,127.358906
35.401285,127.378808
35.41045,127.395148
35.400383,127.380649
35.310997,127.319036
35.407067,127.370381
35.419684,127.383577
35.403572,127.609715
35.24185,127.21534
35.25287,127.26279
35.24225,127.23098
35.25125,127.37424
35.25161,127.37499
35.25125,127.37392
35.25102,127.3739
35.30309,127.36446
35.30221,127.3636
35.30164,127.36363
35.30178,127.36379
35.30226,127.36421
35.27445,127.35545
35.27463,127.36054
35.27497,127.36032
35.2748,127.36036
35.2747,127.36083
35.27464,127.36053
35.25342,127.25227
35.25384,127.25231
35.25373,127.25259
35.25358,127.25267
35.25485,127.27345
35.25466,127.27361
35.29309,127.28337
35.29324,127.28359
35.29311,127.28364
35.29312,127.28387
35.30499,127.24068
35.30466,127.24059
35.30472,127.24016
35.305,127.24003
35.30477,127.21158
35.30508,127.21073
35.3048,127.21126
35.30005,127.21402
35.29586,127.21415
35.29592,127.21364
35.29566,127.21384
35.24171,127.20456
35.2418,127.20411
35.24154,127.20396
35.25529,127.19396
35.25517,127.19339
35.255,127.19375
35.20386,127.13439
35.2051,127.13421
35.20442,127.13415
35.20463,127.13415
35.21273,127.1757
35.2126,127.18032
35.21236,127.18029
35.1959,127.17334
35.20012,127.17403
35.23005,127.19367
35.22545,127.19395
35.22575,127.19389
35.21148,127.20106
35.21212,127.20117
35.21198,127.20072
35.21199,127.20121
35.21172,127.20114
35.20101,127.22276
35.20164,127.22222
35.20106,127.22253
35.20133,127.22252
35.23197,127.26397
35.23169,127.26452
35.23188,127.26465
35.23218,127.26419
35.23204,127.2641
35.26318,127.31565
35.26228,127.3158
35.26251,127.31552
35.26271,127.31541
35.26282,127.32017
35.2628,127.32014
35.26243,127.31587
35.26005,127.22543
35.26025,127.2259
35.26005,127.22589
35.25286,127.24068
35.25223,127.2414
35.25263,127.24118
35.25267,127.24166
35.2522,127.24114
35.25041,127.225
35.25033,127.2248
35.25009,127.22411
35.24588,127.22474
35.25028,127.22466
35.23401,127.22288
35.23459,127.22313
35.23392,127.22354
35.23428,127.22395
35.2345,127.22279
35.23458,127.22309
35.23463,127.22356
35.23427,127.22366
35.23417,127.22338
35.24092,127.22298
35.24038,127.22214
35.24068,127.22208
35.24103,127.22211
35.241,127.22227
35.24044,127.22251
35.24062,127.22209
35.24102,127.22249
35.24063,127.22294
35.24491,127.23449
35.24535,127.23452
35.24484,127.23385
35.2447,127.23397
35.24361,127.23476
35.24497,127.23441
35.24332,127.22461
35.24377,127.22445
35.24333,127.22444
35.24362,127.22442
35.24357,127.22496
35.24333,127.2247
35.24427,127.232
35.24457,127.23198
35.2447,127.23198
35.24485,127.23257
35.24451,127.23182
35.24494,127.23265
35.24435,127.23258
35.24444,127.23191
35.24433,127.23198
