x,y
34.51308,127.08444
34.49526,127.09029
34.49263,127.02562
34.49243,127.02568
34.47519,127.04077
34.45584,127.03083
34.50334,127.03442
34.50374,127.03404
34.4843,127.01242
34.44277,127.09356
34.4249,127.1134
34.42301,127.11462
34.4139,127.11216
34.42261,127.11457
34.46265,127.07191
34.46266,127.07199
34.45508,127.09544
34.46332,127.09169
34.46337,127.09281
34.46461,127.10597
34.46426,127.10477
34.45284,127.13423
34.46455,127.11587
34.46311,127.12144
34.46161,127.11413
34.46404,127.11508
34.46409,127.11517
34.46485,127.12036
34.46364,127.11264
34.4636,127.11266
34.4643,127.11451
34.45436,127.10022
34.45085,127.11124
34.45179,127.11036
34.45092,127.1116
34.45117,127.11124
34.55119,127.10297
34.56282,127.09308
34.55099,127.10267
34.55092,127.10277
34.55091,127.10276
34.55013,127.1018
34.57056,127.12045
34.57324,127.11407
34.57482,127.1215
34.55412,127.10103
34.58117,127.10466
34.58008,127.16011
34.58257,127.10283
34.48152,127.26398
34.47472,127.06064
34.48181,127.05215
34.48417,127.05374
34.47585,127.05155
34.50369,127.06188
34.47592,127.05095
34.49081,127.05543
34.48402,127.06055
34.52305,127.18542
34.50549,127.20263
34.50559,127.20203
34.50398,127.20286
34.50481,127.20257
34.50483,127.20297
34.50404,127.20318
34.50311,127.20424
34.50326,127.20379
34.50462,127.34332
34.50293,127.20467
34.51047,127.20098
34.84691,127.20456
34.50364,127.20408
34.50367,127.20366
34.50246,127.20395
34.52001,127.20326
34.51521,127.20317
34.46458,127.2636
34.48541,127.24369
34.50154,127.22591
34.50537,127.21471
34.50156,127.20356
34.50011,127.20382
34.50015,127.20381
34.50102,127.20335
34.50122,127.20364
34.50172,127.20304
34.52355,127.18508
34.50151,127.19469
34.5302,127.17398
34.53191,127.17354
34.53192,127.17359
34.50176,127.18013
34.50393,127.20321
34.50169,127.2435
34.5013,127.24447
34.50169,127.24395
34.50578,127.21093
34.50499,127.21051
34.50463,127.21045
34.50462,127.35544
34.50412,127.20569
34.50491,127.21026
34.50497,127.21232
34.50489,127.21218
34.50531,127.20466
34.50533,127.20378
34.50494,127.20374
34.5053,127.205
34.43108,127.04553
34.45239,127.02023
34.45379,127.01031
34.4458,127.02129
34.44292,127.01167
34.44574,127.02126
34.46068,127.04597
34.46041,127.05061
34.46067,127.05064
34.46137,127.05031
34.46143,127.0502
34.46095,127.05015
34.46179,127.0502
34.16278,127.05102
34.46167,127.05404
34.46062,127.0526
34.46086,127.05203
34.46219,127.04506
34.46227,127.04528
34.46177,127.0459
34.46189,127.04575
34.46161,127.04582
34.46163,127.02539
34.46455,127.04455
34.46136,127.04479
34.46118,127.04491
34.46093,127.04505
34.46081,127.04544
34.46029,127.05001
34.46015,127.04548
34.4606,127.04435
34.46092,127.04453
34.46041,127.04442
34.46024,127.04468
34.46042,127.04447
34.46007,127.04454
34.4604,127.04591
34.45576,127.04587
34.46032,127.04537
34.46184,127.05265
34.43097,127.05228
34.42578,127.0509
34.42554,127.05108
34.44568,127.05273
34.43102,127.05241
34.42548,127.05139
34.45524,127.04382
34.46142,127.04399
34.46172,127.0787
34.46154,127.04486
34.45496,127.05296
34.46096,127.05306
34.46256,127.05357
34.46352,127.05313
34.47141,127.05474
34.46562,127.05385
34.46393,127.05252
34.45549,127.05137
34.45584,127.05146
34.45573,127.04574
34.455,127.04409
34.45541,127.05201
34.46066,127.0521
34.45289,127.04132
34.45515,127.04323
34.46179,127.04386
34.46116,127.04378
34.46133,127.04428
34.46115,127.04297
34.46003,127.04336
34.45554,127.04304
34.45482,127.04269
34.45503,127.0419
34.46148,127.043
34.46115,127.04379
34.44494,127.04107
34.52588,127.09397
34.53341,127.09188
34.53466,127.07424
34.53366,127.08006
34.53332,127.07582
34.53357,127.07544
34.53393,127.0758
34.53275,127.08284
34.54005,127.08283
34.53546,127.07398
34.89855,127.07398
34.53217,127.07582
34.51214,127.06339
34.54135,127.05282
34.42315,127.00506
34.42121,127.00192
34.41543,126.592083
34.42118,127.01229
34.42124,127.01233
34.42569,127.01139
34.43001,127.01202
34.51067,127.0953
34.52171,127.11148
34.52416,127.13271
34.52477,127.14043
34.52217,127.11104
34.51512,127.09034
34.51288,127.10014
34.47242,127.13007
34.4721,127.12571
34.47192,127.12541
34.46408,127.1219
34.47221,127.15085
34.47241,127.12567
34.47178,127.14357
34.48351,127.1454
34.48286,127.14513
34.48298,127.14551
34.48338,127.14504
34.49246,127.14251
34.49059,127.14278
34.40235,127.0507
34.40119,127.05422
34.40055,127.05467
34.40123,127.05258
34.40206,127.05308
34.40132,127.05184
34.41394,127.05109
34.39538,127.04322
34.40176,127.03483
34.4045,127.04118
34.40449,127.04129
34.40118,127.05111
34.40036,127.05015
34.4019,127.05114
34.38171,127.02511
34.42182,127.07583
34.42227,127.07299
34.40163,127.03558
34.40133,127.03483
34.4827,127.1004
34.49523,127.09
