x,y
34.5656,126.6023
34.58224,126.5806
34.7086,126.3838
34.65919,126.5694
34.57372,126.6769
34.65102,126.6726
34.47225,126.6813
34.57307,126.5928
34.57358,126.5935
34.47955,126.6128
34.57353,126.6114
34.56624,126.5947
34.69277,126.3563
34.57086,126.6125
34.56943,126.604
34.56702,126.6034
34.56952,126.5955
34.56508,126.6214
34.56731,126.5958
34.57593,126.5991
34.40293,126.6273
34.55647,126.5832
34.64907,126.5515
34.57185,126.5989
34.576362,126.592369
34.572805,126.607706
34.567064,126.603219
34.573722,126.593201
34.573151,126.592759
34.568971,126.59578
34.577521,126.596888
34.570917,126.604265
34.572116,126.597338
34.515945,126.608626
34.490906,126.515141
34.458738,126.553721
34.368991,126.51925
34.467095,126.67759
34.567135,126.648906
34.617981,126.570427
34.575509,126.427912
34.644423,126.447716
34.675927,126.410941
34.672803,126.333463
34.351784,126.476626
34.316281,126.518072
34.57686,126.599563
34.408132,126.63024
34.450993,126.484636
34.645468,126.659181
34.428966,126.584574
34.389581,126.560054
34.576012,126.59393
34.577957,126.592219
34.576463,126.591854
34.590696,126.308045
34.568784,126.604161
34.570898,126.604069
