X,Y
34.84778,127.34818
34.84878,127.34746
34.84914,127.34613
34.84871,127.34701
34.8476,127.3482
34.8488,127.34758
34.84924,127.34641
34.8487,127.34628
34.84871,127.34639
34.8495,127.34648
34.85,127.34123
34.85104,127.33874
34.84832,127.34356
34.85002,127.34102
34.84993,127.34077
34.85065,127.33894
34.85094,127.33879
34.85183,127.33886
34.85149,127.3394
34.85158,127.33826
34.85213,127.33819
34.85245,127.33801
34.85329,127.3389
34.8533,127.33828
34.85349,127.33722
34.85289,127.33796
34.85354,127.3377
34.85215,127.33646
34.8524,127.33637
34.84783,127.34783
34.84689,127.34685
34.85257,127.3351
34.85262,127.3377
34.84704,127.3468
34.84662,127.34326
34.84671,127.34782
34.84729,127.3466
34.84638,127.34772
34.8459,127.34802
34.84599,127.34156
34.84552,127.34156
34.84631,127.34172
34.84661,127.34157
34.84624,127.34146
34.84693,127.34135
34.84286,127.34278
34.84245,127.34282
34.84585,127.34256
34.846,127.34269
34.84459,127.34261
34.84441,127.35017
34.84509,127.35184
34.84482,127.35102
34.8455,127.35241
34.84589,127.35314
34.84685,127.35291
34.847,127.35296
34.84712,127.35309
34.84695,127.35215
34.84628,127.35237
34.84621,127.35181
34.84628,127.3523
34.84794,127.35258
34.84716,127.35591
34.8468,127.35257
34.84797,127.35624
34.84798,127.35588
34.84865,127.35282
34.85075,127.35023
34.8499,127.35049
34.81374,127.42766
34.84941,127.35062
34.84868,127.35066
34.81085,127.4116
34.81316,127.42678
34.81553,127.40973
34.815,127.41077
34.81048,127.4122
34.80422,127.38207
34.80835,127.37562
34.81133,127.40426
34.80491,127.38414
34.80414,127.38142
34.81521,127.37875
34.8141,127.40037
34.81251,127.39936
34.81674,127.37935
34.81657,127.37865
34.82194,127.35887
34.8206,127.35833
34.82058,127.35848
34.8274,127.3378
34.84723,127.35212
34.83493,127.34399
34.84213,127.26202
34.83246,127.33237
34.83828,127.31483
34.84067,127.29603
34.79557,127.16964
34.84204,127.27339
34.79775,127.17464
34.80479,127.16864
34.80149,127.1702
34.80183,127.16992
34.80131,127.1708
34.80157,127.17047
34.80132,127.17113
34.80842,127.17593
34.80945,127.17929
34.8101,127.17574
34.81145,127.17558
34.81016,127.17722
34.80906,127.18004
34.80901,127.17976
34.80869,127.17941
34.8107,127.18804
34.81134,127.17817
34.81142,127.18969
34.81105,127.19027
34.81254,127.19103
34.84206,127.26169
34.8417,127.25882
34.84139,127.25863
34.8423,127.25962
34.84542,127.35976
34.84753,127.35639
34.84399,127.33624
34.84372,127.33563
34.84591,127.35259
34.84812,127.36297
34.84439,127.33526
34.84893,127.36498
34.8495,127.36433
34.85031,127.36415
34.8532,127.3649
34.84842,127.36357
34.83735,127.40806
34.84682,127.36954
34.85065,127.3674
34.84311,127.37157
34.83778,127.41105
34.83764,127.4048
34.83796,127.41153
34.83897,127.40645
34.83868,127.40669
34.84168,127.40219
34.84696,127.35561
34.83864,127.33138
34.83854,127.33209
34.839,127.33286
34.83911,127.33416
34.83874,127.33505
34.839,127.33571
34.83953,127.33794
34.83919,127.33641
34.83932,127.33723
34.83985,127.34003
34.83985,127.34132
34.83986,127.34138
34.83943,127.34112
34.83849,127.34145
34.84249,127.34389
34.8406,127.3423
34.8413,127.34262
34.84176,127.34284
34.84077,127.34262
34.84283,127.34584
34.8426,127.34457
34.84276,127.34524
34.84269,127.34566
34.81245,127.19021
34.81266,127.19024
34.81295,127.16794
34.80861,127.16752
34.80876,127.16724
34.81242,127.1668
34.80506,127.15152
34.8047,127.14984
34.80468,127.14567
34.80233,127.13655
34.79822,127.13013
34.7953,127.13125
34.81125,127.15647
34.82194,127.16002
34.82359,127.15798
34.83153,127.15002
34.83586,127.15406
34.84219,127.14798
34.84277,127.14839
34.90022,127.13873
34.84266,127.14748
34.89901,127.13734
34.90009,127.14099
34.89936,127.13687
34.89884,127.13913
34.89748,127.13512
34.84287,127.34618
34.84303,127.34627
34.84297,127.34642
34.84324,127.34674
34.84331,127.34711
34.84359,127.34733
34.84344,127.34744
34.84379,127.34816
34.84525,127.34705
34.84409,127.34781
34.84459,127.34937
34.84456,127.34741
34.84611,127.34588
34.84559,127.3464
34.8464,127.34519
34.84576,127.346
34.84746,127.34403
34.84668,127.34454
34.84696,127.34355
34.8467,127.34382
34.8406,127.35553
34.84041,127.35562
34.83963,127.35649
34.84799,127.34417
34.8402,127.35595
34.84117,127.35729
34.84084,127.35645
34.84101,127.3569
34.84058,127.35587
34.8407,127.35604
34.84077,127.35523
34.84124,127.35457
34.84182,127.35383
34.84299,127.352
34.8432,127.35163
34.84305,127.35205
34.84334,127.35128
34.84358,127.35111
34.84381,127.35077
34.84407,127.35034
34.84443,127.34969
34.84471,127.34938
34.84548,127.34843
34.84506,127.34882
34.84563,127.34807
34.84591,127.34779
34.8462,127.34733
34.84655,127.34676
34.89744,127.13354
34.90005,127.12986
34.90038,127.12701
34.90188,127.11671
34.8949,127.11331
34.89404,127.12777
34.89403,127.12844
34.89428,127.13242
34.87633,127.16641
34.89401,127.1531
34.87938,127.16055
34.87736,127.16575
34.86987,127.14033
34.87171,127.13764
34.87136,127.1397
34.87174,127.13922
34.87172,127.13931
34.86208,127.1309
34.87165,127.13741
34.86161,127.13785
34.86366,127.13121
34.86184,127.13137
34.85065,127.13685
34.84863,127.12582
34.84715,127.34325
34.81862,127.13923
34.83495,127.14428
34.84763,127.34257
34.8476,127.34253
34.8483,127.34163
34.83509,127.14257
34.84861,127.3413
34.80939,127.11093
34.84917,127.34052
34.84927,127.3402
34.84784,127.34215
34.84939,127.33955
34.84931,127.33888
34.84918,127.33921
34.84919,127.3412
34.84858,127.3403
34.84897,127.33968
34.84841,127.34084
34.84781,127.34191
34.84846,127.33971
34.84863,127.33928
34.84884,127.33903
34.84917,127.33857
34.85006,127.33751
34.85139,127.33593
34.8507,127.33648
34.85165,127.33549
34.85182,127.33512
34.85228,127.33361
34.80843,127.24891
34.80852,127.24915
34.85249,127.33253
34.85264,127.33212
34.80666,127.22817
34.80792,127.24696
34.80778,127.24657
34.80767,127.24636
34.80739,127.24559
34.80717,127.24475
34.80712,127.24548
34.80743,127.24608
34.80757,127.24653
34.80771,127.24689
34.80772,127.24749
34.80785,127.24742
34.80732,127.24775
34.80728,127.24808
34.8083,127.24894
34.80757,127.24777
34.808,127.24807
34.8082,127.24862
34.80846,127.24951
34.81466,127.25814
34.81463,127.25876
34.815,127.25856
34.83805,127.30961
34.83804,127.30951
34.81036,127.10757
34.80907,127.10799
34.8074,127.14628
34.81622,127.14293
34.77489,127.11927
34.77268,127.1127
34.83853,127.34103
34.77186,127.11158
34.83716,127.3402
34.83425,127.34387
34.83761,127.34198
34.83519,127.34244
34.83569,127.34262
34.83434,127.34674
34.83385,127.3464
34.83344,127.35037
34.8343,127.34628
34.83474,127.34447
34.83574,127.34509
34.83482,127.34441
34.83667,127.34377
34.83647,127.34315
34.83712,127.34365
34.83686,127.34384
34.83713,127.3446
34.83685,127.3454
34.84674,127.34631
34.83718,127.3458
34.84712,127.34585
34.84736,127.34545
34.84762,127.34503
34.86338,127.34105
34.86481,127.34255
34.86295,127.34069
34.86441,127.34189
34.8653,127.3436
34.86358,127.34127
34.86426,127.34293
34.86538,127.3445
34.864,127.34285
34.86483,127.34221
34.86498,127.34609
34.86377,127.34473
34.86414,127.34399
34.86498,127.34513
34.86333,127.34488
34.86295,127.34629
34.85377,127.33117
34.86308,127.3473
34.86299,127.34691
34.8516,127.3372
34.85054,127.33846
34.85099,127.33781
34.85031,127.33925
34.8509,127.33788
34.84987,127.34003
34.84945,127.34227
34.84979,127.34144
34.84836,127.344
34.84911,127.34275
34.84887,127.34299
34.84829,127.34558
34.84858,127.34336
34.84806,127.34498
34.84793,127.34623
34.80907,127.43791
34.80942,127.43648
34.80976,127.43757
34.80883,127.4388
34.80845,127.43917
34.80848,127.43993
34.80799,127.44036
34.80756,127.44093
34.8076,127.44186
34.83792,127.34307
34.80759,127.441
34.83823,127.34195
34.83853,127.34341
34.83815,127.34406
34.8377,127.34411
34.83769,127.34488
34.8404,127.33778
34.83766,127.34446
34.83935,127.34574
34.8383,127.35027
34.83936,127.34483
34.83921,127.34432
34.83886,127.34381
34.84012,127.33872
34.80572,127.25216
34.80633,127.2551
34.80502,127.254
34.8051,127.25167
34.80542,127.25209
34.8036,127.25389
34.8403,127.33791
34.83752,127.32907
34.83751,127.33001
34.83728,127.32977
34.83901,127.34386
34.83455,127.34378
34.83769,127.32964
34.83499,127.34362
34.83909,127.34407
34.8402,127.3435
34.84041,127.34415
34.86313,127.3489
34.86581,127.34188
34.86262,127.34196
34.88033,127.30865
34.88537,127.31445
34.8837,127.31361
34.88312,127.31162
34.88187,127.30742
34.84519,127.34386
34.8771,127.30959
34.87619,127.31328
34.86541,127.31571
34.84324,127.34434
34.84275,127.34472
34.84584,127.34363
34.84485,127.34412
34.8439,127.34424
34.84876,127.35246
34.84902,127.35267
34.8488,127.35263
34.84912,127.35285
34.84919,127.35284
34.83803,127.27422
34.83768,127.27402
34.83704,127.27353
34.80214,127.22994
34.80321,127.22798
34.80064,127.23166
34.80298,127.22861
34.80347,127.22801
34.80379,127.22825
34.8036,127.22893
34.80427,127.22971
34.80338,127.23006
34.8039,127.22987
34.80571,127.2297
34.80354,127.25276
34.80635,127.22884
34.80421,127.25209
34.80378,127.25246
34.80403,127.25201
34.80363,127.25195
34.80752,127.24931
34.80874,127.25029
34.80783,127.24874
34.80904,127.2507
34.80733,127.24854
34.80682,127.24793
34.8071,127.24791
34.8071,127.24736
34.80718,127.24706
34.8072,127.24752
34.80858,127.24818
34.80917,127.2493
34.80876,127.24929
34.80962,127.24835
34.8106,127.24924
34.80833,127.24864
34.81092,127.24559
