X,Y
35.0112 ,127.1153 
35.0087 ,127.1163 
35.0094 ,127.1153 
35.0091 ,127.1156 
35.0086 ,127.1156 
35.0083 ,127.1158 
35.0080 ,127.1149 
35.0077 ,127.1157 
34.9923 ,127.0899 
34.9943 ,127.0860 
35.0113 ,127.0839 
35.0080 ,127.1234 
35.0093 ,127.1205 
34.9860 ,127.1002 
34.9863 ,127.1004 
34.9988 ,127.0707 
35.0243 ,127.1148 
35.0246 ,127.1326 
35.0148 ,127.1737 
35.0003 ,127.1646 
34.9732 ,127.1349 
34.9985 ,127.1344 
35.0116 ,127.1142 
34.9819 ,127.0904 
34.9735 ,127.1370 
34.9741 ,127.1383 
34.9756 ,127.1408 
34.9769 ,127.1420 
34.9778 ,127.1429 
34.9786 ,127.1443 
34.9794 ,127.1453 
34.9799 ,127.1461 
34.9806 ,127.1475 
34.9768 ,127.1069 
34.9738 ,127.1357 
35.0241 ,127.1057 
35.0051 ,127.0973 
34.9812 ,127.1057 
35.0114 ,127.1140 
35.0094 ,127.0836 
35.0084 ,127.0940 
34.9882 ,127.0989 
35.0008 ,127.0863 
35.0409 ,127.1458 
34.9909 ,127.1670 
35.0249 ,127.1125 
34.9867 ,127.1099 
35.0149 ,127.0768 
35.0068 ,127.0965 
35.0339 ,127.1347 
34.9986 ,127.0694 
35.0013 ,127.0873 
34.9863 ,127.1112 
35.0106 ,127.1138 
35.0111 ,127.1137 
35.0117 ,127.1139 
34.9889 ,126.9572 
34.9889 ,126.9574 
34.9891 ,126.9574 
34.9893 ,126.9579 
34.9869 ,126.9599 
34.9871 ,126.9596 
34.9891 ,126.9582 
34.9878 ,126.9586 
34.9882 ,126.9587 
34.9867 ,127.1002 
34.9870 ,127.1004 
34.9872 ,127.1005 
34.9860 ,127.1021 
34.9879 ,127.1008 
34.9877 ,127.1030 
34.9877 ,127.1022 
34.9875 ,127.1018 
34.9879 ,127.1017 
34.9885 ,127.1016 
34.9887 ,127.1015 
34.9891 ,127.1015 
34.9891 ,127.1017 
34.9884 ,127.1012 
34.9896 ,127.1020 
34.9895 ,127.1014 
34.9892 ,127.1012 
34.9893 ,127.1011 
34.9889 ,127.1008 
34.9887 ,127.1006 
34.9902 ,127.1017 
34.9891 ,127.1001 
34.9932 ,127.0948 
35.0009 ,127.0943 
35.0011 ,127.0946 
35.0013 ,127.0947 
35.0015 ,127.0949 
35.0018 ,127.0950 
35.0020 ,127.0950 
35.0022 ,127.0951 
35.0024 ,127.0952 
35.0025 ,127.0953 
35.0027 ,127.0954 
35.0029 ,127.0954 
35.0031 ,127.0955 
35.0033 ,127.0956 
35.0036 ,127.0957 
35.0038 ,127.0958 
35.0040 ,127.0958 
35.0043 ,127.0959 
35.0045 ,127.0960 
35.0046 ,127.0961 
35.0048 ,127.0962 
35.0051 ,127.0962 
35.0053 ,127.0963 
35.0054 ,127.0964 
35.0057 ,127.0965 
35.0059 ,127.0966 
35.0061 ,127.0968 
35.0063 ,127.0970 
35.0116 ,127.0845 
35.0111 ,127.0841 
35.0119 ,127.0824 
35.0118 ,127.0819 
35.0125 ,127.0805 
35.0160 ,127.0769 
35.0156 ,127.0777 
35.0158 ,127.0787 
35.0119 ,127.0831 
35.0113 ,127.0843 
35.0117 ,127.0835 
35.0120 ,127.0845 
35.0124 ,127.0839 
35.0126 ,127.0842 
35.0125 ,127.0837 
35.0121 ,127.0829 
35.0009 ,127.0952 
35.0005 ,127.0953 
34.9963 ,127.0943 
34.9959 ,127.0941 
34.9960 ,127.0934 
34.9963 ,127.0936 
34.9963 ,127.0941 
34.9970 ,127.0938 
34.9975 ,127.0939 
34.9981 ,127.0941 
34.9988 ,127.0942 
34.9996 ,127.0943 
34.9993 ,127.0942 
34.9975 ,127.0892 
34.9993 ,127.0915 
35.0059 ,127.0977 
35.0062 ,127.0971 
35.0066 ,127.0964 
35.0067 ,127.0962 
35.0069 ,127.0956 
35.0066 ,127.0950 
35.0073 ,127.0944 
35.0076 ,127.0937 
35.0020 ,127.0968 
35.0017 ,127.0967 
35.0026 ,127.0964 
35.0022 ,127.0963 
35.0010 ,127.0965 
35.0013 ,127.0970 
35.0012 ,127.0968 
35.0013 ,127.0963 
35.0016 ,127.0960 
35.0013 ,127.0957 
35.0011 ,127.0956 
35.0029 ,127.0965 
35.0033 ,127.0966 
35.0034 ,127.0967 
35.0038 ,127.0968 
35.0042 ,127.0970 
