X,Y
34.80413,126.3978
34.80499,126.43233
34.80296,126.43377
34.80549,126.43272
34.8045,126.43133
34.80383,126.39866
34.83368,126.42878
34.83415,126.42929
34.82683,126.4226
34.82784,126.42438
34.83692,126.42726
34.80045,126.39914
34.80111,126.3992
34.80146,126.40024
34.80115,126.39948
34.80096,126.40042
34.80063,126.40002
34.82619,126.42369
34.80038,126.3987
34.79997,126.39958
34.79973,126.39911
34.80131,126.3723
34.80155,126.37265
34.7879,126.3987
34.79692,126.39941
34.7977,126.37879
34.78745,126.39657
34.78825,126.3959
34.79284,126.39734
34.79261,126.39739
34.79234,126.39593
34.79225,126.39754
34.79293,126.39594
34.79269,126.39599
34.79204,126.39592
34.79185,126.39587
34.80334,126.40805
34.7877,126.39454
34.79167,126.39758
34.79028,126.39629
34.78885,126.39442
34.79033,126.39689
34.78839,126.39432
34.7879,126.39444
34.7881,126.39489
34.78737,126.39442
34.78911,126.39241
34.78896,126.389
34.78886,126.39344
34.789,126.39291
34.79326,126.39258
34.82552,126.40214
34.79533,126.39762
34.7881,126.39302
34.78796,126.39315
34.78763,126.3936
34.78821,126.39287
34.78891,126.39121
34.79317,126.39209
34.79783,126.39405
34.80232,126.3973
34.79771,126.39059
34.78932,126.39137
34.80514,126.37526
34.80712,126.37391
34.80688,126.37403
34.8076,126.37497
34.80878,126.37367
34.80256,126.37837
34.8092,126.37487
34.80839,126.3754
34.80831,126.37597
34.80786,126.37534
34.80196,126.37884
34.80961,126.37518
34.80631,126.42177
34.8079,126.3756
34.80772,126.37613
34.80595,126.42196
34.80669,126.4205
34.80779,126.42241
34.80493,126.41514
34.81443,126.42007
34.79929,126.38845
34.81034,126.38862
34.80498,126.38952
34.80601,126.38983
34.8007,126.39051
34.80719,126.3993
34.80335,126.38671
34.79678,126.40362
34.80258,126.37899
34.80255,126.37868
34.80292,126.37882
34.8037,126.43677
34.80546,126.42094
34.80569,126.42101
34.79721,126.391
34.80669,126.41918
34.8063,126.39339
34.80634,126.39363
34.80557,126.39396
34.80584,126.39386
34.80553,126.39347
34.80515,126.41986
34.80631,126.38824
34.80616,126.38868
34.80659,126.38937
34.80616,126.38903
34.80633,126.38967
34.80603,126.38939
34.80573,126.38964
34.8052,126.38999
34.80502,126.38979
34.8049,126.38997
34.80526,126.39042
34.79978,126.38961
34.80012,126.38998
34.80031,126.38991
34.80051,126.39028
34.79995,126.39003
34.80008,126.39022
34.79855,126.38873
34.80037,126.39022
34.7987,126.38882
34.80078,126.39049
34.79872,126.38819
34.79837,126.38841
34.79872,126.38826
34.79929,126.38835
34.79858,126.38859
34.79856,126.38849
34.80315,126.40001
34.79946,126.38783
34.79876,126.38873
34.79918,126.38844
34.80672,126.38837
34.79963,126.38685
34.81047,126.38946
34.79527,126.40239
34.79472,126.40618
34.80357,126.39185
34.80117,126.40362
34.80297,126.39645
34.80108,126.4032
34.80241,126.39578
34.80086,126.40346
34.80123,126.40334
34.80123,126.40305
34.80132,126.40306
34.80127,126.4026
34.80115,126.40275
34.80146,126.40259
34.8017,126.40282
34.80186,126.39652
34.79161,126.39643
34.78853,126.39791
34.79961,126.39633
34.79937,126.397
34.80109,126.40262
34.80486,126.39984
34.80402,126.39976
34.80414,126.4
34.8045,126.3997
34.80354,126.4
34.80386,126.39975
34.80359,126.40019
34.80406,126.36923
34.80345,126.40044
34.80446,126.39788
34.80461,126.3984
34.82148,126.37707
34.80429,126.39751
34.80417,126.39728
34.81862,126.37938
34.80427,126.39788
34.8037,126.39635
34.81784,126.38073
34.818,126.38163
34.80341,126.39735
34.81817,126.38292
34.80352,126.39618
34.80348,126.39554
34.80311,126.39519
34.80269,126.39474
34.80364,126.39836
34.80371,126.39799
34.80317,126.39755
34.80315,126.39686
34.80258,126.39599
34.80388,126.39603
34.80219,126.39521
34.80204,126.39492
34.80195,126.39472
34.80188,126.39461
34.80165,126.3949
34.80172,126.39497
34.80149,126.39505
34.80171,126.39544
34.80243,126.39647
34.80271,126.39688
34.80227,126.39661
34.80297,126.3973
34.80024,126.39968
34.79953,126.39851
34.79992,126.39984
34.80023,126.39983
34.79829,126.39853
34.79809,126.39833
34.79714,126.39737
34.79787,126.39806
34.79714,126.39781
34.79756,126.3984
34.79686,126.39836
34.79661,126.39835
34.79713,126.39836
34.80922,126.38875
34.80522,126.38771
34.80814,126.37604
34.80429,126.38776
34.79913,126.38664
34.80826,126.39347
34.79069,126.39936
34.79104,126.39962
34.79126,126.39946
34.79208,126.39912
34.79265,126.40119
34.7966,126.3986
34.79686,126.39878
34.79703,126.39878
34.79966,126.38713
34.79659,126.39887
34.7973,126.39883
34.79703,126.39868
34.7973,126.39853
34.79727,126.39406
34.78971,126.39716
34.78932,126.39596
34.78961,126.39597
34.78979,126.39591
34.78996,126.39622
34.79145,126.39736
34.79056,126.39758
34.79028,126.39735
34.79029,126.39662
34.79026,126.39715
34.79164,126.39592
34.79144,126.39599
34.8039,126.36998
34.80409,126.36978
34.80354,126.36983
34.80416,126.36854
34.80432,126.36884
34.80398,126.36805
34.80374,126.36837
34.80421,126.36824
34.78904,126.39115
34.80349,126.36751
34.78894,126.39106
34.81895,126.37896
34.81814,126.38274
34.80858,126.38573
34.79926,126.3888
34.80858,126.37634
34.8095,126.37543
34.80929,126.37514
34.80876,126.37615
34.80886,126.37686
34.8097,126.37883
34.80923,126.37641
34.80655,126.37465
34.8067,126.3745
34.80678,126.37443
34.81254,126.39343
34.79792,126.39197
34.79907,126.39093
34.79767,126.39091
34.80539,126.3932
34.7974,126.39179
34.80281,126.387
34.80383,126.39429
34.80418,126.39404
34.8043,126.39433
34.80474,126.39448
34.80458,126.39413
34.80433,126.39394
34.80503,126.39334
34.80511,126.39376
34.80548,126.39421
34.80398,126.39356
34.80345,126.39318
34.80336,126.38611
34.80895,126.38873
34.80521,126.38957
34.80482,126.38992
34.80512,126.38695
34.80367,126.38826
34.8036,126.38807
34.80329,126.38922
34.80329,126.38807
34.80287,126.38846
34.80317,126.38893
34.8034,126.38897
34.80252,126.38899
34.80328,126.38898
34.80222,126.38952
34.79901,126.38705
34.79867,126.38674
34.79924,126.38664
34.79888,126.38734
34.79858,126.38629
34.79841,126.38619
34.79833,126.38612
34.79977,126.38671
34.79986,126.38656
34.79997,126.38641
34.79954,126.38861
34.80003,126.38757
34.80249,126.38816
34.79976,126.38819
34.78983,126.40132
34.79064,126.39971
34.79122,126.39972
34.80464,126.39807
34.80433,126.39575
34.80425,126.39803
34.8012,126.40137
34.78267,126.37928
34.8024,126.40191
34.8035,126.39694
34.78427,126.38404
34.8036,126.39885
34.80199,126.39715
34.80098,126.39525
34.78231,126.38011
34.79765,126.3991
34.78495,126.38087
34.80466,126.37382
34.80515,126.37363
34.80439,126.36678
34.80361,126.36875
34.80328,126.36891
34.81755,126.3791
34.82316,126.38399
34.82395,126.38424
34.80178,126.40081
34.80369,126.3966
34.80161,126.40213
34.80228,126.40216
34.80222,126.40179
34.82171,126.38382
34.80299,126.39716
34.80221,126.40128
34.80186,126.40098
34.8022,126.40067
34.80245,126.40103
34.8027,126.40129
34.80278,126.40098
34.80274,126.40168
34.80251,126.39505
34.80298,126.39551
34.8032,126.39556
34.80312,126.39581
34.80306,126.39607
34.80317,126.39646
34.8033,126.39672
34.8039,126.39735
34.80403,126.39764
34.80366,126.39767
34.78369,126.38391
34.78422,126.3844
34.80299,126.3976
34.80316,126.39796
34.80327,126.39832
34.80313,126.39892
34.80264,126.39794
34.80244,126.39751
34.80207,126.39664
34.80175,126.39636
34.80137,126.39563
34.80125,126.39538
34.78476,126.38384
34.78473,126.38399
34.78466,126.3845
34.79756,126.39862
34.78509,126.3842
34.78541,126.3848
34.79841,126.39886
34.79765,126.39951
34.79724,126.39964
34.79755,126.39951
34.80401,126.37522
34.80374,126.37551
34.80343,126.37624
34.80356,126.37573
34.80308,126.3763
34.80321,126.37649
34.80456,126.37312
34.80483,126.3733
