X,Y
34.982,127.512
34.983,127.512
34.983,127.512
34.983,127.512
34.980,127.512
34.980,127.512
34.979,127.512
34.979,127.511
34.990,127.532
34.990,127.531
34.989,127.531
34.989,127.531
34.980,127.515
34.979,127.515
34.979,127.515
34.980,127.514
34.979,127.515
34.978,127.515
34.979,127.515
34.979,127.514
34.980,127.514
34.980,127.512
34.981,127.512
34.981,127.511
34.979,127.512
34.978,127.512
34.978,127.512
34.978,127.512
34.980,127.509
34.980,127.509
34.981,127.507
34.981,127.506
34.981,127.506
34.981,127.506
35.090,127.418
35.090,127.418
35.090,127.418
35.090,127.418
35.089,127.417
35.089,127.417
35.087,127.416
35.095,127.426
35.175,127.428
35.175,127.428
35.174,127.428
35.174,127.428
35.174,127.428
35.173,127.428
35.174,127.427
35.174,127.427
35.166,127.448
35.166,127.447
35.166,127.447
35.166,127.447
35.166,127.424
35.166,127.424
35.178,127.432
35.179,127.433
35.164,127.450
35.165,127.451
35.165,127.451
35.164,127.452
35.173,127.429
35.173,127.428
35.175,127.428
35.175,127.428
35.186,127.417
34.902,127.550
34.903,127.548
34.903,127.548
34.894,127.542
34.892,127.542
34.891,127.542
34.893,127.542
34.893,127.541
34.893,127.542
34.912,127.538
34.910,127.537
34.912,127.536
34.912,127.536
34.912,127.537
34.912,127.533
34.913,127.534
34.911,127.537
34.912,127.535
34.913,127.535
34.911,127.531
34.911,127.531
34.910,127.532
34.910,127.530
34.916,127.540
34.917,127.541
34.916,127.540
34.915,127.539
34.909,127.539
34.914,127.537
34.914,127.536
34.914,127.537
34.915,127.537
34.933,127.574
34.933,127.574
34.933,127.575
34.934,127.576
34.935,127.575
34.934,127.575
34.935,127.575
34.935,127.576
34.936,127.576
34.913,127.563
34.912,127.564
34.911,127.565
34.910,127.566
34.910,127.566
34.945,127.539
34.943,127.546
34.943,127.547
34.943,127.547
34.943,127.546
34.943,127.546
34.943,127.545
34.943,127.544
34.943,127.543
34.943,127.542
34.944,127.541
34.943,127.564
34.947,127.528
34.933,127.571
34.935,127.572
34.943,127.536
34.942,127.537
34.941,127.537
34.981,127.505
34.981,127.505
34.990,127.535
34.983,127.516
34.981,127.517
34.980,127.516
34.998,127.523
34.998,127.523
34.999,127.523
35.000,127.523
35.009,127.484
35.009,127.484
35.009,127.483
35.009,127.483
35.014,127.476
35.014,127.476
35.015,127.476
35.014,127.476
35.017,127.477
35.019,127.476
35.020,127.476
35.021,127.475
35.013,127.476
35.012,127.477
35.012,127.476
35.011,127.475
35.017,127.477
35.016,127.478
35.015,127.478
35.016,127.478
35.008,127.483
35.008,127.483
35.008,127.483
35.166,127.447
35.165,127.449
35.165,127.449
35.164,127.450
35.171,127.440
35.167,127.448
35.166,127.449
35.166,127.448
35.185,127.419
35.186,127.418
35.186,127.418
35.185,127.417
35.185,127.417
35.184,127.416
35.178,127.431
35.185,127.417
35.185,127.417
35.185,127.416
35.184,127.416
35.186,127.417
35.186,127.417
35.178,127.431
35.177,127.430
35.176,127.429
35.175,127.429
35.178,127.432
35.178,127.433
35.172,127.440
35.171,127.441
35.171,127.427
35.170,127.425
35.168,127.424
35.168,127.423
34.915,127.537
34.914,127.538
34.914,127.538
34.914,127.538
34.913,127.538
34.913,127.538
34.913,127.538
34.910,127.538
34.909,127.538
34.908,127.538
34.951,127.530
34.950,127.529
34.950,127.530
34.949,127.530
34.949,127.530
34.949,127.530
34.951,127.529
34.951,127.529
34.951,127.529
34.950,127.529
34.951,127.530
34.951,127.529
34.951,127.529
34.949,127.528
34.948,127.529
34.948,127.530
34.948,127.529
34.928,127.526
34.928,127.526
34.928,127.526
34.949,127.527
34.940,127.539
34.937,127.537
34.942,127.540
34.942,127.541
34.941,127.541
34.896,127.545
34.888,127.570
34.909,127.532
34.876,127.530
34.908,127.543
34.861,127.536
34.917,127.561
34.932,127.568
34.875,127.527
34.951,127.529
34.921,127.537
34.934,127.567
34.946,127.538
34.920,127.572
34.944,127.549
34.858,127.543
34.989,127.505
34.989,127.505
34.988,127.505
34.987,127.504
34.985,127.503
34.985,127.502
34.985,127.503
34.983,127.502
35.028,127.453
35.028,127.454
35.029,127.453
35.029,127.454
35.017,127.468
35.018,127.468
35.009,127.483
35.012,127.480
35.012,127.481
35.013,127.482
35.015,127.484
35.010,127.483
35.010,127.483
35.010,127.482
35.010,127.481
35.009,127.480
35.009,127.481
35.008,127.481
35.008,127.482
35.010,127.481
35.010,127.480
35.011,127.480
35.011,127.480
35.010,127.482
35.014,127.480
35.014,127.479
35.013,127.479
35.014,127.477
35.015,127.482
35.015,127.482
35.014,127.481
35.015,127.483
35.020,127.478
35.019,127.479
35.019,127.479
35.019,127.480
35.021,127.476
35.022,127.476
35.022,127.477
35.022,127.478
35.172,127.428
35.171,127.429
35.171,127.428
35.171,127.428
35.175,127.429
35.175,127.429
35.174,127.428
35.174,127.428
35.158,127.453
35.157,127.453
35.157,127.453
35.157,127.454
35.159,127.457
35.159,127.457
35.160,127.457
35.159,127.458
35.160,127.456
35.160,127.456
35.160,127.456
35.160,127.456
35.162,127.456
35.160,127.457
35.160,127.458
35.161,127.456
35.164,127.453
35.163,127.453
35.163,127.454
35.163,127.454
35.164,127.452
35.164,127.453
35.164,127.453
35.164,127.453
35.161,127.455
34.949,127.527
34.949,127.527
34.896,127.534
34.897,127.533
34.897,127.533
34.896,127.533
34.897,127.535
34.897,127.534
34.898,127.534
34.859,127.544
34.859,127.545
34.861,127.551
34.860,127.547
34.860,127.544
34.857,127.548
34.860,127.546
34.859,127.547
34.860,127.547
34.861,127.546
34.861,127.545
34.862,127.544
34.862,127.544
34.859,127.547
34.862,127.547
34.862,127.546
34.862,127.546
34.853,127.541
34.854,127.541
34.949,127.528
34.949,127.527
34.949,127.528
34.949,127.527
35.018,127.467
35.018,127.468
35.015,127.467
35.016,127.467
35.017,127.468
35.017,127.468
35.019,127.459
35.020,127.459
35.020,127.459
35.021,127.460
35.022,127.460
35.022,127.459
35.027,127.452
35.026,127.452
35.027,127.450
35.028,127.449
35.028,127.450
35.028,127.450
35.022,127.454
35.022,127.455
35.022,127.455
35.021,127.455
35.022,127.455
35.021,127.456
35.021,127.457
35.019,127.459
35.017,127.467
35.014,127.464
35.014,127.464
35.015,127.464
35.026,127.449
35.026,127.452
35.025,127.452
35.023,127.454
35.026,127.449
35.032,127.476
35.033,127.475
