x,y
34.84678,126.78365
34.84739,126.78338
34.8468,126.7835
34.85012,126.77172
34.84877,126.77148
34.8493,126.77232
34.84878,126.77263
34.84833,126.77266
34.84689,126.77434
34.84716,126.77377
34.8478,126.77358
34.84804,126.77358
34.84908,126.77317
34.84857,126.7736
34.8489,126.77357
34.8486,126.77389
34.84836,126.77537
34.84396,126.79206
34.84488,126.7974
34.84355,126.79173
34.84517,126.79742
34.85519,126.80167
34.85536,126.80211
34.85609,126.80032
34.85686,126.79935
34.85716,126.79792
34.85758,126.79575
34.85773,126.79658
34.85778,126.79488
34.85667,126.7947
34.85916,126.79186
34.85805,126.79308
34.86375,126.80383
34.86316,126.80531
34.86385,126.80419
34.86418,126.8034
34.86425,126.80424
34.8644,126.80291
34.82478,126.71359
34.82262,126.71472
34.82314,126.7106
34.82369,126.71424
34.82251,126.71582
34.82174,126.71866
34.82237,126.71828
34.82189,126.71834
34.82166,126.71833
34.82115,126.71815
34.82072,126.71795
34.82755,126.73141
34.82789,126.73137
34.82756,126.73396
34.82911,126.73497
34.82921,126.73493
34.82884,126.73497
34.8297,126.73489
34.82863,126.73283
34.82941,126.73172
34.82969,126.73223
34.83201,126.73341
34.83037,126.73193
34.83256,126.7337
34.8317,126.73286
34.8309,126.73265
34.8311,126.73218
34.83097,126.73079
34.83076,126.72961
34.8309,126.7294
34.83122,126.73012
34.83089,126.73034
34.83108,126.72862
34.83146,126.72898
34.83222,126.73
34.83246,126.73015
34.83239,126.73025
34.83221,126.7305
34.86466,126.80201
34.87031,126.79642
34.86506,126.80122
34.87329,126.79659
34.87334,126.79683
34.86395,126.8065
34.8649,126.81235
34.86511,126.81193
34.8648,126.81397
34.8656,126.81383
34.86659,126.81442
34.86752,126.81297
34.8673,126.81401
34.86908,126.81225
34.86777,126.81509
34.85272,126.81718
34.85103,126.81465
34.85,126.81456
34.85025,126.81452
34.85573,126.81546
34.86238,126.74676
34.86199,126.74753
34.86179,126.74755
34.86023,126.74784
34.8608,126.74778
34.86095,126.74759
34.8597,126.74823
34.85839,126.74785
34.85905,126.74839
34.85864,126.74708
34.85866,126.7487
34.85805,126.74833
34.8571,126.74854
34.85667,126.74879
34.85689,126.74866
34.8561,126.74889
34.85669,126.74689
34.85679,126.74653
34.85643,126.74545
34.85638,126.74565
34.85622,126.74478
34.85647,126.74456
34.83863,126.68428
34.83606,126.72391
34.8358,126.72287
34.83532,126.72245
34.83523,126.72241
34.8358,126.72203
34.83733,126.71736
34.83879,126.71734
34.83829,126.7175
34.8386,126.71747
34.83882,126.7175
34.8398,126.71723
34.83801,126.71506
34.83848,126.71587
34.83901,126.71617
34.83952,126.71576
34.84099,126.71529
34.84014,126.71579
34.84031,126.71559
34.84003,126.71532
34.83937,126.71508
34.83945,126.71497
34.83862,126.71546
34.83894,126.71533
34.82235,126.64936
34.8226,126.64952
34.82532,126.648
34.82668,126.6532
34.82779,126.65485
34.8285,126.6564
34.82867,126.656
34.81673,126.65027
34.81656,126.64992
34.81618,126.6495
34.80814,126.64732
34.80737,126.64732
34.80715,126.64701
34.80688,126.64673
34.80676,126.64787
34.80644,126.64728
34.80627,126.64615
34.80611,126.6463
34.80604,126.64603
34.80552,126.64665
34.80514,126.64598
34.80411,126.64826
34.80425,126.64807
34.80455,126.64742
34.80455,126.64669
34.80645,126.64504
34.78764,126.64101
34.78716,126.64086
34.7857,126.6423
34.78696,126.64177
34.78494,126.64315
34.85678,126.74441
34.85509,126.74616
34.85439,126.7489
34.85455,126.74794
34.85352,126.74758
34.8562,126.73804
34.85651,126.73852
34.8567,126.73712
34.85185,126.74214
34.85577,126.74153
34.85171,126.74221
34.85158,126.74236
34.85054,126.74442
34.85006,126.74575
34.84955,126.74516
34.84892,126.74444
34.84901,126.74423
34.84906,126.74235
34.84913,126.74349
34.84991,126.74167
34.84868,126.74245
34.84859,126.74128
34.8491,126.7384
34.84827,126.74021
34.85002,126.7474
34.8501,126.74784
34.85311,126.74993
34.84527,126.75053
34.84396,126.7524
34.84222,126.75684
34.84529,126.75168
34.84222,126.75611
34.84147,126.75493
34.83982,126.75488
34.83977,126.75659
34.84026,126.75529
34.84047,126.75557
34.84137,126.75455
34.84488,126.75146
34.84469,126.75054
34.84433,126.75123
34.82912,126.65497
34.83271,126.65573
34.83199,126.65515
34.83187,126.6558
34.8314,126.65612
34.83097,126.65645
34.83243,126.65669
34.83326,126.65624
34.83372,126.65675
